campaign,network_profile,protocol,auth_mode,sig_alg,kem,kem_class,pcap_file,total_bytes,total_packets,ClientHello_bytes,ServerHello_bytes,EncryptedExtensions_bytes,Certificate_bytes,CertificateVerify_bytes,Finished_bytes,CertificateRequest_bytes,NewSessionTicket_bytes
none,tls,tls,single,secp384r1,mlkem768,pq_pur,capture_tls_single_secp384r1_mlkem768_none_20260826_130446.pcap,5141,16,1535,1174,2,438,106,96,NA,458
none,tls,tls,single,secp384r1,p384_hqc192,hybride,capture_tls_single_secp384r1_p384_hqc192_none_20260826_130527.pcap,16829,20,4970,9161,2,439,107,96,NA,458
none,tls,tls,single,secp384r1,p384_mlkem768,hybride,capture_tls_single_secp384r1_p384_mlkem768_none_20260826_130406.pcap,5337,16,1632,1271,2,439,107,96,NA,458
none,tls,tls,single,secp384r1,x448_hqc192,hybride,capture_tls_single_secp384r1_x448_hqc192_none_20260826_130547.pcap,16748,20,4929,9120,2,440,107,96,NA,458
none,tls,tls,single,secp384r1,x448_mlkem768,hybride,capture_tls_single_secp384r1_x448_mlkem768_none_20260826_130427.pcap,5256,16,1591,1230,2,439,108,96,NA,458
none,tls,tls,single,secp384r1,x448,classique,capture_tls_single_secp384r1_x448_none_20260826_130345.pcap,2990,16,415,142,2,438,107,96,NA,458
none,tls,tls,single,secp521r1,P-521,classique,capture_tls_single_secp521r1_P-521_none_20260826_130608.pcap,3255,16,492,219,2,514,142,96,NA,458
none,tls,tls,single,secp521r1,hqc256,pq_pur,capture_tls_single_secp521r1_hqc256_none_20260826_130709.pcap,25173,24,7596,14507,2,513,141,96,NA,458
none,tls,tls,single,secp521r1,mlkem1024,pq_pur,capture_tls_single_secp521r1_mlkem1024_none_20260826_130649.pcap,6116,16,1919,1654,2,513,142,96,NA,458
none,tls,tls,single,secp521r1,p521_hqc256,hybride,capture_tls_single_secp521r1_p521_hqc256_none_20260826_130729.pcap,25507,25,7729,14640,2,514,142,96,NA,458
none,tls,tls,single,secp521r1,p521_mlkem1024,hybride,capture_tls_single_secp521r1_p521_mlkem1024_none_20260826_130628.pcap,6384,16,2052,1787,2,514,143,96,NA,458
simple_loss1.3_delay62.51ms,quic,quic,single,ed25519,P-256_simple_loss1.3_delay62.51ms_20260826_134323,classique,capture_quic_single_ed25519_P-256_simple_loss1.3_delay62.51ms_20260826_134323.pcap,3963,4,459,119,115,313,68,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,ed25519,hqc128_simple_loss1.3_delay62.51ms_20260826_134504,pq_pur,capture_quic_single_ed25519_hqc128_simple_loss1.3_delay62.51ms_20260826_134504.pcap,11797,5,2635,4487,115,313,68,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,ed25519,mlkem512_simple_loss1.3_delay62.51ms_20260826_134444,pq_pur,capture_quic_single_ed25519_mlkem512_simple_loss1.3_delay62.51ms_20260826_134444.pcap,5483,4,1186,822,115,313,68,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,ed25519,p256_hqc128_simple_loss1.3_delay62.51ms_20260826_134524,hybride,capture_quic_single_ed25519_p256_hqc128_simple_loss1.3_delay62.51ms_20260826_134524.pcap,11862,5,2700,4552,115,313,68,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,ed25519,p256_mlkem512_simple_loss1.3_delay62.51ms_20260826_134402,hybride,capture_quic_single_ed25519_p256_mlkem512_simple_loss1.3_delay62.51ms_20260826_134402.pcap,5548,4,1251,887,115,313,68,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,ed25519,x25519_hqc128_simple_loss1.3_delay62.51ms_20260826_134546,hybride,capture_quic_single_ed25519_x25519_hqc128_simple_loss1.3_delay62.51ms_20260826_134546.pcap,11829,5,2667,4519,115,313,68,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,ed25519,x25519_mlkem512_simple_loss1.3_delay62.51ms_20260826_134424,hybride,capture_quic_single_ed25519_x25519_mlkem512_simple_loss1.3_delay62.51ms_20260826_134424.pcap,5515,4,1218,854,115,313,68,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,ed25519,x25519_simple_loss1.3_delay62.51ms_20260826_134343,classique,capture_quic_single_ed25519_x25519_simple_loss1.3_delay62.51ms_20260826_134343.pcap,3963,4,426,86,115,313,68,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa44,P-256_simple_loss1.3_delay62.51ms_20260826_135030,classique,capture_quic_single_mldsa44_P-256_simple_loss1.3_delay62.51ms_20260826_135030.pcap,11058,6,459,119,115,3974,2424,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa44,hqc128_simple_loss1.3_delay62.51ms_20260826_135211,pq_pur,capture_quic_single_mldsa44_hqc128_simple_loss1.3_delay62.51ms_20260826_135211.pcap,19338,7,2635,4487,115,3974,2424,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa44,mlkem512_simple_loss1.3_delay62.51ms_20260826_135151,pq_pur,capture_quic_single_mldsa44_mlkem512_simple_loss1.3_delay62.51ms_20260826_135151.pcap,13024,6,1186,822,115,3974,2424,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa44,p256_hqc128_simple_loss1.3_delay62.51ms_20260826_135232,hybride,capture_quic_single_mldsa44_p256_hqc128_simple_loss1.3_delay62.51ms_20260826_135232.pcap,19403,7,2700,4552,115,3974,2424,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa44,p256_mlkem512_simple_loss1.3_delay62.51ms_20260826_135111,hybride,capture_quic_single_mldsa44_p256_mlkem512_simple_loss1.3_delay62.51ms_20260826_135111.pcap,13089,6,1251,887,115,3974,2424,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa44,x25519_hqc128_simple_loss1.3_delay62.51ms_20260826_135251,hybride,capture_quic_single_mldsa44_x25519_hqc128_simple_loss1.3_delay62.51ms_20260826_135251.pcap,19370,7,2667,4519,115,3974,2424,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa44,x25519_mlkem512_simple_loss1.3_delay62.51ms_20260826_135131,hybride,capture_quic_single_mldsa44_x25519_mlkem512_simple_loss1.3_delay62.51ms_20260826_135131.pcap,13056,6,1218,854,115,3974,2424,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa44,x25519_simple_loss1.3_delay62.51ms_20260826_135051,classique,capture_quic_single_mldsa44_x25519_simple_loss1.3_delay62.51ms_20260826_135051.pcap,11025,6,426,86,115,3974,2424,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa65,P-384_simple_loss1.3_delay62.51ms_20260826_135311,classique,capture_quic_single_mldsa65_P-384_simple_loss1.3_delay62.51ms_20260826_135311.pcap,13594,6,491,151,115,5503,3313,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa65,hqc192_simple_loss1.3_delay62.51ms_20260826_135453,pq_pur,capture_quic_single_mldsa65_hqc192_simple_loss1.3_delay62.51ms_20260826_135453.pcap,29385,14,4908,9032,115,5503,3313,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa65,mlkem768_simple_loss1.3_delay62.51ms_20260826_135432,pq_pur,capture_quic_single_mldsa65_mlkem768_simple_loss1.3_delay62.51ms_20260826_135432.pcap,15831,6,1570,1142,115,5503,3313,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa65,p384_hqc192_simple_loss1.3_delay62.51ms_20260826_135517,hybride,capture_quic_single_mldsa65_p384_hqc192_simple_loss1.3_delay62.51ms_20260826_135517.pcap,29482,14,5005,9129,115,5503,3313,96,NA,NA
simple_loss1.3_delay62.51ms,quic,quic,single,mldsa65,p384_mlkem768_simple_loss1.3_delay62.51ms_20260826_135351,hybride,capture_quic_single_mldsa65_p384_mlkem768_simple_loss1.3_delay62.51ms_20260826_135351.pcap,15946,6,1667,1239,115,5503,3313,96,NA,NA
