timestamp,protocol,auth_mode,sig_alg,kem,network_profile,role,n_runs,cpu_usec_total,cpu_usec_per_handshake,mem_peak_bytes
2026-08-06T01:26:37+01:00,quic,single,mldsa44,mlkem512,simple,server,500,218510110,437020.220,10526720
2026-08-06T01:26:37+01:00,quic,single,mldsa44,mlkem512,simple,client,500,10822080,21644.160,5447680
2026-08-06T01:30:37+01:00,quic,single,mldsa44,hqc128,simple,server,500,232209591,464419.182,10436608
2026-08-06T01:30:37+01:00,quic,single,mldsa44,hqc128,simple,client,500,15310434,30620.868,5337088
2026-08-06T01:34:35+01:00,quic,single,mldsa44,p256_hqc128,simple,server,500,230520277,461040.554,11390976
2026-08-06T01:34:35+01:00,quic,single,mldsa44,p256_hqc128,simple,client,500,18736221,37472.442,6148096
2026-08-06T01:38:32+01:00,quic,single,mldsa44,x25519_hqc128,simple,server,500,229200306,458400.612,10866688
2026-08-06T01:38:32+01:00,quic,single,mldsa44,x25519_hqc128,simple,client,500,16051241,32102.482,5640192
2026-08-06T01:42:26+01:00,quic,single,mldsa65,P-384,simple,server,500,220117205,440234.410,10387456
2026-08-06T01:42:26+01:00,quic,single,mldsa65,P-384,simple,client,500,11402448,22804.896,5558272
2026-08-06T01:46:28+01:00,quic,single,mldsa65,x448,simple,server,500,231899487,463798.974,10383360
2026-08-06T01:46:28+01:00,quic,single,mldsa65,x448,simple,client,500,11014470,22028.940,5844992
2026-08-06T01:50:20+01:00,quic,single,mldsa65,p384_mlkem768,simple,server,500,222649832,445299.664,11493376
2026-08-06T01:50:20+01:00,quic,single,mldsa65,p384_mlkem768,simple,client,500,14604163,29208.326,6139904
2026-08-06T01:54:14+01:00,quic,single,mldsa65,x448_mlkem768,simple,server,500,223080494,446160.988,10797056
2026-08-06T01:54:14+01:00,quic,single,mldsa65,x448_mlkem768,simple,client,500,11933991,23867.982,5562368
2026-08-06T01:58:04+01:00,quic,single,mldsa65,mlkem768,simple,server,500,218625567,437251.134,10731520
2026-08-06T01:58:04+01:00,quic,single,mldsa65,mlkem768,simple,client,500,10898697,21797.394,5414912
