security_level,kem,sig_classical,sig_pq,n_blocks_common,classical_mean_ms,pq_mean_ms,delta_ms,delta_ci95_low,delta_ci95_high,significant_paired_bootstrap,exact_permutation_p,exact_permutation_min_p
L1,P-256,ed25519,mldsa44,4,181.3339,390.4121,-209.0781,-218.0071,-200.1492,oui,0.125,0.125
L1,hqc128,ed25519,mldsa44,4,224.8058,395.2139,-170.4081,-183.5336,-154.9304,oui,0.125,0.125
L1,mlkem512,ed25519,mldsa44,4,208.4303,378.3672,-169.9369,-212.3554,-127.5184,oui,0.125,0.125
L1,p256_hqc128,ed25519,mldsa44,4,221.3047,390.5441,-169.2394,-182.8846,-157.8588,oui,0.125,0.125
L1,p256_mlkem512,ed25519,mldsa44,4,195.9276,378.9341,-183.0065,-208.7432,-157.2698,oui,0.125,0.125
L1,x25519,ed25519,mldsa44,4,177.0729,374.6212,-197.5483,-208.9956,-186.1011,oui,0.125,0.125
L1,x25519_hqc128,ed25519,mldsa44,4,213.2039,401.9398,-188.7359,-195.3004,-182.1715,oui,0.125,0.125
L1,x25519_mlkem512,ed25519,mldsa44,4,206.578,371.0684,-164.4904,-184.6257,-145.2021,oui,0.125,0.125
L3,P-384,secp384r1,mldsa65,4,190.0049,400.8313,-210.8264,-231.7805,-191.4172,oui,0.125,0.125
L3,hqc192,secp384r1,mldsa65,4,264.2256,449.4632,-185.2376,-210.2587,-166.8632,oui,0.125,0.125
L3,mlkem768,secp384r1,mldsa65,4,186.8889,382.1987,-195.3098,-204.778,-180.0025,oui,0.125,0.125
L3,p384_hqc192,secp384r1,mldsa65,4,277.0789,453.6278,-176.5489,-180.9471,-172.1508,oui,0.125,0.125
L3,p384_mlkem768,secp384r1,mldsa65,4,230.3929,394.995,-164.6021,-183.2626,-147.815,oui,0.125,0.125
L3,x448,secp384r1,mldsa65,4,189.8951,388.1795,-198.2844,-221.623,-174.9458,oui,0.125,0.125
L3,x448_hqc192,secp384r1,mldsa65,4,243.9579,430.6863,-186.7284,-204.6768,-169.4496,oui,0.125,0.125
L3,x448_mlkem768,secp384r1,mldsa65,4,214.2885,366.7591,-152.4706,-162.8206,-140.3887,oui,0.125,0.125
L5,P-521,secp521r1,mldsa87,4,192.2367,382.2822,-190.0456,-195.2409,-183.7717,oui,0.125,0.125
L5,hqc256,secp521r1,mldsa87,4,908.0748,952.864,-44.7892,-65.5002,-31.3048,oui,0.125,0.125
L5,mlkem1024,secp521r1,mldsa87,4,205.5346,379.9996,-174.465,-200.3011,-150.1347,oui,0.125,0.125
L5,p521_hqc256,secp521r1,mldsa87,4,923.3617,961.9314,-38.5697,-55.4696,-16.9587,oui,0.125,0.125
L5,p521_mlkem1024,secp521r1,mldsa87,4,213.3084,415.8431,-202.5348,-220.7379,-185.3167,oui,0.125,0.125
