P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
1.58,1.52,8.47,2.19,1.53
1.45,1.3,6.45,1.59,1.34
1.64,1.32,8.56,1.6,1.34
1.6,1.46,6.6,2.01,1.69
1.41,1.33,6.91,1.55,1.34
1.48,1.58,6.95,1.64,1.37
1.52,1.27,6.6,1.63,1.43
1.41,1.45,6.57,1.73,1.3
1.83,1.31,6.41,1.84,1.47
1.44,1.33,6.41,1.63,1.42
1.46,1.35,6.4,1.66,1.36
1.49,1.34,6.55,1.88,1.53
1.41,1.42,6.34,1.64,1.45
1.79,1.39,6.41,1.89,1.39
1.35,1.46,6.55,2.01,1.43
1.54,1.72,6.78,1.6,1.33
1.5,1.3,6.6,1.71,1.39
1.54,1.37,6.64,1.63,1.42
1.72,1.35,6.81,1.62,1.39
1.44,1.35,6.77,2.02,1.51
1.46,1.77,6.81,1.6,1.45
1.58,1.36,6.47,1.71,1.35
1.46,1.38,6.36,1.96,1.38
1.57,1.33,6.31,1.95,1.35
1.5,1.44,6.59,1.57,1.43
1.48,1.5,6.57,1.84,1.36
2.04,1.35,6.45,1.68,1.39
1.47,1.45,6.36,1.68,1.43
1.53,1.36,6.89,1.69,1.33
1.6,1.33,6.74,1.65,1.39
1.58,1.52,6.8,1.77,1.46
1.49,1.38,7.09,1.7,1.35
1.47,1.35,7.0,2.47,1.55
1.48,1.39,6.75,1.99,1.36
1.68,1.35,7.67,1.62,1.32
1.43,1.64,9.01,1.69,1.42
1.51,1.34,6.96,1.66,1.34
1.64,1.46,7.22,1.64,1.58
1.52,1.4,7.12,1.76,1.31
1.53,1.37,7.08,1.73,1.44
1.51,1.4,7.92,1.63,1.8
1.47,1.42,6.81,2.17,1.4
1.74,1.35,7.04,1.66,1.46
1.48,1.49,6.98,1.81,1.46
1.47,1.35,6.28,1.85,1.41
1.59,1.43,6.49,1.6,1.49
1.49,1.41,6.53,1.65,1.38
1.66,1.36,6.46,1.68,1.38
1.51,1.64,6.36,1.68,1.34
1.63,1.35,6.34,1.73,1.41
1.76,1.37,6.56,1.7,1.36
1.55,1.38,6.86,1.67,1.4
1.52,1.34,6.94,2.02,1.3
1.45,1.76,6.75,1.68,1.4
1.49,1.43,6.72,1.65,1.43
1.71,1.48,6.63,2.63,1.36
1.4,1.43,6.44,1.63,1.56
1.57,1.36,6.47,1.65,1.32
1.5,1.35,6.61,1.72,1.3
1.43,1.39,6.71,1.58,1.48
1.55,1.37,6.84,1.89,1.4
1.49,1.52,6.68,1.59,1.43
1.55,1.32,7.34,1.81,1.4
1.5,1.43,6.62,1.76,1.45
1.54,1.4,6.5,1.62,1.83
1.43,1.36,6.63,1.67,1.32
1.77,1.47,8.23,2.06,1.57
1.62,1.35,6.5,1.63,1.39
1.75,1.36,6.66,1.64,1.36
1.82,1.44,6.69,2.04,1.63
1.52,1.36,6.74,1.66,1.37
1.46,1.44,6.8,1.64,1.36
1.68,1.38,7.21,1.86,1.45
1.47,1.34,6.99,1.82,1.36
1.59,1.5,6.96,1.75,1.69
1.51,1.31,6.97,2.14,1.38
1.6,1.4,6.71,1.56,1.32
1.81,1.37,6.75,1.72,1.51
1.41,1.27,6.65,1.73,1.42
1.38,1.55,6.65,1.65,1.42
1.49,1.36,6.62,1.65,1.41
1.43,1.36,6.77,1.62,1.35
1.59,1.41,6.61,1.62,1.66
1.51,1.28,8.01,1.83,1.53
1.45,1.39,6.46,1.6,1.34
1.58,1.37,6.59,1.55,1.47
1.49,1.37,6.59,1.76,1.31
1.74,1.4,6.7,1.95,1.8
1.44,1.34,6.53,1.69,1.37
1.54,1.52,6.66,1.74,1.38
1.49,1.39,6.68,1.6,1.44
1.47,1.36,6.61,1.7,1.45
1.57,1.59,6.68,1.59,1.42
1.58,1.4,6.7,1.76,1.42
1.41,1.33,7.04,1.77,1.41
1.93,1.41,6.64,1.64,1.51
1.56,1.32,6.96,1.69,1.45
