P-521,p521_mlkem1024,mlkem1024
15.84,23.09,8.44
16.25,23.62,8.37
16.07,23.48,8.2
15.91,22.96,8.19
16.42,23.23,8.22
15.94,22.93,8.18
16.78,23.12,8.19
18.19,22.93,8.3
17.36,23.09,8.84
18.02,23.7,8.27
16.71,23.23,8.79
15.88,23.09,8.53
16.09,23.03,8.37
15.97,22.95,8.43
15.86,22.96,8.33
15.88,23.01,8.73
16.44,23.35,8.59
15.81,23.75,8.3
16.09,23.8,8.19
17.72,23.05,8.21
17.33,23.71,7.75
17.39,25.84,12.36
18.02,23.22,7.52
17.99,23.14,7.35
17.41,22.91,7.65
18.09,23.11,7.66
16.44,23.14,7.68
16.14,22.91,7.82
16.05,24.09,7.88
16.79,23.21,7.69
16.46,23.0,7.71
16.52,23.53,7.68
16.34,23.14,7.76
16.16,24.05,7.7
15.84,25.33,7.41
16.12,25.57,8.02
15.96,25.42,7.51
16.03,25.79,7.45
16.09,25.65,7.43
16.0,23.51,7.61
16.03,23.02,8.34
15.96,23.07,7.46
15.91,23.04,7.69
15.95,23.72,7.8
15.93,22.98,8.55
15.87,23.05,7.84
16.1,24.02,7.74
15.9,23.06,8.64
15.96,23.82,7.87
15.98,22.96,8.6
15.87,22.77,7.67
15.86,22.99,8.38
15.9,23.36,8.72
16.0,23.57,8.1
16.4,23.36,7.81
15.92,23.16,7.87
15.94,23.27,7.47
16.02,24.05,7.52
16.04,23.78,8.69
15.86,23.4,8.22
16.23,23.15,7.44
15.78,22.88,1462.18
15.95,23.54,4543.89
16.35,23.54,8.47
16.03,23.11,226.47
16.29,24.27,839.2
18.8,23.39,5997.16
15.85,23.26,10.14
15.91,23.15,9.54
15.78,23.11,10.35
15.94,23.48,10.14
15.98,24.59,10.26
15.92,22.95,1252.61
15.86,23.17,18.65
15.81,22.91,228.18
15.87,23.45,11.56
16.04,23.45,8.17
16.09,23.34,8.19
15.98,23.59,632.45
16.07,23.05,230.81
15.99,23.07,4108.32
16.0,22.98,1693.3
16.02,22.98,9.15
15.89,22.83,428.7
15.92,23.02,4532.42
15.92,23.14,11.9
15.98,23.65,5987.0
16.21,23.8,1017.1
16.36,23.01,7158.09
15.91,22.96,8.38
15.95,22.98,11810.11
16.03,22.95,1229.45
15.84,22.94,53285.7
15.9,23.32,6191.34
15.95,23.29,8.42
16.29,23.49,223.86
15.85,22.97,1056.37
15.88,23.93,8.61
15.8,23.22,8.16
16.84,23.23,8.25
15.96,23.67,629.23
16.12,23.06,1470.07
16.01,23.89,8.33
16.11,22.96,8035.38
15.91,23.0,1018.47
16.38,23.08,1835.08
15.82,23.06,12026.3
16.35,22.95,8.39
15.89,23.03,227.21
16.17,22.93,6377.98
16.73,22.75,4342.08
19.12,22.96,8.9
17.35,23.4,230.92
17.34,22.93,8.28
17.92,23.2,8.07
17.37,23.02,9.75
17.33,22.92,227.7
17.05,22.91,7594.44
15.83,22.85,11.0
16.29,22.99,12.1
16.3,23.17,8.5
16.02,22.97,230.79
15.89,22.91,6605.93
16.1,22.95,9.52
15.82,23.04,13.21
15.86,23.5,227.64
16.25,22.79,24.52
17.52,22.94,8.67
16.38,23.13,27839.71
16.28,23.01,217.19
16.61,23.13,627.37
16.62,23.03,8.51
16.36,22.92,8.77
16.47,23.11,12.28
16.7,22.92,631.37
16.53,22.92,13.71
16.78,22.99,1448.53
16.41,23.18,1494.16
16.91,25.15,1434.76
16.59,24.5,2703.89
16.32,24.48,8.86
16.43,24.64,9.18
15.9,24.41,9.04
16.07,24.51,837.14
16.32,24.89,4590.85
16.36,24.42,2884.78
15.79,23.47,15655.08
16.48,22.98,9.95
15.87,22.94,1272.13
15.85,23.2,8.54
15.78,24.12,1041.52
16.45,23.05,2250.33
15.88,23.64,8.45
15.83,22.98,1249.29
16.05,22.95,1439.23
16.04,23.24,8.9
16.01,23.2,8.53
15.9,23.28,1490.82
16.36,23.02,1015.98
16.52,23.0,1220.8
16.07,22.97,3366.68
16.35,23.13,1230.23
15.86,22.9,9.84
15.89,23.76,10.98
15.91,23.12,10.98
15.87,23.12,10.7
16.09,23.23,1480.31
16.34,23.32,1074.09
15.93,23.15,11.06
16.18,24.34,1442.45
15.86,23.36,1261.86
16.26,23.39,8.41
15.81,23.15,1259.4
16.19,22.95,1454.06
16.04,22.85,1245.38
16.37,23.94,1063.84
15.96,23.19,435.26
16.14,23.25,24.42
15.87,23.3,1032.36
15.93,23.1,8.88
16.1,23.19,1265.53
16.33,23.19,8.69
16.13,22.86,226.42
15.9,22.98,13.01
16.36,23.02,8.49
16.35,23.04,3108.69
16.29,23.17,1019.03
15.75,23.26,1224.19
16.2,23.37,10.03
15.92,23.13,7624.26
15.88,23.13,6391.47
15.77,23.06,1228.41
16.12,23.06,27685.02
16.52,23.1,434.48
15.98,24.0,840.48
15.98,23.06,8.73
17.95,23.03,226.09
15.86,23.39,17.65
15.94,23.15,1275.14
16.39,23.87,12964.5
16.11,23.14,2090.31
16.13,25.91,8.21
15.96,23.3,12.17
16.33,23.14,8.28
16.13,23.29,227.3
15.89,23.19,1475.36
15.88,22.83,834.8
15.96,22.92,3525.22
15.92,23.82,2701.74
17.57,23.14,1435.97
