protocol,network,file,flightend_proxy_ms,confirmed_ms,delta_confirm_ms,client_finished_ms,note
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa65_mlkem768_simple_loss1.3_delay62.51ms_20260826_135432.pcap,189.97100000000012,315.67100000000005,125.69999999999992,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_ed25519_x25519_hqc128_simple_loss1.3_delay62.51ms_20260826_134546.pcap,70.93799999999995,203.69599999999988,132.75799999999992,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa87_p521_mlkem1024_simple_loss1.3_delay62.51ms_20260826_135619.pcap,197.56700000000004,323.58500000000004,126.01799999999996,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_secp521r1_mlkem1024_simple_loss1.3_delay62.51ms_20260826_134928.pcap,64.08900000000006,191.558,127.46899999999994,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_ed25519_hqc128_simple_loss1.3_delay62.51ms_20260826_134504.pcap,69.65099999999991,202.4299999999999,132.77899999999997,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa87_p521_hqc256_simple_loss1.3_delay62.51ms_20260826_135723.pcap,576.1529999999999,739.0490000000001,162.89600000000016,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_ed25519_p256_hqc128_simple_loss1.3_delay62.51ms_20260826_134524.pcap,74.3609999999999,208.35799999999983,133.99699999999993,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa65_hqc192_simple_loss1.3_delay62.51ms_20260826_135453.pcap,231.2130000000001,356.83599999999996,125.62299999999982,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa65_P-384_simple_loss1.3_delay62.51ms_20260826_135311.pcap,191.39100000000008,317.429,126.03799999999987,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa87_hqc256_simple_loss1.3_delay62.51ms_20260826_135702.pcap,569.8740000000001,755.4839999999999,185.60999999999984,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_secp384r1_mlkem768_simple_loss1.3_delay62.51ms_20260826_134727.pcap,64.0219999999998,191.31900000000002,127.29700000000021,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa44_x25519_simple_loss1.3_delay62.51ms_20260826_135051.pcap,189.39299999999992,315.50200000000007,126.10900000000014,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa44_x25519_hqc128_simple_loss1.3_delay62.51ms_20260826_135251.pcap,208.96400000000003,334.5760000000001,125.61200000000005,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_secp384r1_hqc192_simple_loss1.3_delay62.51ms_20260826_134748.pcap,95.49499999999989,241.40299999999982,145.90799999999993,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa44_p256_hqc128_simple_loss1.3_delay62.51ms_20260826_135232.pcap,208.20499999999998,333.874,125.66900000000003,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_ed25519_P-256_simple_loss1.3_delay62.51ms_20260826_134323.pcap,63.78400000000006,190.20799999999994,126.42399999999986,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_secp384r1_P-384_simple_loss1.3_delay62.51ms_20260826_134606.pcap,64.99999999999994,193.22799999999995,128.228,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_secp384r1_x448_simple_loss1.3_delay62.51ms_20260826_134626.pcap,64.29300000000005,191.755,127.46199999999996,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_secp521r1_hqc256_simple_loss1.3_delay62.51ms_20260826_134949.pcap,565.507,727.0559999999999,161.54899999999995,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_secp521r1_p521_mlkem1024_simple_loss1.3_delay62.51ms_20260826_134908.pcap,69.71300000000014,199.20500000000007,129.49199999999993,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_secp384r1_p384_hqc192_simple_loss1.3_delay62.51ms_20260826_134808.pcap,94.64800000000007,242.429,147.78099999999995,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_ed25519_mlkem512_simple_loss1.3_delay62.51ms_20260826_134444.pcap,63.827999999999996,190.05799999999994,126.22999999999995,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_secp384r1_x448_hqc192_simple_loss1.3_delay62.51ms_20260826_134828.pcap,84.01100000000005,231.1130000000001,147.10200000000006,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa65_x448_hqc192_simple_loss1.3_delay62.51ms_20260826_135538.pcap,235.88599999999994,361.48500000000007,125.59900000000013,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa44_x25519_mlkem512_simple_loss1.3_delay62.51ms_20260826_135131.pcap,192.19200000000004,317.792,125.59999999999994,,
quic,simple_loss1.3_delay62.51ms,capture_quic_single_mldsa44_hqc128_simple_loss1.3_delay62.51ms_20260826_135211.pcap,202.29799999999997,327.7659999999999,125.46799999999992,,
