protocol,auth_mode,network,level,sig,kem,inter_block_var,intra_block_var,inter_over_intra_ratio,mean_lag1_autocorr,max_abs_lag1_autocorr
tls,single,none,L1,ed25519,P-256,0.0637321301333333,0.04817902400000001,1.3228190370426203,-0.0971695017928426,0.1678813232955202
tls,single,none,L1,ed25519,x25519,0.043129203199999966,0.030508159999999993,1.413694014978287,-0.0939195274598248,0.18620526120785477
tls,single,none,L1,ed25519,p256_hqc128,3.7776160314666685,0.6670245663999999,5.663383661946441,0.3963697866277076,0.5264823115395241
tls,single,none,L1,ed25519,x25519_hqc128,2.439235278400001,0.7352346496,3.317628296934934,0.3428715175555251,0.5782894334696281
tls,single,none,L1,ed25519,p256_mlkem512,0.5616923194666663,0.34260691200000004,1.639465812839953,0.2954749392297068,0.5395413085615922
tls,single,none,L1,ed25519,x25519_mlkem512,0.04671600000000003,0.059901145600000004,0.779884917593296,0.02280900109751382,0.21417748814247736
tls,single,none,L1,ed25519,hqc128,2.0158611215999995,0.7603347488000001,2.651281063744011,0.310690144852134,0.5412864362808748
tls,single,none,L1,ed25519,mlkem512,0.033985053866666656,0.0393429952,0.8638146052150767,0.02973167142418437,0.3252106125545843
tls,single,none,L1,mldsa44,P-256,0.009468369066666657,0.03844855359999999,0.2462607349335154,0.05216374798462969,0.4445395346861014
tls,single,none,L1,mldsa44,x25519,0.003252778666666668,0.04611682240000001,0.07053345172946407,0.06071461563839653,0.2135115927519873
tls,single,none,L1,mldsa44,p256_hqc128,4.467478461866667,1.4399855392,3.102446753978255,0.30444106445122676,0.49705433403869426
tls,single,none,L1,mldsa44,x25519_hqc128,0.6868138453333322,0.8164014624000001,0.8412697391725448,0.4709903219710752,0.6260838354326904
tls,single,none,L1,mldsa44,p256_mlkem512,0.5135904527999996,0.45479088,1.1292892522383025,0.34606566907767283,0.5637262504809907
tls,single,none,L1,mldsa44,x25519_mlkem512,0.08699393066666675,0.07561863360000001,1.1504298150484795,0.09016231557147777,0.463631357256972
tls,single,none,L1,mldsa44,hqc128,10.434535671466666,1.5392872768,6.778809796413608,0.5634928760822695,0.6520227475486209
tls,single,none,L1,mldsa44,mlkem512,0.026906284800000006,0.05101740800000001,0.5273941945463008,0.008434620879129731,0.4847964684453293
tls,single,none,L3,secp384r1,P-384,0.3821837754666669,0.1769473184,2.159873226237414,0.2271472185098811,0.4192486714588481
tls,single,none,L3,secp384r1,x448,0.01784024479999998,0.085467568,0.20873701238345735,0.2715876168763998,0.5011668056147613
tls,single,none,L3,secp384r1,p384_hqc192,24.65994418506665,9.760984451199999,2.526378800043575,0.35813660009200604,0.6221382947961789
tls,single,none,L3,secp384r1,x448_hqc192,21.71477611519999,1.6135015136000006,13.458169039302957,0.18119867078421686,0.42292759556189996
tls,single,none,L3,secp384r1,p384_mlkem768,0.8734553103999996,0.46355206720000003,1.8842658078863583,0.17683559713878008,0.42270846189279954
tls,single,none,L3,secp384r1,x448_mlkem768,0.2696649872,0.162766224,1.6567625676442552,0.3316442252302102,0.38445552352074647
tls,single,none,L3,secp384r1,hqc192,14.545389556799993,1.3185514719999998,11.031339970928336,0.17926484809940843,0.29595705928067684
tls,single,none,L3,secp384r1,mlkem768,0.02618648479999999,0.058175584,0.45012843876221315,0.1202288765915171,0.29127795360375985
tls,single,none,L3,mldsa65,P-384,0.057477651199999986,0.06013776,0.9557664136475983,0.08006492117038824,0.1230643045507097
tls,single,none,L3,mldsa65,x448,0.13470483359999996,0.0896983648,1.5017535035376695,0.008357360399424398,0.10369826992235448
tls,single,none,L3,mldsa65,p384_hqc192,34.33008429653336,4.844890937600002,7.085832217626625,0.25353704024280854,0.3403273990578182
tls,single,none,L3,mldsa65,x448_hqc192,15.43873197386667,1.9722027839999998,7.828166605948098,0.27137091248789663,0.38788551328557086
tls,single,none,L3,mldsa65,p384_mlkem768,0.5505680768000003,0.5185509088,1.0617435384967169,0.10977195481573625,0.1389537255147154
