protocol,auth_mode,network,level,sig,kem,n_attempts,n_success,success_rate,success_rate_ci95_low,success_rate_ci95_high,conditional_mean_ms,rmst_at_deadline_ms,deadline_ms,rmst_minus_conditional_mean
tls,single,none,L1,ed25519,P-256,500,500,1.0,0.9926,1.0,1.915,1.915,5000.0,0.0
tls,single,none,L1,ed25519,x25519,500,500,1.0,0.9926,1.0,1.766,1.766,5000.0,0.0
tls,single,none,L1,ed25519,p256_hqc128,500,500,1.0,0.9926,1.0,22.993,22.993,5000.0,0.0
tls,single,none,L1,ed25519,x25519_hqc128,500,500,1.0,0.9926,1.0,17.421,17.421,5000.0,0.0
tls,single,none,L1,ed25519,p256_mlkem512,500,500,1.0,0.9926,1.0,7.705,7.705,5000.0,0.0
tls,single,none,L1,ed25519,x25519_mlkem512,500,500,1.0,0.9926,1.0,2.124,2.124,5000.0,0.0
tls,single,none,L1,ed25519,hqc128,500,500,1.0,0.9926,1.0,17.204,17.204,5000.0,0.0
tls,single,none,L1,ed25519,mlkem512,500,500,1.0,0.9926,1.0,1.825,1.825,5000.0,0.0
tls,single,none,L1,mldsa44,P-256,500,500,1.0,0.9926,1.0,1.697,1.697,5000.0,0.0
tls,single,none,L1,mldsa44,x25519,500,500,1.0,0.9926,1.0,1.545,1.545,5000.0,0.0
tls,single,none,L1,mldsa44,p256_hqc128,500,500,1.0,0.9926,1.0,22.65,22.65,5000.0,0.0
tls,single,none,L1,mldsa44,x25519_hqc128,500,500,1.0,0.9926,1.0,17.093,17.093,5000.0,0.0
tls,single,none,L1,mldsa44,p256_mlkem512,500,500,1.0,0.9926,1.0,7.493,7.493,5000.0,0.0
tls,single,none,L1,mldsa44,x25519_mlkem512,500,500,1.0,0.9926,1.0,2.064,2.064,5000.0,0.0
tls,single,none,L1,mldsa44,hqc128,500,500,1.0,0.9926,1.0,18.233,18.233,5000.0,0.0
tls,single,none,L1,mldsa44,mlkem512,500,500,1.0,0.9926,1.0,1.62,1.62,5000.0,0.0
tls,single,none,L3,secp384r1,P-384,500,500,1.0,0.9926,1.0,4.433,4.433,5000.0,0.0
tls,single,none,L3,secp384r1,x448,500,500,1.0,0.9926,1.0,3.67,3.67,5000.0,0.0
tls,single,none,L3,secp384r1,p384_hqc192,500,500,1.0,0.9926,1.0,53.95,53.95,5000.0,0.0
tls,single,none,L3,secp384r1,x448_hqc192,500,500,1.0,0.9926,1.0,48.924,48.924,5000.0,0.0
tls,single,none,L3,secp384r1,p384_mlkem768,500,500,1.0,0.9926,1.0,10.437,10.437,5000.0,0.0
tls,single,none,L3,secp384r1,x448_mlkem768,500,500,1.0,0.9926,1.0,4.749,4.749,5000.0,0.0
tls,single,none,L3,secp384r1,hqc192,500,500,1.0,0.9926,1.0,47.251,47.251,5000.0,0.0
tls,single,none,L3,secp384r1,mlkem768,500,500,1.0,0.9926,1.0,3.037,3.037,5000.0,0.0
tls,single,none,L3,mldsa65,P-384,500,500,1.0,0.9926,1.0,3.0,3.0,5000.0,0.0
tls,single,none,L3,mldsa65,x448,500,500,1.0,0.9926,1.0,2.608,2.608,5000.0,0.0
tls,single,none,L3,mldsa65,p384_hqc192,500,500,1.0,0.9926,1.0,54.161,54.161,5000.0,0.0
tls,single,none,L3,mldsa65,x448_hqc192,500,500,1.0,0.9926,1.0,48.244,48.244,5000.0,0.0
tls,single,none,L3,mldsa65,p384_mlkem768,500,500,1.0,0.9926,1.0,9.387,9.387,5000.0,0.0
tls,single,none,L3,mldsa65,x448_mlkem768,500,500,1.0,0.9926,1.0,3.337,3.337,5000.0,0.0
tls,single,none,L3,mldsa65,hqc192,500,500,1.0,0.9926,1.0,46.968,46.968,5000.0,0.0
tls,single,none,L3,mldsa65,mlkem768,500,500,1.0,0.9926,1.0,1.73,1.73,5000.0,0.0
tls,single,none,L5,secp521r1,P-521,500,500,1.0,0.9926,1.0,4.588,4.588,5000.0,0.0
tls,single,none,L5,secp521r1,p521_hqc256,500,500,1.0,0.9926,1.0,90.369,90.369,5000.0,0.0
tls,single,none,L5,secp521r1,p521_mlkem1024,500,500,1.0,0.9926,1.0,10.661,10.661,5000.0,0.0
tls,single,none,L5,secp521r1,hqc256,500,500,1.0,0.9926,1.0,82.362,82.362,5000.0,0.0
tls,single,none,L5,secp521r1,mlkem1024,500,500,1.0,0.9926,1.0,3.411,3.411,5000.0,0.0
tls,single,none,L5,mldsa87,P-521,500,500,1.0,0.9926,1.0,3.039,3.039,5000.0,0.0
tls,single,none,L5,mldsa87,p521_hqc256,500,500,1.0,0.9926,1.0,89.218,89.218,5000.0,0.0
tls,single,none,L5,mldsa87,p521_mlkem1024,500,500,1.0,0.9926,1.0,9.653,9.653,5000.0,0.0
tls,single,none,L5,mldsa87,hqc256,500,500,1.0,0.9926,1.0,83.794,83.794,5000.0,0.0
tls,single,none,L5,mldsa87,mlkem1024,500,500,1.0,0.9926,1.0,1.842,1.842,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,ed25519,P-256,500,500,1.0,0.9926,1.0,275.537,275.537,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,ed25519,x25519,500,500,1.0,0.9926,1.0,266.141,266.141,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,ed25519,p256_hqc128,500,500,1.0,0.9926,1.0,331.83,331.83,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,ed25519,x25519_hqc128,500,500,1.0,0.9926,1.0,329.08,329.08,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,ed25519,p256_mlkem512,500,500,1.0,0.9926,1.0,282.48,282.48,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,ed25519,x25519_mlkem512,500,500,1.0,0.9926,1.0,284.8,284.8,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,ed25519,hqc128,500,500,1.0,0.9926,1.0,332.276,332.276,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,ed25519,mlkem512,500,500,1.0,0.9926,1.0,273.871,273.871,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,mldsa44,P-256,500,500,1.0,0.9926,1.0,278.343,278.343,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,mldsa44,x25519,500,500,1.0,0.9926,1.0,288.326,288.326,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,mldsa44,p256_hqc128,500,500,1.0,0.9926,1.0,345.129,345.129,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,mldsa44,x25519_hqc128,500,500,1.0,0.9926,1.0,332.473,332.473,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,mldsa44,p256_mlkem512,500,500,1.0,0.9926,1.0,302.081,302.081,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,mldsa44,x25519_mlkem512,500,500,1.0,0.9926,1.0,290.754,290.754,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,mldsa44,hqc128,500,500,1.0,0.9926,1.0,335.841,335.841,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L1,mldsa44,mlkem512,500,500,1.0,0.9926,1.0,276.477,276.477,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,secp384r1,P-384,500,500,1.0,0.9926,1.0,276.516,276.516,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,secp384r1,x448,500,500,1.0,0.9926,1.0,289.05,289.05,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,secp384r1,p384_hqc192,500,500,1.0,0.9926,1.0,374.628,374.628,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,secp384r1,x448_hqc192,500,500,1.0,0.9926,1.0,385.517,385.517,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,secp384r1,p384_mlkem768,500,500,1.0,0.9926,1.0,304.86,304.86,5000.0,0.0
