protocol,auth_mode,network,level,sig,kem,n_attempts,n_success,success_rate,success_rate_ci95_low,success_rate_ci95_high,conditional_mean_ms,rmst_at_deadline_ms,deadline_ms,rmst_minus_conditional_mean
tls,single,simple_loss1.3_delay62.51ms,L3,secp384r1,x448_mlkem768,500,500,1.0,0.9926,1.0,291.558,291.558,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,secp384r1,hqc192,500,500,1.0,0.9926,1.0,373.779,373.779,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,secp384r1,mlkem768,500,500,1.0,0.9926,1.0,278.182,278.182,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,mldsa65,P-384,500,500,1.0,0.9926,1.0,291.576,291.576,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,mldsa65,x448,500,500,1.0,0.9926,1.0,287.04,287.04,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,mldsa65,p384_hqc192,500,500,1.0,0.9926,1.0,480.232,480.232,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,mldsa65,x448_hqc192,500,500,1.0,0.9926,1.0,477.496,477.496,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,mldsa65,p384_mlkem768,500,500,1.0,0.9926,1.0,301.198,301.198,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,mldsa65,x448_mlkem768,500,500,1.0,0.9926,1.0,297.43,297.43,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,mldsa65,hqc192,500,500,1.0,0.9926,1.0,460.246,460.246,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L3,mldsa65,mlkem768,500,500,1.0,0.9926,1.0,289.196,289.196,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L5,secp521r1,P-521,500,500,1.0,0.9926,1.0,279.073,279.073,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L5,secp521r1,p521_hqc256,500,500,1.0,0.9926,1.0,534.741,534.741,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L5,secp521r1,p521_mlkem1024,500,500,1.0,0.9926,1.0,303.295,303.295,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L5,secp521r1,hqc256,500,500,1.0,0.9926,1.0,532.031,532.031,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L5,secp521r1,mlkem1024,500,500,1.0,0.9926,1.0,279.583,279.583,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L5,mldsa87,P-521,500,500,1.0,0.9926,1.0,309.321,309.321,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L5,mldsa87,p521_hqc256,500,500,1.0,0.9926,1.0,550.219,550.219,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L5,mldsa87,p521_mlkem1024,500,500,1.0,0.9926,1.0,408.878,408.878,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L5,mldsa87,hqc256,500,500,1.0,0.9926,1.0,543.688,543.688,5000.0,0.0
tls,single,simple_loss1.3_delay62.51ms,L5,mldsa87,mlkem1024,500,500,1.0,0.9926,1.0,410.966,410.966,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,ed25519,P-256,500,500,1.0,0.9926,1.0,367.269,367.269,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,ed25519,x25519,500,500,1.0,0.9926,1.0,372.829,372.829,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,ed25519,p256_hqc128,500,500,1.0,0.9926,1.0,451.821,451.821,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,ed25519,x25519_hqc128,500,500,1.0,0.9926,1.0,432.465,432.465,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,ed25519,p256_mlkem512,500,500,1.0,0.9926,1.0,386.171,386.171,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,ed25519,x25519_mlkem512,500,500,1.0,0.9926,1.0,372.967,372.967,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,ed25519,hqc128,500,500,1.0,0.9926,1.0,420.488,420.488,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,ed25519,mlkem512,500,500,1.0,0.9926,1.0,371.095,371.095,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,mldsa44,P-256,500,500,1.0,0.9926,1.0,381.032,381.032,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,mldsa44,x25519,500,500,1.0,0.9926,1.0,377.662,377.662,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,mldsa44,p256_hqc128,500,500,1.0,0.9926,1.0,423.446,423.446,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,mldsa44,x25519_hqc128,500,500,1.0,0.9926,1.0,432.465,432.465,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,mldsa44,p256_mlkem512,500,500,1.0,0.9926,1.0,395.857,395.857,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,mldsa44,x25519_mlkem512,500,500,1.0,0.9926,1.0,375.652,375.652,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,mldsa44,hqc128,500,500,1.0,0.9926,1.0,424.803,424.803,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L1,mldsa44,mlkem512,500,500,1.0,0.9926,1.0,376.201,376.201,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,secp384r1,P-384,500,500,1.0,0.9926,1.0,372.322,372.322,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,secp384r1,x448,500,500,1.0,0.9926,1.0,371.037,371.037,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,secp384r1,p384_hqc192,500,500,1.0,0.9926,1.0,488.16,488.16,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,secp384r1,x448_hqc192,500,500,1.0,0.9926,1.0,504.418,504.418,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,secp384r1,p384_mlkem768,500,500,1.0,0.9926,1.0,407.471,407.471,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,secp384r1,x448_mlkem768,500,500,1.0,0.9926,1.0,369.825,369.825,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,secp384r1,hqc192,500,500,1.0,0.9926,1.0,496.189,496.189,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,secp384r1,mlkem768,500,500,1.0,0.9926,1.0,363.424,363.424,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,mldsa65,P-384,500,500,1.0,0.9926,1.0,391.066,391.066,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,mldsa65,x448,500,500,1.0,0.9926,1.0,380.315,380.315,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,mldsa65,p384_hqc192,500,500,1.0,0.9926,1.0,630.878,630.878,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,mldsa65,x448_hqc192,500,500,1.0,0.9926,1.0,609.02,609.02,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,mldsa65,p384_mlkem768,500,500,1.0,0.9926,1.0,412.899,412.899,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,mldsa65,x448_mlkem768,500,500,1.0,0.9926,1.0,390.51,390.51,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,mldsa65,hqc192,500,500,1.0,0.9926,1.0,608.893,608.893,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L3,mldsa65,mlkem768,500,500,1.0,0.9926,1.0,392.205,392.205,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L5,secp521r1,P-521,500,500,1.0,0.9926,1.0,374.412,374.412,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L5,secp521r1,p521_hqc256,500,500,1.0,0.9926,1.0,705.015,705.015,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L5,secp521r1,p521_mlkem1024,500,500,1.0,0.9926,1.0,392.369,392.369,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L5,secp521r1,hqc256,500,500,1.0,0.9926,1.0,702.635,702.635,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L5,secp521r1,mlkem1024,500,500,1.0,0.9926,1.0,379.89,379.89,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L5,mldsa87,P-521,500,500,1.0,0.9926,1.0,400.784,400.784,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L5,mldsa87,p521_hqc256,500,500,1.0,0.9926,1.0,734.742,734.742,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L5,mldsa87,p521_mlkem1024,500,500,1.0,0.9926,1.0,560.419,560.419,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L5,mldsa87,hqc256,500,500,1.0,0.9926,1.0,708.326,708.326,5000.0,0.0
tls,single,simple_loss1.5833_delay83.52ms,L5,mldsa87,mlkem1024,500,500,1.0,0.9926,1.0,549.662,549.662,5000.0,0.0
tls,single,stable,L1,ed25519,P-256,500,500,1.0,0.9926,1.0,292.722,292.722,5000.0,0.0
tls,single,stable,L1,ed25519,x25519,500,500,1.0,0.9926,1.0,285.082,285.082,5000.0,0.0
tls,single,stable,L1,ed25519,p256_hqc128,500,500,1.0,0.9926,1.0,353.049,350.162,5000.0,-2.887
tls,single,stable,L1,ed25519,x25519_hqc128,500,500,1.0,0.9926,1.0,423.694,374.75,5000.0,-48.944
tls,single,stable,L1,ed25519,p256_mlkem512,500,500,1.0,0.9926,1.0,298.464,278.139,5000.0,-20.325
tls,single,stable,L1,ed25519,x25519_mlkem512,500,500,1.0,0.9926,1.0,305.793,305.793,5000.0,0.0
tls,single,stable,L1,ed25519,hqc128,500,500,1.0,0.9926,1.0,367.81,342.247,5000.0,-25.563
tls,single,stable,L1,ed25519,mlkem512,500,500,1.0,0.9926,1.0,277.25,277.25,5000.0,0.0
tls,single,stable,L1,mldsa44,P-256,500,500,1.0,0.9926,1.0,322.245,319.53,5000.0,-2.715
tls,single,stable,L1,mldsa44,x25519,500,500,1.0,0.9926,1.0,328.917,319.3,5000.0,-9.617
tls,single,stable,L1,mldsa44,p256_hqc128,500,500,1.0,0.9926,1.0,472.921,467.28,5000.0,-5.641
tls,single,stable,L1,mldsa44,x25519_hqc128,500,500,1.0,0.9926,1.0,356.025,356.025,5000.0,0.0
tls,single,stable,L1,mldsa44,p256_mlkem512,500,500,1.0,0.9926,1.0,330.715,330.715,5000.0,0.0
tls,single,stable,L1,mldsa44,x25519_mlkem512,500,500,1.0,0.9926,1.0,306.423,303.683,5000.0,-2.739
tls,single,stable,L1,mldsa44,hqc128,500,500,1.0,0.9926,1.0,351.484,348.675,5000.0,-2.809
tls,single,stable,L1,mldsa44,mlkem512,500,500,1.0,0.9926,1.0,384.287,336.753,5000.0,-47.534
tls,single,stable,L3,secp384r1,P-384,500,500,1.0,0.9926,1.0,310.077,306.894,5000.0,-3.183
tls,single,stable,L3,secp384r1,x448,500,500,1.0,0.9926,1.0,268.95,265.792,5000.0,-3.158
tls,single,stable,L3,secp384r1,p384_hqc192,500,500,1.0,0.9926,1.0,550.895,504.399,5000.0,-46.496
tls,single,stable,L3,secp384r1,x448_hqc192,500,500,1.0,0.9926,1.0,556.047,451.5,5000.0,-104.546
tls,single,stable,L3,secp384r1,p384_mlkem768,500,500,1.0,0.9926,1.0,313.852,313.852,5000.0,0.0
tls,single,stable,L3,secp384r1,x448_mlkem768,500,500,1.0,0.9926,1.0,270.784,267.343,5000.0,-3.441
tls,single,stable,L3,secp384r1,hqc192,500,500,1.0,0.9926,1.0,362.034,357.873,5000.0,-4.161
tls,single,stable,L3,secp384r1,mlkem768,500,500,1.0,0.9926,1.0,269.539,269.539,5000.0,0.0
tls,single,stable,L3,mldsa65,P-384,500,500,1.0,0.9926,1.0,382.374,371.032,5000.0,-11.342
tls,single,stable,L3,mldsa65,x448,500,500,1.0,0.9926,1.0,362.892,362.892,5000.0,0.0
tls,single,stable,L3,mldsa65,p384_hqc192,500,500,1.0,0.9926,1.0,517.091,472.181,5000.0,-44.911
tls,single,stable,L3,mldsa65,x448_hqc192,500,500,1.0,0.9926,1.0,429.107,426.243,5000.0,-2.864
tls,single,stable,L3,mldsa65,p384_mlkem768,500,500,1.0,0.9926,1.0,288.308,288.308,5000.0,0.0
tls,single,stable,L3,mldsa65,x448_mlkem768,500,500,1.0,0.9926,1.0,373.48,356.054,5000.0,-17.426
tls,single,stable,L3,mldsa65,hqc192,500,500,1.0,0.9926,1.0,448.893,445.177,5000.0,-3.716
tls,single,stable,L3,mldsa65,mlkem768,500,500,1.0,0.9926,1.0,395.202,386.547,5000.0,-8.654
tls,single,stable,L5,secp521r1,P-521,500,500,1.0,0.9926,1.0,294.935,291.433,5000.0,-3.502
tls,single,stable,L5,secp521r1,p521_hqc256,500,500,1.0,0.9926,1.0,446.586,441.303,5000.0,-5.283
tls,single,stable,L5,secp521r1,p521_mlkem1024,500,500,1.0,0.9926,1.0,255.255,255.255,5000.0,0.0
tls,single,stable,L5,secp521r1,hqc256,500,500,1.0,0.9926,1.0,709.147,567.137,5000.0,-142.011
tls,single,stable,L5,secp521r1,mlkem1024,500,500,1.0,0.9926,1.0,283.961,279.54,5000.0,-4.421
tls,single,stable,L5,mldsa87,P-521,500,500,1.0,0.9926,1.0,406.859,389.986,5000.0,-16.874
tls,single,stable,L5,mldsa87,p521_hqc256,500,500,1.0,0.9926,1.0,577.818,558.639,5000.0,-19.178
tls,single,stable,L5,mldsa87,p521_mlkem1024,500,500,1.0,0.9926,1.0,443.998,391.612,5000.0,-52.386
tls,single,stable,L5,mldsa87,hqc256,500,500,1.0,0.9926,1.0,594.928,515.88,5000.0,-79.048
tls,single,stable,L5,mldsa87,mlkem1024,500,500,1.0,0.9926,1.0,378.614,373.783,5000.0,-4.831
tls,single,unstable,L1,ed25519,P-256,500,500,1.0,0.9926,1.0,1434.175,875.836,5000.0,-558.339
tls,single,unstable,L1,ed25519,x25519,500,500,1.0,0.9926,1.0,1251.877,964.798,5000.0,-287.079
tls,single,unstable,L1,ed25519,p256_hqc128,500,499,0.998,0.9889,0.9999,2276.591,1354.856,5000.0,-921.735
tls,single,unstable,L1,ed25519,x25519_hqc128,500,499,0.998,0.9889,0.9999,2938.892,1338.864,5000.0,-1600.027
tls,single,unstable,L1,ed25519,p256_mlkem512,500,497,0.994,0.9826,0.9988,1632.656,1013.084,5000.0,-619.571
tls,single,unstable,L1,ed25519,x25519_mlkem512,500,500,1.0,0.9926,1.0,1152.857,903.628,5000.0,-249.229
tls,single,unstable,L1,ed25519,hqc128,500,498,0.996,0.9856,0.9995,2816.424,1372.816,5000.0,-1443.608
tls,single,unstable,L1,ed25519,mlkem512,500,499,0.998,0.9889,0.9999,1175.313,864.694,5000.0,-310.619
tls,single,unstable,L1,mldsa44,P-256,500,498,0.996,0.9856,0.9995,2469.791,1455.621,5000.0,-1014.17
tls,single,unstable,L1,mldsa44,x25519,500,500,1.0,0.9926,1.0,2802.074,1323.581,5000.0,-1478.493
tls,single,unstable,L1,mldsa44,p256_hqc128,500,500,1.0,0.9926,1.0,4499.221,1745.472,5000.0,-2753.749
tls,single,unstable,L1,mldsa44,x25519_hqc128,500,499,0.998,0.9889,0.9999,5244.554,1738.706,5000.0,-3505.848
tls,single,unstable,L1,mldsa44,p256_mlkem512,500,497,0.994,0.9826,0.9988,3014.573,1473.469,5000.0,-1541.104
tls,single,unstable,L1,mldsa44,x25519_mlkem512,500,498,0.996,0.9856,0.9995,2505.464,1342.801,5000.0,-1162.663
tls,single,unstable,L1,mldsa44,hqc128,500,499,0.998,0.9889,0.9999,3617.063,1771.128,5000.0,-1845.936
tls,single,unstable,L1,mldsa44,mlkem512,500,498,0.996,0.9856,0.9995,3171.0,1320.679,5000.0,-1850.32
tls,single,unstable,L3,secp384r1,P-384,500,497,0.994,0.9826,0.9988,1159.395,888.535,5000.0,-270.86
tls,single,unstable,L3,secp384r1,x448,500,500,1.0,0.9926,1.0,1476.609,877.952,5000.0,-598.657
tls,single,unstable,L3,secp384r1,p384_hqc192,500,494,0.988,0.9741,0.9956,3737.721,1796.436,5000.0,-1941.285
tls,single,unstable,L3,secp384r1,x448_hqc192,500,499,0.998,0.9889,0.9999,3175.736,1610.435,5000.0,-1565.301
tls,single,unstable,L3,secp384r1,p384_mlkem768,500,500,1.0,0.9926,1.0,1957.043,1076.834,5000.0,-880.209
tls,single,unstable,L3,secp384r1,x448_mlkem768,500,500,1.0,0.9926,1.0,2114.894,1067.778,5000.0,-1047.115
tls,single,unstable,L3,secp384r1,hqc192,500,498,0.996,0.9856,0.9995,3502.631,1680.679,5000.0,-1821.953
tls,single,unstable,L3,secp384r1,mlkem768,500,498,0.996,0.9856,0.9995,1561.271,1048.864,5000.0,-512.407
tls,single,unstable,L3,mldsa65,P-384,500,498,0.996,0.9856,0.9995,9255.454,1556.808,5000.0,-7698.647
tls,single,unstable,L3,mldsa65,x448,500,498,0.996,0.9856,0.9995,2586.181,1530.061,5000.0,-1056.12
tls,single,unstable,L3,mldsa65,p384_hqc192,500,496,0.992,0.9796,0.9978,6319.634,2266.266,5000.0,-4053.368
tls,single,unstable,L3,mldsa65,x448_hqc192,500,497,0.994,0.9826,0.9988,5262.529,2175.434,5000.0,-3087.095
tls,single,unstable,L3,mldsa65,p384_mlkem768,500,499,0.998,0.9889,0.9999,3647.981,1707.669,5000.0,-1940.311
tls,single,unstable,L3,mldsa65,x448_mlkem768,500,500,1.0,0.9926,1.0,3665.98,1625.988,5000.0,-2039.992
tls,single,unstable,L3,mldsa65,hqc192,500,495,0.99,0.9768,0.9967,4786.747,2080.614,5000.0,-2706.133
tls,single,unstable,L3,mldsa65,mlkem768,500,500,1.0,0.9926,1.0,4745.582,1615.234,5000.0,-3130.348
tls,single,unstable,L5,secp521r1,P-521,500,499,0.998,0.9889,0.9999,1111.261,914.437,5000.0,-196.824
tls,single,unstable,L5,secp521r1,p521_hqc256,500,500,1.0,0.9926,1.0,4611.059,2045.915,5000.0,-2565.144
tls,single,unstable,L5,secp521r1,p521_mlkem1024,500,499,0.998,0.9889,0.9999,1727.63,1151.433,5000.0,-576.197
tls,single,unstable,L5,secp521r1,hqc256,500,496,0.992,0.9796,0.9978,5541.366,2102.69,5000.0,-3438.676
tls,single,unstable,L5,secp521r1,mlkem1024,500,499,0.998,0.9889,0.9999,2300.169,1072.834,5000.0,-1227.335
tls,single,unstable,L5,mldsa87,P-521,500,499,0.998,0.9889,0.9999,3563.268,1669.077,5000.0,-1894.191
tls,single,unstable,L5,mldsa87,p521_hqc256,500,495,0.99,0.9768,0.9967,7150.632,2584.057,5000.0,-4566.575
tls,single,unstable,L5,mldsa87,p521_mlkem1024,500,497,0.994,0.9826,0.9988,3461.567,1968.24,5000.0,-1493.327
tls,single,unstable,L5,mldsa87,hqc256,500,491,0.982,0.9661,0.9917,7713.212,2732.669,5000.0,-4980.543
tls,single,unstable,L5,mldsa87,mlkem1024,500,497,0.994,0.9826,0.9988,3964.394,2016.711,5000.0,-1947.683
tls,mutual,none,L1,ed25519,P-256,500,500,1.0,0.9926,1.0,6.03,6.03,5000.0,0.0
tls,mutual,none,L1,ed25519,x25519,500,500,1.0,0.9926,1.0,5.837,5.837,5000.0,0.0
tls,mutual,none,L1,ed25519,p256_hqc128,500,500,1.0,0.9926,1.0,26.096,26.096,5000.0,0.0
tls,mutual,none,L1,ed25519,x25519_hqc128,500,500,1.0,0.9926,1.0,21.037,21.037,5000.0,0.0
