security_level,kem,sig_classical,sig_pq,n_blocks_common,classical_mean_ms,pq_mean_ms,delta_ms,delta_ci95_low,delta_ci95_high,significant_paired_bootstrap,exact_permutation_p,exact_permutation_min_p
L1,P-256,ed25519,mldsa44,4,275.5371,278.3435,-2.8064,-10.3375,4.3402,non,0.75,0.125
L1,hqc128,ed25519,mldsa44,4,332.2758,335.8411,-3.5652,-33.4302,19.7667,non,0.875,0.125
L1,mlkem512,ed25519,mldsa44,4,273.8715,276.4767,-2.6052,-17.3933,12.9659,non,0.75,0.125
L1,p256_hqc128,ed25519,mldsa44,4,331.8301,345.1293,-13.2992,-24.2184,-2.38,oui,0.25,0.125
L1,p256_mlkem512,ed25519,mldsa44,4,282.4805,302.0808,-19.6003,-31.6355,-11.761,oui,0.125,0.125
L1,x25519,ed25519,mldsa44,4,266.1414,288.3261,-22.1847,-28.543,-17.1709,oui,0.125,0.125
L1,x25519_hqc128,ed25519,mldsa44,4,329.0796,332.473,-3.3934,-25.0976,18.3107,non,0.875,0.125
L1,x25519_mlkem512,ed25519,mldsa44,4,284.7995,290.7538,-5.9542,-28.4425,16.534,non,0.75,0.125
L3,P-384,secp384r1,mldsa65,4,276.5165,291.576,-15.0595,-35.1285,2.6789,non,0.375,0.125
L3,hqc192,secp384r1,mldsa65,4,373.7791,460.2459,-86.4667,-91.8524,-77.7236,oui,0.125,0.125
L3,mlkem768,secp384r1,mldsa65,4,278.1816,289.1965,-11.0149,-35.7365,2.5378,non,0.875,0.125
L3,p384_hqc192,secp384r1,mldsa65,4,374.6284,480.2318,-105.6034,-125.4002,-88.3159,oui,0.125,0.125
L3,p384_mlkem768,secp384r1,mldsa65,4,304.8604,301.1977,3.6628,-5.5472,12.8728,non,0.5,0.125
L3,x448,secp384r1,mldsa65,4,289.0495,287.0398,2.0097,-3.7907,5.3031,non,0.625,0.125
L3,x448_hqc192,secp384r1,mldsa65,4,385.5169,477.4958,-91.979,-111.2294,-74.2551,oui,0.125,0.125
L3,x448_mlkem768,secp384r1,mldsa65,4,291.5584,297.43,-5.8716,-15.6786,3.9354,non,0.375,0.125
L5,P-521,secp521r1,mldsa87,4,279.0734,309.321,-30.2476,-36.3001,-23.3731,oui,0.125,0.125
L5,hqc256,secp521r1,mldsa87,4,532.031,543.6877,-11.6567,-22.2016,-1.3597,oui,0.25,0.125
L5,mlkem1024,secp521r1,mldsa87,4,279.5828,410.9661,-131.3833,-137.7682,-124.9984,oui,0.125,0.125
L5,p521_hqc256,secp521r1,mldsa87,4,534.7415,550.2189,-15.4774,-34.7062,3.7513,non,0.5,0.125
L5,p521_mlkem1024,secp521r1,mldsa87,4,303.2948,408.8776,-105.5828,-115.9919,-95.1736,oui,0.125,0.125
