security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,141.28,155.856,-9.4
L1,ed25519,hqc128,pq_pur,191.629,155.856,23.0
L1,ed25519,mlkem512,pq_pur,141.974,155.856,-8.9
L1,ed25519,p256_hqc128,hybride,193.8,155.856,24.3
L1,ed25519,p256_mlkem512,hybride,156.162,155.856,0.2
L1,ed25519,x25519_hqc128,hybride,197.657,155.856,26.8
L1,ed25519,x25519_mlkem512,hybride,144.147,155.856,-7.5
L1,ed25519,x25519,classique,137.485,155.856,-11.8
L1,mldsa44,P-256,classique,169.855,155.856,9.0
L1,mldsa44,hqc128,pq_pur,196.15,155.856,25.9
L1,mldsa44,mlkem512,pq_pur,163.161,155.856,4.7
L1,mldsa44,p256_hqc128,hybride,202.552,155.856,30.0
L1,mldsa44,p256_mlkem512,hybride,186.706,155.856,19.8
L1,mldsa44,x25519_hqc128,hybride,206.672,155.856,32.6
L1,mldsa44,x25519_mlkem512,hybride,174.205,155.856,11.8
L1,mldsa44,x25519,classique,174.805,155.856,12.2
L3,mldsa65,P-384,classique,183.601,167.612,9.5
L3,mldsa65,hqc192,pq_pur,276.809,167.612,65.1
L3,mldsa65,mlkem768,pq_pur,177.507,167.612,5.9
L3,mldsa65,p384_hqc192,hybride,287.316,167.612,71.4
L3,mldsa65,p384_mlkem768,hybride,192.421,167.612,14.8
L3,mldsa65,x448_hqc192,hybride,287.924,167.612,71.8
L3,mldsa65,x448_mlkem768,hybride,183.009,167.612,9.2
L3,mldsa65,x448,classique,184.483,167.612,10.1
L5,mldsa87,P-521,classique,257.044,207.219,24.0
L5,mldsa87,hqc256,pq_pur,360.594,207.219,74.0
L5,mldsa87,mlkem1024,pq_pur,247.575,207.219,19.5
L5,mldsa87,p521_hqc256,hybride,366.55,207.219,76.9
L5,mldsa87,p521_mlkem1024,hybride,258.404,207.219,24.7
L3,secp384r1,P-384,classique,151.153,167.612,-9.8
L3,secp384r1,hqc192,pq_pur,219.84,167.612,31.2
L3,secp384r1,mlkem768,pq_pur,156.694,167.612,-6.5
L3,secp384r1,p384_hqc192,hybride,219.628,167.612,31.0
L3,secp384r1,p384_mlkem768,hybride,170.552,167.612,1.8
L3,secp384r1,x448_hqc192,hybride,217.804,167.612,29.9
L3,secp384r1,x448_mlkem768,hybride,160.329,167.612,-4.3
L3,secp384r1,x448,classique,151.21,167.612,-9.8
L5,secp521r1,P-521,classique,157.393,207.219,-24.0
L5,secp521r1,hqc256,pq_pur,327.63,207.219,58.1
L5,secp521r1,mlkem1024,pq_pur,159.412,207.219,-23.1
L5,secp521r1,p521_hqc256,hybride,329.742,207.219,59.1
L5,secp521r1,p521_mlkem1024,hybride,169.599,207.219,-18.2
