P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
7.07,5.2,22.4,9.93,3.52
5.92,4.23,12.88,5.86,3.19
5.1,3.74,12.67,6.2,3.61
6.81,3.97,12.54,8.21,4.64
5.24,3.85,12.63,6.7,3.41
5.57,4.2,12.07,6.58,3.01
5.13,5.98,18.96,6.03,3.44
5.82,3.73,12.1,6.48,4.22
6.4,3.81,12.61,5.82,3.18
5.25,4.51,12.06,6.57,3.0
5.16,3.87,12.05,6.11,2.98
5.2,3.76,13.32,8.05,3.12
6.46,3.97,12.3,5.9,2.99
6.87,3.79,11.88,6.86,3.42
7.12,3.88,13.64,5.6,3.08
7.32,5.47,12.52,6.66,3.53
5.54,4.97,12.21,6.73,4.38
7.49,3.63,12.86,8.02,3.1
6.66,5.1,15.65,6.02,3.63
5.08,5.25,12.07,7.12,2.99
5.38,4.0,13.05,5.51,3.16
5.0,3.99,12.02,5.91,2.96
7.47,5.31,14.71,8.06,3.48
4.99,3.73,14.81,5.8,3.29
7.25,4.52,12.6,7.1,2.94
6.62,5.09,11.96,5.55,3.0
6.54,4.47,18.44,5.64,2.95
5.27,3.88,14.86,5.53,3.09
5.08,4.02,14.41,5.78,3.02
7.17,4.04,12.53,5.51,2.99
5.1,3.98,14.39,6.08,3.07
6.34,5.01,14.4,5.82,2.94
5.1,3.76,11.83,5.91,3.33
6.36,3.99,14.21,5.75,3.0
5.11,3.82,14.81,5.7,2.95
5.05,4.2,12.02,5.69,3.21
6.94,3.69,18.85,6.03,4.24
7.42,3.69,11.92,5.51,4.5
6.3,3.75,12.49,6.06,2.97
5.1,3.99,12.67,8.01,3.06
5.13,3.71,12.1,5.72,3.16
5.05,4.18,12.11,5.82,2.99
5.83,3.81,15.89,5.65,4.19
5.01,3.73,14.35,5.65,3.36
5.07,3.84,14.35,5.55,3.08
5.1,5.3,12.15,6.57,3.11
5.12,3.65,12.28,8.13,2.96
5.08,4.23,12.03,6.95,3.0
5.1,4.26,12.62,6.2,3.09
5.01,4.48,12.16,6.08,3.04
5.03,4.11,18.34,6.56,2.96
5.11,3.88,12.58,6.7,2.94
5.07,3.96,12.27,6.53,2.87
5.07,3.67,12.02,5.51,3.96
5.07,4.03,11.99,5.56,4.26
7.18,4.93,11.99,7.52,3.33
5.56,3.99,18.6,8.12,4.16
5.25,4.42,18.36,6.05,3.02
5.19,3.88,14.55,5.92,3.33
5.18,4.51,14.14,7.5,3.05
6.58,3.93,15.52,5.61,2.98
5.52,4.48,14.16,7.44,3.0
5.54,4.28,12.86,8.04,3.5
5.47,3.76,14.13,6.55,4.18
7.35,3.69,12.62,5.88,3.75
5.09,3.78,18.62,6.65,2.98
5.5,4.55,12.02,5.59,4.34
5.1,3.78,12.03,7.2,3.35
6.27,4.51,14.24,5.62,2.93
5.04,4.5,14.56,5.62,3.18
5.46,4.91,12.02,7.06,3.08
5.08,3.76,14.51,5.74,3.33
5.46,3.69,12.68,5.99,3.35
7.17,5.27,11.94,5.59,3.07
5.76,3.84,13.87,5.67,3.49
5.04,5.74,11.86,5.68,2.89
