security_level,kem,sig_classical,sig_pq,n_blocks_common,classical_mean_ms,pq_mean_ms,delta_ms,delta_ci95_low,delta_ci95_high,significant_paired_bootstrap,exact_permutation_p,exact_permutation_min_p
L1,P-256,ed25519,mldsa44,4,267.8978,595.4451,-327.5473,-455.8098,-217.6424,oui,0.125,0.125
L1,hqc128,ed25519,mldsa44,4,390.9172,485.5353,-94.6181,-179.0437,-10.1924,oui,0.125,0.125
L1,mlkem512,ed25519,mldsa44,4,304.3211,458.3954,-154.0743,-238.1062,-70.0424,oui,0.125,0.125
L1,p256_hqc128,ed25519,mldsa44,4,345.0262,576.3185,-231.2923,-408.004,-129.885,oui,0.125,0.125
L1,p256_mlkem512,ed25519,mldsa44,4,279.6441,396.9117,-117.2676,-247.344,-10.322,oui,0.25,0.125
L1,x25519,ed25519,mldsa44,4,339.5793,406.1127,-66.5334,-93.4581,-25.8749,oui,0.125,0.125
L1,x25519_hqc128,ed25519,mldsa44,4,361.7972,540.9838,-179.1866,-256.0472,-102.326,oui,0.125,0.125
L1,x25519_mlkem512,ed25519,mldsa44,4,275.742,377.7703,-102.0283,-172.844,-31.2126,oui,0.125,0.125
L3,P-384,secp384r1,mldsa65,4,346.866,474.2594,-127.3935,-254.6809,11.3057,non,0.25,0.125
L3,hqc192,secp384r1,mldsa65,4,396.8796,534.0161,-137.1365,-174.4081,-98.6007,oui,0.125,0.125
L3,mlkem768,secp384r1,mldsa65,4,293.5658,489.5904,-196.0245,-271.717,-63.6617,oui,0.25,0.125
L3,p384_hqc192,secp384r1,mldsa65,4,436.2519,551.9835,-115.7316,-159.3782,-63.6407,oui,0.125,0.125
L3,p384_mlkem768,secp384r1,mldsa65,4,306.791,389.0322,-82.2412,-110.7907,-53.6917,oui,0.125,0.125
L3,x448,secp384r1,mldsa65,4,263.6923,432.4019,-168.7095,-197.5649,-144.7813,oui,0.125,0.125
L3,x448_hqc192,secp384r1,mldsa65,4,456.5003,656.7117,-200.2114,-481.9619,48.1336,non,0.25,0.125
L3,x448_mlkem768,secp384r1,mldsa65,4,314.6135,437.3602,-122.7467,-236.2355,-50.3819,oui,0.125,0.125
L5,P-521,secp521r1,mldsa87,4,301.1401,491.5859,-190.4458,-239.8444,-148.8768,oui,0.125,0.125
L5,hqc256,secp521r1,mldsa87,4,484.1384,691.3425,-207.204,-386.7682,-111.5078,oui,0.125,0.125
L5,mlkem1024,secp521r1,mldsa87,4,302.4228,431.6003,-129.1775,-234.7892,37.5385,non,0.25,0.125
L5,p521_hqc256,secp521r1,mldsa87,4,520.2408,651.0633,-130.8225,-274.5803,-21.5825,oui,0.125,0.125
L5,p521_mlkem1024,secp521r1,mldsa87,4,313.285,475.5458,-162.2608,-272.2709,-52.2507,oui,0.125,0.125
