protocol,auth_mode,sig_alg,kem,kem_class,security_level,sig_family,network_profile,n_total,n_success,n_failed,success_rate_pct,mean_ms,stdev_ms,ci95_low_ms,ci95_high_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
tls,single,ed25519,P-256,classique,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,269.675,25.854,267.408,271.941,267.76,268.75,269.972,263.54,668.29
tls,single,ed25519,hqc128,pq_pur,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,335.202,44.968,331.26,339.144,331.03,336.463,590.934,285.59,829.12
tls,single,ed25519,mlkem512,pq_pur,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,272.24,55.413,267.383,277.098,267.53,268.49,274.0,263.08,1293.76
tls,single,ed25519,p256_hqc128,hybride,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,359.888,88.998,352.087,367.689,353.085,362.188,612.562,293.06,1640.26
tls,single,ed25519,p256_mlkem512,hybride,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,292.037,53.283,287.367,296.708,289.37,291.632,296.669,271.16,1472.01
tls,single,ed25519,x25519_hqc128,hybride,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,331.904,14.687,330.616,333.191,332.02,336.091,339.619,285.91,594.6
tls,single,ed25519,x25519_mlkem512,hybride,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,271.889,50.816,267.435,276.343,268.685,269.632,271.164,263.49,1325.31
tls,single,ed25519,x25519,classique,L1,classique,simple_loss0.2_delay65.15ms,500,500,0,100.0,268.362,18.6,266.732,269.993,267.29,268.133,269.373,263.26,661.84
tls,single,mldsa44,P-256,classique,L1,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,272.142,65.065,266.439,277.845,267.07,267.53,398.29,263.19,1585.03
tls,single,mldsa44,hqc128,pq_pur,L1,pq,simple_loss0.2_delay65.15ms,500,500,0,100.0,1001.338,15158.802,-327.39,2330.066,320.04,324.361,373.419,284.47,339281.48
