security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,269.675,270.705,-0.4
L1,ed25519,hqc128,pq_pur,335.202,270.705,23.8
L1,ed25519,mlkem512,pq_pur,272.24,270.705,0.6
L1,ed25519,p256_hqc128,hybride,359.888,270.705,32.9
L1,ed25519,p256_mlkem512,hybride,292.037,270.705,7.9
L1,ed25519,x25519_hqc128,hybride,331.904,270.705,22.6
L1,ed25519,x25519_mlkem512,hybride,271.889,270.705,0.4
L1,ed25519,x25519,classique,268.362,270.705,-0.9
L1,mldsa44,P-256,classique,272.142,270.705,0.5
L1,mldsa44,hqc128,pq_pur,1001.338,270.705,269.9
L1,mldsa44,mlkem512,pq_pur,267.806,270.705,-1.1
L1,mldsa44,p256_hqc128,hybride,342.342,270.705,26.5
L1,mldsa44,p256_mlkem512,hybride,286.626,270.705,5.9
L1,mldsa44,x25519_hqc128,hybride,334.479,270.705,23.6
L1,mldsa44,x25519_mlkem512,hybride,275.308,270.705,1.7
L1,mldsa44,x25519,classique,272.641,270.705,0.7
L3,mldsa65,P-384,classique,277.038,276.586,0.2
L3,mldsa65,hqc192,pq_pur,491.774,276.586,77.8
L3,mldsa65,mlkem768,pq_pur,268.098,276.586,-3.1
L3,mldsa65,p384_hqc192,hybride,507.274,276.586,83.4
L3,mldsa65,p384_mlkem768,hybride,295.638,276.586,6.9
L3,mldsa65,x448_hqc192,hybride,495.302,276.586,79.1
L3,mldsa65,x448_mlkem768,hybride,277.123,276.586,0.2
L3,mldsa65,x448,classique,273.084,276.586,-1.3
L5,mldsa87,P-521,classique,285.399,284.616,0.3
L5,mldsa87,hqc256,pq_pur,679.169,284.616,138.6
L5,mldsa87,mlkem1024,pq_pur,401.583,284.616,41.1
L5,mldsa87,p521_hqc256,hybride,682.929,284.616,139.9
L5,mldsa87,p521_mlkem1024,hybride,414.76,284.616,45.7
L3,secp384r1,P-384,classique,280.197,276.586,1.3
L3,secp384r1,hqc192,pq_pur,452.985,276.586,63.8
L3,secp384r1,mlkem768,pq_pur,331.091,276.586,19.7
L3,secp384r1,p384_hqc192,hybride,474.23,276.586,71.5
L3,secp384r1,p384_mlkem768,hybride,304.271,276.586,10.0
L3,secp384r1,x448_hqc192,hybride,461.306,276.586,66.8
L3,secp384r1,x448_mlkem768,hybride,284.606,276.586,2.9
L3,secp384r1,x448,classique,276.024,276.586,-0.2
L5,secp521r1,P-521,classique,283.834,284.616,-0.3
L5,secp521r1,hqc256,pq_pur,686.896,284.616,141.3
L5,secp521r1,mlkem1024,pq_pur,276.226,284.616,-2.9
L5,secp521r1,p521_hqc256,hybride,680.829,284.616,139.2
L5,secp521r1,p521_mlkem1024,hybride,304.842,284.616,7.1
