run_id,handshake_type,duration_ms,success
278,full,72.01,1
279,full,72.06,1
280,full,72.17,1
281,full,72.26,1
282,full,72.04,1
283,full,72.22,1
284,full,72.18,1
285,full,72.05,1
286,full,72.11,1
287,full,72.13,1
288,full,1075.86,1
289,full,2074.92,1
290,full,72.07,1
291,full,72.18,1
292,full,71.97,1
293,full,72.09,1
294,full,72.05,1
295,full,72.06,1
296,full,72.22,1
297,full,72.06,1
298,full,72.19,1
299,full,72.22,1
300,full,72.03,1
301,full,72.06,1
302,full,72.41,1
303,full,72.10,1
304,full,72.13,1
305,full,72.27,1
306,full,72.24,1
307,full,71.88,1
308,full,72.07,1
309,full,72.02,1
310,full,72.27,1
311,full,72.25,1
312,full,72.05,1
313,full,72.47,1
314,full,72.05,1
315,full,72.02,1
316,full,72.51,1
317,full,71.93,1
318,full,71.98,1
319,full,72.09,1
320,full,72.02,1
321,full,72.30,1
322,full,71.84,1
323,full,2073.90,1
324,full,72.02,1
325,full,71.94,1
326,full,72.34,1
327,full,72.20,1
328,full,72.09,1
329,full,72.19,1
330,full,71.94,1
331,full,71.91,1
332,full,72.18,1
333,full,72.07,1
334,full,71.93,1
335,full,72.14,1
336,full,72.02,1
337,full,71.93,1
338,full,72.45,1
339,full,72.18,1
340,full,72.11,1
341,full,1075.72,1
342,full,72.14,1
343,full,72.00,1
344,full,72.25,1
345,full,2075.00,1
346,full,72.06,1
347,full,72.08,1
348,full,72.45,1
349,full,72.26,1
350,full,71.95,1
351,full,71.99,1
352,full,72.06,1
353,full,72.27,1
354,full,72.02,1
355,full,72.04,1
356,full,72.16,1
357,full,72.15,1
358,full,72.30,1
359,full,72.66,1
360,full,72.14,1
361,full,72.03,1
362,full,72.03,1
363,full,72.66,1
364,full,72.12,1
365,full,72.20,1
366,full,71.94,1
367,full,72.06,1
368,full,72.54,1
369,full,71.97,1
370,full,72.34,1
371,full,72.18,1
372,full,72.09,1
373,full,2074.86,1
374,full,72.08,1
375,full,72.20,1
376,full,72.26,1
377,full,71.99,1
378,full,72.20,1
379,full,72.52,1
380,full,72.02,1
381,full,72.15,1
382,full,72.21,1
383,full,72.38,1
384,full,72.12,1
385,full,72.06,1
386,full,72.34,1
387,full,72.19,1
388,full,72.36,1
389,full,72.32,1
390,full,72.24,1
391,full,72.08,1
392,full,72.33,1
393,full,72.07,1
394,full,72.01,1
395,full,72.35,1
396,full,72.00,1
397,full,72.17,1
398,full,72.07,1
399,full,72.10,1
400,full,72.04,1
401,full,72.28,1
402,full,72.14,1
403,full,72.12,1
404,full,72.28,1
405,full,72.01,1
406,full,72.35,1
407,full,72.22,1
408,full,72.06,1
409,full,71.94,1
410,full,74.24,1
411,full,72.15,1
412,full,72.17,1
413,full,72.05,1
414,full,71.83,1
415,full,72.08,1
416,full,72.04,1
417,full,72.23,1
418,full,72.03,1
419,full,72.08,1
420,full,72.06,1
421,full,72.16,1
422,full,72.23,1
423,full,73.07,1
424,full,72.62,1
425,full,72.19,1
426,full,71.98,1
427,full,72.06,1
428,full,72.12,1
429,full,72.31,1
430,full,71.91,1
431,full,72.25,1
432,full,72.04,1
433,full,71.96,1
434,full,72.20,1
435,full,72.42,1
436,full,71.86,1
437,full,72.04,1
438,full,72.04,1
439,full,72.17,1
440,full,71.98,1
441,full,72.06,1
442,full,72.36,1
443,full,72.28,1
444,full,72.05,1
445,full,72.24,1
446,full,72.03,1
447,full,72.54,1
448,full,72.31,1
449,full,72.28,1
450,full,72.28,1
451,full,72.20,1
452,full,71.98,1
453,full,72.53,1
454,full,72.09,1
455,full,72.08,1
456,full,71.99,1
457,full,72.50,1
458,full,72.12,1
459,full,72.07,1
460,full,72.05,1
461,full,72.16,1
462,full,72.09,1
463,full,72.02,1
464,full,72.21,1
465,full,72.55,1
466,full,72.03,1
467,full,71.86,1
468,full,71.97,1
469,full,72.31,1
470,full,72.31,1
471,full,72.28,1
472,full,72.06,1
473,full,72.06,1
474,full,72.27,1
475,full,72.04,1
476,full,72.17,1
477,full,72.08,1
478,full,72.02,1
479,full,72.01,1
480,full,72.36,1
481,full,72.24,1
482,full,71.98,1
483,full,72.47,1
484,full,71.99,1
485,full,72.16,1
486,full,72.27,1
487,full,71.99,1
488,full,72.46,1
489,full,72.00,1
490,full,72.12,1
491,full,72.26,1
492,full,223.17,1
493,full,72.15,1
494,full,72.37,1
495,full,72.04,1
496,full,72.49,1
497,full,72.03,1
498,full,72.29,1
499,full,72.32,1
500,full,72.00,1
501,resumed,72.15,1
502,resumed,72.02,1
503,resumed,72.23,1
504,resumed,72.12,1
505,resumed,72.17,1
506,resumed,72.08,1
507,resumed,72.16,1
508,resumed,72.01,1
509,resumed,72.25,1
510,resumed,72.22,1
511,resumed,222.09,1
512,resumed,72.05,1
513,resumed,72.03,1
514,resumed,72.15,1
515,resumed,72.06,1
516,resumed,72.39,1
517,resumed,72.03,1
518,resumed,72.12,1
519,resumed,72.18,1
520,resumed,72.16,1
521,resumed,72.07,1
522,resumed,72.09,1
523,resumed,72.26,1
524,resumed,72.39,1
525,resumed,72.31,1
526,resumed,72.20,1
527,resumed,71.96,1
528,resumed,72.08,1
529,resumed,72.19,1
530,resumed,72.30,1
531,resumed,72.15,1
532,resumed,72.01,1
533,resumed,72.16,1
534,resumed,72.04,1
535,resumed,72.18,1
536,resumed,222.05,1
537,resumed,72.21,1
538,resumed,72.09,1
539,resumed,221.62,1
540,resumed,72.11,1
541,resumed,71.83,1
542,resumed,71.98,1
543,resumed,71.87,1
544,resumed,221.54,1
545,resumed,72.23,1
546,resumed,71.98,1
547,resumed,72.19,1
548,resumed,72.22,1
549,resumed,72.40,1
550,resumed,72.14,1
551,resumed,72.22,1
552,resumed,72.11,1
553,resumed,72.02,1
554,resumed,72.03,1
555,resumed,72.10,1
556,resumed,72.25,1
557,resumed,72.12,1
558,resumed,72.02,1
559,resumed,72.13,1
560,resumed,72.02,1
561,resumed,72.11,1
562,resumed,71.89,1
563,resumed,72.07,1
564,resumed,72.17,1
565,resumed,71.85,1
566,resumed,72.21,1
567,resumed,72.10,1
568,resumed,71.87,1
569,resumed,72.05,1
570,resumed,72.58,1
571,resumed,72.30,1
572,resumed,72.02,1
573,resumed,72.08,1
574,resumed,72.27,1
575,resumed,72.28,1
576,resumed,72.14,1
577,resumed,72.30,1
578,resumed,72.09,1
579,resumed,71.94,1
580,resumed,72.06,1
581,resumed,74.21,1
582,resumed,72.22,1
583,resumed,72.05,1
584,resumed,72.26,1
585,resumed,72.00,1
586,resumed,72.03,1
587,resumed,72.13,1
588,resumed,71.99,1
589,resumed,72.34,1
590,resumed,72.02,1
591,resumed,72.06,1
592,resumed,72.08,1
593,resumed,71.95,1
594,resumed,72.14,1
595,resumed,72.44,1
596,resumed,72.14,1
597,resumed,72.13,1
598,resumed,72.10,1
599,resumed,72.73,1
600,resumed,72.10,1
601,resumed,72.08,1
602,resumed,72.05,1
603,resumed,72.15,1
604,resumed,72.19,1
605,resumed,72.00,1
606,resumed,72.00,1
607,resumed,72.02,1
608,resumed,72.29,1
609,resumed,72.08,1
610,resumed,71.99,1
611,resumed,72.45,1
612,resumed,71.99,1
613,resumed,72.10,1
614,resumed,72.06,1
615,resumed,72.31,1
616,resumed,72.01,1
617,resumed,72.27,1
618,resumed,72.11,1
619,resumed,72.12,1
620,resumed,72.06,1
621,resumed,72.07,1
622,resumed,72.13,1
623,resumed,72.07,1
624,resumed,72.28,1
625,resumed,72.04,1
626,resumed,71.99,1
627,resumed,72.14,1
628,resumed,72.12,1
629,resumed,72.25,1
630,resumed,71.98,1
631,resumed,72.10,1
632,resumed,71.93,1
633,resumed,72.40,1
634,resumed,72.17,1
635,resumed,72.22,1
636,resumed,72.09,1
637,resumed,72.50,1
638,resumed,72.12,1
639,resumed,72.05,1
640,resumed,72.26,1
641,resumed,71.88,1
642,resumed,72.13,1
643,resumed,72.08,1
644,resumed,72.19,1
645,resumed,72.07,1
646,resumed,72.07,1
647,resumed,71.98,1
648,resumed,72.06,1
649,resumed,72.24,1
650,resumed,72.12,1
651,resumed,71.81,1
652,resumed,72.23,1
653,resumed,72.10,1
654,resumed,71.93,1
655,resumed,72.13,1
656,resumed,72.04,1
657,resumed,72.06,1
658,resumed,72.19,1
659,resumed,72.30,1
660,resumed,72.19,1
661,resumed,71.99,1
662,resumed,71.99,1
663,resumed,72.39,1
664,resumed,72.09,1
665,resumed,72.19,1
666,resumed,72.05,1
667,resumed,72.09,1
668,resumed,71.92,1
669,resumed,72.13,1
670,resumed,2074.96,1
671,resumed,72.20,1
672,resumed,72.41,1
673,resumed,72.23,1
674,resumed,72.01,1
675,resumed,72.08,1
676,resumed,72.02,1
677,resumed,72.16,1
678,resumed,72.41,1
679,resumed,72.09,1
680,resumed,72.20,1
681,resumed,72.23,1
682,resumed,72.23,1
683,resumed,72.37,1
684,resumed,72.41,1
685,resumed,72.05,1
686,resumed,71.91,1
687,resumed,72.25,1
688,resumed,72.01,1
689,resumed,72.13,1
690,resumed,72.06,1
691,resumed,72.03,1
692,resumed,72.12,1
693,resumed,72.05,1
694,resumed,72.17,1
695,resumed,72.01,1
696,resumed,72.52,1
697,resumed,72.08,1
698,resumed,72.06,1
699,resumed,72.02,1
700,resumed,72.17,1
701,resumed,222.49,1
702,resumed,72.37,1
703,resumed,72.04,1
704,resumed,72.04,1
705,resumed,72.57,1
706,resumed,71.92,1
707,resumed,72.10,1
708,resumed,71.99,1
709,resumed,72.19,1
710,resumed,73.35,1
711,resumed,71.87,1
712,resumed,71.93,1
713,resumed,72.14,1
714,resumed,72.06,1
715,resumed,72.04,1
716,resumed,72.43,1
717,resumed,72.03,1
718,resumed,72.19,1
719,resumed,72.08,1
720,resumed,72.00,1
721,resumed,72.00,1
722,resumed,72.52,1
723,resumed,71.85,1
724,resumed,72.09,1
725,resumed,71.91,1
726,resumed,72.40,1
727,resumed,72.13,1
728,resumed,72.12,1
729,resumed,72.21,1
730,resumed,71.80,1
731,resumed,71.97,1
732,resumed,72.25,1
733,resumed,72.09,1
734,resumed,72.07,1
735,resumed,72.33,1
736,resumed,72.41,1
737,resumed,72.11,1
738,resumed,72.42,1
739,resumed,72.05,1
740,resumed,72.11,1
741,resumed,72.33,1
742,resumed,71.99,1
743,resumed,72.14,1
744,resumed,72.08,1
745,resumed,72.09,1
746,resumed,72.70,1
747,resumed,72.08,1
748,resumed,72.26,1
749,resumed,2074.62,1
750,resumed,72.28,1
751,resumed,72.42,1
752,resumed,72.31,1
753,resumed,72.09,1
754,resumed,72.54,1
755,resumed,72.53,1
756,resumed,72.04,1
757,resumed,72.21,1
758,resumed,72.44,1
759,resumed,72.13,1
760,resumed,72.03,1
761,resumed,72.07,1
762,resumed,72.16,1
763,resumed,72.12,1
764,resumed,71.98,1
765,resumed,72.09,1
766,resumed,72.09,1
767,resumed,72.15,1
768,resumed,72.16,1
769,resumed,72.12,1
770,resumed,72.03,1
771,resumed,72.07,1
772,resumed,72.50,1
773,resumed,72.22,1
774,resumed,72.06,1
775,resumed,72.15,1
776,resumed,72.06,1
777,resumed,72.59,1
778,resumed,72.02,1
779,resumed,72.10,1
780,resumed,72.06,1
781,resumed,72.11,1
782,resumed,72.08,1
783,resumed,72.12,1
784,resumed,72.09,1
785,resumed,72.54,1
786,resumed,72.06,1
787,resumed,72.16,1
788,resumed,222.14,1
789,resumed,72.52,1
790,resumed,74.36,1
791,resumed,73.41,1
792,resumed,72.09,1
793,resumed,72.17,1
794,resumed,72.32,1
795,resumed,72.11,1
796,resumed,72.06,1
797,resumed,72.11,1
798,resumed,72.32,1
799,resumed,72.03,1
800,resumed,72.17,1
801,resumed,72.31,1
802,resumed,72.36,1
803,resumed,72.31,1
804,resumed,72.15,1
805,resumed,72.02,1
806,resumed,72.09,1
807,resumed,72.09,1
808,resumed,72.06,1
809,resumed,72.09,1
810,resumed,72.09,1
811,resumed,72.04,1
812,resumed,72.03,1
813,resumed,72.05,1
814,resumed,72.14,1
815,resumed,71.98,1
816,resumed,72.39,1
817,resumed,71.98,1
818,resumed,72.28,1
819,resumed,72.97,1
820,resumed,72.59,1
821,resumed,72.11,1
822,resumed,72.10,1
823,resumed,72.11,1
824,resumed,72.42,1
825,resumed,2073.73,1
826,resumed,72.09,1
827,resumed,72.25,1
828,resumed,72.08,1
829,resumed,72.07,1
830,resumed,2112.93,1
831,resumed,72.04,1
832,resumed,72.09,1
833,resumed,72.05,1
834,resumed,72.21,1
835,resumed,72.17,1
836,resumed,72.28,1
837,resumed,72.14,1
838,resumed,72.23,1
839,resumed,72.00,1
840,resumed,72.11,1
841,resumed,72.08,1
842,resumed,72.28,1
843,resumed,72.11,1
844,resumed,2075.14,1
845,resumed,72.11,1
846,resumed,72.08,1
847,resumed,72.08,1
848,resumed,72.07,1
849,resumed,72.00,1
850,resumed,72.06,1
851,resumed,72.08,1
852,resumed,72.10,1
853,resumed,72.35,1
854,resumed,72.05,1
855,resumed,72.06,1
856,resumed,72.12,1
857,resumed,72.25,1
858,resumed,73.19,1
859,resumed,72.27,1
860,resumed,72.26,1
861,resumed,72.16,1
862,resumed,2074.48,1
863,resumed,71.98,1
864,resumed,72.29,1
865,resumed,72.17,1
866,resumed,72.28,1
867,resumed,72.06,1
868,resumed,72.20,1
869,resumed,72.16,1
870,resumed,72.11,1
871,resumed,72.16,1
872,resumed,72.05,1
873,resumed,72.04,1
874,resumed,71.98,1
875,resumed,72.08,1
876,resumed,72.01,1
877,resumed,72.14,1
878,resumed,72.10,1
879,resumed,72.05,1
880,resumed,72.20,1
881,resumed,72.33,1
882,resumed,72.09,1
883,resumed,72.24,1
884,resumed,72.55,1
885,resumed,72.18,1
886,resumed,72.11,1
887,resumed,72.09,1
888,resumed,72.31,1
889,resumed,72.06,1
890,resumed,72.12,1
891,resumed,72.24,1
892,resumed,72.32,1
893,resumed,221.93,1
894,resumed,72.06,1
895,resumed,72.33,1
896,resumed,72.12,1
897,resumed,72.25,1
898,resumed,72.03,1
899,resumed,72.38,1
900,resumed,72.10,1
901,resumed,72.05,1
902,resumed,72.36,1
903,resumed,72.04,1
904,resumed,72.23,1
905,resumed,72.04,1
906,resumed,72.23,1
907,resumed,72.12,1
908,resumed,72.44,1
909,resumed,72.59,1
910,resumed,71.98,1
911,resumed,72.02,1
912,resumed,72.16,1
913,resumed,72.11,1
914,resumed,71.96,1
915,resumed,72.03,1
916,resumed,72.05,1
917,resumed,72.03,1
918,resumed,72.21,1
919,resumed,72.09,1
920,resumed,72.08,1
921,resumed,72.16,1
922,resumed,72.11,1
923,resumed,72.22,1
924,resumed,72.10,1
925,resumed,72.23,1
926,resumed,72.18,1
927,resumed,72.10,1
928,resumed,72.11,1
929,resumed,72.27,1
930,resumed,72.11,1
931,resumed,72.16,1
932,resumed,72.49,1
933,resumed,72.03,1
934,resumed,72.24,1
935,resumed,72.08,1
936,resumed,71.99,1
937,resumed,72.25,1
938,resumed,72.07,1
939,resumed,72.09,1
940,resumed,72.22,1
941,resumed,72.26,1
942,resumed,71.98,1
943,resumed,72.14,1
944,resumed,72.31,1
945,resumed,72.06,1
946,resumed,72.01,1
947,resumed,72.07,1
948,resumed,72.24,1
949,resumed,72.09,1
950,resumed,72.13,1
951,resumed,72.21,1
952,resumed,72.22,1
953,resumed,72.18,1
954,resumed,72.22,1
955,resumed,72.18,1
956,resumed,72.21,1
957,resumed,72.14,1
958,resumed,72.16,1
959,resumed,72.28,1
960,resumed,72.10,1
961,resumed,72.40,1
962,resumed,72.42,1
963,resumed,72.18,1
964,resumed,72.13,1
965,resumed,72.19,1
966,resumed,72.30,1
967,resumed,1075.66,1
968,resumed,72.19,1
969,resumed,72.17,1
970,resumed,72.30,1
971,resumed,72.13,1
972,resumed,72.14,1
973,resumed,72.12,1
974,resumed,72.40,1
975,resumed,72.00,1
976,resumed,72.11,1
977,resumed,72.34,1
978,resumed,72.31,1
979,resumed,72.16,1
980,resumed,72.31,1
981,resumed,72.03,1
982,resumed,72.30,1
983,resumed,72.00,1
984,resumed,72.02,1
985,resumed,72.05,1
986,resumed,72.07,1
987,resumed,221.94,1
988,resumed,72.16,1
