procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 13445852 221064 5927728    0    0   175   566 6342   12  9  4 85  1  0  0
 0  1      0 13450952 221084 5927500    0    0     0  2596 3966 8079  5  3 76 17  0  0
 1  1      0 13417184 221104 5942432    0    0     0   884 6285 10713 12  4 73 11  0  0
 0  2      0 13421736 221120 5942524    0    0     0  2008 10587 9731 10  4 71 15  0  0
 3  0      0 13409988 221132 5942760    0    0     0   492 12054 14903  9  6 78  7  0  0
 1  0      0 13381640 221140 5942648    0    0     0   160 26614 28844 11  9 78  1  0  0
 0  1      0 13391428 221144 5942148    0    0     0  1416 13656 13136  7  4 78 11  0  0
 1  1      0 13391188 221172 5942264    0    0     0   728 12053 11386  8  6 76  9  0  0
 1  0      0 13399112 221184 5942288    0    0     0   236 7956 4751  3  3 91  2  0  0
 1  0      0 13404424 221184 5942300    0    0     0     0 10090 6636  4  3 94  0  0  0
 0  0      0 13417272 221184 5942312    0    0     0     0 5558 3226  3  3 95  0  0  0
 0  0      0 13421856 221184 5942316    0    0     0     0 9108 3978  3  3 94  0  0  0
 0  0      0 13424652 221184 5942332    0    0     0     0 9824 6425  4  3 93  0  0  0
 0  2      0 13428648 221204 5942340    0    0     0  1924 11377 9932  6  4 75 16  0  0
 0  1      0 13432256 221220 5942368    0    0     0  1076 4119 4908  4  3 81 12  0  0
 1  3      0 13423124 221252 5942472    0    0     0  1608 17133 19317 10  8 71 12  0  0
 1  1      0 13414644 221284 5942500    0    0     0   988 12610 9270 10  8 67 16  0  0
 2  1      0 13413196 221328 5938476    0    0     0   876 18136 21698 17 11 63  9  0  0
 2  1      0 13405240 221348 5938496    0    0     0  1916 18041 14116 19 14 55 12  0  0
 3  1      0 13387916 221376 5938604    0    0     0   776 17583 26921 22 16 55  8  0  0
 6  1      0 13375272 221384 5938552    0    0     0  1756 18235 17785 28 20 43  9  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1      0 13361008 221432 5938632    0    0     0  1044 20208 21682 29 21 45  5  0  0
 4  2      0 13362008 221456 5938896    0    0     0  1764 17715 22698 39 25 30  7  0  0
 4  2      0 13346512 221492 5938504    0    0     0  1080 18841 24893 35 24 33  7  0  0
 4  2      0 13332348 221504 5938604    0    0     0  1488 16761 18328 30 20 34 16  0  0
 4  2      0 13347052 221544 5938664    0    0     0  1744 11804 22419 33 24 34  9  0  0
 3  2      0 13348176 221560 5938748    0    0     0  1488 16307 16794 33 20 33 14  0  0
 5  2      0 13347580 221592 5939016    0    0     0  1312 14894 18733 28 19 35 17  0  0
 4  1      0 13338924 221632 5939488    0    0     0  1716 19269 25335 37 23 33  8  0  0
