security_level,kem,sig_classical,sig_pq,n_blocks_common,classical_mean_ms,pq_mean_ms,delta_ms,delta_ci95_low,delta_ci95_high,significant_paired_bootstrap,exact_permutation_p,exact_permutation_min_p
L1,P-256,ed25519,mldsa44,4,2.2223,2.1788,0.0435,-0.0469,0.1822,non,0.875,0.125
L1,hqc128,ed25519,mldsa44,4,17.578,17.9894,-0.4114,-1.2093,0.3865,non,0.5,0.125
L1,mlkem512,ed25519,mldsa44,4,1.9739,2.086,-0.1121,-0.2061,-0.0445,oui,0.125,0.125
L1,p256_hqc128,ed25519,mldsa44,4,26.9679,25.5405,1.4274,-0.3391,3.8787,non,0.5,0.125
L1,p256_mlkem512,ed25519,mldsa44,4,10.045,9.9669,0.0781,-0.2438,0.4,non,0.875,0.125
L1,x25519,ed25519,mldsa44,4,1.8895,2.1011,-0.2116,-0.391,-0.0914,oui,0.125,0.125
L1,x25519_hqc128,ed25519,mldsa44,4,20.2088,19.1859,1.0229,-0.5078,3.3335,non,0.625,0.125
L1,x25519_mlkem512,ed25519,mldsa44,4,3.795,3.632,0.163,-0.0704,0.524,non,0.625,0.125
L3,P-384,secp384r1,mldsa65,4,5.8388,4.6034,1.2354,1.081,1.3879,oui,0.125,0.125
L3,hqc192,secp384r1,mldsa65,4,48.5808,47.9012,0.6796,0.164,1.1952,oui,0.25,0.125
L3,mlkem768,secp384r1,mldsa65,4,3.3895,2.2506,1.1389,1.0707,1.195,oui,0.125,0.125
L3,p384_hqc192,secp384r1,mldsa65,4,59.13,59.0655,0.0646,-1.4144,1.5849,non,0.875,0.125
L3,p384_mlkem768,secp384r1,mldsa65,4,14.6436,12.6997,1.9439,1.1181,3.1906,oui,0.125,0.125
L3,x448,secp384r1,mldsa65,4,4.2768,3.1435,1.1332,1.0779,1.1826,oui,0.125,0.125
L3,x448_hqc192,secp384r1,mldsa65,4,50.7717,52.213,-1.4413,-4.6419,0.4407,non,0.75,0.125
L3,x448_mlkem768,secp384r1,mldsa65,4,6.536,5.3683,1.1677,1.0778,1.261,oui,0.125,0.125
L5,P-521,secp521r1,mldsa87,4,5.8212,4.4132,1.408,1.1704,1.7223,oui,0.125,0.125
L5,hqc256,secp521r1,mldsa87,4,87.0698,84.6278,2.4419,0.0618,4.7238,oui,0.25,0.125
L5,mlkem1024,secp521r1,mldsa87,4,3.5948,2.341,1.2538,1.2315,1.2817,oui,0.125,0.125
L5,p521_hqc256,secp521r1,mldsa87,4,94.7086,94.494,0.2146,-1.6982,1.7903,non,0.75,0.125
L5,p521_mlkem1024,secp521r1,mldsa87,4,13.7561,12.7658,0.9903,0.6975,1.2831,oui,0.125,0.125
