PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=27 ttl=105 time=204 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=105 time=324 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=105 time=362 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=105 time=267 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=105 time=495 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=105 time=416 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=105 time=221 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=105 time=317 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=105 time=286 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=105 time=512 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=105 time=224 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=105 time=248 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=105 time=205 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=105 time=294 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=105 time=215 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=105 time=246 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=105 time=318 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=105 time=289 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=105 time=316 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=105 time=229 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=105 time=251 ms
64 bytes from 8.8.8.8: icmp_seq=48 ttl=105 time=582 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=105 time=297 ms
64 bytes from 8.8.8.8: icmp_seq=50 ttl=105 time=186 ms
64 bytes from 8.8.8.8: icmp_seq=51 ttl=105 time=242 ms
64 bytes from 8.8.8.8: icmp_seq=52 ttl=105 time=264 ms
64 bytes from 8.8.8.8: icmp_seq=53 ttl=105 time=274 ms
64 bytes from 8.8.8.8: icmp_seq=54 ttl=105 time=293 ms
64 bytes from 8.8.8.8: icmp_seq=55 ttl=105 time=312 ms
64 bytes from 8.8.8.8: icmp_seq=56 ttl=105 time=331 ms
64 bytes from 8.8.8.8: icmp_seq=57 ttl=105 time=249 ms
64 bytes from 8.8.8.8: icmp_seq=58 ttl=105 time=268 ms
64 bytes from 8.8.8.8: icmp_seq=59 ttl=105 time=458 ms
64 bytes from 8.8.8.8: icmp_seq=60 ttl=105 time=207 ms
64 bytes from 8.8.8.8: icmp_seq=61 ttl=105 time=330 ms
64 bytes from 8.8.8.8: icmp_seq=62 ttl=105 time=250 ms
64 bytes from 8.8.8.8: icmp_seq=63 ttl=105 time=188 ms
64 bytes from 8.8.8.8: icmp_seq=64 ttl=105 time=239 ms
64 bytes from 8.8.8.8: icmp_seq=65 ttl=105 time=235 ms
64 bytes from 8.8.8.8: icmp_seq=66 ttl=105 time=431 ms
64 bytes from 8.8.8.8: icmp_seq=67 ttl=105 time=231 ms
64 bytes from 8.8.8.8: icmp_seq=68 ttl=105 time=548 ms
64 bytes from 8.8.8.8: icmp_seq=69 ttl=105 time=240 ms
64 bytes from 8.8.8.8: icmp_seq=70 ttl=105 time=312 ms
64 bytes from 8.8.8.8: icmp_seq=71 ttl=105 time=231 ms
64 bytes from 8.8.8.8: icmp_seq=72 ttl=105 time=321 ms
64 bytes from 8.8.8.8: icmp_seq=73 ttl=105 time=274 ms
64 bytes from 8.8.8.8: icmp_seq=74 ttl=105 time=198 ms
64 bytes from 8.8.8.8: icmp_seq=75 ttl=105 time=342 ms
64 bytes from 8.8.8.8: icmp_seq=76 ttl=105 time=450 ms
64 bytes from 8.8.8.8: icmp_seq=77 ttl=105 time=324 ms
64 bytes from 8.8.8.8: icmp_seq=78 ttl=105 time=282 ms
64 bytes from 8.8.8.8: icmp_seq=79 ttl=105 time=305 ms
64 bytes from 8.8.8.8: icmp_seq=80 ttl=105 time=194 ms
64 bytes from 8.8.8.8: icmp_seq=81 ttl=105 time=249 ms
64 bytes from 8.8.8.8: icmp_seq=82 ttl=105 time=377 ms
64 bytes from 8.8.8.8: icmp_seq=83 ttl=105 time=253 ms
64 bytes from 8.8.8.8: icmp_seq=84 ttl=105 time=369 ms
64 bytes from 8.8.8.8: icmp_seq=85 ttl=105 time=450 ms
64 bytes from 8.8.8.8: icmp_seq=86 ttl=105 time=305 ms
64 bytes from 8.8.8.8: icmp_seq=87 ttl=105 time=215 ms
64 bytes from 8.8.8.8: icmp_seq=88 ttl=105 time=190 ms
64 bytes from 8.8.8.8: icmp_seq=89 ttl=105 time=220 ms
64 bytes from 8.8.8.8: icmp_seq=90 ttl=105 time=242 ms
64 bytes from 8.8.8.8: icmp_seq=91 ttl=105 time=469 ms
64 bytes from 8.8.8.8: icmp_seq=92 ttl=105 time=287 ms
64 bytes from 8.8.8.8: icmp_seq=93 ttl=105 time=412 ms
64 bytes from 8.8.8.8: icmp_seq=94 ttl=105 time=469 ms
64 bytes from 8.8.8.8: icmp_seq=95 ttl=105 time=253 ms
64 bytes from 8.8.8.8: icmp_seq=96 ttl=105 time=213 ms
64 bytes from 8.8.8.8: icmp_seq=97 ttl=105 time=401 ms
64 bytes from 8.8.8.8: icmp_seq=98 ttl=105 time=423 ms
64 bytes from 8.8.8.8: icmp_seq=99 ttl=105 time=288 ms
64 bytes from 8.8.8.8: icmp_seq=100 ttl=105 time=263 ms

--- 8.8.8.8 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99159ms
rtt min/avg/max/mdev = 186.193/301.574/656.928/92.362 ms
