config_id,cell_id,sweep_position,handshake_duration_ms
ed25519|P-256,quic|single|none,10,2.2223200000000003
ed25519|P-256,quic|single|simple_loss1.3_delay62.51ms,26,138.82186
ed25519|P-256,quic|single|simple_loss1.5833_delay83.52ms,36,181.33394
ed25519|P-256,quic|single|stable,1,354.51204408817637
ed25519|P-256,quic|single|unstable,13,917.4186105263158
ed25519|P-256,tls|mutual|none,15,6.029739999999999
ed25519|P-256,tls|mutual|simple_loss1.3_delay62.51ms,33,295.34214000000003
ed25519|P-256,tls|mutual|simple_loss1.5833_delay83.52ms,4,379.67158
ed25519|P-256,tls|mutual|stable,11,267.89779999999996
ed25519|P-256,tls|mutual|unstable,16,1069.7157
ed25519|P-256,tls|single|none,1,1.91472
ed25519|P-256,tls|single|simple_loss1.3_delay62.51ms,15,275.53712
ed25519|P-256,tls|single|simple_loss1.5833_delay83.52ms,1,367.269
ed25519|P-256,tls|single|stable,15,292.72171999999995
ed25519|P-256,tls|single|unstable,20,1434.1751600000002
ed25519|hqc128,quic|single|none,33,17.578
ed25519|hqc128,quic|single|simple_loss1.3_delay62.51ms,42,161.40504
ed25519|hqc128,quic|single|simple_loss1.5833_delay83.52ms,1,224.80582
ed25519|hqc128,quic|single|stable,7,83.32396
ed25519|hqc128,quic|single|unstable,23,523.147384305835
ed25519|hqc128,tls|mutual|none,16,21.21552
ed25519|hqc128,tls|mutual|simple_loss1.3_delay62.51ms,21,346.73658
ed25519|hqc128,tls|mutual|simple_loss1.5833_delay83.52ms,18,432.58036
ed25519|hqc128,tls|mutual|stable,6,390.91722000000004
ed25519|hqc128,tls|mutual|unstable,6,2874.1763855421686
ed25519|hqc128,tls|single|none,18,17.2039
ed25519|hqc128,tls|single|simple_loss1.3_delay62.51ms,4,332.27584
ed25519|hqc128,tls|single|simple_loss1.5833_delay83.52ms,11,420.48818
ed25519|hqc128,tls|single|stable,2,367.80982
ed25519|hqc128,tls|single|unstable,1,2816.4238554216868
ed25519|mlkem512,quic|single|none,21,1.97394
ed25519|mlkem512,quic|single|simple_loss1.3_delay62.51ms,12,133.28508
ed25519|mlkem512,quic|single|simple_loss1.5833_delay83.52ms,2,208.43026
ed25519|mlkem512,quic|single|stable,30,253.19466933867736
ed25519|mlkem512,quic|single|unstable,7,901.6865020576132
ed25519|mlkem512,tls|mutual|none,2,6.047
ed25519|mlkem512,tls|mutual|simple_loss1.3_delay62.51ms,22,282.03965999999997
ed25519|mlkem512,tls|mutual|simple_loss1.5833_delay83.52ms,33,383.22148
ed25519|mlkem512,tls|mutual|stable,2,304.32108
ed25519|mlkem512,tls|mutual|unstable,2,1566.6678356713426
ed25519|mlkem512,tls|single|none,17,1.8251199999999999
ed25519|mlkem512,tls|single|simple_loss1.3_delay62.51ms,42,273.87147999999996
ed25519|mlkem512,tls|single|simple_loss1.5833_delay83.52ms,33,371.095
ed25519|mlkem512,tls|single|stable,11,277.25026
ed25519|mlkem512,tls|single|unstable,2,1175.3132064128258
ed25519|p256_hqc128,quic|single|none,6,26.96786
ed25519|p256_hqc128,quic|single|simple_loss1.3_delay62.51ms,23,172.5535
ed25519|p256_hqc128,quic|single|simple_loss1.5833_delay83.52ms,20,221.30472
ed25519|p256_hqc128,quic|single|stable,25,112.65794
ed25519|p256_hqc128,quic|single|unstable,25,584.995
ed25519|p256_hqc128,tls|mutual|none,42,26.09564
ed25519|p256_hqc128,tls|mutual|simple_loss1.3_delay62.51ms,24,345.55940000000004
ed25519|p256_hqc128,tls|mutual|simple_loss1.5833_delay83.52ms,3,454.47176
ed25519|p256_hqc128,tls|mutual|stable,14,345.02615999999995
ed25519|p256_hqc128,tls|mutual|unstable,13,3139.1502004008016
ed25519|p256_hqc128,tls|single|none,8,22.992900000000002
ed25519|p256_hqc128,tls|single|simple_loss1.3_delay62.51ms,6,331.83009999999996
ed25519|p256_hqc128,tls|single|simple_loss1.5833_delay83.52ms,13,451.82096
ed25519|p256_hqc128,tls|single|stable,39,353.04884000000004
ed25519|p256_hqc128,tls|single|unstable,10,2276.591442885772
ed25519|p256_mlkem512,quic|single|none,27,10.044979999999999
ed25519|p256_mlkem512,quic|single|simple_loss1.3_delay62.51ms,36,152.80058
ed25519|p256_mlkem512,quic|single|simple_loss1.5833_delay83.52ms,8,195.9276
ed25519|p256_mlkem512,quic|single|stable,24,241.45788000000002
ed25519|p256_mlkem512,quic|single|unstable,5,732.2516016427105
ed25519|p256_mlkem512,tls|mutual|none,6,11.65334
ed25519|p256_mlkem512,tls|mutual|simple_loss1.3_delay62.51ms,11,308.09394
ed25519|p256_mlkem512,tls|mutual|simple_loss1.5833_delay83.52ms,34,387.93066
ed25519|p256_mlkem512,tls|mutual|stable,5,279.64406
ed25519|p256_mlkem512,tls|mutual|unstable,8,1659.0701402805612
ed25519|p256_mlkem512,tls|single|none,19,7.7047799999999995
ed25519|p256_mlkem512,tls|single|simple_loss1.3_delay62.51ms,18,282.48048
ed25519|p256_mlkem512,tls|single|simple_loss1.5833_delay83.52ms,12,386.17056
ed25519|p256_mlkem512,tls|single|stable,8,298.46352
ed25519|p256_mlkem512,tls|single|unstable,31,1632.6557142857143
ed25519|x25519,quic|single|none,34,1.88952
ed25519|x25519,quic|single|simple_loss1.3_delay62.51ms,31,150.42716000000001
ed25519|x25519,quic|single|simple_loss1.5833_delay83.52ms,11,177.0729
ed25519|x25519,quic|single|stable,13,265.24346153846153
ed25519|x25519,quic|single|unstable,14,1064.9986847599164
ed25519|x25519,tls|mutual|none,36,5.837140000000001
ed25519|x25519,tls|mutual|simple_loss1.3_delay62.51ms,26,291.73644
ed25519|x25519,tls|mutual|simple_loss1.5833_delay83.52ms,26,382.78296
ed25519|x25519,tls|mutual|stable,19,339.57934
ed25519|x25519,tls|mutual|unstable,29,1435.3761923847694
ed25519|x25519,tls|single|none,9,1.76624
ed25519|x25519,tls|single|simple_loss1.3_delay62.51ms,23,266.14135999999996
ed25519|x25519,tls|single|simple_loss1.5833_delay83.52ms,36,372.82918
ed25519|x25519,tls|single|stable,27,285.08198
ed25519|x25519,tls|single|unstable,17,1251.87742
ed25519|x25519_hqc128,quic|single|none,7,20.2088
ed25519|x25519_hqc128,quic|single|simple_loss1.3_delay62.51ms,6,162.30056
ed25519|x25519_hqc128,quic|single|simple_loss1.5833_delay83.52ms,31,213.20388
ed25519|x25519_hqc128,quic|single|stable,37,139.95870000000002
ed25519|x25519_hqc128,quic|single|unstable,18,574.9787676767677
ed25519|x25519_hqc128,tls|mutual|none,21,21.03732
ed25519|x25519_hqc128,tls|mutual|simple_loss1.3_delay62.51ms,6,340.10868
ed25519|x25519_hqc128,tls|mutual|simple_loss1.5833_delay83.52ms,27,434.05212
ed25519|x25519_hqc128,tls|mutual|stable,32,361.79720000000003
ed25519|x25519_hqc128,tls|mutual|unstable,22,2964.2106237424546
ed25519|x25519_hqc128,tls|single|none,27,17.420540000000003
ed25519|x25519_hqc128,tls|single|simple_loss1.3_delay62.51ms,11,329.07958
ed25519|x25519_hqc128,tls|single|simple_loss1.5833_delay83.52ms,6,432.46532
ed25519|x25519_hqc128,tls|single|stable,19,423.69388
ed25519|x25519_hqc128,tls|single|unstable,26,2938.891663326653
ed25519|x25519_mlkem512,quic|single|none,4,3.79498
ed25519|x25519_mlkem512,quic|single|simple_loss1.3_delay62.51ms,4,148.88992000000002
ed25519|x25519_mlkem512,quic|single|simple_loss1.5833_delay83.52ms,9,206.578
ed25519|x25519_mlkem512,quic|single|stable,40,256.1161
ed25519|x25519_mlkem512,quic|single|unstable,21,749.3907346938776
ed25519|x25519_mlkem512,tls|mutual|none,11,6.18638
ed25519|x25519_mlkem512,tls|mutual|simple_loss1.3_delay62.51ms,7,289.82721999999995
ed25519|x25519_mlkem512,tls|mutual|simple_loss1.5833_delay83.52ms,9,381.90216
ed25519|x25519_mlkem512,tls|mutual|stable,4,275.74202
ed25519|x25519_mlkem512,tls|mutual|unstable,37,1494.6383600000001
ed25519|x25519_mlkem512,tls|single|none,25,2.12388
ed25519|x25519_mlkem512,tls|single|simple_loss1.3_delay62.51ms,27,284.79954
ed25519|x25519_mlkem512,tls|single|simple_loss1.5833_delay83.52ms,16,372.9674
ed25519|x25519_mlkem512,tls|single|stable,21,305.79302
ed25519|x25519_mlkem512,tls|single|unstable,3,1152.857
mldsa44|P-256,quic|single|none,25,2.17878
mldsa44|P-256,quic|single|simple_loss1.3_delay62.51ms,7,272.80771999999996
mldsa44|P-256,quic|single|simple_loss1.5833_delay83.52ms,29,390.41208
mldsa44|P-256,quic|single|stable,27,342.3031
mldsa44|P-256,quic|single|unstable,28,1279.868455284553
mldsa44|P-256,tls|mutual|none,40,22.02516
mldsa44|P-256,tls|mutual|simple_loss1.3_delay62.51ms,10,342.37076
mldsa44|P-256,tls|mutual|simple_loss1.5833_delay83.52ms,23,436.59421999999995
mldsa44|P-256,tls|mutual|stable,24,595.44506
mldsa44|P-256,tls|mutual|unstable,12,3087.5584599999997
mldsa44|P-256,tls|single|none,41,1.69736
mldsa44|P-256,tls|single|simple_loss1.3_delay62.51ms,33,278.34348
mldsa44|P-256,tls|single|simple_loss1.5833_delay83.52ms,10,381.03196
mldsa44|P-256,tls|single|stable,1,322.24538
mldsa44|P-256,tls|single|unstable,22,2469.7908032128516
mldsa44|hqc128,quic|single|none,12,17.98942
mldsa44|hqc128,quic|single|simple_loss1.3_delay62.51ms,9,313.56956
mldsa44|hqc128,quic|single|simple_loss1.5833_delay83.52ms,3,395.21394
mldsa44|hqc128,quic|single|stable,29,182.19258
