handshake_duration_ms,config_id,cell_id,sweep_position,block_index,n_blocks
825.22,mldsa65|x448,tls|single|stable,9,2,4
1011.11,mldsa65|x448,tls|single|stable,9,2,4
1011.42,mldsa65|x448,tls|single|stable,9,2,4
2.65,mldsa65|x448,tls|single|stable,9,2,4
2.85,mldsa65|x448,tls|single|stable,9,2,4
417.5,mldsa65|x448,tls|single|stable,9,2,4
3.18,mldsa65|x448,tls|single|stable,9,2,4
218.01,mldsa65|x448,tls|single|stable,9,2,4
4.45,mldsa65|x448,tls|single|stable,9,2,4
1024.41,mldsa65|x448,tls|single|stable,9,2,4
4.49,mldsa65|x448,tls|single|stable,9,2,4
2.73,mldsa65|x448,tls|single|stable,9,2,4
2.33,mldsa65|x448,tls|single|stable,9,2,4
2.24,mldsa65|x448,tls|single|stable,9,2,4
1058.45,mldsa65|x448,tls|single|stable,9,2,4
3.91,mldsa65|x448,tls|single|stable,9,2,4
3.85,mldsa65|x448,tls|single|stable,9,2,4
415.25,mldsa65|x448,tls|single|stable,9,2,4
2.67,mldsa65|x448,tls|single|stable,9,2,4
2.66,mldsa65|x448,tls|single|stable,9,2,4
2.73,mldsa65|x448,tls|single|stable,9,2,4
2.24,mldsa65|x448,tls|single|stable,9,2,4
2.51,mldsa65|x448,tls|single|stable,9,2,4
1033.27,mldsa65|x448,tls|single|stable,9,2,4
4.39,mldsa65|x448,tls|single|stable,9,2,4
4.75,mldsa65|x448,tls|single|stable,9,2,4
4.52,mldsa65|x448,tls|single|stable,9,2,4
4.9,mldsa65|x448,tls|single|stable,9,2,4
1447.98,mldsa65|x448,tls|single|stable,9,2,4
3.81,mldsa65|x448,tls|single|stable,9,2,4
2.54,mldsa65|x448,tls|single|stable,9,2,4
2.47,mldsa65|x448,tls|single|stable,9,2,4
210.46,mldsa65|x448,tls|single|stable,9,2,4
420.9,mldsa65|x448,tls|single|stable,9,2,4
2.76,mldsa65|x448,tls|single|stable,9,2,4
2.63,mldsa65|x448,tls|single|stable,9,2,4
2.47,mldsa65|x448,tls|single|stable,9,2,4
2.38,mldsa65|x448,tls|single|stable,9,2,4
4304.74,mldsa65|x448,tls|single|stable,9,2,4
7.6,mldsa65|x448,tls|single|stable,9,2,4
2.89,mldsa65|x448,tls|single|stable,9,2,4
1068.96,mldsa65|x448,tls|single|stable,9,2,4
1008.18,mldsa65|x448,tls|single|stable,9,2,4
1035.0,mldsa65|x448,tls|single|stable,9,2,4
2.62,mldsa65|x448,tls|single|stable,9,2,4
2.46,mldsa65|x448,tls|single|stable,9,2,4
