protocol,auth_mode,network,network_label,level,sig,kem,blocks_found_of_4,attempted,success,failure
quic,single,none,Ideal,L1,ed25519,P-256,4,500,500,0
quic,single,none,Ideal,L1,ed25519,hqc128,4,500,500,0
quic,single,none,Ideal,L1,ed25519,mlkem512,4,500,500,0
quic,single,none,Ideal,L1,ed25519,p256_hqc128,4,500,500,0
quic,single,none,Ideal,L1,ed25519,p256_mlkem512,4,500,500,0
quic,single,none,Ideal,L1,ed25519,x25519,4,500,500,0
quic,single,none,Ideal,L1,ed25519,x25519_hqc128,4,500,500,0
quic,single,none,Ideal,L1,ed25519,x25519_mlkem512,4,500,500,0
quic,single,none,Ideal,L1,mldsa44,P-256,4,500,500,0
quic,single,none,Ideal,L1,mldsa44,hqc128,4,500,500,0
quic,single,none,Ideal,L1,mldsa44,mlkem512,4,500,500,0
quic,single,none,Ideal,L1,mldsa44,p256_hqc128,4,500,500,0
quic,single,none,Ideal,L1,mldsa44,p256_mlkem512,4,500,500,0
quic,single,none,Ideal,L1,mldsa44,x25519,4,500,500,0
quic,single,none,Ideal,L1,mldsa44,x25519_hqc128,4,500,500,0
quic,single,none,Ideal,L1,mldsa44,x25519_mlkem512,4,500,500,0
quic,single,none,Ideal,L3,mldsa65,P-384,4,500,500,0
quic,single,none,Ideal,L3,mldsa65,hqc192,4,500,500,0
quic,single,none,Ideal,L3,mldsa65,mlkem768,4,500,500,0
quic,single,none,Ideal,L3,mldsa65,p384_hqc192,4,500,500,0
quic,single,none,Ideal,L3,mldsa65,p384_mlkem768,4,500,500,0
quic,single,none,Ideal,L3,mldsa65,x448,4,500,500,0
quic,single,none,Ideal,L3,mldsa65,x448_hqc192,4,500,500,0
quic,single,none,Ideal,L3,mldsa65,x448_mlkem768,4,500,500,0
quic,single,none,Ideal,L3,secp384r1,P-384,4,500,500,0
quic,single,none,Ideal,L3,secp384r1,hqc192,4,500,500,0
quic,single,none,Ideal,L3,secp384r1,mlkem768,4,500,500,0
quic,single,none,Ideal,L3,secp384r1,p384_hqc192,4,500,500,0
quic,single,none,Ideal,L3,secp384r1,p384_mlkem768,4,500,500,0
quic,single,none,Ideal,L3,secp384r1,x448,4,500,500,0
quic,single,none,Ideal,L3,secp384r1,x448_hqc192,4,500,500,0
quic,single,none,Ideal,L3,secp384r1,x448_mlkem768,4,500,500,0
quic,single,none,Ideal,L5,mldsa87,P-521,4,500,500,0
quic,single,none,Ideal,L5,mldsa87,hqc256,4,500,500,0
quic,single,none,Ideal,L5,mldsa87,mlkem1024,4,500,500,0
quic,single,none,Ideal,L5,mldsa87,p521_hqc256,4,500,500,0
quic,single,none,Ideal,L5,mldsa87,p521_mlkem1024,4,500,500,0
quic,single,none,Ideal,L5,secp521r1,P-521,4,500,500,0
quic,single,none,Ideal,L5,secp521r1,hqc256,4,500,500,0
quic,single,none,Ideal,L5,secp521r1,mlkem1024,4,500,500,0
quic,single,none,Ideal,L5,secp521r1,p521_hqc256,4,500,500,0
quic,single,none,Ideal,L5,secp521r1,p521_mlkem1024,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,ed25519,P-256,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,ed25519,hqc128,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,ed25519,mlkem512,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,ed25519,p256_hqc128,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,ed25519,p256_mlkem512,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,ed25519,x25519,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,ed25519,x25519_hqc128,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,ed25519,x25519_mlkem512,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,mldsa44,P-256,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,mldsa44,hqc128,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,mldsa44,mlkem512,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,mldsa44,p256_hqc128,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,mldsa44,p256_mlkem512,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,mldsa44,x25519,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,mldsa44,x25519_hqc128,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L1,mldsa44,x25519_mlkem512,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,mldsa65,P-384,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,mldsa65,hqc192,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,mldsa65,mlkem768,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,mldsa65,p384_hqc192,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,mldsa65,p384_mlkem768,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,mldsa65,x448,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,mldsa65,x448_hqc192,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,mldsa65,x448_mlkem768,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,secp384r1,P-384,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,secp384r1,hqc192,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,secp384r1,mlkem768,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,secp384r1,p384_hqc192,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,secp384r1,p384_mlkem768,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,secp384r1,x448,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,secp384r1,x448_hqc192,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L3,secp384r1,x448_mlkem768,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L5,mldsa87,P-521,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L5,mldsa87,hqc256,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L5,mldsa87,mlkem1024,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L5,mldsa87,p521_hqc256,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L5,mldsa87,p521_mlkem1024,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L5,secp521r1,P-521,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L5,secp521r1,hqc256,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L5,secp521r1,mlkem1024,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L5,secp521r1,p521_hqc256,4,500,500,0
quic,single,simple_loss1.3_delay62.51ms,Moderate,L5,secp521r1,p521_mlkem1024,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,ed25519,P-256,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,ed25519,hqc128,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,ed25519,mlkem512,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,ed25519,p256_hqc128,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,ed25519,p256_mlkem512,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,ed25519,x25519,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,ed25519,x25519_hqc128,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,ed25519,x25519_mlkem512,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,mldsa44,P-256,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,mldsa44,hqc128,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,mldsa44,mlkem512,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,mldsa44,p256_hqc128,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,mldsa44,p256_mlkem512,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,mldsa44,x25519,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,mldsa44,x25519_hqc128,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L1,mldsa44,x25519_mlkem512,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L3,mldsa65,P-384,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L3,mldsa65,hqc192,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L3,mldsa65,mlkem768,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L3,mldsa65,p384_hqc192,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L3,mldsa65,p384_mlkem768,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L3,mldsa65,x448,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L3,mldsa65,x448_hqc192,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L3,mldsa65,x448_mlkem768,4,500,500,0
quic,single,simple_loss1.5833_delay83.52ms,Degraded,L3,secp384r1,P-384,4,500,500,0
