P-521,hqc256,p521_hqc256
4.3,80.53,95.79
4.15,96.2,102.12
5.23,82.84,90.39
4.12,79.64,103.85
4.24,91.24,88.61
5.22,80.2,96.15
5.42,91.39,94.75
4.01,90.91,93.64
4.99,90.08,95.18
3.95,99.86,92.22
4.08,79.93,92.33
4.02,79.47,98.72
4.06,79.26,94.31
4.46,79.38,89.86
4.11,79.54,89.83
4.77,79.59,89.09
3.95,79.81,88.25
4.06,79.84,90.28
5.1,80.47,90.58
5.32,79.0,93.08
4.27,79.64,89.56
4.88,79.72,91.34
4.92,80.33,95.04
4.95,92.18,88.8
3.98,79.39,95.66
3.9,79.68,87.99
4.98,79.29,87.91
4.0,79.39,88.18
5.03,80.39,88.47
5.01,78.93,102.23
4.0,79.71,91.19
4.25,80.06,88.2
5.35,94.23,101.39
4.19,90.09,88.63
4.03,90.65,87.99
4.07,79.66,100.82
5.04,79.52,89.38
4.2,85.88,93.49
3.96,89.02,93.15
4.12,79.53,90.96
4.16,81.78,175.82
3.87,81.95,1174.25
4.07,79.98,109.16
5.12,79.24,91.02
4.06,79.77,293.28
3.91,80.65,88.42
3.94,93.69,98.75
5.04,79.92,89.7
5.35,80.09,88.7
4.88,81.33,88.03
5.01,105.82,88.8
5.11,85.36,1056.68
4.79,84.04,88.33
4.01,79.92,90.24
3.99,94.69,88.44
5.01,89.86,88.44
4.26,87.38,1078.97
4.05,92.16,108.46
4.5,88.7,87.69
5.58,79.33,87.99
7.28,80.32,89.75
6.1,82.85,90.57
7.26,110.6,88.91
5.82,82.49,88.78
4.66,84.87,88.12
6.26,80.19,90.73
6.5,81.39,89.19
5.79,81.87,87.87
5.72,97.66,102.28
5.61,150.43,141.97
4.89,80.25,88.36
4.63,79.37,91.03
7.8,91.71,102.14
6.73,83.78,87.98
4.57,1142.9,87.92
4.81,104.54,88.92
4.76,83.86,87.46
7.01,100.41,87.79
4.63,84.74,90.26
6.93,84.84,90.29
4.62,94.6,88.12
5.67,216.72,186.99
4.91,99.56,88.05
4.7,1096.04,92.41
5.67,138.11,88.87
4.7,1135.89,88.28
4.71,97.38,89.27
4.49,107.6,88.52
4.6,80.64,88.71
4.67,1093.7,87.73
5.01,120.67,88.01
4.24,99.55,87.75
4.52,105.92,93.32
5.21,104.5,90.56
4.69,114.14,88.54
4.8,111.63,97.69
6.04,314.73,3222.27
5.11,107.01,89.08
5.82,104.85,88.71
5.66,1088.46,87.87
5.8,138.22,88.11
6.15,139.74,1107.1
