P-384,x448,hqc192,p384_hqc192,x448_hqc192
3005.02,9.25,121.09,111.19,84.83
7.51,11.11,134.65,129.08,85.45
7.5,9.22,115.62,121.01,83.75
7.27,9.63,88.96,113.38,81.24
7.78,1017.4,106.9,110.31,86.62
7.73,9.04,130.89,109.25,83.51
1006.99,9.64,79.42,129.13,84.46
3005.33,7.1,110.81,104.52,84.8
8.23,6.74,1074.55,118.65,100.26
7.39,3009.05,145.93,108.2,82.38
7.54,10.04,80.05,104.29,89.58
7.51,12.43,101.44,115.27,83.96
7.74,12.24,282.68,106.74,84.02
7.8,9.65,95.11,122.86,81.84
1007.02,9.95,1248.64,93.56,84.83
7.49,8.98,95.46,106.61,82.65
7.22,1007.38,107.11,94.04,82.42
1006.91,10.08,273.68,108.18,81.76
7.44,10.68,263.35,102.34,95.46
7.5,10.43,168.28,126.23,109.33
7.43,7.28,138.06,104.58,214.97
10.5,9.35,124.89,92.55,141.59
7.79,7.18,176.39,116.97,192.4
7.68,8.44,249.61,102.06,203.95
1006.73,9.61,168.95,97.82,152.27
1006.68,8.73,158.6,94.42,206.49
7.36,8.36,159.33,107.29,183.28
7.51,9.07,212.0,97.07,103.91
7.39,11.75,145.06,106.2,102.55
1006.88,11.41,95.51,98.35,212.11
1007.22,10.56,1073.83,95.9,178.36
7.39,11.78,132.23,101.87,242.2
1007.98,12.99,91.55,95.18,232.08
1006.94,9.6,98.75,115.39,90.84
3005.06,9.62,82.22,93.67,136.32
7.37,3005.46,95.73,98.85,164.95
10.28,1005.83,91.31,96.33,126.78
7.38,7.12,97.35,96.6,155.13
7.32,7.34,90.09,95.18,94.07
7.8,6.23,86.65,98.42,94.74
7.86,1006.57,87.99,96.05,90.44
7.43,6.38,103.89,98.42,94.88
7.39,6.43,309.65,95.47,84.69
9.69,9.68,228.82,108.35,84.36
10.61,6.31,82.06,92.39,84.18
9.74,8.28,103.09,106.42,80.48
7.44,10.11,99.26,93.12,89.35
7.88,10.39,122.88,97.49,81.32
1006.95,6.41,179.98,107.97,85.73
7.19,12.67,93.24,96.53,96.75
7.52,6.42,96.11,119.78,84.15
3005.24,6.32,126.5,104.13,83.15
7.5,5.89,228.18,149.3,81.6
7.07,6.32,225.35,156.03,96.42
7.45,9.21,315.7,131.09,82.71
7.58,6.3,243.27,253.03,97.09
7.3,8.51,659.27,242.96,97.29
7.4,5.99,180.57,150.22,87.11
7.33,5.71,239.79,198.9,82.85
7.34,8.79,160.72,199.06,97.49
7.42,6.34,95.42,218.31,85.02
7.73,6.39,108.8,209.53,81.73
10.46,9.01,146.77,214.05,83.92
7001.96,6.41,1087.57,216.38,96.21
1007.03,6.35,88.72,216.7,84.39
7.29,8.36,105.17,130.71,91.65
7.27,6.34,98.79,112.3,82.92
7.31,1005.94,95.28,126.84,82.98
7.48,6.54,79.79,109.71,98.21
7.63,1006.33,96.44,130.26,83.42
8.13,1012.19,81.51,104.61,95.18
7.69,10.38,83.36,107.5,86.14
8.09,9.96,82.05,128.9,104.46
7.42,10.74,86.46,101.34,83.19
1006.9,10.18,109.69,94.74,84.27
8.95,9.15,92.09,103.61,82.15
7.18,1007.43,94.42,92.86,82.36
12.71,5.74,235.0,93.45,102.08
1009.84,8.64,199.48,106.64,82.68
1008.87,9.03,174.84,96.71,85.02
7.37,7.68,134.95,130.9,84.42
7.26,7.48,354.87,115.78,84.37
9.58,8.21,422.06,105.98,102.26
7.63,7.76,1186.38,105.43,102.75
7.21,1008.5,150.94,111.61,255.04
8.92,11.35,227.43,98.93,177.96
1011.64,9.74,1116.28,111.1,190.31
7.73,8.22,88.03,95.98,227.75
1007.31,8.99,86.61,94.33,182.5
7.45,7.65,110.38,108.47,144.99
9.51,7.77,78.57,97.7,152.33
7.77,6.17,118.41,94.17,112.2
9.66,6.54,116.87,95.24,104.47
9.65,10.37,103.52,97.49,111.86
1007.86,9.7,120.29,105.67,95.25
7.52,11.06,92.54,115.42,110.87
7.7,8.21,98.3,125.19,143.1
10.74,5.94,94.39,92.8,147.62
8.13,7002.76,89.46,95.26,116.84
7.77,7.21,85.3,93.51,202.7
1008.92,14.8,86.63,94.53,130.72
7.58,8.07,71.93,94.86,104.25
7.47,1007.51,84.07,96.44,111.26
7.79,7.75,89.19,92.77,118.67
11.01,10.68,107.45,101.14,98.92
7.46,7.04,90.44,95.53,124.26
