P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
1.96,1.76,180.35,22.56,17.83
1.9,1.64,1036.29,134.85,19.5
2.05,1.8,15.87,1019.29,18.17
1.95,1.61,27.41,22.72,17.55
2.01,2.09,15.83,22.71,18.17
1.86,2.1,16.15,24.32,24.46
1.86,1.57,15.83,22.87,17.46
1.82,2.08,16.38,22.79,17.21
1.99,1.84,29.1,25.06,17.66
2.07,1.94,15.81,22.73,17.56
1.98,1.67,16.23,24.41,17.26
2.41,1.77,15.8,22.78,24.77
2.5,1.6,16.4,22.59,24.28
2.44,1.69,16.27,24.54,17.56
2.23,1.58,16.23,22.66,18.05
1.89,1.65,15.94,36.7,17.79
2.02,2.11,3592.19,23.11,17.87
1.84,1.66,15.94,22.94,17.38
2.13,1.9,16.15,23.16,17.38
1.81,1.67,15.89,22.69,25.03
1.96,1.63,1106.34,22.92,24.63
2.33,2.47,22.3,161.05,24.9
2.36,2.11,90.98,22.6,17.37
2.58,1.73,71.4,289.06,17.44
2.55,1.85,1014.81,22.62,20.39
2.18,1001.99,15.74,22.82,17.44
2.39,1.73,3013.02,35.17,18.06
2.08,1.66,756.24,7016.46,17.35
2.2,1.76,1013.58,82.01,17.5
1.9,2.15,15.77,22.68,24.46
1.8,1.79,16.06,33.47,17.29
1.87,1002.13,3115.51,91.74,17.68
2.27,1.71,16.35,25.19,22.27
1.79,1.76,23.59,211.27,22.88
2.37,1.71,1022.58,1046.92,22.71
3.02,1001.47,1025.8,1019.99,20.39
1.96,1.67,1044.23,58.55,30.92
1.92,2999.55,15.97,1028.71,25.9
1.86,1001.55,29.28,22.62,29.06
2.17,1.71,15.81,23.19,450.4
2.84,1.78,2674.64,54.19,32.94
1.97,1.72,15.78,170.49,1036.1
2.28,1.76,22.86,1486.58,24.12
2.4,2.13,16.09,46.97,1019.15
2.32,1001.49,3011.73,669.12,17.3
1.84,1001.54,3034.82,22.92,24.72
2.2,1001.49,274.38,51.36,3036.23
1.84,1001.44,15.88,22.71,1098.96
1.91,2.16,54.75,72.45,17.27
2.46,1.7,22.25,22.71,47.77
1.83,2.13,20.31,23.01,1087.04
1.82,1001.32,26.89,1113.89,179.09
2.72,6998.55,1024.06,22.75,17.31
2.16,2.03,16.16,23.74,17.24
1.92,2.09,16.43,22.61,60.23
1.86,1.99,15.8,115.04,1090.31
2.14,1.68,38.52,751.45,17.48
2.09,2.1,15.92,22.71,17.49
1.85,6998.62,16.16,422.91,198.84
2.53,2999.6,15.79,22.77,1038.32
2.22,3001.0,45.45,23.04,24.53
1.85,1.91,20.26,277.65,17.44
2.92,2.91,106.11,33.33,1047.14
2.34,1.67,15.88,7031.47,17.23
1.82,1.73,16.05,22.7,3096.78
2.11,2.15,1196.47,3036.27,17.23
2.23,1.72,16.26,1069.61,2067.62
1.99,1001.5,2877.03,116.55,22.75
2.1,2.16,16.67,835.13,22.28
2.28,1.88,16.11,26.79,17.57
2.09,1001.49,16.13,22.67,177.85
1.91,1.67,21.75,3041.58,18.31
2.17,6998.61,16.31,68.83,34.1
2.38,3075.56,16.72,22.72,1038.03
1.87,1.72,234.42,24.84,1030.46
2.19,2999.54,1838.98,22.96,18.07
1.84,2.14,3749.21,22.71,75.96
2.21,2.43,15.82,670.99,22.37
1.98,2.09,3869.58,22.47,18.27
2.16,1001.43,1198.54,23.08,3014.51
2.47,6998.54,22.35,22.64,17.62
2.17,1000.9,16.15,23.76,20.39
2.07,1.73,15.94,33.63,17.39
3000.35,2.01,16.08,23.62,18.0
1.94,1001.83,38.21,23.05,1032.32
2.08,1.74,1036.99,27.06,22.42
1.82,1.96,1018.9,733.98,7695.53
1.9,2.04,28.4,697.01,17.31
2.3,2.1,15.92,22.57,24.82
2999.94,1.87,16.1,1042.09,21.94
1.9,1.7,25.32,22.66,24.55
1.92,1.73,66.61,22.65,1037.85
1001.6,1.69,3012.62,22.89,24.83
1.95,2.04,399.85,28.04,25.31
1.9,2.04,15.81,22.94,17.28
1.91,6998.03,15.9,22.87,17.42
2.44,2999.53,237.82,504.17,1098.9
1.95,1.75,29.39,202.92,65.92
1002.4,1.7,28.04,7099.41,17.35
1.93,3000.39,1013.91,22.77,17.9
1001.61,1.74,1031.91,23.24,1043.76
1.85,1.75,164.15,22.91,17.32
2.81,1.84,15.88,23.79,17.69
2.02,1001.93,16.35,109.37,17.29
3000.13,1001.48,15.93,1049.61,24.86
6999.58,2.12,22.31,22.86,17.3
2.43,1.77,30.38,24.43,17.27
2.81,1.73,16.49,1569.13,17.79
3000.59,1001.52,16.59,52.79,1044.63
2.34,1.71,3012.84,1037.52,560.59
1001.51,2.18,1031.24,34.46,3014.14
1.85,1.67,15.83,39.85,3014.24
2.72,1002.16,790.26,27.1,1037.51
1.97,3000.96,15.88,28.35,17.41
1.87,1001.47,1089.17,32.09,17.91
1.98,1.68,15.8,38.78,90.11
2.19,1.74,15.81,95.32,192.57
2.2,1.68,15.83,1129.11,17.51
1001.55,1001.5,15.97,173.39,38.51
2.41,2999.53,15.99,22.78,17.24
6998.28,14791.1,16.3,91.62,17.78
1.91,1.71,15.81,33.84,17.33
3000.87,2.09,63.76,86.46,7029.72
1001.6,2.12,16.07,23.2,1014.93
2.08,1001.78,3012.56,22.73,17.36
1002.69,2999.28,15.82,22.6,1016.73
1.87,1001.95,1090.49,28.32,1029.85
1.9,1.72,54.46,3103.14,18.52
3000.66,2.12,16.07,24.31,24.45
6998.72,6998.63,15.78,22.97,3023.55
6998.32,1.71,16.35,1019.36,17.41
1.88,1.76,1014.55,523.62,18.11
1.93,1.72,15.86,1020.28,77.47
2.27,2.13,15.86,22.7,1021.89
1001.55,1001.94,16.25,22.71,76.58
1001.49,1.76,35.85,3102.2,17.43
2.17,1.69,16.1,22.69,17.67
1001.55,2999.53,1041.75,23.22,17.93
1001.51,1.81,117.4,35.14,66.23
1.94,1001.47,3799.33,61.33,1605.03
2.0,2.25,16.07,3152.7,19.98
1.96,1001.52,17.16,22.71,2725.49
1.97,6999.44,15.98,346.39,17.28
1001.62,1001.48,1013.57,22.49,17.55
1.96,1.73,15.8,22.55,88.26
1001.62,1.68,69.44,33.38,24.74
2.24,1001.5,15.76,23.08,17.83
6998.67,1001.5,15.92,22.7,18.87
2.48,1.66,1013.8,33.4,26.85
2.46,1.72,225.54,22.93,20.64
1002.16,6998.93,1197.03,33.45,32.26
2.0,1001.39,70.49,7092.88,27.52
2.04,1.73,16.03,22.58,1109.66
1.85,9923.89,16.59,7060.06,22.82
1001.6,1.72,16.03,979.09,3424.93
1001.09,1001.87,1097.48,24.91,143.95
1.86,1.75,15.96,1024.4,55.52
2.23,2999.88,16.24,172.84,17.3
2999.66,1001.68,73.85,106.37,17.25
3001.2,1.78,15.97,22.64,17.4
7997.53,3000.0,16.29,22.55,17.51
1001.15,1.81,16.04,59.32,1285.3
1.86,2.85,16.49,3104.12,17.19
1.92,1001.37,22.45,23.75,22.2
3000.43,1001.24,22.36,22.56,17.41
8996.49,2.13,16.4,7019.06,24.52
2999.64,1.74,3217.31,26.45,1015.31
3.5,1.72,16.7,26.53,17.27
1.87,1.69,23.03,165.75,1070.97
1.88,1001.14,3043.83,22.66,17.2
1001.59,1001.95,1039.48,27.01,17.55
1001.52,1.71,128.29,62.54,79.9
2.37,1.87,16.03,35.72,17.36
2.35,1001.58,20.71,487.19,3044.25
1075.95,1001.11,20.6,193.57,266.87
2999.73,1001.13,20.55,31.25,71.16
2.43,7998.11,3013.35,26.7,17.22
2999.59,1001.92,16.36,1022.17,17.27
1.93,1.73,17.52,22.7,219.01
1001.78,1.83,16.99,22.97,17.02
1001.56,1.73,17.07,7015.29,24.12
2.73,1001.52,89.05,23.9,1267.94
1002.23,1.85,23.59,22.86,184.87
1.93,1.82,22.92,22.71,86.83
1.9,1001.51,190.09,22.78,17.5
1001.74,1.8,24.89,23.14,1023.49
1076.0,1.73,54.24,22.61,17.13
1001.88,2.12,1076.62,1039.78,1015.13
1.93,3000.63,18.74,1041.44,24.28
1002.12,1.72,23.74,22.67,132.23
1002.08,3001.0,28.09,22.6,17.19
6999.55,1.74,18.59,3069.6,17.44
3000.79,6998.23,22.01,3041.04,20.63
2.3,1001.59,26.03,24.23,18.43
6998.79,1.74,22.18,22.58,1052.35
1.97,2.37,41.62,22.65,1098.6
1.91,1.75,2150.95,23.11,3204.11
1.93,2.62,21.25,23.07,18.1
3000.66,2.13,3023.45,3210.9,105.21
1.92,2.29,1061.16,43.18,7034.12
2.25,1.95,15.89,35.07,30.29
6998.81,1001.72,56.59,1018.33,1042.07
2.18,1.98,26.82,22.63,22.88
3.13,1001.54,3013.01,3040.46,2644.81
1.96,1001.88,3063.57,23.24,1050.14
2.51,2.19,26.86,42.59,34.23
1.88,1001.65,77.17,25.01,31.92
2.6,1.66,3013.78,54.25,24.45
1002.11,3.17,16.4,23.62,1091.47
1.8,1001.96,16.02,1472.51,124.36
7997.78,1002.09,88.66,3871.19,17.38
1.89,1.77,118.5,22.69,19.28
1.85,1.73,22.24,106.4,1031.1
3000.48,2.0,15.87,3024.28,303.35
1.94,1.69,16.73,273.47,17.52
1.91,1001.46,15.82,2313.8,1025.29
1.95,1001.61,1020.19,23.16,1020.55
1.8,3000.48,1040.66,22.76,24.5
2999.64,1001.6,26.93,33.97,107.46
2.11,1.8,1208.87,55.97,167.85
1001.13,1.84,15.84,22.58,17.33
5359.18,2.09,3012.72,22.98,1188.32
2.47,2999.6,49.9,1096.68,17.41
1.99,6998.24,15.96,33.5,17.46
2999.65,1.7,15.82,1043.59,17.82
2.15,6998.69,1013.8,1079.46,17.35
2.37,2.13,63.07,57.25,259.73
2.24,1.63,16.23,27.13,17.84
1.82,1.67,15.96,26.65,17.63
1.92,2999.58,31.23,40.06,17.27
1.89,1.76,387.92,77.27,17.69
1001.63,1.7,16.5,182.01,167.44
1001.25,1001.98,1165.7,2787.28,1016.53
2.12,2999.59,16.14,25.81,17.23
1001.65,2999.48,1090.18,25.51,18.5
1.9,6998.45,24.24,30.89,18.04
1001.63,1.71,1353.0,22.66,18.37
3000.55,6998.59,1042.57,1046.89,1032.56
1.92,1.98,22.48,127.56,17.99
3000.72,2.62,97.68,116.74,39.26
2.4,1.81,1014.44,91.33,20.11
2.2,2.13,25.27,775.98,17.29
1001.53,1.68,31.19,385.49,17.89
1001.57,1.8,49.34,33.41,43.16
1001.63,1.62,1037.79,175.32,1040.37
1.91,1.92,15.78,23.76,73.02
1.88,1.8,628.74,23.54,17.25
1002.08,1.69,15.82,132.42,17.21
1001.26,6998.93,15.95,22.79,18.6
2.16,1.73,1438.84,23.56,1158.02
1002.08,1001.16,15.8,22.55,1037.66
2.48,1001.32,771.81,24.01,17.42
1.95,1.84,15.79,3019.33,7031.9
2.35,1.79,16.18,1091.3,21.76
3000.22,1.63,22.3,35.99,17.78
6998.12,1001.79,15.8,23.44,17.91
3000.05,1.76,56.03,85.08,18.12
1.92,1.69,68.63,23.75,17.66
2999.7,1.74,15.73,27.86,21.88
1.89,1.7,524.87,413.92,18.85
3.12,2.1,15.8,3028.01,7031.96
2999.69,1001.56,15.75,33.45,17.32
1.77,2.09,1096.44,22.75,2097.87
2.71,6999.34,82.65,1426.55,17.48
1.9,1.82,108.23,1047.16,198.68
2.08,2999.45,15.85,1041.88,171.73
1001.04,3000.59,38.62,30.75,1024.23
3001.15,1001.47,105.7,104.88,17.22
1.87,1001.47,15.8,22.78,28.15
1.96,2.15,1018.72,23.34,3098.0
2.89,1.72,15.82,27.83,17.52
1.79,3031.76,20.26,22.76,156.36
1.86,1.72,1016.45,1026.15,22.45
2.03,6998.76,17.29,27.91,1037.74
1.95,1001.49,3025.32,47.37,90.73
2.89,2.15,15.72,62.12,17.18
1.88,1001.49,20.42,1042.16,18.24
1001.85,1.8,22.72,38.17,3015.71
2.31,2.43,1103.84,33.24,2681.85
2.28,1001.43,22.54,22.97,267.68
2.57,1.69,20.88,35.58,17.26
2.31,1.65,16.13,7024.55,3094.5
3074.86,2999.96,20.26,23.02,3041.17
2.07,1.7,41.63,23.35,769.95
1.81,3000.49,16.1,1166.03,1032.58
2.83,1001.44,22.33,22.53,1025.49
2.07,1.99,96.95,23.45,22.84
1.93,2.07,15.78,23.51,24.8
1001.98,2.53,15.8,35.46,334.62
2.54,1002.18,22.48,23.95,408.73
1.95,1002.32,1028.42,23.83,28.85
2.4,3000.01,17.0,23.11,1041.88
1.83,3000.55,16.36,23.12,3206.57
1.93,1.72,16.55,23.22,30.52
8997.68,1.71,1196.28,41.08,22.07
2999.75,3000.46,597.66,23.69,18.73
2.44,6996.65,3015.19,1021.09,1031.17
1001.61,1.72,16.11,28.62,3418.27
2.46,1.68,17.12,23.84,17.41
1001.55,1.68,16.27,55.56,121.55
3000.15,6998.2,17.91,23.67,1043.25
1001.48,1001.47,1013.55,3155.14,1015.66
2.42,1.63,79.87,33.89,81.96
2.4,1001.55,1412.02,328.21,1099.14
1.97,1.65,1034.7,22.86,17.13
3001.03,1.68,167.29,3034.77,1038.13
1.99,1.74,15.96,1027.93,24.89
2999.51,2.27,15.86,22.78,1038.22
2.23,1001.39,15.79,23.08,17.24
