P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
3.22,5.5,22.28,5.52,4.91
3.4,6.63,23.62,6.35,4.71
4.57,7.65,24.78,6.88,4.92
3.36,7.08,21.28,5.95,5.58
4.34,5.65,21.6,6.17,5.11
3.39,5.96,20.93,6.37,4.98
5.05,6.49,21.72,5.7,4.65
5.16,5.09,21.49,5.73,4.81
4.45,5.05,21.03,6.7,4.68
4.47,5.64,22.62,6.23,5.54
4.33,5.34,21.19,5.55,6.27
4.47,6.17,22.07,5.6,4.96
4.68,6.74,21.54,5.56,5.04
5.03,6.85,21.24,6.07,4.69
6.47,6.11,21.64,5.52,5.14
4.84,6.81,21.82,6.79,4.68
4.33,5.12,21.19,5.63,4.94
4.39,5.06,22.99,5.84,5.11
4.53,5.04,30.59,6.02,5.66
4.93,5.34,21.8,5.52,4.99
4.83,5.95,22.01,5.57,4.64
4.37,5.86,24.13,5.59,4.68
4.31,6.25,21.25,7.43,5.27
4.56,5.7,23.12,6.49,5.08
5.26,5.55,21.57,6.64,4.66
5.08,5.29,21.0,6.22,4.98
4.28,5.53,23.58,5.48,5.26
4.49,5.1,22.87,5.61,5.29
4.34,5.73,21.35,5.84,4.68
4.39,5.13,28.37,5.52,4.76
4.86,6.54,21.23,7.82,4.71
6.05,5.88,22.7,5.46,5.0
4.85,6.16,21.98,5.64,5.26
4.44,6.0,21.22,5.92,5.24
4.29,7.42,21.12,5.61,4.71
4.66,6.32,11.93,5.6,4.66
4.8,5.29,13.85,5.53,4.83
5.05,5.83,11.77,6.18,5.16
5.59,6.3,11.89,6.7,4.71
4.47,6.66,14.37,5.84,4.63
4.37,7.91,16.36,5.74,4.7
4.46,5.47,23.86,5.6,5.39
4.48,6.23,22.98,5.63,4.8
5.88,6.0,15.74,6.53,2.69
5.58,6.08,15.38,5.64,2.15
4.74,6.13,15.7,6.13,2.31
4.33,5.51,16.38,6.17,2.34
4.4,6.02,23.56,6.15,3.39
4.33,6.54,24.54,6.94,4.75
4.94,6.68,26.89,5.92,4.79
4.99,6.06,11.79,5.5,4.78
5.18,5.7,10.85,5.63,5.04
4.34,6.19,12.66,5.52,4.99
4.28,6.01,14.1,5.96,4.86
4.52,6.8,14.79,5.47,4.72
5.38,5.57,15.09,5.7,5.0
5.36,5.14,14.17,5.8,4.77
5.46,4.09,11.05,6.57,4.68
7.07,2.89,11.54,5.55,4.73
6.29,3.12,10.93,5.58,5.1
6.75,2.53,13.19,5.7,5.21
5.41,2.4,13.79,5.81,4.71
6.67,2.79,13.6,5.77,4.76
5.93,2.72,12.97,5.7,4.81
7.24,2.67,10.46,5.59,5.06
6.17,2.66,9.27,5.59,4.85
6.02,2.7,10.66,6.61,4.65
5.61,5.19,10.96,5.67,4.91
6.47,5.25,12.79,8.71,5.15
5.79,5.19,13.07,6.1,4.73
4.77,5.1,11.14,6.41,4.8
3.36,6.2,9.65,5.92,4.71
3.41,5.64,10.21,5.71,4.7
3.4,5.91,14.96,5.38,4.88
3.68,5.31,17.65,5.53,7.23
3.09,5.28,15.26,5.83,5.7
4.0,5.29,16.01,6.18,2.9
4.62,5.96,15.39,6.58,2.41
4.99,5.77,20.13,5.87,2.41
4.55,5.42,15.37,5.73,2.52
6.01,5.53,14.98,5.52,2.48
6.14,5.3,17.04,5.52,2.46
5.97,5.95,25.08,5.59,2.4
5.39,5.93,22.66,6.62,2.46
5.45,6.5,22.25,5.83,3.08
7.81,6.83,21.01,5.5,2.42
6.05,4.98,20.92,5.93,2.33
5.36,5.9,23.18,6.28,2.49
6.56,6.2,22.06,5.54,2.38
6.45,3.56,22.44,5.77,2.15
5.54,2.45,21.17,5.75,2.12
6.75,2.05,21.4,6.23,2.19
7.83,2.26,22.78,6.18,2.66
5.37,2.16,21.25,5.71,2.59
6.36,2.21,22.07,5.4,2.55
6.44,2.42,14.0,5.57,2.93
5.79,2.92,9.66,5.6,3.1
3.78,2.91,10.09,5.62,3.66
2.79,2.71,9.82,6.23,4.95
3.54,2.55,9.97,5.58,4.62
3.87,3.75,15.39,6.39,4.67
2.99,3.19,22.62,6.4,4.79
2.82,3.22,21.01,5.81,3.39
2.85,3.59,21.38,5.46,2.6
3.32,3.58,20.77,5.66,2.62
4.23,3.23,24.38,5.3,2.67
3.45,3.01,22.65,5.82,2.61
3.71,3.37,21.85,5.58,5.35
3.57,3.0,21.89,5.5,4.67
4.87,3.02,20.78,5.49,4.58
3.44,3.6,22.58,5.59,4.76
4.21,3.16,22.96,5.9,5.48
3.44,3.73,22.47,5.56,4.73
3.41,3.2,22.36,7.49,4.82
3.56,3.15,21.18,6.53,4.93
3.42,3.57,23.66,5.75,5.05
