P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
17.61,8.16,21.14,4.76,5.03
18.03,7.61,18.07,6.21,5.95
16.46,8.23,19.54,5.33,5.49
16.42,7.61,18.38,4.94,5.44
16.39,8.4,24.1,7.63,6.83
16.12,7.63,25.84,11.12,5.3
16.12,8.84,25.83,10.3,5.42
16.68,8.45,29.51,11.18,4.85
16.03,8.19,38.41,9.39,6.02
17.18,7.43,35.38,9.4,6.18
20.02,7.26,38.23,9.3,5.26
20.42,7.9,37.48,9.7,4.94
13.74,7.54,38.87,9.59,6.19
10.54,8.25,37.32,9.16,4.81
8.02,7.77,39.52,9.68,5.15
9.21,7.43,37.88,6.36,5.17
8.23,7.47,37.17,6.63,4.78
12.11,8.15,27.02,6.9,4.83
12.42,7.59,18.03,7.04,4.93
11.66,7.42,18.76,8.18,5.82
11.98,6.65,29.6,8.62,5.6
12.77,6.55,29.99,8.89,5.76
7.65,6.6,28.33,8.79,4.83
7.97,6.54,28.4,9.03,4.97
7.61,7.45,37.05,8.11,6.01
8.7,6.7,39.84,8.19,5.48
13.15,6.51,38.55,8.26,4.93
21.67,6.63,37.38,8.86,4.89
21.55,6.68,37.49,8.87,4.88
21.0,8.17,36.66,9.09,6.42
20.62,7.59,39.55,9.08,5.18
17.62,7.58,36.68,8.86,4.79
20.78,7.36,36.78,9.84,5.91
19.27,7.99,36.78,10.26,5.23
21.11,7.35,38.87,9.72,4.49
23.0,6.63,25.94,10.04,5.11
21.92,6.59,18.37,9.7,5.94
21.8,7.41,18.69,10.48,4.93
20.82,7.35,35.02,9.64,5.72
22.22,7.17,36.9,9.41,5.16
24.15,7.11,37.03,9.17,6.13
20.09,6.51,36.52,10.39,4.97
20.84,7.49,37.17,9.46,5.21
20.83,6.48,37.14,9.43,4.86
18.33,6.52,38.91,8.89,5.11
18.96,6.57,37.21,8.91,5.47
15.32,6.45,37.24,9.28,5.66
12.62,7.41,36.75,10.76,5.58
18.29,7.37,37.77,9.79,4.8
22.32,7.23,36.82,9.76,5.51
21.86,5.0,36.62,9.42,5.36
20.99,5.09,37.79,9.64,5.22
22.69,5.56,37.99,9.09,3.93
12.25,7.92,39.37,8.89,2.67
8.74,7.04,40.84,8.96,2.28
8.24,7.11,37.66,9.2,2.45
9.26,8.69,38.04,9.33,2.27
10.28,6.62,37.56,8.94,2.23
13.88,6.97,25.41,9.67,2.17
13.25,6.55,18.41,9.5,2.26
17.58,6.55,19.29,9.42,2.42
16.15,6.6,18.74,8.95,3.09
17.38,6.69,18.6,9.17,2.61
18.53,6.46,18.94,10.46,2.83
16.09,6.47,21.54,8.88,2.96
17.07,6.6,18.83,8.84,2.91
21.84,6.56,18.78,9.4,3.45
22.46,6.58,19.38,8.9,3.27
19.7,7.16,22.56,8.9,3.12
25.45,6.73,37.57,8.98,3.14
22.42,6.54,38.99,9.06,2.98
22.63,6.73,39.55,8.82,3.11
23.51,6.55,40.15,8.9,6.71
22.25,6.62,37.51,9.01,5.38
23.64,6.61,39.59,8.88,4.93
22.3,7.17,38.38,8.87,5.48
21.02,6.52,38.85,8.79,5.79
24.85,6.7,37.4,8.94,6.15
22.98,6.74,34.84,8.72,4.71
21.19,6.73,33.42,8.95,5.33
22.01,7.39,36.39,8.85,5.14
20.22,7.17,33.33,8.88,5.53
19.94,8.96,37.89,8.9,5.33
20.81,7.32,36.67,9.77,5.71
23.12,7.36,39.2,8.92,4.84
