run_id,duration_ms,success
1,158.79,1
2,344.57,1
3,498.04,1
4,104.40,1
5,480.36,1
6,215.11,1
7,420.59,1
8,156.73,1
9,488.50,1
10,206.97,1
11,399.46,1
12,262.52,1
13,216.77,1
14,271.54,1
15,475.33,1
16,197.81,1
17,272.53,1
18,142.06,1
19,144.78,1
20,152.58,1
21,767.18,1
22,116.96,1
23,481.10,1
24,264.25,1
25,554.37,1
26,131.48,1
27,146.38,1
28,182.96,1
29,248.61,1
30,139.47,1
31,247.07,1
32,686.02,1
33,285.11,1
34,485.23,1
35,864.78,1
36,331.62,1
37,298.48,1
38,688.29,1
39,628.14,1
40,235.69,1
41,104.80,1
42,655.49,1
43,227.24,1
44,233.72,1
45,915.26,1
46,485.42,1
47,353.28,1
48,856.35,1
49,963.47,1
50,672.09,1
51,516.56,1
52,237.26,1
53,330.36,1
54,381.28,1
55,395.82,1
56,412.36,1
57,614.66,1
58,587.23,1
59,815.47,1
60,129.14,1
61,684.51,1
62,292.43,1
63,421.03,1
64,745.07,1
65,110.92,1
66,376.81,1
67,161.05,1
68,236.51,1
69,111.67,1
70,487.25,1
71,244.33,1
72,206.41,1
73,689.68,1
74,302.78,1
75,159.05,1
76,450.28,1
77,234.15,1
78,627.62,1
79,402.16,1
80,218.56,1
81,634.21,1
82,410.73,1
83,562.45,1
84,258.00,1
85,594.74,1
86,531.76,1
87,157.10,1
88,314.53,1
89,209.82,1
90,364.29,1
91,197.60,1
92,469.31,1
93,602.95,1
94,459.65,1
95,462.07,1
96,1041.79,1
97,157.22,1
98,221.93,1
99,247.17,1
100,98.13,1
101,259.48,1
102,187.52,1
103,887.83,1
104,439.81,1
105,329.50,1
106,323.96,1
107,828.42,1
108,206.20,1
109,760.19,1
110,647.03,1
111,260.91,1
112,493.10,1
113,371.25,1
114,437.48,1
115,174.49,1
116,231.61,1
117,196.22,1
118,219.25,1
119,262.28,1
120,780.26,1
121,179.79,1
122,542.23,1
123,207.61,1
124,356.51,1
125,315.08,1
126,445.56,1
127,425.30,1
128,262.54,1
129,103.93,1
130,364.83,1
131,513.22,1
132,1185.83,1
133,1046.74,1
134,319.60,1
135,279.61,1
136,406.15,1
137,324.42,1
138,245.88,1
139,387.18,1
140,588.12,1
141,115.42,1
142,325.61,1
143,221.77,1
144,552.44,1
145,433.56,1
146,525.94,1
147,241.86,1
148,271.59,1
149,448.50,1
150,122.29,1
151,204.21,1
152,401.95,1
153,410.24,1
154,152.55,1
155,699.99,1
156,378.02,1
157,139.53,1
158,272.86,1
159,188.03,1
160,236.68,1
161,620.88,1
162,726.61,1
163,591.50,1
164,278.22,1
165,276.86,1
166,739.41,1
167,225.44,1
168,438.75,1
169,114.02,1
170,233.61,1
171,185.06,1
172,625.32,1
173,239.52,1
174,326.95,1
175,523.50,1
176,316.98,1
177,153.62,1
178,261.99,1
179,489.11,1
180,291.35,1
181,458.67,1
182,335.89,1
183,295.75,1
184,155.08,1
185,119.63,1
186,132.35,1
187,137.83,1
188,231.41,1
189,108.09,1
190,510.45,1
191,240.82,1
192,145.82,1
193,649.88,1
194,344.70,1
195,416.33,1
196,319.57,1
197,107.27,1
198,226.36,1
199,266.39,1
200,179.89,1
201,254.68,1
202,216.45,1
203,251.14,1
204,313.70,1
205,338.31,1
206,540.50,1
207,313.92,1
208,187.16,1
209,210.19,1
210,285.55,1
211,419.54,1
212,313.33,1
213,502.08,1
214,528.51,1
215,178.28,1
216,343.14,1
217,890.14,1
218,620.55,1
219,112.54,1
220,581.70,1
221,690.37,1
222,546.52,1
223,477.08,1
224,227.64,1
225,516.86,1
226,273.07,1
227,141.53,1
228,537.78,1
229,317.50,1
230,418.49,1
231,308.38,1
232,380.40,1
233,279.96,1
234,190.26,1
235,123.63,1
236,196.07,1
237,220.40,1
238,103.21,1
239,422.27,1
240,209.53,1
241,359.16,1
242,367.18,1
243,703.63,1
244,623.60,1
245,180.24,1
246,173.34,1
247,135.29,1
248,300.20,1
249,106.72,1
250,458.79,1
251,504.62,1
252,262.56,1
253,546.37,1
254,286.83,1
255,133.90,1
256,389.52,1
257,574.21,1
258,357.24,1
259,218.87,1
260,373.94,1
261,148.11,1
262,220.65,1
263,972.92,1
264,372.95,1
265,384.98,1
266,223.16,1
267,158.27,1
268,575.14,1
269,341.93,1
270,479.24,1
271,447.37,1
272,404.02,1
273,339.97,1
274,595.24,1
275,112.66,1
276,552.31,1
277,108.19,1
278,447.56,1
279,307.73,1
280,318.35,1
281,239.08,1
282,544.01,1
283,172.08,1
284,536.84,1
285,373.35,1
286,101.23,1
287,101.14,1
288,192.25,1
289,198.85,1
290,215.65,1
291,238.41,1
292,147.26,1
