security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,285.491,300.712,-5.1
L1,ed25519,hqc128,pq_pur,337.958,300.712,12.4
L1,ed25519,mlkem512,pq_pur,283.169,300.712,-5.8
L1,ed25519,p256_hqc128,hybride,360.408,300.712,19.9
L1,ed25519,p256_mlkem512,hybride,304.705,300.712,1.3
L1,ed25519,x25519_hqc128,hybride,340.253,300.712,13.1
L1,ed25519,x25519_mlkem512,hybride,289.817,300.712,-3.6
L1,ed25519,x25519,classique,283.503,300.712,-5.7
L1,mldsa44,P-256,classique,314.006,300.712,4.4
L1,mldsa44,hqc128,pq_pur,349.379,300.712,16.2
L1,mldsa44,mlkem512,pq_pur,315.456,300.712,4.9
L1,mldsa44,p256_hqc128,hybride,349.523,300.712,16.2
L1,mldsa44,p256_mlkem512,hybride,323.108,300.712,7.4
L1,mldsa44,x25519_hqc128,hybride,347.552,300.712,15.6
L1,mldsa44,x25519_mlkem512,hybride,317.017,300.712,5.4
L1,mldsa44,x25519,classique,319.848,300.712,6.4
L3,mldsa65,P-384,classique,325.41,307.945,5.7
L3,mldsa65,hqc192,pq_pur,497.173,307.945,61.4
L3,mldsa65,mlkem768,pq_pur,323.585,307.945,5.1
L3,mldsa65,p384_hqc192,hybride,509.58,307.945,65.5
L3,mldsa65,p384_mlkem768,hybride,334.552,307.945,8.6
L3,mldsa65,x448_hqc192,hybride,507.378,307.945,64.8
L3,mldsa65,x448_mlkem768,hybride,325.145,307.945,5.6
L3,mldsa65,x448,classique,324.026,307.945,5.2
L5,mldsa87,P-521,classique,469.043,381.514,22.9
L5,mldsa87,hqc256,pq_pur,560.495,381.514,46.9
L5,mldsa87,mlkem1024,pq_pur,467.04,381.514,22.4
L5,mldsa87,p521_hqc256,hybride,570.813,381.514,49.6
L5,mldsa87,p521_mlkem1024,hybride,483.44,381.514,26.7
L3,secp384r1,P-384,classique,292.205,307.945,-5.1
L3,secp384r1,hqc192,pq_pur,369.645,307.945,20.0
L3,secp384r1,mlkem768,pq_pur,291.76,307.945,-5.3
L3,secp384r1,p384_hqc192,hybride,374.476,307.945,21.6
L3,secp384r1,p384_mlkem768,hybride,310.808,307.945,0.9
L3,secp384r1,x448_hqc192,hybride,373.456,307.945,21.3
L3,secp384r1,x448_mlkem768,hybride,298.07,307.945,-3.2
L3,secp384r1,x448,classique,290.14,307.945,-5.8
L5,secp521r1,P-521,classique,293.986,381.514,-22.9
L5,secp521r1,hqc256,pq_pur,525.283,381.514,37.7
L5,secp521r1,mlkem1024,pq_pur,291.426,381.514,-23.6
L5,secp521r1,p521_hqc256,hybride,531.042,381.514,39.2
L5,secp521r1,p521_mlkem1024,hybride,302.246,381.514,-20.8
