protocol,auth_mode,sig_alg,kem,kem_class,security_level,sig_family,network_profile,n_total,n_success,n_failed,success_rate_pct,n_blocks_pooled,n_files_pooled,mean_ms,stdev_ms,ci95_low_ms,ci95_high_ms,ci95_method,ci95_naive_low_ms,ci95_naive_high_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms
quic,single,ed25519,P-256,classique,L1,classique,stable,500,499,1,99.8,4,4,354.512,938.533,301.977,415.337,bootstrap_blocs,272.164,436.86,2.12,1126.767,3081.383,1.78,6999.32
quic,single,ed25519,hqc128,pq_pur,L1,classique,stable,500,500,0,100.0,4,4,83.324,325.299,63.522,103.126,bootstrap_blocs,54.81,111.838,16.98,128.134,1090.042,15.79,3035.06
quic,single,ed25519,mlkem512,pq_pur,L1,classique,stable,500,499,1,99.8,4,4,253.195,696.467,226.265,280.017,bootstrap_blocs,192.085,314.304,1.86,1055.889,3000.83,1.58,6999.0
quic,single,ed25519,p256_hqc128,hybride,L1,classique,stable,500,500,0,100.0,4,4,112.658,373.493,105.034,123.111,bootstrap_blocs,79.92,145.396,26.01,1019.495,2122.942,22.55,3040.86
quic,single,ed25519,p256_mlkem512,hybride,L1,classique,stable,500,500,0,100.0,4,4,241.458,615.025,188.092,310.571,bootstrap_blocs,187.549,295.367,9.675,1037.613,3007.225,8.39,7008.62
quic,single,ed25519,x25519_hqc128,hybride,L1,classique,stable,500,500,0,100.0,4,4,139.959,484.991,98.208,181.71,bootstrap_blocs,97.447,182.47,17.84,1023.903,1126.639,17.18,7011.38
quic,single,ed25519,x25519_mlkem512,hybride,L1,classique,stable,500,500,0,100.0,4,4,256.116,561.384,236.277,280.027,bootstrap_blocs,206.909,305.324,3.46,1031.624,3001.961,3.06,3010.45
quic,single,ed25519,x25519,classique,L1,classique,stable,500,494,6,98.8,4,4,265.243,834.927,236.924,301.754,bootstrap_blocs,191.616,338.871,1.9,1001.917,3000.671,1.59,7998.77
quic,single,mldsa44,P-256,classique,L1,pq,stable,500,500,0,100.0,4,4,342.303,928.59,318.333,368.305,bootstrap_blocs,260.909,423.698,2.345,2074.462,4999.253,1.81,7023.6
quic,single,mldsa44,hqc128,pq_pur,L1,pq,stable,500,500,0,100.0,4,4,182.193,595.028,141.308,230.336,bootstrap_blocs,130.036,234.349,18.395,1073.794,2123.166,15.68,8008.5
quic,single,mldsa44,mlkem512,pq_pur,L1,pq,stable,500,500,0,100.0,4,4,411.194,1055.085,348.787,490.549,bootstrap_blocs,318.712,503.676,2.085,2089.053,5034.248,1.57,7106.51
quic,single,mldsa44,p256_hqc128,hybride,L1,pq,stable,500,500,0,100.0,4,4,184.481,582.013,155.925,219.771,bootstrap_blocs,133.465,235.497,27.435,1085.889,2466.79,22.49,8055.83
quic,single,mldsa44,p256_mlkem512,hybride,L1,pq,stable,500,500,0,100.0,4,4,283.079,698.4,258.834,307.323,bootstrap_blocs,221.861,344.296,9.73,2014.857,4006.038,8.41,5035.64
quic,single,mldsa44,x25519_hqc128,hybride,L1,pq,stable,500,500,0,100.0,4,4,150.273,499.8,127.742,172.805,bootstrap_blocs,106.464,194.083,20.815,1063.711,2135.751,17.12,6209.92
quic,single,mldsa44,x25519_mlkem512,hybride,L1,pq,stable,500,500,0,100.0,4,4,300.203,836.01,288.768,309.362,bootstrap_blocs,226.923,373.482,3.85,2026.214,4027.328,3.06,7025.32
quic,single,mldsa44,x25519,classique,L1,pq,stable,500,499,1,99.8,4,4,402.654,971.642,349.447,438.293,bootstrap_blocs,317.4,487.907,2.1,2074.667,5078.408,1.61,7098.58
quic,single,mldsa65,P-384,classique,L3,pq,stable,500,492,8,98.4,4,4,648.815,1526.715,523.337,823.102,bootstrap_blocs,513.908,783.721,5.165,3028.559,7100.825,3.85,7222.66
quic,single,mldsa65,hqc192,pq_pur,L3,pq,stable,500,500,0,100.0,4,4,162.628,345.891,136.345,188.911,bootstrap_blocs,132.309,192.947,48.045,1045.531,1150.355,43.92,3109.18
quic,single,mldsa65,mlkem768,pq_pur,L3,pq,stable,500,499,1,99.8,4,4,473.624,1007.91,428.848,499.068,bootstrap_blocs,385.188,562.059,2.22,2999.146,4001.393,1.68,8020.52
quic,single,mldsa65,p384_hqc192,hybride,L3,pq,stable,500,499,1,99.8,4,4,164.09,337.063,141.524,186.746,bootstrap_blocs,134.516,193.664,58.76,1035.97,1208.841,52.91,3252.03
quic,single,mldsa65,p384_mlkem768,hybride,L3,pq,stable,500,500,0,100.0,4,4,428.297,960.687,364.406,503.15,bootstrap_blocs,344.089,512.504,13.28,3006.727,4032.459,10.78,4833.1
quic,single,mldsa65,x448_hqc192,hybride,L3,pq,stable,500,500,0,100.0,4,4,178.989,377.745,151.702,209.797,bootstrap_blocs,145.878,212.1,53.545,1047.794,1490.022,46.49,3284.56
