protocol,auth_mode,network_profile,sig_alg,kem,kem_class,role,n_blocks_cpu,cpu_ms_per_handshake_mean,cpu_ms_ci95,cpu_ms_ci95_method,n_blocks_mem,mem_peak_MiB_mean,mem_MiB_ci95,mem_MiB_ci95_method
quic,single,none,mldsa65,x448,classique,server,4,64.134,"[61.741, 67.415]",bootstrap_blocs,4,8.923,"[8.824, 9.058]",bootstrap_blocs
quic,single,none,mldsa65,x448_hqc192,hybride,client,4,54.632,"[52.311, 58.556]",bootstrap_blocs,4,5.761,"[5.505, 5.965]",bootstrap_blocs
quic,single,none,mldsa65,x448_hqc192,hybride,server,4,133.247,"[127.464, 143.410]",bootstrap_blocs,4,10.209,"[10.069, 10.370]",bootstrap_blocs
quic,single,none,mldsa65,x448_mlkem768,hybride,client,4,26.19,"[24.843, 28.620]",bootstrap_blocs,4,5.467,"[5.344, 5.549]",bootstrap_blocs
quic,single,none,mldsa65,x448_mlkem768,hybride,server,4,66.197,"[63.898, 69.429]",bootstrap_blocs,4,9.243,"[9.156, 9.330]",bootstrap_blocs
quic,single,none,mldsa87,P-521,classique,client,4,24.163,"[23.652, 24.916]",bootstrap_blocs,4,5.478,"[5.398, 5.557]",bootstrap_blocs
quic,single,none,mldsa87,P-521,classique,server,4,63.747,"[62.455, 65.225]",bootstrap_blocs,4,9.209,"[9.102, 9.334]",bootstrap_blocs
quic,single,none,mldsa87,hqc256,pq_pur,client,4,71.468,"[70.119, 73.064]",bootstrap_blocs,4,5.608,"[5.437, 5.754]",bootstrap_blocs
quic,single,none,mldsa87,hqc256,pq_pur,server,4,178.115,"[175.558, 180.913]",bootstrap_blocs,4,12.247,"[11.926, 12.568]",bootstrap_blocs
quic,single,none,mldsa87,mlkem1024,pq_pur,client,4,23.289,"[22.447, 24.534]",bootstrap_blocs,4,5.376,"[5.352, 5.400]",bootstrap_blocs
quic,single,none,mldsa87,mlkem1024,pq_pur,server,4,61.169,"[59.251, 62.777]",bootstrap_blocs,4,9.42,"[9.246, 9.594]",bootstrap_blocs
quic,single,none,mldsa87,p521_hqc256,hybride,client,4,80.367,"[77.401, 85.752]",bootstrap_blocs,4,6.125,"[5.973, 6.209]",bootstrap_blocs
quic,single,none,mldsa87,p521_hqc256,hybride,server,4,192.134,"[185.396, 201.940]",bootstrap_blocs,4,13.314,"[12.969, 13.648]",bootstrap_blocs
quic,single,none,mldsa87,p521_mlkem1024,hybride,client,4,31.877,"[30.561, 33.777]",bootstrap_blocs,4,6.047,"[5.983, 6.106]",bootstrap_blocs
quic,single,none,mldsa87,p521_mlkem1024,hybride,server,4,76.06,"[74.389, 78.601]",bootstrap_blocs,4,10.026,"[9.753, 10.297]",bootstrap_blocs
quic,single,none,secp384r1,P-384,classique,client,4,25.548,"[24.699, 26.927]",bootstrap_blocs,4,5.426,"[5.340, 5.512]",bootstrap_blocs
quic,single,none,secp384r1,P-384,classique,server,4,66.283,"[64.818, 67.971]",bootstrap_blocs,4,8.354,"[8.283, 8.426]",bootstrap_blocs
quic,single,none,secp384r1,hqc192,pq_pur,client,4,50.797,"[49.817, 51.776]",bootstrap_blocs,4,5.476,"[5.369, 5.548]",bootstrap_blocs
quic,single,none,secp384r1,hqc192,pq_pur,server,4,126.859,"[125.563, 128.155]",bootstrap_blocs,4,10.473,"[10.180, 10.648]",bootstrap_blocs
quic,single,none,secp384r1,mlkem768,pq_pur,client,4,24.168,"[23.389, 25.457]",bootstrap_blocs,4,5.385,"[5.299, 5.471]",bootstrap_blocs
quic,single,none,secp384r1,mlkem768,pq_pur,server,4,62.548,"[60.878, 64.906]",bootstrap_blocs,4,8.417,"[8.291, 8.491]",bootstrap_blocs
quic,single,none,secp384r1,p384_hqc192,hybride,client,4,59.721,"[57.974, 62.566]",bootstrap_blocs,4,5.986,"[5.796, 6.144]",bootstrap_blocs
quic,single,none,secp384r1,p384_hqc192,hybride,server,4,141.467,"[139.032, 145.064]",bootstrap_blocs,4,11.543,"[11.473, 11.623]",bootstrap_blocs
quic,single,none,secp384r1,p384_mlkem768,hybride,client,4,34.574,"[31.745, 39.853]",bootstrap_blocs,4,6.026,"[5.729, 6.242]",bootstrap_blocs
