protocol,auth_mode,network_profile,sig_alg,kem,kem_class,role,n_blocks_cpu,cpu_ms_per_handshake_mean,cpu_ms_ci95,cpu_ms_ci95_method,n_blocks_mem,mem_peak_MiB_mean,mem_MiB_ci95,mem_MiB_ci95_method
quic,single,simple_loss1.3_delay62.51ms,secp384r1,p384_hqc192,hybride,server,4,459.01,"[441.999, 476.022]",bootstrap_blocs,4,10.792,"[10.730, 10.852]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,p384_mlkem768,hybride,client,4,42.652,"[32.061, 53.243]",bootstrap_blocs,4,5.813,"[5.712, 5.910]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,p384_mlkem768,hybride,server,4,385.483,"[365.450, 415.110]",bootstrap_blocs,4,10.099,"[10.027, 10.170]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,x448,classique,client,4,30.2,"[24.465, 35.935]",bootstrap_blocs,4,5.386,"[5.336, 5.455]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,x448,classique,server,4,374.333,"[356.864, 384.740]",bootstrap_blocs,4,8.841,"[8.738, 8.943]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,x448_hqc192,hybride,client,4,66.066,"[52.090, 80.042]",bootstrap_blocs,4,5.456,"[5.358, 5.537]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,x448_hqc192,hybride,server,4,444.724,"[425.156, 469.507]",bootstrap_blocs,4,10.289,"[10.237, 10.332]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,x448_mlkem768,hybride,client,4,35.289,"[26.201, 44.378]",bootstrap_blocs,4,5.388,"[5.326, 5.461]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp384r1,x448_mlkem768,hybride,server,4,396.413,"[374.285, 423.221]",bootstrap_blocs,4,9.277,"[9.184, 9.371]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp521r1,P-521,classique,client,4,31.572,"[25.385, 37.760]",bootstrap_blocs,4,5.352,"[5.148, 5.576]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp521r1,P-521,classique,server,4,369.201,"[361.905, 376.497]",bootstrap_blocs,4,9.058,"[8.939, 9.177]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp521r1,hqc256,pq_pur,client,4,90.649,"[72.280, 109.018]",bootstrap_blocs,4,5.372,"[5.301, 5.493]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp521r1,hqc256,pq_pur,server,4,979.317,"[946.218, 1012.417]",bootstrap_blocs,4,11.343,"[11.160, 11.454]",bootstrap_blocs
quic,single,simple_loss1.3_delay62.51ms,secp521r1,mlkem1024,pq_pur,client,4,34.192,"[24.932, 43.583]",bootstrap_blocs,4,5.247,"[5.014, 5.440]",bootstrap_blocs
