run_id,duration_ms,success
1,330.22,1
2,289.44,1
3,428.80,1
4,294.16,1
5,719.58,1
6,370.05,1
7,179.90,1
8,533.65,1
9,156.27,1
10,598.82,1
11,194.32,1
12,198.26,1
13,284.97,1
14,177.45,1
15,469.36,1
16,371.88,1
17,107.05,1
18,313.67,1
19,822.51,1
20,768.18,1
21,284.36,1
22,317.41,1
23,270.34,1
24,513.38,1
25,203.51,1
26,469.29,1
27,634.66,1
28,387.45,1
29,280.66,1
30,482.71,1
31,326.20,1
32,539.92,1
33,598.91,1
34,226.83,1
35,758.85,1
36,466.13,1
37,454.03,1
38,779.70,1
39,621.45,1
40,788.59,1
41,802.84,1
42,302.49,1
43,370.38,1
44,416.14,1
45,600.28,1
46,355.12,1
47,359.12,1
48,202.13,1
49,261.10,1
50,375.23,1
51,643.94,1
52,211.04,1
53,1089.43,1
54,533.17,1
55,412.14,1
56,379.09,1
57,257.19,1
58,134.22,1
59,324.43,1
60,200.43,1
61,494.16,1
62,166.84,1
63,116.82,1
64,574.12,1
65,303.05,1
66,422.47,1
67,239.66,1
68,180.04,1
69,512.68,1
70,333.88,1
71,362.78,1
72,350.97,1
73,323.82,1
74,394.88,1
75,235.84,1
76,228.50,1
77,421.08,1
78,205.48,1
79,511.79,1
80,239.88,1
81,281.96,1
82,484.80,1
83,186.11,1
84,202.00,1
85,639.71,1
86,485.37,1
87,390.75,1
88,344.58,1
89,247.22,1
90,419.88,1
91,306.80,1
92,386.98,1
93,355.21,1
94,269.15,1
95,306.20,1
96,246.48,1
97,145.47,1
98,493.94,1
99,187.69,1
100,278.40,1
101,182.56,1
102,427.51,1
103,515.37,1
104,511.14,1
105,171.79,1
106,323.67,1
107,459.19,1
108,311.94,1
109,378.58,1
110,569.17,1
111,214.05,1
112,375.17,1
113,226.41,1
114,258.45,1
115,507.46,1
116,309.73,1
117,307.67,1
118,232.53,1
119,104.83,1
120,259.09,1
121,249.82,1
122,321.05,1
123,283.20,1
124,415.81,1
125,392.94,1
126,421.25,1
127,168.03,1
128,347.29,1
129,223.82,1
130,276.75,1
131,289.06,1
132,471.81,1
133,310.04,1
134,350.55,1
135,226.24,1
136,481.36,1
137,318.43,1
138,555.97,1
139,636.19,1
140,100.46,1
141,134.32,1
142,190.70,1
143,351.30,1
144,177.91,1
145,248.72,1
146,212.03,1
147,355.96,1
148,320.86,1
149,599.87,1
150,364.49,1
151,451.92,1
152,271.62,1
153,274.13,1
154,522.50,1
155,354.50,1
156,280.32,1
157,191.16,1
158,252.91,1
159,530.47,1
160,461.26,1
161,189.06,1
162,1110.40,1
163,162.98,1
164,307.92,1
165,274.64,1
166,150.60,1
167,245.44,1
168,468.85,1
169,163.40,1
170,460.55,1
171,272.27,1
172,111.42,1
173,399.52,1
174,161.78,1
175,701.27,1
176,175.22,1
177,219.37,1
178,399.51,1
179,252.53,1
180,171.33,1
181,403.68,1
182,412.57,1
183,313.64,1
184,231.21,1
185,430.12,1
186,240.07,1
187,620.41,1
188,412.18,1
189,170.34,1
190,467.45,1
191,124.47,1
192,389.03,1
193,372.73,1
194,318.65,1
195,493.48,1
196,234.62,1
197,187.28,1
198,448.81,1
199,497.05,1
200,200.35,1
201,312.60,1
202,104.92,1
203,102.72,1
204,139.24,1
205,196.60,1
206,190.16,1
207,514.32,1
208,116.92,1
209,252.75,1
210,253.85,1
211,286.59,1
212,180.96,1
213,219.87,1
214,471.32,1
215,363.98,1
216,735.52,1
217,299.67,1
218,423.17,1
219,155.89,1
220,700.14,1
221,188.14,1
222,182.16,1
223,196.28,1
224,559.44,1
225,455.00,1
226,495.68,1
227,170.06,1
228,208.21,1
229,359.18,1
230,106.25,1
231,379.38,1
232,180.47,1
233,536.30,1
234,373.53,1
235,328.19,1
236,107.62,1
237,273.30,1
238,130.21,1
239,222.19,1
240,412.48,1
241,484.72,1
242,397.81,1
243,447.35,1
244,253.10,1
245,103.48,1
246,159.68,1
247,211.58,1
248,130.64,1
249,304.54,1
250,494.40,1
251,364.24,1
252,345.04,1
253,134.43,1
254,402.53,1
255,253.56,1
256,102.44,1
257,157.65,1
258,133.82,1
259,224.00,1
260,481.76,1
261,183.56,1
262,287.86,1
263,388.68,1
264,465.64,1
265,117.40,1
266,469.62,1
267,353.78,1
268,372.31,1
269,382.53,1
270,313.62,1
271,307.07,1
272,492.82,1
273,444.23,1
274,141.72,1
275,221.19,1
276,465.99,1
277,162.60,1
278,345.70,1
279,125.68,1
280,207.54,1
281,333.18,1
282,218.88,1
283,308.52,1
284,190.98,1
285,100.05,1
286,108.14,1
287,119.51,1
288,134.31,1
289,476.20,1
290,137.04,1
291,422.48,1
292,210.10,1
293,567.15,1
294,141.19,1
295,256.71,1
296,200.30,1
297,266.62,1
298,441.65,1
299,609.78,1
300,215.24,1
301,206.06,1
302,257.04,1
303,160.20,1
304,218.86,1
305,201.12,1
306,154.61,1
307,356.24,1
308,319.26,1
309,336.52,1
310,205.84,1
311,210.91,1
312,157.72,1
313,215.44,1
314,207.57,1
315,121.39,1
316,160.15,1
317,176.38,1
318,355.01,1
319,334.78,1
320,247.35,1
321,222.23,1
322,182.40,1
323,129.36,1
324,352.98,1
325,158.90,1
326,280.34,1
327,224.35,1
328,291.97,1
329,191.71,1
330,463.03,1
331,301.04,1
332,168.27,1
333,331.56,1
334,322.05,1
335,106.63,1
336,106.57,1
337,396.72,1
338,154.42,1
339,124.22,1
340,192.78,1
341,202.88,1
342,230.56,1
343,380.60,1
344,158.06,1
345,146.04,1
346,101.58,1
347,133.24,1
348,133.14,1
349,201.68,1
350,429.15,1
351,133.11,1
352,220.05,1
353,186.96,1
354,200.18,1
355,217.35,1
356,228.48,1
357,221.04,1
358,160.01,1
359,110.04,1
360,192.59,1
361,162.98,1
362,148.41,1
363,201.04,1
364,151.67,1
365,123.73,1
366,154.75,1
367,150.68,1
368,153.84,1
369,137.15,1
370,126.27,1
371,118.64,1
372,106.69,1
373,190.78,1
374,115.49,1
375,236.44,1
376,133.63,1
377,175.31,1
378,120.31,1
379,101.74,1
380,118.92,1
381,104.84,1
382,136.39,1
383,115.30,1
384,137.02,1
385,161.37,1
386,100.62,1
387,155.36,1
388,244.04,1
389,132.90,1
390,108.17,1
391,105.64,1
392,140.24,1
393,120.57,1
394,116.86,1
395,155.38,1
396,115.73,1
397,159.16,1
398,119.76,1
399,131.14,1
400,193.52,1
401,158.13,1
402,214.84,1
403,118.86,1
404,122.23,1
405,103.79,1
406,163.19,1
407,203.71,1
408,109.22,1
409,213.96,1
410,102.52,1
411,102.81,1
412,102.46,1
413,110.87,1
414,175.29,1
415,198.90,1
416,110.06,1
417,109.34,1
418,110.61,1
419,101.86,1
420,139.42,1
421,133.50,1
422,104.92,1
423,98.81,1
424,104.53,1
425,116.02,1
426,101.26,1
427,103.31,1
428,114.10,1
429,99.11,1
430,104.24,1
431,98.78,1
432,100.66,1
433,129.54,1
434,101.78,1
435,225.25,1
436,98.44,1
437,102.85,1
438,118.70,1
439,97.05,1
440,138.54,1
441,102.56,1
442,100.17,1
443,146.65,1
444,99.76,1
445,100.62,1
446,105.13,1
447,98.63,1
448,107.20,1
449,130.30,1
450,103.40,1
451,104.85,1
452,113.33,1
453,95.12,1
454,100.51,1
455,97.03,1
456,101.35,1
457,101.43,1
458,117.51,1
459,103.81,1
460,99.56,1
461,130.96,1
462,90.90,1
463,96.92,1
464,119.88,1
