run_id,duration_ms,success,compress_negotiated
1,17,1,0
2,15,1,0
3,14,1,0
4,16,1,0
5,16,1,0
6,16,1,0
7,15,1,0
8,15,1,0
9,15,1,0
10,14,1,0
11,14,1,0
12,14,1,0
13,15,1,0
14,15,1,0
15,14,1,0
16,15,1,0
17,16,1,0
18,15,1,0
19,14,1,0
20,17,1,0
21,15,1,0
22,15,1,0
23,15,1,0
24,16,1,0
25,15,1,0
26,18,1,0
27,15,1,0
28,15,1,0
29,15,1,0
30,15,1,0
31,16,1,0
32,19,1,0
33,14,1,0
34,14,1,0
35,17,1,0
36,16,1,0
37,16,1,0
38,15,1,0
39,17,1,0
40,15,1,0
41,15,1,0
42,15,1,0
43,16,1,0
44,15,1,0
45,15,1,0
46,14,1,0
47,15,1,0
48,14,1,0
49,15,1,0
50,14,1,0
51,13,1,0
52,14,1,0
53,14,1,0
54,13,1,0
55,13,1,0
56,15,1,0
57,15,1,0
58,15,1,0
59,16,1,0
60,16,1,0
61,17,1,0
62,15,1,0
63,18,1,0
64,15,1,0
65,19,1,0
66,21,1,0
67,20,1,0
68,18,1,0
69,17,1,0
70,19,1,0
71,16,1,0
72,19,1,0
73,19,1,0
74,16,1,0
75,16,1,0
76,17,1,0
77,20,1,0
78,16,1,0
79,15,1,0
80,16,1,0
81,15,1,0
82,14,1,0
83,15,1,0
84,15,1,0
85,16,1,0
86,18,1,0
87,15,1,0
88,14,1,0
89,16,1,0
90,15,1,0
91,14,1,0
92,17,1,0
93,15,1,0
94,14,1,0
95,14,1,0
96,14,1,0
97,14,1,0
98,15,1,0
99,14,1,0
100,15,1,0
101,15,1,0
102,15,1,0
103,17,1,0
104,13,1,0
105,14,1,0
106,14,1,0
107,13,1,0
108,13,1,0
109,15,1,0
110,15,1,0
111,15,1,0
112,14,1,0
113,15,1,0
114,15,1,0
115,15,1,0
116,16,1,0
117,15,1,0
118,15,1,0
119,19,1,0
120,14,1,0
121,13,1,0
122,15,1,0
123,15,1,0
124,14,1,0
125,15,1,0
126,14,1,0
127,15,1,0
128,15,1,0
129,13,1,0
130,13,1,0
131,14,1,0
132,14,1,0
133,17,1,0
134,14,1,0
135,14,1,0
136,17,1,0
137,15,1,0
138,16,1,0
139,16,1,0
140,17,1,0
141,15,1,0
142,14,1,0
143,16,1,0
144,16,1,0
145,17,1,0
146,15,1,0
147,16,1,0
148,14,1,0
149,13,1,0
150,14,1,0
151,14,1,0
152,14,1,0
153,14,1,0
154,16,1,0
155,14,1,0
156,15,1,0
157,16,1,0
158,15,1,0
159,20,1,0
160,16,1,0
161,16,1,0
162,15,1,0
163,13,1,0
164,13,1,0
165,14,1,0
166,14,1,0
167,14,1,0
168,14,1,0
169,14,1,0
170,13,1,0
171,16,1,0
172,13,1,0
173,14,1,0
174,13,1,0
175,15,1,0
176,16,1,0
177,14,1,0
178,14,1,0
179,14,1,0
180,15,1,0
181,16,1,0
182,16,1,0
183,17,1,0
184,13,1,0
185,15,1,0
186,14,1,0
187,14,1,0
188,16,1,0
189,14,1,0
190,14,1,0
191,15,1,0
192,14,1,0
193,14,1,0
194,15,1,0
195,15,1,0
196,17,1,0
197,15,1,0
198,16,1,0
199,17,1,0
200,14,1,0
201,15,1,0
202,15,1,0
203,15,1,0
204,15,1,0
205,14,1,0
206,14,1,0
207,15,1,0
208,14,1,0
209,16,1,0
210,17,1,0
211,16,1,0
212,16,1,0
213,17,1,0
214,14,1,0
215,15,1,0
216,15,1,0
217,16,1,0
218,15,1,0
219,15,1,0
220,14,1,0
221,14,1,0
222,15,1,0
223,14,1,0
224,14,1,0
225,14,1,0
226,14,1,0
227,13,1,0
228,15,1,0
229,15,1,0
230,15,1,0
231,15,1,0
232,16,1,0
233,16,1,0
234,15,1,0
235,16,1,0
236,15,1,0
237,15,1,0
238,14,1,0
239,15,1,0
240,17,1,0
241,15,1,0
242,15,1,0
243,15,1,0
244,14,1,0
245,14,1,0
246,14,1,0
247,14,1,0
248,14,1,0
249,14,1,0
250,15,1,0
251,15,1,0
252,16,1,0
253,15,1,0
254,17,1,0
255,15,1,0
256,14,1,0
257,15,1,0
258,15,1,0
259,14,1,0
260,14,1,0
261,14,1,0
262,14,1,0
263,15,1,0
264,16,1,0
265,14,1,0
266,14,1,0
267,17,1,0
268,13,1,0
269,17,1,0
270,14,1,0
271,15,1,0
272,14,1,0
273,15,1,0
274,14,1,0
275,15,1,0
276,15,1,0
277,13,1,0
278,13,1,0
279,14,1,0
280,14,1,0
281,15,1,0
282,15,1,0
283,14,1,0
284,15,1,0
285,16,1,0
286,14,1,0
287,15,1,0
288,16,1,0
289,16,1,0
290,15,1,0
291,13,1,0
292,14,1,0
293,14,1,0
294,14,1,0
295,14,1,0
296,16,1,0
297,14,1,0
298,14,1,0
299,14,1,0
300,14,1,0
301,13,1,0
302,14,1,0
303,13,1,0
304,14,1,0
305,14,1,0
306,14,1,0
307,15,1,0
308,15,1,0
309,15,1,0
310,14,1,0
311,14,1,0
312,14,1,0
313,16,1,0
314,15,1,0
315,15,1,0
316,14,1,0
317,15,1,0
318,15,1,0
319,14,1,0
320,16,1,0
321,14,1,0
322,16,1,0
323,15,1,0
324,17,1,0
325,16,1,0
326,16,1,0
327,16,1,0
328,15,1,0
329,15,1,0
330,14,1,0
331,15,1,0
332,14,1,0
333,14,1,0
334,14,1,0
335,16,1,0
336,15,1,0
337,13,1,0
338,14,1,0
339,14,1,0
340,14,1,0
341,14,1,0
342,14,1,0
343,14,1,0
344,15,1,0
345,14,1,0
346,16,1,0
347,16,1,0
348,13,1,0
349,13,1,0
350,14,1,0
351,15,1,0
352,15,1,0
353,14,1,0
354,14,1,0
355,14,1,0
356,16,1,0
357,14,1,0
358,14,1,0
359,14,1,0
360,14,1,0
361,15,1,0
362,14,1,0
363,13,1,0
364,14,1,0
365,14,1,0
366,15,1,0
367,17,1,0
368,14,1,0
369,14,1,0
370,13,1,0
371,14,1,0
372,13,1,0
373,14,1,0
374,13,1,0
375,14,1,0
376,14,1,0
377,13,1,0
378,14,1,0
379,13,1,0
380,13,1,0
381,15,1,0
382,13,1,0
383,13,1,0
384,13,1,0
385,14,1,0
386,13,1,0
387,13,1,0
388,13,1,0
389,12,1,0
390,15,1,0
391,12,1,0
392,12,1,0
393,14,1,0
394,13,1,0
395,13,1,0
396,13,1,0
397,14,1,0
398,13,1,0
399,13,1,0
400,13,1,0
401,13,1,0
402,13,1,0
403,14,1,0
404,13,1,0
405,14,1,0
406,13,1,0
407,13,1,0
408,14,1,0
409,14,1,0
410,14,1,0
411,14,1,0
412,15,1,0
413,15,1,0
414,15,1,0
415,14,1,0
416,14,1,0
417,19,1,0
418,13,1,0
419,14,1,0
420,14,1,0
421,14,1,0
422,16,1,0
423,15,1,0
424,14,1,0
425,14,1,0
426,14,1,0
427,13,1,0
428,14,1,0
429,13,1,0
430,15,1,0
431,15,1,0
432,15,1,0
433,13,1,0
434,14,1,0
435,16,1,0
436,14,1,0
437,13,1,0
438,13,1,0
439,14,1,0
440,14,1,0
441,14,1,0
442,14,1,0
443,14,1,0
444,13,1,0
445,13,1,0
446,14,1,0
447,15,1,0
448,14,1,0
449,15,1,0
450,15,1,0
451,13,1,0
452,15,1,0
453,13,1,0
454,14,1,0
455,16,1,0
456,15,1,0
457,13,1,0
458,14,1,0
459,13,1,0
460,13,1,0
461,13,1,0
462,13,1,0
463,13,1,0
464,14,1,0
465,13,1,0
466,13,1,0
467,14,1,0
468,15,1,0
469,14,1,0
470,14,1,0
471,14,1,0
472,15,1,0
473,13,1,0
474,14,1,0
475,12,1,0
476,17,1,0
477,14,1,0
478,13,1,0
479,13,1,0
480,13,1,0
481,14,1,0
482,15,1,0
483,14,1,0
484,13,1,0
485,14,1,0
486,14,1,0
487,13,1,0
488,14,1,0
489,13,1,0
490,13,1,0
491,14,1,0
492,15,1,0
493,16,1,0
494,14,1,0
495,14,1,0
496,15,1,0
497,14,1,0
498,13,1,0
499,14,1,0
500,13,1,0
