procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 17062616 101900 4962200    0    0  1114   384 5586    6 15  3 78  4  0  0
 0  1      0 17065588 101932 4962224    0    0     0  1628 3527 7557  3  2 83 12  0  0
 0  1      0 17062532 101984 4960276    0    0     0   712 4697 8247  6  4 81  9  0  0
 1  2      0 17055968 102028 4962360    0    0     0  2084 6351 8621  8  5 75 12  0  0
 1  0      0 17061040 102072 4962376    0    0     0   488 2402 3606  2  1 80 17  0  0
 3  1      0 17000980 102100 4962756    0    0     0   572 17191 27999 12  9 77  3  0  0
 9  1      0 17000980 102164 4962784    0    0     0   964 2678 4332  4  2 82 12  0  0
 1  1      0 16995188 102188 4962880    0    0     0   388 5799 8964  5  5 85  6  0  0
 0  0      0 16998964 102188 4960844    0    0     0     4 1039 1290  1  1 97  1  0  0
 0  0      0 16993672 102188 4960860    0    0     0     0 2734 5055  3  2 95  0  0  0
 2  0      0 17012868 102188 4960860    0    0     0     0 1488 1688  1  2 98  0  0  0
 2  0      0 17019468 102188 4960872    0    0     0     0  857 1162  1  1 98  0  0  0
 0  1      0 17025240 102196 4962832    0    0     0   544 1831 3858  1  2 97  0  0  0
 0  0      0 17035724 102196 4962936    0    0     0     0 1088 1288  1  2 97  0  0  0
 0  1      0 17033312 102212 4962924    0    0     0   316 2344 6241  2  2 94  3  0  0
 0  1      0 17032800 102252 4962924    0    0     0  1664 3369 5784  3  3 77 17  0  0
 0  1      0 17031192 102280 4963000    0    0     0   460 5264 9115  5  4 82  9  0  0
 1  1      0 17010480 102332 4963016    0    0     0  1380 6565 9293 13  4 65 18  0  0
 2  1      0 16998060 102388 4963048    0    0     0   852 7606 12709 15  4 71 10  0  0
 1  2      0 16996084 102436 4963220    0    0     0  1424 7409 10990 17  4 66 13  0  0
 1  1      0 16997016 102496 4963260    0    0     0  1068 6486 6205 18  4 65 14  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  2      0 16987256 102544 4963392    0    0     0  1452 9545 15012 21  5 64 11  0  0
 2  1      0 16967016 102604 4963452    0    0     0   896 7419 10049 19  4 66 12  0  0
 1  2      0 16961992 102652 4963576    0    0     0  1452 9630 15865 21  5 64 10  0  0
 2  1      0 16962044 102692 4961548    0    0     0   996 6374 5672 18  3 65 13  0  0
13  0      0 16957924 102740 4963736    0    0     0   832 9442 15680 20  5 66  9  0  0
 3  1      0 16959012 102780 4963764    0    0     0  1380 6550 5787 20  4 63 14  0  0
 1  1      0 16955604 102836 4963908    0    0     0   764 9904 18198 21  5 65  9  0  0
 2  2      0 16950848 102896 4963896    0    0     0  1484 6851 6784 18  3 61 17  0  0
 2  1      0 16946276 102944 4964056    0    0     0   800 8360 11061 21  5 64 10  0  0
 2  2      0 16944032 102992 4964108    0    0     0  1484 7576 10850 19  4 64 13  0  0
 2  1      0 16937356 103052 4964152    0    0     0  1072 7391 11206 19  4 63 13  0  0
 2  1      0 16924784 103100 4975004    0    0     0 11104 8845 12200 21  5 57 17  0  0
 1  4      0 16910904 103172 4983824    0    0     0 11720 7347 11166 20  4 54 22  0  0
 2  1      0 16950768 103204 4962368    0    0     0  1072 5852 4634 17  3 52 27  0  0
10  0      0 16948024 103256 4964512    0    0     0   868 8235 9373 20  4 66  9  0  0
 1  1      0 16933368 103308 4964600    0    0     0  1424 9776 18264 21  5 60 13  0  0
 2  1      0 16929916 103360 4964644    0    0     0   992 7042 8304 19  4 67 10  0  0
 3  2      0 16919576 103440 4964844    0    0     0  1520 9425 15690 21  5 63 11  0  0
 1  1      0 16928372 103508 4964892    0    0     0   844 6534 5455 19  4 63 14  0  0
 2  1      0 16930108 103608 4965408    0    0     0  1116 9750 15821 21  5 65  9  0  0
 1  1      0 16919508 103676 4963436    0    0     0  1292 7740 11924 19  4 62 14  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 16913340 103764 4965932    0    0     0   844 9581 17382 21  5 65  9  0  0
 1  1      0 16894220 103852 4963980    0    0     0  1660 6682 7467 19  4 66 11  0  0
 2  1      0 16898008 103952 4966536    0    0     0   880 9606 16023 21  5 66  8  0  0
 1  1      0 16888444 104016 4966584    0    0     0  1576 6885 5785 19  4 61 16  0  0
 1  1      0 16879344 104088 4966920    0    0     0   800 11332 23627 22  5 64  9  0  0
 2  1      0 16884456 104204 4965032    0    0     0  1760 7105 8126 19  4 63 14  0  0
 1  1      0 16864136 104304 4967584    0    0     0   876 10120 18334 21  5 65  9  0  0
 2  1      0 16879516 104380 4965628    0    0     0  1660 6540 5751 18  4 64 13  0  0
 1  4      0 16873052 104492 4968156    0    0     0  1616 9807 15722 21  6 64  9  0  0
 4  1      0 16869744 104564 4968264    0    0     0  1116 7866 12682 20  4 64 12  0  0
 6  1      0 16862840 104672 4968852    0    0     0  1160 10495 19115 22  6 63  9  0  0
 6  1      0 16859800 104740 4966916    0    0     0  1320 6561 8191 19  4 64 14  0  0
 4  3      0 16850000 104856 4969376    0    0     0  1772 9788 16332 21  6 63  9  0  0
13  1      0 16843028 104916 4967440    0    0     0   836 6704 6123 18  4 58 20  0  0
 7  0      0 16839208 104984 4969940    0    0     0   660 10351 18006 22  5 63  9  0  0
 5  1      0 16832624 105048 4968016    0    0     0  1264 7382 11276 19  4 54 22  0  0
 4  1      0 16825872 105128 4970140    0    0     0  1048 7261 9773 19  5 66 10  0  0
 6  4      0 16817556 105232 4970660    0    0     0  1152 9462 15379 21  5 63 11  0  0
