run_id,duration_ms,success,compress_negotiated
1,17,1,0
2,16,1,0
3,16,1,0
4,17,1,0
5,15,1,0
6,16,1,0
7,16,1,0
8,16,1,0
9,16,1,0
10,16,1,0
11,15,1,0
12,13,1,0
13,14,1,0
14,13,1,0
15,13,1,0
16,13,1,0
17,14,1,0
18,14,1,0
19,13,1,0
20,14,1,0
21,14,1,0
22,14,1,0
23,13,1,0
24,15,1,0
25,14,1,0
26,13,1,0
27,16,1,0
28,16,1,0
29,14,1,0
30,13,1,0
31,16,1,0
32,14,1,0
33,15,1,0
34,13,1,0
35,13,1,0
36,14,1,0
37,13,1,0
38,14,1,0
39,14,1,0
40,14,1,0
41,13,1,0
42,15,1,0
43,13,1,0
44,13,1,0
45,14,1,0
46,17,1,0
47,14,1,0
48,13,1,0
49,13,1,0
50,13,1,0
51,12,1,0
52,13,1,0
53,13,1,0
54,14,1,0
55,13,1,0
56,14,1,0
57,13,1,0
58,13,1,0
59,14,1,0
60,15,1,0
61,14,1,0
62,15,1,0
63,15,1,0
64,13,1,0
65,16,1,0
66,14,1,0
67,14,1,0
68,14,1,0
69,13,1,0
70,13,1,0
71,13,1,0
72,13,1,0
73,13,1,0
74,13,1,0
75,14,1,0
76,14,1,0
77,14,1,0
78,16,1,0
79,13,1,0
80,13,1,0
81,17,1,0
82,14,1,0
83,13,1,0
84,15,1,0
85,13,1,0
86,13,1,0
87,13,1,0
88,14,1,0
89,14,1,0
90,15,1,0
91,13,1,0
92,13,1,0
93,14,1,0
94,15,1,0
95,12,1,0
96,13,1,0
97,13,1,0
98,13,1,0
99,13,1,0
100,13,1,0
101,13,1,0
102,14,1,0
103,14,1,0
104,14,1,0
105,13,1,0
106,13,1,0
107,13,1,0
108,15,1,0
109,14,1,0
110,13,1,0
111,13,1,0
112,14,1,0
113,13,1,0
114,13,1,0
115,13,1,0
116,13,1,0
117,13,1,0
118,14,1,0
119,17,1,0
120,13,1,0
121,16,1,0
122,15,1,0
123,14,1,0
124,15,1,0
125,15,1,0
126,13,1,0
127,14,1,0
128,14,1,0
129,14,1,0
130,14,1,0
131,14,1,0
132,14,1,0
133,14,1,0
134,14,1,0
135,15,1,0
136,13,1,0
137,13,1,0
138,13,1,0
139,13,1,0
140,15,1,0
141,14,1,0
142,14,1,0
143,17,1,0
144,15,1,0
145,13,1,0
146,13,1,0
147,13,1,0
148,16,1,0
149,14,1,0
150,12,1,0
151,12,1,0
152,13,1,0
153,14,1,0
154,14,1,0
155,14,1,0
156,15,1,0
157,12,1,0
158,14,1,0
159,13,1,0
160,13,1,0
161,13,1,0
162,13,1,0
163,13,1,0
164,14,1,0
165,13,1,0
166,15,1,0
167,14,1,0
168,13,1,0
169,14,1,0
170,14,1,0
171,13,1,0
172,14,1,0
173,16,1,0
174,16,1,0
175,14,1,0
