--- 2026-06-04_07:20:03 ---
--- 2026-06-04_07:20:05 ---
--- 2026-06-04_07:20:07 ---
--- 2026-06-04_07:20:09 ---
--- 2026-06-04_07:20:11 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
servidor_hqc   100.04%   3.867MiB / 23.32GiB   0.02%
--- 2026-06-04_07:20:14 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
servidor_hqc   100.13%   3.867MiB / 23.32GiB   0.02%
--- 2026-06-04_07:20:17 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
servidor_hqc   100.07%   3.812MiB / 23.32GiB   0.02%
--- 2026-06-04_07:20:20 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc1   75.42%    5.344MiB / 23.32GiB   0.02%
servidor_hqc   129.45%   7.285MiB / 23.32GiB   0.03%
cliente_hqc2   71.97%    3.004MiB / 23.32GiB   0.01%
--- 2026-06-04_07:20:25 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc3   70.64%    4.312MiB / 23.32GiB   0.02%
cliente_hqc2   72.10%    4.574MiB / 23.32GiB   0.02%
cliente_hqc1   70.84%    5.086MiB / 23.32GiB   0.02%
servidor_hqc   185.70%   9.078MiB / 23.32GiB   0.04%
cliente_hqc4   70.57%    4.762MiB / 23.32GiB   0.02%
--- 2026-06-04_07:20:30 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc5   68.25%    5.051MiB / 23.32GiB   0.02%
cliente_hqc4   69.86%    4.906MiB / 23.32GiB   0.02%
cliente_hqc3   71.31%    4.461MiB / 23.32GiB   0.02%
cliente_hqc2   64.79%    4.723MiB / 23.32GiB   0.02%
cliente_hqc1   67.42%    4.137MiB / 23.32GiB   0.02%
servidor_hqc   253.48%   10.59MiB / 23.32GiB   0.04%
cliente_hqc6   65.39%    4.652MiB / 23.32GiB   0.02%
--- 2026-06-04_07:20:35 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc7   56.55%    4.355MiB / 23.32GiB   0.02%
cliente_hqc6   58.87%    4.977MiB / 23.32GiB   0.02%
cliente_hqc5   62.15%    4.547MiB / 23.32GiB   0.02%
cliente_hqc4   65.35%    4.609MiB / 23.32GiB   0.02%
cliente_hqc3   55.13%    4.086MiB / 23.32GiB   0.02%
cliente_hqc2   55.60%    2.133MiB / 23.32GiB   0.01%
cliente_hqc1   55.90%    4.586MiB / 23.32GiB   0.02%
servidor_hqc   263.92%   10.64MiB / 23.32GiB   0.04%
cliente_hqc8   63.13%    4.227MiB / 23.32GiB   0.02%
--- 2026-06-04_07:20:40 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc9    51.10%    4.758MiB / 23.32GiB   0.02%
cliente_hqc8    43.22%    5.125MiB / 23.32GiB   0.02%
cliente_hqc7    44.36%    4.609MiB / 23.32GiB   0.02%
cliente_hqc6    54.33%    4.562MiB / 23.32GiB   0.02%
cliente_hqc5    45.18%    3.461MiB / 23.32GiB   0.01%
cliente_hqc4    45.52%    4.188MiB / 23.32GiB   0.02%
cliente_hqc3    47.68%    3.93MiB / 23.32GiB    0.02%
cliente_hqc2    54.47%    4.277MiB / 23.32GiB   0.02%
cliente_hqc1    51.39%    4.352MiB / 23.32GiB   0.02%
servidor_hqc    281.44%   11.25MiB / 23.32GiB   0.05%
cliente_hqc10   52.40%    4.562MiB / 23.32GiB   0.02%
--- 2026-06-04_07:20:46 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc11   40.88%    4.383MiB / 23.32GiB   0.02%
cliente_hqc10   31.10%    2.066MiB / 23.32GiB   0.01%
cliente_hqc9    44.55%    1.785MiB / 23.32GiB   0.01%
cliente_hqc8    37.63%    4.348MiB / 23.32GiB   0.02%
cliente_hqc7    41.34%    2.195MiB / 23.32GiB   0.01%
cliente_hqc6    46.09%    1.543MiB / 23.32GiB   0.01%
cliente_hqc5    39.93%    4.379MiB / 23.32GiB   0.02%
cliente_hqc4    35.52%    4.785MiB / 23.32GiB   0.02%
cliente_hqc3    41.76%    4.324MiB / 23.32GiB   0.02%
cliente_hqc2    54.78%    4.008MiB / 23.32GiB   0.02%
cliente_hqc1    34.09%    4.316MiB / 23.32GiB   0.02%
servidor_hqc    267.09%   12.01MiB / 23.32GiB   0.05%
cliente_hqc12   39.55%    4.594MiB / 23.32GiB   0.02%
--- 2026-06-04_07:20:51 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc13   30.33%    4.422MiB / 23.32GiB   0.02%
cliente_hqc12   34.11%    4.434MiB / 23.32GiB   0.02%
cliente_hqc11   31.45%    4.312MiB / 23.32GiB   0.02%
cliente_hqc10   36.27%    4.344MiB / 23.32GiB   0.02%
cliente_hqc9    31.67%    4.211MiB / 23.32GiB   0.02%
cliente_hqc8    41.09%    4.355MiB / 23.32GiB   0.02%
cliente_hqc7    36.05%    4.195MiB / 23.32GiB   0.02%
cliente_hqc6    42.47%    4.523MiB / 23.32GiB   0.02%
cliente_hqc5    35.95%    4.539MiB / 23.32GiB   0.02%
cliente_hqc4    43.93%    4.445MiB / 23.32GiB   0.02%
cliente_hqc3    35.42%    4.477MiB / 23.32GiB   0.02%
cliente_hqc2    35.31%    2.594MiB / 23.32GiB   0.01%
cliente_hqc1    32.37%    4.203MiB / 23.32GiB   0.02%
servidor_hqc    246.22%   13.5MiB / 23.32GiB    0.06%
cliente_hqc14   30.07%    3.992MiB / 23.32GiB   0.02%
--- 2026-06-04_07:20:56 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc15   30.01%    4.207MiB / 23.32GiB   0.02%
cliente_hqc14   33.84%    4.523MiB / 23.32GiB   0.02%
cliente_hqc13   20.65%    4.098MiB / 23.32GiB   0.02%
cliente_hqc12   22.61%    3.629MiB / 23.32GiB   0.02%
cliente_hqc11   30.34%    4.223MiB / 23.32GiB   0.02%
cliente_hqc10   34.61%    4.312MiB / 23.32GiB   0.02%
cliente_hqc9    42.46%    1.199MiB / 23.32GiB   0.01%
cliente_hqc8    21.27%    4.527MiB / 23.32GiB   0.02%
cliente_hqc7    31.46%    4.477MiB / 23.32GiB   0.02%
cliente_hqc6    37.68%    4.277MiB / 23.32GiB   0.02%
cliente_hqc5    19.44%    3.527MiB / 23.32GiB   0.01%
cliente_hqc4    35.33%    4.34MiB / 23.32GiB    0.02%
cliente_hqc3    35.81%    4.172MiB / 23.32GiB   0.02%
cliente_hqc2    39.92%    4.082MiB / 23.32GiB   0.02%
cliente_hqc1    24.69%    4.102MiB / 23.32GiB   0.02%
servidor_hqc    268.47%   14.36MiB / 23.32GiB   0.06%
cliente_hqc16   28.86%    4.293MiB / 23.32GiB   0.02%
--- 2026-06-04_07:21:01 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc17   24.01%    4.07MiB / 23.32GiB    0.02%
cliente_hqc16   23.88%    4.426MiB / 23.32GiB   0.02%
cliente_hqc15   15.95%    4.164MiB / 23.32GiB   0.02%
cliente_hqc14   24.50%    2.77MiB / 23.32GiB    0.01%
cliente_hqc13   28.83%    3.945MiB / 23.32GiB   0.02%
cliente_hqc12   18.78%    4.066MiB / 23.32GiB   0.02%
cliente_hqc11   29.32%    4.066MiB / 23.32GiB   0.02%
cliente_hqc10   28.79%    4.137MiB / 23.32GiB   0.02%
cliente_hqc9    39.13%    4.09MiB / 23.32GiB    0.02%
cliente_hqc8    24.64%    4.688MiB / 23.32GiB   0.02%
cliente_hqc7    29.76%    4.398MiB / 23.32GiB   0.02%
cliente_hqc6    15.45%    4.059MiB / 23.32GiB   0.02%
cliente_hqc5    19.60%    4.32MiB / 23.32GiB    0.02%
cliente_hqc4    20.09%    4.004MiB / 23.32GiB   0.02%
cliente_hqc3    26.96%    4.277MiB / 23.32GiB   0.02%
cliente_hqc2    25.76%    4.262MiB / 23.32GiB   0.02%
cliente_hqc1    32.15%    4.465MiB / 23.32GiB   0.02%
servidor_hqc    252.19%   15.81MiB / 23.32GiB   0.07%
cliente_hqc18   30.25%    4.453MiB / 23.32GiB   0.02%
--- 2026-06-04_07:21:07 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc19   31.24%    3.922MiB / 23.32GiB   0.02%
cliente_hqc18   32.64%    3.934MiB / 23.32GiB   0.02%
cliente_hqc17   17.28%    4.098MiB / 23.32GiB   0.02%
cliente_hqc16   19.59%    4.074MiB / 23.32GiB   0.02%
cliente_hqc15   24.62%    4.359MiB / 23.32GiB   0.02%
cliente_hqc14   22.57%    3.191MiB / 23.32GiB   0.01%
cliente_hqc13   24.58%    4.789MiB / 23.32GiB   0.02%
cliente_hqc12   43.36%    4.57MiB / 23.32GiB    0.02%
cliente_hqc11   20.12%    4.059MiB / 23.32GiB   0.02%
cliente_hqc10   23.66%    2.223MiB / 23.32GiB   0.01%
cliente_hqc9    31.50%    4.188MiB / 23.32GiB   0.02%
cliente_hqc8    33.04%    4.121MiB / 23.32GiB   0.02%
cliente_hqc7    31.84%    4.176MiB / 23.32GiB   0.02%
cliente_hqc6    14.95%    4.152MiB / 23.32GiB   0.02%
cliente_hqc5    21.12%    3.246MiB / 23.32GiB   0.01%
cliente_hqc4    19.45%    3.926MiB / 23.32GiB   0.02%
cliente_hqc3    27.47%    1.809MiB / 23.32GiB   0.01%
cliente_hqc2    25.26%    4.109MiB / 23.32GiB   0.02%
cliente_hqc1    16.11%    4.723MiB / 23.32GiB   0.02%
servidor_hqc    244.48%   16.05MiB / 23.32GiB   0.07%
cliente_hqc20   35.11%    4.461MiB / 23.32GiB   0.02%
--- 2026-06-04_07:21:12 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc21   27.00%    4.414MiB / 23.32GiB   0.02%
cliente_hqc20   28.29%    4.52MiB / 23.32GiB    0.02%
cliente_hqc19   20.11%    4.043MiB / 23.32GiB   0.02%
cliente_hqc18   19.58%    4.59MiB / 23.32GiB    0.02%
cliente_hqc17   23.65%    3.934MiB / 23.32GiB   0.02%
cliente_hqc16   19.69%    4.289MiB / 23.32GiB   0.02%
cliente_hqc15   29.03%    4.566MiB / 23.32GiB   0.02%
cliente_hqc14   26.94%    4.547MiB / 23.32GiB   0.02%
cliente_hqc13   20.44%    4.023MiB / 23.32GiB   0.02%
cliente_hqc12   35.43%    4.625MiB / 23.32GiB   0.02%
cliente_hqc11   23.67%    4.066MiB / 23.32GiB   0.02%
cliente_hqc10   15.17%    4.148MiB / 23.32GiB   0.02%
cliente_hqc9    25.23%    3.934MiB / 23.32GiB   0.02%
cliente_hqc8    11.94%    3.938MiB / 23.32GiB   0.02%
cliente_hqc7    33.38%    4.188MiB / 23.32GiB   0.02%
cliente_hqc6    8.43%     3.93MiB / 23.32GiB    0.02%
cliente_hqc5    23.46%    4.184MiB / 23.32GiB   0.02%
cliente_hqc4    19.56%    4.375MiB / 23.32GiB   0.02%
cliente_hqc3    15.84%    4.309MiB / 23.32GiB   0.02%
cliente_hqc2    29.69%    4.074MiB / 23.32GiB   0.02%
cliente_hqc1    14.09%    4.164MiB / 23.32GiB   0.02%
servidor_hqc    251.01%   18.44MiB / 23.32GiB   0.08%
cliente_hqc22   17.10%    4.031MiB / 23.32GiB   0.02%
--- 2026-06-04_07:21:17 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc23   15.12%    4.434MiB / 23.32GiB   0.02%
cliente_hqc22   34.08%    4.109MiB / 23.32GiB   0.02%
cliente_hqc21   15.12%    3.938MiB / 23.32GiB   0.02%
cliente_hqc20   33.86%    4.051MiB / 23.32GiB   0.02%
cliente_hqc19   24.71%    4.43MiB / 23.32GiB    0.02%
cliente_hqc18   14.91%    3.945MiB / 23.32GiB   0.02%
cliente_hqc17   27.48%    4.172MiB / 23.32GiB   0.02%
cliente_hqc16   18.85%    4.051MiB / 23.32GiB   0.02%
cliente_hqc15   13.53%    4.07MiB / 23.32GiB    0.02%
cliente_hqc14   28.22%    4.328MiB / 23.32GiB   0.02%
cliente_hqc13   14.73%    4.535MiB / 23.32GiB   0.02%
cliente_hqc12   27.67%    4.477MiB / 23.32GiB   0.02%
cliente_hqc11   27.44%    4.066MiB / 23.32GiB   0.02%
cliente_hqc10   19.04%    4.324MiB / 23.32GiB   0.02%
cliente_hqc9    29.73%    4.18MiB / 23.32GiB    0.02%
cliente_hqc8    15.70%    3.926MiB / 23.32GiB   0.02%
cliente_hqc7    9.71%     4.191MiB / 23.32GiB   0.02%
cliente_hqc6    27.79%    4.258MiB / 23.32GiB   0.02%
cliente_hqc5    24.85%    4.184MiB / 23.32GiB   0.02%
cliente_hqc4    19.13%    4.285MiB / 23.32GiB   0.02%
cliente_hqc3    13.35%    3.918MiB / 23.32GiB   0.02%
cliente_hqc2    11.33%    4.07MiB / 23.32GiB    0.02%
cliente_hqc1    16.92%    4.094MiB / 23.32GiB   0.02%
servidor_hqc    259.06%   18.89MiB / 23.32GiB   0.08%
cliente_hqc24   31.67%    4.172MiB / 23.32GiB   0.02%
--- 2026-06-04_07:21:24 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc24   35.71%    4.289MiB / 23.32GiB   0.02%
cliente_hqc22   30.96%    4.328MiB / 23.32GiB   0.02%
cliente_hqc21   26.31%    4.172MiB / 23.32GiB   0.02%
cliente_hqc20   20.84%    4.191MiB / 23.32GiB   0.02%
cliente_hqc19   28.35%    3.934MiB / 23.32GiB   0.02%
cliente_hqc18   14.20%    4.418MiB / 23.32GiB   0.02%
cliente_hqc16   9.91%     3.918MiB / 23.32GiB   0.02%
cliente_hqc15   10.60%    3.93MiB / 23.32GiB    0.02%
cliente_hqc14   25.89%    4.266MiB / 23.32GiB   0.02%
cliente_hqc13   23.66%    4.074MiB / 23.32GiB   0.02%
cliente_hqc12   14.74%    4.141MiB / 23.32GiB   0.02%
cliente_hqc11   26.00%    4.066MiB / 23.32GiB   0.02%
cliente_hqc10   21.66%    4.312MiB / 23.32GiB   0.02%
cliente_hqc9    37.20%    4.488MiB / 23.32GiB   0.02%
cliente_hqc8    19.90%    4.082MiB / 23.32GiB   0.02%
cliente_hqc7    30.15%    4.059MiB / 23.32GiB   0.02%
cliente_hqc6    15.23%    4.48MiB / 23.32GiB    0.02%
cliente_hqc5    14.96%    4.066MiB / 23.32GiB   0.02%
cliente_hqc3    32.38%    2.656MiB / 23.32GiB   0.01%
cliente_hqc1    30.13%    4.41MiB / 23.32GiB    0.02%
servidor_hqc    264.63%   20.72MiB / 23.32GiB   0.09%
cliente_hqc25   35.32%    3.945MiB / 23.32GiB   0.02%
--- 2026-06-04_07:21:31 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc26   18.02%    3.926MiB / 23.32GiB   0.02%
cliente_hqc25   24.07%    4.391MiB / 23.32GiB   0.02%
cliente_hqc24   25.23%    4.363MiB / 23.32GiB   0.02%
cliente_hqc22   18.87%    4.293MiB / 23.32GiB   0.02%
cliente_hqc21   19.32%    3.945MiB / 23.32GiB   0.02%
cliente_hqc20   33.21%    3.41MiB / 23.32GiB    0.01%
cliente_hqc19   15.97%    4.055MiB / 23.32GiB   0.02%
cliente_hqc18   27.63%    4.059MiB / 23.32GiB   0.02%
cliente_hqc16   18.65%    4.324MiB / 23.32GiB   0.02%
cliente_hqc15   17.62%    3.93MiB / 23.32GiB    0.02%
cliente_hqc14   15.32%    4.695MiB / 23.32GiB   0.02%
cliente_hqc13   27.35%    4.066MiB / 23.32GiB   0.02%
cliente_hqc12   18.51%    4.09MiB / 23.32GiB    0.02%
cliente_hqc11   21.58%    3.922MiB / 23.32GiB   0.02%
cliente_hqc10   18.87%    4.07MiB / 23.32GiB    0.02%
cliente_hqc9    21.31%    4.293MiB / 23.32GiB   0.02%
cliente_hqc8    26.74%    4.145MiB / 23.32GiB   0.02%
cliente_hqc7    28.09%    4.402MiB / 23.32GiB   0.02%
cliente_hqc6    26.77%    3.242MiB / 23.32GiB   0.01%
cliente_hqc5    27.25%    3.41MiB / 23.32GiB    0.01%
cliente_hqc3    31.60%    3.969MiB / 23.32GiB   0.02%
cliente_hqc1    24.31%    4.305MiB / 23.32GiB   0.02%
servidor_hqc    247.07%   21.16MiB / 23.32GiB   0.09%
--- 2026-06-04_07:21:35 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc27   14.18%    4.176MiB / 23.32GiB   0.02%
cliente_hqc26   25.23%    4.414MiB / 23.32GiB   0.02%
cliente_hqc25   14.90%    4.582MiB / 23.32GiB   0.02%
cliente_hqc24   22.00%    4.184MiB / 23.32GiB   0.02%
cliente_hqc22   22.01%    4.301MiB / 23.32GiB   0.02%
cliente_hqc21   24.05%    3.324MiB / 23.32GiB   0.01%
cliente_hqc20   25.48%    4.203MiB / 23.32GiB   0.02%
cliente_hqc19   20.06%    4.25MiB / 23.32GiB    0.02%
cliente_hqc18   14.50%    2.828MiB / 23.32GiB   0.01%
cliente_hqc16   20.40%    4.258MiB / 23.32GiB   0.02%
cliente_hqc15   24.64%    4.184MiB / 23.32GiB   0.02%
cliente_hqc14   25.63%    4.43MiB / 23.32GiB    0.02%
cliente_hqc13   29.08%    4.145MiB / 23.32GiB   0.02%
cliente_hqc12   21.01%    4.324MiB / 23.32GiB   0.02%
cliente_hqc11   14.57%    4.309MiB / 23.32GiB   0.02%
cliente_hqc10   18.38%    4.094MiB / 23.32GiB   0.02%
cliente_hqc9    10.56%    4.328MiB / 23.32GiB   0.02%
cliente_hqc8    24.01%    4.066MiB / 23.32GiB   0.02%
cliente_hqc7    25.77%    4.195MiB / 23.32GiB   0.02%
cliente_hqc6    29.47%    4.32MiB / 23.32GiB    0.02%
cliente_hqc5    14.86%    3.934MiB / 23.32GiB   0.02%
cliente_hqc3    20.62%    4.359MiB / 23.32GiB   0.02%
cliente_hqc1    26.23%    3.93MiB / 23.32GiB    0.02%
servidor_hqc    241.98%   22.3MiB / 23.32GiB    0.09%
cliente_hqc28   25.04%    3.926MiB / 23.32GiB   0.02%
--- 2026-06-04_07:21:41 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc29   20.90%    4.102MiB / 23.32GiB   0.02%
cliente_hqc28   29.40%    4.859MiB / 23.32GiB   0.02%
cliente_hqc27   19.73%    3.664MiB / 23.32GiB   0.02%
cliente_hqc26   18.88%    4.32MiB / 23.32GiB    0.02%
cliente_hqc25   17.38%    4.191MiB / 23.32GiB   0.02%
cliente_hqc24   20.86%    4.301MiB / 23.32GiB   0.02%
cliente_hqc22   21.20%    4.316MiB / 23.32GiB   0.02%
cliente_hqc21   21.19%    4.352MiB / 23.32GiB   0.02%
cliente_hqc20   12.12%    3.934MiB / 23.32GiB   0.02%
cliente_hqc19   20.57%    4.172MiB / 23.32GiB   0.02%
cliente_hqc18   22.90%    3.941MiB / 23.32GiB   0.02%
cliente_hqc15   22.43%    4.359MiB / 23.32GiB   0.02%
cliente_hqc13   19.09%    4.195MiB / 23.32GiB   0.02%
cliente_hqc12   20.44%    4.25MiB / 23.32GiB    0.02%
cliente_hqc11   24.40%    4.199MiB / 23.32GiB   0.02%
cliente_hqc10   12.38%    4.434MiB / 23.32GiB   0.02%
cliente_hqc9    14.15%    3.973MiB / 23.32GiB   0.02%
cliente_hqc8    28.73%    4.523MiB / 23.32GiB   0.02%
cliente_hqc7    25.55%    4.316MiB / 23.32GiB   0.02%
cliente_hqc6    23.51%    4.078MiB / 23.32GiB   0.02%
cliente_hqc5    17.23%    3.949MiB / 23.32GiB   0.02%
cliente_hqc3    14.88%    3.922MiB / 23.32GiB   0.02%
cliente_hqc1    15.05%    4.301MiB / 23.32GiB   0.02%
servidor_hqc    242.84%   23.02MiB / 23.32GiB   0.10%
cliente_hqc30   6.79%     4.164MiB / 23.32GiB   0.02%
--- 2026-06-04_07:21:49 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc31   15.35%    4.367MiB / 23.32GiB   0.02%
cliente_hqc30   7.02%     3.219MiB / 23.32GiB   0.01%
cliente_hqc29   31.44%    3.934MiB / 23.32GiB   0.02%
cliente_hqc28   14.35%    4.309MiB / 23.32GiB   0.02%
cliente_hqc27   16.75%    3.746MiB / 23.32GiB   0.02%
cliente_hqc26   31.25%    4.168MiB / 23.32GiB   0.02%
cliente_hqc25   20.30%    4.109MiB / 23.32GiB   0.02%
cliente_hqc24   6.20%     3.93MiB / 23.32GiB    0.02%
cliente_hqc22   15.12%    4.168MiB / 23.32GiB   0.02%
cliente_hqc21   19.32%    3.473MiB / 23.32GiB   0.01%
cliente_hqc20   20.89%    4.156MiB / 23.32GiB   0.02%
cliente_hqc19   13.77%    4.094MiB / 23.32GiB   0.02%
cliente_hqc18   15.09%    4.059MiB / 23.32GiB   0.02%
cliente_hqc15   18.79%    4.301MiB / 23.32GiB   0.02%
cliente_hqc13   9.72%     4.059MiB / 23.32GiB   0.02%
cliente_hqc12   25.95%    4.18MiB / 23.32GiB    0.02%
cliente_hqc11   11.61%    4.059MiB / 23.32GiB   0.02%
cliente_hqc10   18.24%    4.105MiB / 23.32GiB   0.02%
cliente_hqc9    25.74%    3.684MiB / 23.32GiB   0.02%
cliente_hqc8    17.85%    3.926MiB / 23.32GiB   0.02%
cliente_hqc7    16.15%    4.02MiB / 23.32GiB    0.02%
cliente_hqc6    24.94%    3.902MiB / 23.32GiB   0.02%
cliente_hqc5    20.83%    4.176MiB / 23.32GiB   0.02%
cliente_hqc3    25.69%    4.16MiB / 23.32GiB    0.02%
cliente_hqc1    28.29%    4.168MiB / 23.32GiB   0.02%
servidor_hqc    253.44%   23.66MiB / 23.32GiB   0.10%
cliente_hqc32   23.68%    4.262MiB / 23.32GiB   0.02%
--- 2026-06-04_07:21:55 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc33   22.99%    4.078MiB / 23.32GiB   0.02%
cliente_hqc32   22.89%    4.078MiB / 23.32GiB   0.02%
cliente_hqc31   22.99%    3.961MiB / 23.32GiB   0.02%
cliente_hqc29   20.81%    4.062MiB / 23.32GiB   0.02%
cliente_hqc28   23.12%    4.086MiB / 23.32GiB   0.02%
cliente_hqc27   16.46%    4.18MiB / 23.32GiB    0.02%
cliente_hqc26   25.83%    4.574MiB / 23.32GiB   0.02%
cliente_hqc22   22.71%    4.348MiB / 23.32GiB   0.02%
cliente_hqc20   15.10%    3.93MiB / 23.32GiB    0.02%
cliente_hqc18   18.73%    4.188MiB / 23.32GiB   0.02%
cliente_hqc15   20.44%    2.082MiB / 23.32GiB   0.01%
cliente_hqc13   9.96%     848KiB / 23.32GiB     0.00%
cliente_hqc12   35.23%    4.195MiB / 23.32GiB   0.02%
