procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  5      0 10445540 300184 7274664    0    0     0  1772 18374 31439 75 25  0  0  0  0
13  1      0 10421512 300188 7274440    0    0     0   392 19522 21777 76 24  0  0  0  0
15  1      0 10445340 300200 7274844    0    0     0  1364 19021 21407 75 25  0  0  0  0
14  1      0 10468764 300208 7274600    0    0     0   484 16538 26302 74 26  0  0  0  0
18  1      0 10462792 300208 7274640    0    0     0  1608 20090 28566 76 24  0  0  0  0
14  3      0 10463508 300216 7274556    0    0     0  1784 27196 37253 76 22  1  1  0  0
13  1      0 10454352 300220 7276796    0    0     0   552 22170 29245 75 25  0  0  0  0
20  0      0 10474172 300232 7277716    0    0     0   836 23898 34148 74 25  1  0  0  0
20  1      0 10445364 300244 7276968    0    0     0   592 22598 26654 75 25  0  0  0  0
26  2      0 10446940 300252 7281452    0    0     0  1896 17806 22898 76 24  0  0  0  0
17  2      0 10453716 300252 7281408    0    0     0  1620 25585 39797 75 23  1  2  0  0
22  1      0 10426192 300268 7281424    0    0     0   628 20893 25531 75 25  0  0  0  0
15  1      0 10418860 300276 7281740    0    0     0   468 21211 29438 74 25  1  0  0  0
16  1      0 10416820 300276 7281552    0    0     0  1940 18641 30927 74 26  0  0  0  0
12  2      0 10447596 300276 7277440    0    0     0   960 13713 22031 76 24  0  0  0  0
12  2      0 10453684 300288 7277468    0    0     0  1336 13032 19778 74 25  0  1  0  0
24  0      0 10434852 300296 7281564    0    0     0   748 17560 29369 75 24  1  0  0  0
22  0      0 10422004 300296 7277588    0    0     0   420 17307 34013 76 23  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  1      0 10421872 300296 7277628    0    0     0  1780 14466 26003 75 24  0  0  0  0
22  1      0 10397844 300300 7277652    0    0     0  1232 13297 21018 76 24  0  0  0  0
14  2      0 10418252 300304 7281852    0    0     0   592 17768 34875 73 27  0  0  0  0
17  4      0 10444880 300308 7281832    0    0     0  1668 13224 20965 75 24  0  0  0  0
21  1      0 10456700 300320 7277720    0    0     0   624 16546 30842 76 22  1  1  0  0
14  1      0 10436412 300332 7277772    0    0     0  1288 17921 35189 76 24  0  0  0  0
18  1      0 10421204 300340 7277820    0    0     0  1116 14150 24497 76 24  0  0  0  0
13  1      0 10410072 300356 7281952    0    0     0   516 16171 30364 74 25  0  0  0  0
26  1      0 10429352 300356 7282088    0    0     0   568 14571 25691 75 25  0  0  0  0
24  2      0 10443392 300360 7278068    0    0     0  2584 17501 33222 74 24  1  2  0  0
20  1      0 10452200 300360 7277996    0    0     0  1380 13117 20869 75 24  1  1  0  0
14  1      0 10412896 300364 7282140    0    0     0   568 15611 28439 74 25  0  0  0  0
19  3      0 10403844 300372 7282280    0    0     0  1428 17978 36257 75 25  0  0  0  0
15 16      0 10410304 300376 7278168    0    0     0   924 12719 19927 76 23  0  0  0  0
21  2      0 10442516 300384 7278164    0    0     0   752 13194 21331 76 24  0  0  0  0
17  2      0 10456468 300392 7278184    0    0     0  1596 12525 18661 75 25  0  0  0  0
31  0      0 10444876 300396 7282272    0    0     0   508 14816 25360 76 24  0  0  0  0
30  1      0 10471204 300400 7282376    0    0     0   624 17249 32400 77 23  0  0  0  0
22  5      0 10425136 300404 7282400    0    0     0  1800 14385 23170 75 25  0  0  0  0
12  2      0 10424324 300408 7282436    0    0     0  1108 14905 26458 75 24  0  1  0  0
13  4      0 10423516 300408 7282396    0    0     0  1732 12418 18501 74 26  0  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
18  1      0 10425016 300412 7282160    0    0     0   860 14944 23643 75 25  0  0  0  0
24  0      0 10427612 300416 7282528    0    0     0   444 15606 27998 75 25  0  0  0  0
16 15      0 10460996 300420 7278388    0    0     0  1956 14980 26013 76 24  0  0  0  0
16  5      0 10459660 300428 7278408    0    0     0   848 12775 19745 71 23  1  5  0  0
17 16      0 10472008 300428 7278508    0    0     0  1220 12442 18672 76 24  0  0  0  0
27  0      0 10459788 300440 7282612    0    0     0   764 16478 31253 76 23  1  0  0  0
13  1      0 10450204 300464 7282656    0    0     0   424 15998 30033 74 26  0  0  0  0
14 10      0 10445728 300480 7282652    0    0     0  2736 15742 28108 73 26  0  0  0  0
16  2      0 10448804 300484 7278588    0    0     0   528 11670 17556 65 19  4 11  0  0
12  2      0 10452464 300488 7278600    0    0     0  1252 13096 21246 75 25  0  0  0  0
22  1      0 10459268 300500 7282812    0    0     0   440 16813 32682 74 26  0  0  0  0
16 14      0 10461652 300512 7282840    0    0     0  1980 13421 21654 75 25  0  0  0  0
24  2      0 10458816 300512 7282808    0    0     0   344 15105 26041 74 24  1  1  0  0
14  2      0 10469360 300516 7282820    0    0     0  1632 17000 31677 75 25  0  0  0  0
31  1      0 10474680 300528 7282844    0    0     0   788 13365 22280 76 24  0  0  0  0
16  0      0 10435568 300532 7282972    0    0     0   376 14724 25562 74 26  0  0  0  0
14  1      0 10444124 300536 7282988    0    0     0  1492 16169 30660 74 26  0  0  0  0
15  1      0 10437880 300540 7278920    0    0     0   788 12452 19253 76 24  0  0  0  0
17  2      0 10430760 300548 7282996    0    0     0  1336 13536 21761 73 26  1  0  0  0
14  5      0 10410516 300548 7283104    0    0     0  1416 13935 23237 74 26  0  0  0  0
22  2      0 10434360 300564 7278968    0    0     0   884 14712 25278 68 23  3  6  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
13 14      0 10449328 300572 7278956    0    0     0  1944 18077 34575 76 24  0  0  0  0
14  1      0 10444740 300588 7278976    0    0     0  1068 14629 25927 75 25  0  0  0  0
16  3      0 10448584 300588 7279020    0    0     0   852 15147 27859 74 26  0  0  0  0
25  1      0 10440188 300596 7283228    0    0     0   568 13973 21917 74 25  0  0  0  0
30  1      0 10446604 300596 7283268    0    0     0  1464 14851 25648 74 25  0  0  0  0
23  1      0 10451476 300596 7283288    0    0     0   808 16287 30373 77 23  0  0  0  0
21  2      0 10459892 300608 7283316    0    0     0  1240 14274 23301 76 24  0  0  0  0
20  2      0 10441544 300616 7283360    0    0     0  1012 16072 30340 73 26  0  0  0  0
