Linux 6.17.0-19-generic (tolokoum-HP-ProBook-640-G4) 	03/06/2026 	_x86_64_	(8 CPU)

09:01:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:01:53     all    5,59    0,00    4,57   15,50    0,00    0,13    0,00    0,00    0,00   74,21
09:01:54     all    9,53    0,25    6,61    8,64    0,00    0,00    0,00    0,00    0,00   74,97
09:01:55     all   10,38    0,00    6,92    8,72    0,00    0,00    0,00    0,00    0,00   73,97
09:01:56     all    3,77    0,00    3,77   12,33    0,00    0,25    0,00    0,00    0,00   79,87
09:01:57     all    8,89    0,00    8,13    5,84    0,00    0,00    0,00    0,00    0,00   77,13
09:01:58     all    5,57    0,25    4,18   11,27    0,00    0,00    0,00    0,00    0,00   78,73
09:01:59     all    5,97    0,00    5,59    4,19    0,00    0,00    0,00    0,00    0,00   84,24
09:02:00     all    1,63    0,00    2,01    0,50    0,00    0,00    0,00    0,00    0,00   95,86
09:02:01     all    2,39    0,00    2,77    0,00    0,00    0,00    0,00    0,00    0,00   94,84
09:02:02     all    2,27    0,00    3,16    0,00    0,00    0,00    0,00    0,00    0,00   94,57
09:02:03     all    2,91    0,00    2,28    0,00    0,00    0,00    0,00    0,00    0,00   94,82
09:02:04     all    6,01    0,13    4,60    2,81    0,00    0,00    0,00    0,00    0,00   86,45
09:02:05     all    6,64    0,26    4,47   15,84    0,00    0,13    0,00    0,00    0,00   72,67
09:02:06     all   10,09    0,00    7,02    7,15    0,00    0,13    0,00    0,00    0,00   75,61
09:02:07     all   18,01    0,13   12,69   15,03    0,00    0,26    0,00    0,00    0,00   53,89
09:02:08     all   14,80    0,13   10,81   10,04    0,00    0,13    0,00    0,00    0,00   64,09
09:02:09     all   21,62    0,13   16,34    4,89    0,00    0,13    0,00    0,00    0,00   56,89
09:02:10     all   29,95    0,13   20,31   12,08    0,00    0,13    0,00    0,00    0,00   37,40
09:02:11     all   30,59    0,13   21,21    5,53    0,00    0,26    0,00    0,00    0,00   42,29
09:02:12     all   30,51    0,26   21,79    7,44    0,00    0,26    0,00    0,00    0,00   39,74
09:02:13     all   69,39    0,13   17,19    2,38    0,00    0,25    0,00    0,00    0,00   10,66
