P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
145.85,144.36,156.4,1385.12,143.8
75.43,74.06,88.57,76.94,73.2
75.36,76.39,82.19,76.11,74.57
75.39,74.44,88.71,76.03,73.3
75.25,1074.03,82.31,76.61,73.33
75.34,73.88,82.46,75.86,73.3
75.54,74.82,1319.22,75.83,73.4
78.8,76.1,82.18,78.28,73.2
75.2,73.89,82.64,75.97,73.33
75.25,74.06,88.53,75.79,73.25
77.5,74.98,82.7,75.99,73.33
75.37,73.85,88.39,75.77,73.21
75.23,73.92,88.56,75.68,74.71
75.34,74.13,83.65,75.83,73.22
75.21,74.23,82.13,75.94,73.15
75.29,73.95,82.14,75.82,74.37
75.19,73.99,82.28,75.76,73.21
75.31,74.02,81.99,75.8,73.14
75.37,73.81,82.16,75.75,73.34
75.23,73.95,81.98,75.79,73.17
75.2,76.76,87.28,76.27,73.17
75.22,73.97,82.28,75.77,73.77
75.2,76.31,83.64,75.8,74.23
75.97,74.06,82.11,78.14,73.09
75.25,73.9,82.15,75.78,73.15
75.28,76.19,82.14,75.75,73.35
75.31,73.78,82.05,76.08,74.39
75.33,73.94,84.03,75.7,73.19
75.48,73.89,82.01,75.74,73.02
75.36,73.89,89.13,75.71,73.05
75.44,76.09,82.18,75.69,73.11
78.5,73.92,82.11,75.82,73.37
76.64,73.99,88.34,75.79,75.17
75.19,74.03,82.41,75.73,73.26
75.23,73.9,82.05,75.7,74.33
75.19,76.1,82.04,78.08,1072.25
75.49,73.79,82.44,75.7,73.31
78.75,73.93,88.4,75.82,73.14
78.75,76.09,82.46,78.96,74.44
75.25,73.89,88.4,75.7,73.16
75.34,73.98,88.39,75.69,73.12
75.14,73.85,82.32,75.7,73.58
1074.65,73.95,81.93,75.69,72.98
75.14,74.01,82.08,75.74,73.06
75.35,74.12,82.82,75.77,73.28
75.25,76.09,82.49,75.79,73.09
75.34,1074.03,88.67,75.78,73.36
75.24,73.75,88.33,76.01,73.28
75.24,74.19,92.72,76.04,73.19
75.67,75.77,82.28,76.19,73.17
77.55,74.02,83.0,76.08,73.39
75.22,73.9,82.09,78.48,74.33
75.74,73.88,82.23,76.03,73.22
75.32,73.93,88.33,76.83,74.55
77.5,73.88,82.06,77.1,73.11
75.27,75.5,82.2,76.04,73.16
75.46,74.1,82.06,78.94,73.26
78.6,74.08,82.06,76.07,73.2
75.33,74.03,88.49,76.13,73.23
75.27,75.4,82.1,76.07,73.11
75.35,1074.02,82.31,75.96,73.1
75.4,73.89,82.17,75.72,73.07
78.69,73.92,82.3,75.81,73.22
78.64,73.85,83.64,75.82,73.25
75.34,74.14,81.96,75.82,74.47
75.34,73.86,82.06,78.33,73.04
75.31,75.39,82.31,75.84,73.05
76.37,75.4,88.39,75.72,73.16
75.31,74.01,1316.43,78.3,73.3
75.49,73.81,82.61,75.88,73.3
75.39,74.22,82.17,80.62,73.17
75.12,73.99,88.35,78.2,73.14
75.16,73.95,82.47,75.68,73.17
78.47,1074.09,82.06,78.62,73.18
75.21,73.88,82.09,75.96,73.32
75.12,73.79,88.38,75.73,74.33
75.31,73.91,82.35,78.21,73.15
75.29,73.89,82.03,75.68,73.05
75.24,73.98,88.38,75.85,73.15
75.26,73.96,88.43,75.71,73.41
75.35,73.9,82.18,75.78,73.18
75.38,75.36,82.22,75.73,73.12
75.35,73.9,81.99,75.69,73.09
77.2,75.35,88.43,75.78,73.14
75.27,75.45,83.61,75.85,74.58
75.2,73.94,88.41,75.71,73.21
75.4,73.94,88.5,75.71,73.14
75.43,73.88,82.05,75.74,73.25
75.44,74.3,82.0,78.17,73.1
77.38,73.91,82.09,75.78,73.26
75.38,73.88,83.92,75.78,73.2
75.26,73.81,82.14,75.83,73.05
75.28,73.85,83.49,78.14,73.17
77.23,73.82,82.03,75.82,73.15
75.41,73.88,82.04,75.71,74.49
75.22,73.89,82.52,75.78,1072.57
75.32,75.51,88.33,75.81,74.3
77.22,74.0,82.43,75.71,73.33
75.17,73.88,82.09,76.12,73.11
75.24,73.9,82.24,76.63,73.33
75.37,75.42,82.29,75.76,73.07
75.2,73.88,82.17,76.08,73.15
75.28,73.89,83.72,75.74,74.48
75.25,74.03,82.05,78.18,73.05
75.25,75.59,88.34,75.78,74.31
75.21,75.33,82.12,75.73,73.25
75.33,1074.11,82.67,75.73,73.05
1076.82,76.11,82.24,75.8,73.65
75.29,76.15,82.1,75.87,73.3
75.25,74.01,82.08,75.85,73.06
75.5,73.92,82.7,75.99,74.58
75.19,74.14,88.39,76.07,73.1
77.34,75.57,82.1,76.04,73.12
75.22,74.23,82.02,1312.2,73.45
75.31,73.98,82.72,75.8,73.24
78.44,73.91,82.21,75.79,73.2
75.17,74.6,82.11,75.77,73.17
75.24,73.85,83.02,75.97,73.05
75.45,74.61,82.14,75.88,73.22
75.21,74.74,82.16,75.79,73.17
75.35,73.97,82.11,75.72,73.03
75.43,74.0,88.38,75.88,73.14
75.26,73.86,82.1,75.78,73.18
75.22,73.76,82.16,76.25,73.2
75.34,74.28,82.03,75.95,73.28
75.11,73.8,82.1,76.74,72.98
75.3,74.26,82.08,75.8,73.11
75.29,74.73,81.94,78.47,73.14
77.26,73.88,82.05,75.78,74.33
75.65,74.72,83.12,75.68,74.44
75.18,74.76,82.06,75.87,73.18
75.19,73.85,82.12,75.99,74.62
75.11,74.57,82.11,76.08,74.61
75.2,73.89,82.05,75.82,73.23
75.34,73.86,82.08,1312.75,73.05
75.35,73.8,82.07,75.8,73.49
75.64,73.9,82.05,75.78,73.25
75.22,74.28,84.55,78.09,73.2
75.35,73.91,82.22,76.14,73.06
75.18,74.59,81.93,75.95,73.32
75.25,75.41,82.2,75.93,73.14
75.14,73.85,82.23,78.18,73.35
77.21,73.76,81.93,76.46,73.3
75.2,73.92,82.7,75.79,73.1
