P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
403.01,402.13,408.85,404.63,401.92
402.22,402.0,413.45,403.4,401.87
402.25,401.79,413.58,403.38,401.98
402.14,1401.62,413.42,403.28,401.97
402.24,401.91,408.81,403.5,1827.25
402.16,401.94,408.62,403.36,402.58
402.33,401.81,408.86,403.42,402.02
402.28,401.96,413.62,404.56,402.18
402.17,401.93,408.86,403.31,401.92
1402.13,401.89,408.75,403.38,401.87
402.16,401.94,408.74,403.39,1827.47
402.21,402.23,408.67,403.42,402.03
402.22,401.89,1834.13,403.31,402.07
402.39,402.0,408.77,403.49,401.85
402.15,402.3,408.74,403.29,402.08
402.14,401.88,409.11,404.49,402.03
402.23,401.96,408.91,404.61,401.83
402.23,401.96,408.88,403.89,401.95
402.24,402.31,408.9,403.46,401.98
402.23,401.81,408.66,404.12,401.92
402.27,401.98,408.61,403.28,401.9
402.95,1401.7,408.79,403.37,1827.17
402.29,401.94,408.73,403.69,401.93
402.3,402.29,413.77,403.43,402.01
402.28,401.94,408.94,404.47,401.88
402.19,401.91,408.61,1829.42,402.08
402.24,402.35,408.65,403.38,402.08
402.17,401.93,414.53,403.34,401.99
402.97,402.41,408.88,403.3,402.01
402.78,402.14,414.54,403.36,401.95
402.12,401.82,408.84,403.46,401.77
402.16,401.84,409.32,403.42,402.06
402.16,401.92,408.72,403.44,402.49
402.73,401.91,408.73,403.54,402.43
402.18,401.84,408.98,403.27,402.03
402.19,402.12,409.4,403.41,401.98
402.26,1401.49,408.71,403.72,402.04
402.19,402.47,414.35,403.31,402.06
402.16,402.44,408.96,403.49,402.0
402.18,401.9,408.69,403.45,402.43
402.77,1402.05,410.12,403.38,401.85
402.33,401.83,408.88,403.47,402.24
402.26,401.92,414.4,403.38,402.02
402.27,401.87,408.73,403.92,402.11
402.22,402.21,408.59,403.33,401.87
402.71,402.02,408.94,403.66,401.89
402.21,402.31,408.82,403.5,401.92
402.23,402.41,408.9,403.45,401.93
402.31,402.81,408.72,403.39,402.04
402.0,401.98,409.06,403.51,402.08
402.25,401.96,413.88,403.38,402.32
402.26,401.85,408.83,404.46,402.36
402.34,401.83,413.74,403.4,402.34
402.73,401.9,408.93,403.4,402.11
402.68,401.89,408.81,403.48,401.97
402.26,401.99,1833.46,403.45,402.4
402.2,401.91,408.67,403.51,402.02
402.41,401.82,1833.79,403.34,401.95
1402.22,402.4,408.79,404.49,402.01
402.22,401.98,408.98,1828.32,402.04
402.2,401.9,413.44,403.39,401.97
402.18,401.9,413.46,403.42,401.81
402.32,401.76,409.43,403.5,401.92
402.2,402.4,408.92,403.41,401.98
402.08,401.9,408.72,404.5,401.94
402.27,401.95,413.4,404.18,402.1
402.21,401.89,408.77,403.31,402.29
1401.99,402.46,410.09,403.62,401.93
402.24,401.88,408.88,403.42,401.96
1401.73,401.93,408.8,403.31,402.26
402.33,401.83,409.11,1828.42,401.98
402.25,401.9,408.76,403.45,402.47
402.65,401.79,408.66,403.32,402.26
402.35,401.88,409.09,403.52,401.92
402.8,402.07,409.76,404.94,401.94
402.11,401.83,408.81,403.43,402.02
402.37,401.81,408.87,404.64,401.97
402.29,402.44,408.85,404.07,402.0
402.71,402.03,413.54,1829.39,401.86
402.23,1401.53,408.65,403.41,402.38
402.22,401.91,408.76,403.35,402.13
402.78,402.06,408.93,404.18,1827.36
402.05,402.0,408.95,404.59,401.92
402.22,401.83,408.81,404.65,401.93
402.27,401.9,409.24,403.41,402.06
402.75,401.9,408.8,403.45,402.1
402.15,402.35,408.77,403.35,401.83
402.15,401.87,408.77,403.74,402.04
402.25,401.82,409.45,404.52,402.01
402.26,401.96,408.75,403.93,402.09
402.53,402.01,413.47,403.37,401.95
402.16,402.35,408.71,403.37,402.05
402.23,402.4,409.02,403.3,401.98
402.35,401.87,408.93,404.3,402.1
402.24,402.27,408.88,403.52,401.91
402.77,401.94,408.86,403.41,401.93
402.31,401.9,408.71,403.33,402.05
402.26,402.38,408.76,403.32,402.06
402.23,402.0,408.65,403.7,402.01
402.3,401.73,408.93,403.4,402.04
402.22,401.85,413.62,403.43,402.37
402.2,401.82,408.8,403.38,401.93
402.23,401.88,408.72,404.51,402.09
402.29,401.91,409.01,403.59,401.96
402.17,402.01,408.75,403.4,402.31
402.36,402.31,408.87,404.9,401.93
402.3,401.8,408.83,403.47,401.95
402.26,401.83,408.95,403.42,402.04
402.2,402.13,408.9,403.46,402.49
402.26,402.13,413.48,404.12,402.02
402.99,401.92,408.84,403.48,402.07
402.26,402.41,408.83,403.39,402.07
402.32,402.34,408.83,403.54,402.37
402.77,402.27,408.91,404.63,401.86
402.16,402.19,408.87,404.2,401.93
402.37,404.07,408.66,403.29,402.58
402.27,401.83,408.66,403.41,402.06
402.38,401.93,409.24,403.39,402.58
402.33,401.83,413.66,403.27,401.91
402.8,401.9,409.2,403.4,401.94
403.1,402.0,408.87,403.69,402.04
402.14,401.82,408.72,404.13,401.9
402.22,401.9,408.61,403.52,402.17
402.17,402.29,413.53,403.3,1827.55
402.16,401.88,408.88,403.45,402.01
402.19,402.64,408.77,403.39,402.15
402.23,402.6,413.64,404.56,402.0
402.3,402.49,408.87,403.49,401.92
402.2,401.81,413.44,403.43,401.85
402.38,401.88,408.91,403.37,402.0
402.31,402.03,408.75,403.34,402.19
402.78,402.01,409.08,403.67,402.18
402.27,402.05,409.56,403.49,402.04
402.19,1401.0,408.78,403.38,401.83
402.23,401.95,408.68,403.57,401.89
402.29,401.88,408.84,403.42,401.87
402.27,402.0,413.57,403.42,402.0
1401.72,402.01,409.37,403.48,401.94
402.21,401.83,408.79,403.42,402.03
402.86,402.49,409.55,404.09,401.95
402.78,402.4,409.37,403.41,401.99
402.2,401.94,408.99,403.46,402.06
402.66,1401.58,408.9,404.81,402.47
402.31,401.84,409.01,403.41,402.03
3400.4,401.84,410.33,403.53,401.91
402.23,401.83,408.75,403.7,401.94
402.77,402.02,410.01,403.78,402.48
402.79,401.94,408.88,403.41,402.08
402.05,402.6,414.54,403.63,402.29
402.19,401.81,408.83,403.61,401.9
402.29,401.92,409.11,403.46,401.87
402.18,401.78,408.96,403.36,402.02
1401.77,401.9,408.76,1828.46,402.02
402.24,402.03,414.56,404.71,401.93
402.25,401.92,1838.49,404.31,402.41
402.16,401.81,409.55,403.36,402.02
402.21,401.92,408.83,403.38,401.94
402.79,402.33,408.73,403.41,401.85
1401.87,401.92,413.55,403.39,401.87
402.23,401.87,409.04,403.27,401.95
402.34,402.05,408.77,404.4,402.47
