P-521,p521_mlkem1024,mlkem1024
6.5,16.15,3.14
6.08,16.11,2.95
5.92,16.25,3.41
5.82,16.73,3.42
6.72,16.37,3.88
5.88,16.05,3.16
5.89,17.53,3.03
5.73,16.65,3.2
6.16,16.37,3.03
5.89,23.64,3.34
5.7,17.54,2.84
7.5,16.63,3.89
6.11,17.33,2.96
5.76,16.62,3.45
7.58,17.42,3.06
6.04,23.94,3.48
5.82,16.45,2.81
7.64,17.19,3.5
6.31,24.08,3.34
6.48,17.19,3.55
6.76,16.12,3.1
5.83,24.36,2.95
6.34,17.45,3.17
5.87,16.05,3.18
6.65,24.79,2.91
5.6,24.71,3.59
5.97,16.0,3.6
5.84,23.91,3.18
6.3,19.51,2.84
6.15,19.92,3.04
6.18,24.77,3.32
6.12,16.28,3.45
5.85,16.91,2.94
5.85,18.25,3.05
5.64,24.38,3.21
5.95,15.9,3.36
5.9,20.1,2.97
6.24,17.22,2.95
7.77,17.85,3.44
6.1,16.68,2.96
7.67,16.68,3.64
5.94,20.73,2.84
7.66,17.8,2.96
6.55,24.04,2.93
5.82,19.36,3.38
7.57,16.25,2.89
5.85,25.06,3.34
5.78,16.03,3.14
5.9,17.62,2.73
6.62,15.87,4.06
5.9,19.6,2.89
5.99,16.32,3.31
7.47,24.71,3.0
8.39,16.88,3.52
5.88,16.52,3.55
5.79,19.3,4.33
5.99,18.83,3.52
6.52,16.1,3.63
7.44,16.32,2.93
8.25,17.23,2.98
5.72,16.36,3.5
5.79,15.58,3.15
5.94,19.38,3.27
6.93,19.33,2.92
6.1,24.25,3.28
8.41,24.43,2.97
6.94,16.57,3.1
5.73,15.94,3.62
5.71,18.91,3.07
5.9,16.18,2.99
6.14,15.61,2.79
6.24,17.64,3.05
6.11,16.37,2.89
6.05,24.21,4.8
5.66,17.51,2.96
6.45,15.91,3.03
6.88,17.15,3.15
5.84,15.78,3.13
5.81,17.18,3.59
5.78,18.04,2.94
8.18,16.76,4.01
5.88,18.64,3.05
6.35,16.03,3.77
6.11,17.37,3.06
7.38,16.18,2.71
7.47,24.68,2.97
6.52,16.41,2.95
7.48,19.03,3.14
7.72,16.11,3.02
5.97,16.32,3.61
6.89,16.59,3.8
8.08,17.14,3.65
5.86,16.6,2.77
7.59,18.11,2.91
5.78,16.48,2.86
7.35,16.78,2.97
7.76,16.52,2.96
6.19,17.36,3.03
6.0,15.74,2.74
7.48,19.45,3.89
6.69,16.29,3.26
5.85,22.86,3.13
7.41,24.53,2.86
6.04,20.1,4.14
7.5,15.74,3.38
5.92,19.43,4.16
6.49,16.96,3.33
6.01,15.91,3.52
