P-521,p521_mlkem1024,mlkem1024
9.98,28.4,6.71
10.16,20.11,6.56
9.57,22.8,5.81
8.03,17.7,7.32
10.4,17.73,6.16
10.66,18.81,5.7
8.23,21.59,4.96
8.59,17.9,8.56
8.72,17.46,8.16
14.26,28.09,6.32
12.99,18.89,9.85
9.41,29.28,9.53
8.29,18.25,8.49
9.1,18.48,9.04
8.34,17.92,8.03
10.28,19.34,6.13
8.43,18.83,7.26
7.86,26.54,9.61
8.02,18.37,6.75
8.26,23.21,9.09
7.39,28.14,8.24
8.14,22.72,8.01
11.28,17.61,5.89
7.7,18.48,8.71
8.3,18.45,6.5
10.73,17.53,8.99
7.45,18.01,6.33
10.51,18.66,7.88
7.52,18.42,5.6
8.29,17.67,9.93
7.97,17.58,6.18
10.24,18.77,7.15
8.03,21.8,5.42
16.98,17.95,8.3
9.01,19.07,4.85
7.24,17.93,7.37
11.67,28.08,7.87
11.07,18.85,7.51
8.33,18.24,5.64
7.53,19.31,28.19
11.36,21.26,7.93
7.56,17.86,8.53
8.02,24.0,8.96
8.6,19.88,7.03
7.56,22.25,5.88
11.21,17.94,5.25
9.38,18.76,5.83
8.51,17.98,6.76
7.65,17.57,6.26
11.27,18.01,5.77
9.62,17.93,8.76
14.02,22.06,7.88
7.96,18.13,7.79
7.6,28.46,4.98
11.66,22.12,6.42
8.98,18.38,5.17
8.58,18.73,5.83
13.29,18.58,8.65
8.46,30.5,6.89
7.46,18.92,5.5
8.55,23.45,9.56
7.54,20.24,6.1
11.72,19.5,5.85
9.22,18.19,5.65
7.51,27.03,5.55
7.86,27.78,7.38
8.54,17.69,6.95
7.66,22.5,4.88
8.3,18.59,4.67
8.55,28.64,6.86
7.7,23.68,6.16
8.18,18.32,6.23
11.76,18.44,6.18
8.09,17.75,4.69
7.74,20.75,5.54
10.11,18.4,6.49
8.52,18.04,4.63
10.43,17.83,5.38
8.29,17.52,5.43
8.96,17.56,4.56
8.27,17.61,5.8
15.09,17.58,6.88
7.97,17.93,5.02
7.5,18.83,6.72
9.52,17.55,5.53
8.05,18.23,5.88
8.64,26.45,6.62
10.87,17.86,4.83
8.48,26.89,7.25
7.51,23.96,6.42
7.49,20.56,5.94
8.36,23.21,6.8
7.22,18.99,10.93
8.26,18.61,7.03
8.34,22.44,5.15
7.57,32.26,6.3
10.09,28.42,7.56
12.3,27.01,5.78
8.23,19.42,5.36
7.63,20.58,8.98
7.96,25.26,5.24
7.37,17.85,6.74
8.61,18.5,4.71
10.03,21.84,4.73
7.29,17.94,5.63
17.29,21.84,5.22
8.35,22.75,5.29
7.57,30.09,5.11
8.27,18.43,6.04
7.8,18.72,7.91
7.33,17.66,10.33
8.94,21.32,7.22
11.09,20.98,7.21
8.32,24.5,11.92
7.8,20.63,6.35
8.39,19.61,6.11
8.51,20.05,8.47
7.47,17.85,6.29
8.06,18.25,4.68
7.74,21.95,6.82
10.96,19.24,4.86
7.92,22.3,4.69
7.57,17.89,5.26
8.56,18.15,5.25
7.53,20.68,4.69
7.66,21.14,4.65
9.18,21.57,5.39
7.68,22.18,4.92
7.51,22.53,5.09
7.65,19.65,5.42
9.75,21.28,4.84
10.79,31.59,4.7
7.36,23.84,5.19
12.01,22.09,5.73
8.34,22.39,5.09
7.98,18.07,5.07
7.54,18.87,5.37
8.48,28.2,7.94
8.58,21.34,10.48
8.4,22.11,7.03
8.04,25.03,6.84
7.53,19.57,5.47
8.36,18.95,8.12
7.76,17.8,5.22
7.3,17.73,7.45
12.7,27.07,5.51
10.34,19.15,5.2
7.71,19.91,5.65
7.3,19.72,5.17
11.5,20.68,5.14
7.53,17.6,4.96
8.98,18.93,4.71
7.89,18.23,4.74
7.21,18.03,6.26
7.37,17.95,4.91
8.21,27.34,4.85
7.96,18.0,7.01
8.23,21.55,4.69
8.55,18.04,4.66
7.63,23.07,7.43
8.59,17.52,4.62
7.91,20.05,6.75
7.51,18.48,7.5
8.95,28.3,4.98
7.4,18.41,6.14
7.95,23.86,6.9
10.26,17.63,5.5
9.9,26.96,5.32
8.34,29.34,5.25
9.64,32.66,4.67
8.59,18.72,4.83
7.64,19.87,7.68
7.52,21.23,7.55
7.7,17.79,4.73
8.32,21.13,5.5
8.54,19.36,5.99
7.82,20.79,6.76
7.21,18.53,4.65
14.05,18.67,5.81
8.26,19.34,5.42
8.45,19.33,5.33
13.32,17.88,5.47
8.49,21.83,4.89
10.74,17.55,4.82
9.17,17.54,4.97
7.6,17.68,6.41
8.99,19.96,5.7
8.53,17.64,7.9
10.72,21.73,5.47
7.6,19.59,6.68
7.27,18.77,9.35
8.46,27.88,7.81
8.09,18.44,8.43
7.6,27.76,5.83
7.37,18.16,6.23
10.63,19.09,5.34
8.51,17.88,5.28
7.5,18.99,5.98
7.4,20.87,5.94
10.29,19.02,4.64
11.22,17.76,5.19
10.96,18.92,7.43
7.49,18.15,5.12
7.65,20.17,5.23
8.77,18.97,4.76
8.43,36.02,6.06
11.37,21.08,5.49
7.63,18.75,6.43
8.35,27.16,5.41
7.76,18.69,5.54
8.3,28.21,5.41
8.59,25.3,5.38
10.81,27.93,5.85
7.72,18.52,5.89
7.54,20.52,5.42
8.68,18.29,4.82
7.89,18.35,4.55
10.71,19.76,5.55
7.99,19.23,6.5
7.39,29.1,5.77
8.93,19.18,6.55
7.7,18.73,4.96
8.15,23.72,5.01
8.02,36.44,5.74
7.46,18.35,6.19
8.44,18.43,5.01
8.3,18.45,5.49
7.28,26.8,4.87
7.58,18.55,5.41
8.0,17.61,5.35
8.07,19.14,5.31
7.41,18.48,5.28
9.55,18.2,4.73
7.81,17.62,4.95
7.29,19.1,4.7
8.32,19.28,6.7
