procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 15144880 156676 5490148    0    0   446  1075 6089    7 10  4 84  2  0  0
 2  2      0 15138848 156696 5490352    0    0     0  2320 5220 9135  6  5 69 19  0  0
 1  0      0 15138344 156728 5490468    0    0     0   880 4522 7346  5  5 79 11  0  0
 0  0      0 15143076 156752 5490568    0    0     0   476 7004 9898 10  7 76  7  0  0
 1  1      0 15144992 156788 5490572    0    0     0  2084 3746 4406  8  5 73 14  0  0
 1  0      0 15157052 156788 5490552    0    0     0    76 10334 10384  9 10 80  2  0  0
 1  0      0 15121736 156788 5486404    0    0     0     0 10741 9559  9 10 80  0  0  0
 0  1      0 15142504 156788 5490500    0    0     0    48 10932 14153  9 10 79  2  0  0
 1  2      0 15145504 156820 5490528    0    0     0  2476 3159 3890  6  4 78 12  0  0
 1  1      0 15138636 156848 5490620    0    0     0  1120 7143 10931 11  8 74  7  0  0
 8  0      0 15147268 156856 5490648    0    0     0    56 1850 1972  3  2 94  1  0  0
 0  0      0 15144908 156856 5486556    0    0     0     4 3052 4838  5  3 91  1  0  0
 1  0      0 15147216 156856 5486564    0    0     0     0 1624 1733  1  2 97  0  0  0
 0  0      0 15154524 156856 5490664    0    0     0     0 1420 1508  2  2 96  0  0  0
 1  0      0 15157904 156856 5486712    0    0     0     0 2174 4196  3  2 95  0  0  0
 1  1      0 15158164 156880 5490816    0    0     0  2236 4753 8747  5  4 81 10  0  0
 1  0      0 15152292 156924 5490880    0    0     0   784 5226 8232  8  5 78  9  0  0
 3  2      0 15144412 156956 5486816    0    0     0  1672 12563 15268 15 11 66  8  0  0
 1  1      0 15143140 156984 5486836    0    0     0  1136 6342 5450 12  9 66 13  0  0
 2  1      0 15137124 157016 5491040    0    0     0   508 9904 12694 16 13 64  6  0  0
 2  1      0 15134048 157044 5486988    0    0     0  1616 9964 12757 28 17 47  8  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 15103092 157088 5491196    0    0     0   852 11176 14764 27 20 48  6  0  0
 2  3      0 15097320 157112 5487148    0    0     0  1860 12009 16925 33 23 39  5  0  0
 4  1      0 15094152 157152 5487156    0    0     0   952 9666 12012 26 21 41 12  0  0
 4  1      0 15099988 157196 5491384    0    0     0   592 12658 21209 32 23 40  5  0  0
 4  1      0 15091752 157220 5487348    0    0     0  1616 11669 18000 37 26 26 11  0  0
 5  1      0 15067500 157240 5491568    0    0     0   876 11665 18062 39 28 29  5  0  0
 5  2      0 15049356 157272 5487532    0    0     0  1772 11714 17595 44 30 19  6  0  0
10  1      0 15062352 157320 5491608    0    0     0  1240 10966 14506 45 30 21  4  0  0
 9  1      0 15064008 157356 5491824    0    0     0  1160 13004 19719 49 33 16  2  0  0
 6  1      0 15071648 157380 5487788    0    0     0  1488 10844 13084 51 34 13  2  0  0
 6  1      0 15043792 157404 5491952    0    0     0   596 13796 22132 54 35 11  1  0  0
 8  3      0 15031644 157432 5492000    0    0     0  1572 12080 16290 57 36  5  2  0  0
10  1      0 15035192 157472 5492016    0    0     0  1228 11331 14075 54 34  7  5  0  0
11  0      0 14996832 157496 5492196    0    0     0   500 13609 19848 59 36  4  1  0  0
 7  2      0 15016856 157528 5492248    0    0     0  1828 12861 18490 59 37  3  1  0  0
 9  3      0 15003304 157564 5492292    0    0     0  2076 12222 15699 57 35  5  3  0  0
15  3      0 14994572 157616 5492272    0    0     0  1008 10848 12545 59 36  4  1  0  0
 7  2      0 14984068 157636 5492336    0    0     0  1892 13018 19093 51 34 10  5  0  0
 6  2      0 14997704 157680 5488284    0    0     0   732 12985 18847 52 34 10  4  0  0
 8  2      0 15013300 157700 5488152    0    0     0  1616 11187 14081 52 34 10  4  0  0
 7  1      0 15019328 157756 5488164    0    0     0  1664 12643 18796 53 34 10  3  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  2      0 15017628 157780 5492388    0    0     0   524 13715 21000 51 34 13  3  0  0
 7  1      0 15005136 157800 5488244    0    0     0  1720 12165 17225 51 33 11  5  0  0
 6  1      0 15010592 157836 5488256    0    0     0  1296 10762 13497 52 33 12  3  0  0
12  2      0 15012356 157896 5492316    0    0     0  1560 12503 17915 50 32 14  4  0  0
 5  1      0 15003036 157924 5488384    0    0     0   872 10293 12904 38 27 23 12  0  0
 7  1      0 15010232 158000 5488432    0    0    12  1764 13157 20844 53 34 11  2  0  0
 5  1      0 15019988 158080 5492468    0    0     0   940 11814 16633 48 32 16  4  0  0
 7  1      0 15017776 158112 5492588    0    0     0  1644 11699 16503 46 30 18  6  0  0
 6  3      0 15036260 158192 5492644    0    0     0  1420 12956 19584 49 32 15  4  0  0
 5  2      0 15020652 158212 5488532    0    0     0   884 11073 15711 43 29 17 11  0  0
 6  5      0 15029308 158260 5488492    0    0     0  1748 10883 14833 43 29 20  8  0  0
 4  2      0 15050836 158308 5492564    0    0     0   700 10344 13981 36 27 28 10  0  0
10  0      0 15043124 158336 5492616    0    0     0  1224 11312 14704 36 25 25 14  0  0
 5  8      0 15031028 158404 5492676    0    0     0  1752 11956 18902 45 29 22  4  0  0
 4  2      0 15038104 158420 5488524    0    0     0   496 10975 15384 39 28 26  7  0  0
 7  2      0 15048648 158448 5488580    0    0     0  1388 9165 9309 31 24 24 21  0  0
 4  0      0 15047840 158496 5492700    0    0     0  1172 10596 14087 37 25 28  9  0  0
 8  1      0 15042724 158532 5492784    0    0     0   524 12796 21378 41 29 26  4  0  0
 6  3      0 15031724 158596 5494200    0    0     0  2724 10679 14607 37 25 24 14  0  0
 4  2      0 15040104 158640 5490636    0    0     0  1808 10415 11579 39 29 25  7  0  0
 5  0      0 15037620 158668 5490444    0    0     0   432 11171 15983 39 26 29  6  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  2      0 15050664 158744 5490740    0    0     0   912 12183 19905 39 28 26  8  0  0
 0  6      0 15053040 158760 5486672    0    0     0  1540 9565 11126 33 23 27 17  0  0
 6  1      0 15042796 158800 5486668    0    0     0   916 10886 13545 36 26 29 10  0  0
 3  2      0 15053704 158852 5490732    0    0     0   860 10365 13596 37 27 31  5  0  0
22  1      0 15053404 158860 5490844    0    0     0   592 11331 15409 30 23 38 10  0  0
 4  2      0 15049336 158872 5486804    0    0     0  1100 9105 10261 26 20 35 18  0  0
 8  3      0 15053704 158952 5486776    0    0     0  1276 11361 16951 33 24 35  8  0  0
 4  2      0 15058452 158980 5486852    0    0     0  1132 9786 12002 35 25 30 10  0  0
 4  2      0 15057256 159032 5486812    0    0     0  1820 11028 15483 34 24 30 13  0  0
 4  2      0 15060268 159060 5490936    0    0     0  1448 10159 11517 32 23 32 13  0  0
 5  1      0 15057008 159112 5491024    0    0     0   728 12347 18326 35 27 31  7  0  0
 3  1      0 15051736 159164 5491080    0    0     0  1508 9715 11748 35 26 31  8  0  0
 9  2      0 15044588 159244 5490784    0    0     0  1540 11819 17962 36 25 31  7  0  0
 0  5      0 15043756 159272 5491176    0    0     0  1436 10625 14930 29 20 36 14  0  0
11  1      0 15053256 159356 5491140    0    0     0   744 10861 14767 35 26 34  6  0  0
 6  1      0 15042324 159408 5487100    0    0     0  1704 10186 12990 35 26 34  6  0  0
22  1      0 15065028 159452 5491248    0    0     0   604 12206 18925 34 25 35  6  0  0
 3  2      0 15054464 159480 5491240    0    0     0  1536 9681 11925 27 21 35 17  0  0
 4  2      0 15055560 159548 5487184    0    0     0  1548 12127 20386 36 25 31  9  0  0
 4  1      0 15042484 159604 5487284    0    0     0   948 10199 13229 35 26 32  6  0  0
 4  1      0 15029020 159640 5491488    0    0     0   476 11928 18097 39 27 29  5  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  3      0 15056456 159712 5487416    0    0     0  1712 12103 18823 44 30 20  6  0  0
14  3      0 15055968 159744 5487400    0    0     0   752 11265 13318 39 27 23 11  0  0
 8  2      0 15035560 159796 5491508    0    0     0  1248 10147 13827 36 27 28 10  0  0
 6  1      0 15045040 159820 5491996    0    0     0   572 11856 17423 41 27 28  4  0  0
 4  3      0 15046908 159876 5488048    0    0     0  1868 11605 17439 44 30 20  6  0  0
 5  1      0 15048396 159920 5487948    0    0     0  1588 12552 17108 40 27 26  7  0  0
 5  0      0 15026728 159972 5492092    0    0     0   624 12250 14725 36 26 31  7  0  0
 6  3      0 15024584 160056 5488044    0    0     0  1828 12747 20268 43 29 24  4  0  0
 6  2      0 15031440 160060 5488124    0    0     0   460 10826 14285 41 28 20 11  0  0
 4  3      0 15040680 160100 5488140    0    0     0  1448 10223 11959 38 26 25 11  0  0
 4  2      0 15038516 160168 5492152    0    0     0   964 9964 12221 33 25 32 11  0  0
 5  1      0 15019640 160220 5492264    0    0     0   664 13161 21759 43 30 23  4  0  0
 4  1      0 15018780 160272 5492324    0    0     0  1696 10983 15250 45 29 16 11  0  0
 6  5      0 15014724 160316 5488160    0    0     0  1436 10461 13851 36 25 31  8  0  0
12  1      0 15027616 160360 5492328    0    0     0  1220 9471 8606 37 26 26 12  0  0
 6  1      0 15030428 160376 5492464    0    0     0   288 11504 16959 39 27 29  5  0  0
 5  2      0 15047904 160436 5488388    0    0     0  1600 12206 18989 40 27 27  6  0  0
 4  2      0 15037032 160456 5488356    0    0     0  1392 10029 13054 30 23 27 20  0  0
 4  1      0 15037472 160532 5492412    0    0     0  1004 10194 10777 38 28 27  7  0  0
 4  1      0 15044068 160576 5492572    0    0     0   568 11408 15985 37 26 31  7  0  0
 6  3      0 15047700 160664 5488520    0    0     0  1808 11704 16490 42 30 21  7  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  1      0 15043316 160676 5488500    0    0     0   788 11376 16647 37 26 30  8  0  0
 9  1      0 15046416 160744 5488516    0    0     0  1292 10446 14243 38 26 26 10  0  0
 5  0      0 15041936 160772 5492748    0    0     0   440 11577 17115 38 27 31  4  0  0
 6  2      0 15048356 160836 5492772    0    0     0  1364 11992 18603 39 28 27  6  0  0
 0  6      0 15052976 160856 5488704    0    0     0  1448 10666 15792 35 24 28 12  0  0
 5  1      0 15048400 160940 5492812    0    0     0   968 9512 11129 35 25 31  9  0  0
 5  1      0 15038500 160976 5492928    0    0     0   496 12847 21297 41 28 28  3  0  0
 5  3      0 15034224 161040 5492912    0    0     0  2032 10605 13979 38 27 28  8  0  0
 6  1      0 15030708 161080 5488824    0    0     0   876 10681 15811 36 25 27 12  0  0
 4  1      0 15026928 161156 5488832    0    0     0  1128 9950 12667 35 26 32  7  0  0
20  1      0 15024652 161180 5493096    0    0     0   436 11920 18206 39 27 28  5  0  0
 6  2      0 15041108 161220 5488948    0    0     0  1236 11967 18861 37 27 28  8  0  0
 7  4      0 15033260 161272 5488968    0    0     0  2360 10588 14604 37 26 25 12  0  0
 3  1      0 15042124 161332 5488960    0    0     0  1064 9994 11529 35 26 29 10  0  0
 4  1      0 15048312 161372 5493036    0    0     0   592 12964 17247 32 23 37  8  0  0
 3  3      0 15039704 161404 5493128    0    0     0  1588 18737 10481 33 22 29 16  0  0
 2  7      0 15055020 161496 5493188    0    0     0  1884 18006 16509 39 27 29  6  0  0
 5  1      0 15048052 161528 5493256    0    0     0   436 11733 11725 33 25 33  9  0  0
 7  1      0 15030392 161592 5493204    0    0     0   992 18652 18929 37 25 31  6  0  0
 2  5      0 15032472 161620 5493560    0    0     0  1612 14783 15567 30 22 33 16  0  0
 5  1      0 15042184 161680 5493808    0    0     0   664 12444 14453 30 23 34 12  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  1      0 15044748 161752 5493324    0    0     0  1380 9987 11927 35 26 31  9  0  0
 7  1      0 15043736 161820 5493300    0    0     0  1048 11156 14902 36 25 32  7  0  0
 5  3      0 15029884 161840 5493460    0    0     0  1200 11046 14920 31 22 30 17  0  0
 5  1      0 15030760 161860 5493480    0    0     0   444 10046 13262 26 21 40 12  0  0
 6  3      0 15042416 161956 5489272    0    0     0  1676 11315 17502 36 26 32  6  0  0
 5  2      0 15049308 161960 5489356    0    0     0   200 10087 13920 32 24 34  9  0  0
 8  2      0 15052276 161972 5489288    0    0     0   376 10006 12350 27 20 42 11  0  0
11  0      0 15029908 162048 5497224    0    0     0  1780 10902 14789 32 22 37  8  0  0
 6  1      0 15016328 162132 5493028    0    0     0  1520 12417 21056 36 24 33  7  0  0
 8  1      0 15006464 162200 5495272    0    0     0  3752 9723 12347 36 26 23 15  0  0
 2  8      0 15014784 162240 5503968    0    0     0  9436 10595 12485 33 22 34 12  0  0
 5  2      0 15017944 162272 5508516    0    0     0  5940 9308 9789 32 22 32 14  0  0
 6  1      0 15038540 162344 5493324    0    0     0  5220 10229 14040 28 21 41 10  0  0
 5  2      0 15029180 162384 5493184    0    0     0   640 12973 21918 33 24 38  6  0  0
 7  3      0 15026192 162436 5493176    0    0     0  1792 9802 12281 27 21 33 19  0  0
 2  5      0 15032004 162468 5489100    0    0     0  1132 9233 10489 24 20 40 17  0  0
 7  0      0 15033132 162544 5493256    0    0     0  1148 10725 12945 27 21 42 10  0  0
 5  1      0 15024036 162596 5493328    0    0     0   624 11589 18133 35 25 36  5  0  0
 9  2      0 15024308 162648 5489248    0    0     0  1568 10843 13932 32 24 30 13  0  0
 3  1      0 15029736 162704 5489320    0    0     0  1540 10190 12388 29 21 42  8  0  0
 9  0      0 15037308 162756 5493524    0    0     0   684 11424 16950 31 22 40  6  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  1      0 15024524 162844 5489524    0    0     0  1548 10984 16401 36 27 27 10  0  0
 5  1      0 15028312 162928 5493588    0    0     0  1124 10261 13236 36 26 33  5  0  0
13  1      0 15022112 162936 5493844    0    0     0   432 12198 18995 34 24 36  6  0  0
 4  2      0 15018292 162956 5493872    0    0     0  1688 11606 18652 36 26 25 13  0  0
 5  1      0 15016240 163044 5493888    0    0     0  1124 10010 13023 35 25 30 10  0  0
 5  1      0 14994876 163104 5493592    0    0     0  1076 10548 13455 42 28 26  4  0  0
 5  2      0 15008216 163156 5493928    0    0     0   672 13115 21824 42 29 26  3  0  0
 0  7      0 15008400 163204 5489868    0    0     0  1744 9591 14183 31 21 25 23  0  0
 7  3      0 15012976 163236 5489924    0    0     0  2744 9478 9643 36 27 21 16  0  0
 5  1      0 15012036 163324 5493944    0    0     0  1080 10405 12140 38 25 29  8  0  0
 5  1      0 15007324 163356 5494116    0    0     0   460 12281 19114 41 28 28  3  0  0
 9  1      0 14994828 163412 5490148    0    0     0  1648 11236 16103 45 30 20  5  0  0
 4  2      0 14998316 163448 5490072    0    0     0  1592 10884 15219 35 26 26 13  0  0
 4  1      0 15006708 163492 5494180    0    0     0   984 10891 12369 33 24 27 17  0  0
 6  1      0 14993828 163536 5494300    0    0     0   636 12887 21038 40 29 28  3  0  0
 6  2      0 15011792 163588 5490288    0    0     0  1564 10843 14744 41 29 23  8  0  0
 6  1      0 15019484 163628 5490244    0    0     0  1548 10713 13724 39 27 24 10  0  0
23  1      0 15026056 163676 5494352    0    0     0   692 11622 16480 38 27 28  7  0  0
 5  2      0 15018800 163768 5494400    0    0     0  1616 12847 20752 42 30 24  3  0  0
 5  2      0 15013956 163780 5490372    0    0     0   760 9769 12776 34 26 29 12  0  0
 4  2      0 15020648 163844 5490312    0    0     0  1388 10598 13893 35 25 28 12  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  1      0 15007984 163888 5494500    0    0     0   688 11637 16885 40 27 29  4  0  0
 4  7      0 15008872 163968 5490460    0    0     0  1784 11859 18552 40 28 23  9  0  0
 4  2      0 15006552 163976 5490472    0    0     0   400 10253 14011 35 25 29 11  0  0
 5  2      0 15006444 164036 5490448    0    0     0  1420 10158 12433 37 26 28  9  0  0
 6  2      0 15017544 164072 5494540    0    0     0   356 11185 17073 34 24 31 11  0  0
 4  5      0 15015196 164076 5494568    0    0     0   620 11240 15693 30 22 32 15  0  0
 3  2      0 15017536 164108 5490496    0    0     0  1320 9077 9838 26 20 35 19  0  0
 4  2      0 15016556 164188 5490484    0    0     0  1416 11274 15312 34 25 30 10  0  0
 3  2      0 15036988 164220 5490456    0    0     0   672 11029 15623 29 21 38 12  0  0
10  1      0 15047664 164264 5493112    0    0     0  1480 9688 11792 27 21 41 10  0  0
 5  1      0 15030620 164296 5494496    0    0     0   604 12011 19885 31 23 40  5  0  0
 4  2      0 15022548 164372 5490656    0    0     0  1652 10584 14322 33 23 29 15  0  0
 4  2      0 15030996 164412 5490664    0    0     0  1376 9971 10405 31 24 33 12  0  0
 7  1      0 15018824 164468 5494864    0    0     0   656 11083 15980 31 22 39  8  0  0
 4  6      0 15024120 164536 5491052    0    0     0  1824 11305 17316 34 25 31 10  0  0
 4  2      0 15032876 164556 5490836    0    0     0   504 10586 14297 30 22 35 13  0  0
 4  1      0 15029968 164640 5494916    0    0     0  1592 10845 14478 30 22 41  8  0  0
 6  1      0 15024952 164676 5495040    0    0     0   496 12144 19918 33 23 39  5  0  0
 4  1      0 15032772 164760 5490968    0    0     0  2196 9727 11773 36 26 28 10  0  0
 5  1      0 15023872 164836 5491040    0    0     0  1280 10091 12265 35 26 31  7  0  0
 4  1      0 15011340 164868 5495228    0    0     0   304 11461 16501 37 27 31  5  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  2      0 15000124 164952 5495320    0    0     0  1924 13127 21070 44 30 22  4  0  0
 5  2      0 14995024 164996 5495776    0    0     0  1184 10617 14277 37 27 29  8  0  0
 4  1      0 15002808 165032 5495764    0    0     0  1168 9507 11442 34 25 32  8  0  0
 6  1      0 15006024 165076 5495584    0    0     0   688 11862 18053 39 27 29  5  0  0
 0  6      0 15012556 165148 5491812    0    0     0  1640 11896 18494 40 29 23  8  0  0
 4  4      0 15028912 165200 5491812    0    0     0  1636 10672 11284 35 25 26 15  0  0
24  1      0 15015972 165252 5495936    0    0     0   632 11131 15708 36 25 31  8  0  0
 9  7      0 14992936 165332 5496004    0    0     0  1888 12444 19574 43 29 23  5  0  0
 4  2      0 14997760 165348 5492040    0    0     0   436 11070 16052 41 28 22  9  0  0
 5 11      0 15024248 165392 5491964    0    0     0  1660 10602 13881 37 26 25 11  0  0
 5  0      0 15028556 165440 5496152    0    0     0   796 10861 14221 36 26 30  9  0  0
11  5      0 15029216 165512 5496204    0    0     0  1124 12866 20299 43 29 25  3  0  0
 4  2      0 15017688 165520 5492144    0    0     0  1116 9491 11446 32 24 27 17  0  0
 5  1      0 15016696 165580 5492096    0    0     0  1440 10335 12024 38 27 27  8  0  0
 5  1      0 15005356 165604 5496324    0    0     0   404 11203 16304 38 27 30  5  0  0
 5  1      0 15009612 165624 5496436    0    0     0   316 14724 21674 46 33 20  2  0  0
 4  1      0 14989368 165656 5492248    0    0     0  1720 14191 19335 41 29 23  6  0  0
 5  0      0 14973856 165664 5492288    0    0     0    56 10432 14526 35 25 38  1  0  0
 4  0      0 14986168 165664 5492288    0    0     0     0 9625 13500 38 27 35  0  0  0
 3  0      0 14998764 165664 5492276    0    0     0    88 10326 13653 32 23 42  3  0  0
 4  0      0 15007916 165688 5492236    0    0     0  1820 9612 9864 29 22 41  8  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 15011112 165688 5492244    0    0     0     0 9219 10861 26 20 54  0  0  0
 2  1      0 15019972 165688 5492224    0    0     0    36 9165 10526 23 18 56  2  0  0
 2  1      0 15035140 165716 5492200    0    0     0  1564 8573 7242 23 18 48 12  0  0
 2  0      0 15048432 165724 5492204    0    0     0    64 7976 6309 22 18 59  1  0  0
 2  0      0 15056428 165724 5492208    0    0     0     0 6952 4105 17 15 68  0  0  0
 3  0      0 15054988 165724 5492216    0    0     0     0 7786 6920 19 15 66  0  0  0
 3  0      0 15055512 165724 5492220    0    0     0     0 7167 4618 17 15 68  0  0  0
 1  1      0 15082868 165728 5492172    0    0     0    96 7984 6752 17 15 66  2  0  0
 1  1      0 15082552 165740 5492144    0    0     0  1948 6556 5786 14 11 64 10  0  0
 1  0      0 15084424 165748 5492156    0    0     0   280 6710 6953 11  9 77  3  0  0
 1  0      0 15083504 165748 5492160    0    0     0     4 5369 3653  9  8 81  2  0  0
 1  0      0 15090080 165748 5492164    0    0     0     0 5373 3365  9  8 83  0  0  0
