--- 2026-06-04_01:38:48 ---
--- 2026-06-04_01:38:50 ---
--- 2026-06-04_01:38:52 ---
--- 2026-06-04_01:38:54 ---
--- 2026-06-04_01:38:56 ---
NAME           CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc5    8.12%     3.672MiB / 23.32GiB   0.02%
cliente_hqc4    7.98%     3.449MiB / 23.32GiB   0.01%
cliente_hqc3    4.43%     3.398MiB / 23.32GiB   0.01%
cliente_hqc2    8.32%     3.355MiB / 23.32GiB   0.01%
cliente_hqc1    3.80%     2.914MiB / 23.32GiB   0.01%
servidor_hqc    49.71%    3.094MiB / 23.32GiB   0.01%
cliente_hqc16   3.88%     2.91MiB / 23.32GiB    0.01%
--- 2026-06-04_01:39:42 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc17   6.48%     2.934MiB / 23.32GiB   0.01%
cliente_hqc16   4.64%     3.098MiB / 23.32GiB   0.01%
cliente_hqc15   7.72%     3.484MiB / 23.32GiB   0.01%
cliente_hqc14   3.91%     2.898MiB / 23.32GiB   0.01%
cliente_hqc13   3.87%     2.906MiB / 23.32GiB   0.01%
cliente_hqc12   7.94%     3.148MiB / 23.32GiB   0.01%
cliente_hqc11   3.94%     2.926MiB / 23.32GiB   0.01%
cliente_hqc10   8.17%     3.508MiB / 23.32GiB   0.01%
cliente_hqc9    3.81%     2.988MiB / 23.32GiB   0.01%
cliente_hqc8    3.76%     2.918MiB / 23.32GiB   0.01%
cliente_hqc7    3.79%     2.914MiB / 23.32GiB   0.01%
cliente_hqc6    4.29%     2.922MiB / 23.32GiB   0.01%
cliente_hqc5    8.14%     3.098MiB / 23.32GiB   0.01%
cliente_hqc4    7.65%     3.141MiB / 23.32GiB   0.01%
cliente_hqc3    8.54%     3.188MiB / 23.32GiB   0.01%
cliente_hqc2    7.51%     3.055MiB / 23.32GiB   0.01%
cliente_hqc1    3.80%     3.125MiB / 23.32GiB   0.01%
servidor_hqc    49.88%    3.602MiB / 23.32GiB   0.02%
cliente_hqc18   8.10%     3.902MiB / 23.32GiB   0.02%
--- 2026-06-04_01:39:47 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc19   4.12%     2.906MiB / 23.32GiB   0.01%
cliente_hqc18   3.88%     2.91MiB / 23.32GiB    0.01%
cliente_hqc17   8.61%     2.91MiB / 23.32GiB    0.01%
cliente_hqc16   3.93%     2.91MiB / 23.32GiB    0.01%
cliente_hqc15   4.08%     2.914MiB / 23.32GiB   0.01%
cliente_hqc14   3.91%     2.906MiB / 23.32GiB   0.01%
cliente_hqc13   3.97%     2.906MiB / 23.32GiB   0.01%
cliente_hqc12   7.80%     3.266MiB / 23.32GiB   0.01%
cliente_hqc11   3.99%     2.902MiB / 23.32GiB   0.01%
cliente_hqc10   7.98%     3.52MiB / 23.32GiB    0.01%
cliente_hqc9    6.37%     2.91MiB / 23.32GiB    0.01%
cliente_hqc8    3.84%     3.109MiB / 23.32GiB   0.01%
cliente_hqc7    3.76%     2.906MiB / 23.32GiB   0.01%
cliente_hqc6    4.03%     2.91MiB / 23.32GiB    0.01%
cliente_hqc5    8.20%     3.211MiB / 23.32GiB   0.01%
cliente_hqc4    4.38%     3.422MiB / 23.32GiB   0.01%
cliente_hqc3    3.76%     2.902MiB / 23.32GiB   0.01%
cliente_hqc2    7.65%     3.668MiB / 23.32GiB   0.02%
cliente_hqc1    3.87%     2.914MiB / 23.32GiB   0.01%
servidor_hqc    49.49%    4.312MiB / 23.32GiB   0.02%
cliente_hqc20   7.61%     3.367MiB / 23.32GiB   0.01%
--- 2026-06-04_01:39:51 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc21   3.78%     2.918MiB / 23.32GiB   0.01%
cliente_hqc20   7.91%     3.41MiB / 23.32GiB    0.01%
cliente_hqc19   3.94%     3.035MiB / 23.32GiB   0.01%
cliente_hqc18   3.82%     3.418MiB / 23.32GiB   0.01%
cliente_hqc17   7.98%     3.391MiB / 23.32GiB   0.01%
cliente_hqc16   3.96%     2.906MiB / 23.32GiB   0.01%
cliente_hqc15   3.85%     2.91MiB / 23.32GiB    0.01%
cliente_hqc14   3.84%     3.027MiB / 23.32GiB   0.01%
cliente_hqc13   3.78%     2.91MiB / 23.32GiB    0.01%
cliente_hqc12   4.70%     3.504MiB / 23.32GiB   0.01%
cliente_hqc11   3.98%     3.145MiB / 23.32GiB   0.01%
cliente_hqc10   8.28%     3.355MiB / 23.32GiB   0.01%
cliente_hqc9    4.26%     3.137MiB / 23.32GiB   0.01%
cliente_hqc8    4.19%     2.91MiB / 23.32GiB    0.01%
cliente_hqc7    3.84%     2.914MiB / 23.32GiB   0.01%
cliente_hqc6    3.86%     2.906MiB / 23.32GiB   0.01%
cliente_hqc5    8.22%     3.051MiB / 23.32GiB   0.01%
cliente_hqc4    4.05%     2.918MiB / 23.32GiB   0.01%
cliente_hqc3    3.85%     2.902MiB / 23.32GiB   0.01%
cliente_hqc2    8.35%     3.145MiB / 23.32GiB   0.01%
cliente_hqc1    4.22%     2.914MiB / 23.32GiB   0.01%
servidor_hqc    51.76%    3.816MiB / 23.32GiB   0.02%
cliente_hqc22   3.89%     2.914MiB / 23.32GiB   0.01%
--- 2026-06-04_01:39:56 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc23   4.03%     3.148MiB / 23.32GiB   0.01%
cliente_hqc22   4.23%     2.906MiB / 23.32GiB   0.01%
cliente_hqc21   3.80%     2.918MiB / 23.32GiB   0.01%
cliente_hqc20   3.89%     2.895MiB / 23.32GiB   0.01%
cliente_hqc19   6.27%     3.184MiB / 23.32GiB   0.01%
cliente_hqc18   3.76%     3.555MiB / 23.32GiB   0.01%
cliente_hqc17   4.79%     3.402MiB / 23.32GiB   0.01%
cliente_hqc16   4.95%     2.91MiB / 23.32GiB    0.01%
cliente_hqc15   4.14%     2.934MiB / 23.32GiB   0.01%
cliente_hqc14   3.81%     3.117MiB / 23.32GiB   0.01%
cliente_hqc13   3.99%     2.914MiB / 23.32GiB   0.01%
cliente_hqc12   4.25%     2.91MiB / 23.32GiB    0.01%
cliente_hqc11   4.30%     3.648MiB / 23.32GiB   0.02%
cliente_hqc10   3.88%     2.918MiB / 23.32GiB   0.01%
cliente_hqc9    7.62%     3.605MiB / 23.32GiB   0.02%
cliente_hqc8    3.83%     2.914MiB / 23.32GiB   0.01%
cliente_hqc7    4.26%     3.012MiB / 23.32GiB   0.01%
cliente_hqc6    3.75%     3.137MiB / 23.32GiB   0.01%
cliente_hqc5    4.47%     2.914MiB / 23.32GiB   0.01%
cliente_hqc4    3.81%     2.93MiB / 23.32GiB    0.01%
cliente_hqc3    3.77%     2.91MiB / 23.32GiB    0.01%
cliente_hqc2    4.04%     2.922MiB / 23.32GiB   0.01%
cliente_hqc1    3.85%     2.922MiB / 23.32GiB   0.01%
servidor_hqc    51.66%    3.602MiB / 23.32GiB   0.02%
cliente_hqc24   3.86%     2.922MiB / 23.32GiB   0.01%
--- 2026-06-04_01:40:01 ---
NAME            CPU %     MEM USAGE / LIMIT     MEM %
cliente_hqc25   4.09%     2.906MiB / 23.32GiB   0.01%
cliente_hqc24   4.35%     2.914MiB / 23.32GiB   0.01%
