timestamp,protocol,auth_mode,sig_alg,kem,network_profile,role,n_runs,cpu_usec_total,cpu_usec_per_handshake,mem_peak_bytes
2026-08-05T12:43:49+01:00,tls,single,mldsa44,mlkem512,simple,server,500,1258609,2517.218,6508544
2026-08-05T12:43:49+01:00,tls,single,mldsa44,mlkem512,simple,client,500,17750676,35501.352,5763072
2026-08-05T12:45:41+01:00,tls,single,mldsa44,hqc128,simple,server,500,10710311,21420.622,6336512
2026-08-05T12:45:41+01:00,tls,single,mldsa44,hqc128,simple,client,500,19985111,39970.222,5394432
2026-08-05T12:47:32+01:00,tls,single,mldsa44,p256_hqc128,simple,server,500,10773671,21547.342,6807552
2026-08-05T12:47:32+01:00,tls,single,mldsa44,p256_hqc128,simple,client,500,21733073,43466.146,5492736
2026-08-05T12:49:24+01:00,tls,single,mldsa44,x25519_hqc128,simple,server,500,11111874,22223.748,6492160
2026-08-05T12:49:24+01:00,tls,single,mldsa44,x25519_hqc128,simple,client,500,20351661,40703.322,5783552
2026-08-05T12:51:08+01:00,tls,single,mldsa65,P-384,simple,server,500,2153271,4306.542,6524928
2026-08-05T12:51:08+01:00,tls,single,mldsa65,P-384,simple,client,500,14814005,29628.010,5586944
2026-08-05T12:52:49+01:00,tls,single,mldsa65,x448,simple,server,500,2044361,4088.722,6479872
2026-08-05T12:52:49+01:00,tls,single,mldsa65,x448,simple,client,500,16423868,32847.736,5410816
2026-08-05T12:54:35+01:00,tls,single,mldsa65,p384_mlkem768,simple,server,500,4555012,9110.024,6852608
2026-08-05T12:54:35+01:00,tls,single,mldsa65,p384_mlkem768,simple,client,500,23031003,46062.006,5849088
2026-08-05T12:56:18+01:00,tls,single,mldsa65,x448_mlkem768,simple,server,500,2876360,5752.720,6512640
2026-08-05T12:56:18+01:00,tls,single,mldsa65,x448_mlkem768,simple,client,500,20085068,40170.136,5644288
2026-08-05T12:58:00+01:00,tls,single,mldsa65,mlkem768,simple,server,500,1419719,2839.438,6885376
2026-08-05T12:58:00+01:00,tls,single,mldsa65,mlkem768,simple,client,500,18086660,36173.320,5840896
2026-08-05T13:00:34+01:00,tls,single,mldsa65,hqc192,simple,server,500,24349878,48699.756,6299648
2026-08-05T13:00:34+01:00,tls,single,mldsa65,hqc192,simple,client,500,29516775,59033.550,5324800
2026-08-05T13:03:06+01:00,tls,single,mldsa65,p384_hqc192,simple,server,500,25521976,51043.952,6909952
2026-08-05T13:03:06+01:00,tls,single,mldsa65,p384_hqc192,simple,client,500,30017885,60035.770,5611520
2026-08-05T13:05:36+01:00,tls,single,mldsa65,x448_hqc192,simple,server,500,23448637,46897.274,6496256
2026-08-05T13:05:36+01:00,tls,single,mldsa65,x448_hqc192,simple,client,500,28296156,56592.312,5595136
2026-08-05T13:07:24+01:00,tls,single,mldsa87,P-521,simple,server,500,2854098,5708.196,6758400
2026-08-05T13:07:24+01:00,tls,single,mldsa87,P-521,simple,client,500,19891433,39782.866,5697536
2026-08-05T13:09:40+01:00,tls,single,mldsa87,p521_mlkem1024,simple,server,500,5224374,10448.748,6860800
2026-08-05T13:09:40+01:00,tls,single,mldsa87,p521_mlkem1024,simple,client,500,25992833,51985.666,5496832
2026-08-05T13:11:51+01:00,tls,single,mldsa87,mlkem1024,simple,server,500,1656291,3312.582,6578176
2026-08-05T13:11:51+01:00,tls,single,mldsa87,mlkem1024,simple,client,500,19683839,39367.678,5918720
2026-08-05T13:14:59+01:00,tls,single,mldsa87,hqc256,simple,server,500,33140648,66281.296,6676480
2026-08-05T13:14:59+01:00,tls,single,mldsa87,hqc256,simple,client,500,44625443,89250.886,5554176
2026-08-05T13:18:12+01:00,tls,single,mldsa87,p521_hqc256,simple,server,500,33868594,67737.188,6967296
2026-08-05T13:18:12+01:00,tls,single,mldsa87,p521_hqc256,simple,client,500,47504462,95008.924,5476352
