P-256,x25519,hqc128,p256_hqc128,x25519_hqc128
1.48,1.62,15.57,20.23,16.35
1.41,1.5,15.48,20.65,15.85
1.44,1.49,15.7,20.55,15.84
2.13,1.74,15.87,22.42,15.6
1.44,1.5,15.46,21.82,15.72
1.43,1.5,17.75,20.55,15.75
1.5,1.5,18.13,20.35,15.83
1.42,1.47,18.16,20.65,15.71
1.54,1.47,17.92,20.2,15.75
1.38,1.65,15.65,20.31,15.76
1.46,1.79,15.93,20.75,16.28
1.63,1.5,15.31,20.75,16.29
1.44,1.32,15.29,23.49,15.67
1.57,1.36,15.7,21.36,15.8
1.46,1.41,15.49,20.54,16.65
1.48,1.58,16.19,20.38,16.4
1.59,1.34,15.3,20.68,15.76
1.46,1.38,15.6,20.98,15.68
1.45,1.35,15.88,20.25,15.73
1.54,1.32,16.27,21.08,16.3
1.86,1.59,15.96,20.95,15.72
1.5,1.33,15.72,20.25,15.85
1.52,1.35,16.13,20.34,16.08
1.44,1.69,15.4,20.25,15.59
2.11,1.44,15.35,20.6,15.7
1.44,1.38,16.2,20.17,15.57
1.49,1.42,15.71,20.34,15.95
1.57,1.37,15.38,20.47,15.8
1.44,1.7,15.19,20.49,15.74
1.42,1.36,15.93,20.28,15.78
1.51,1.38,15.61,20.99,20.3
1.42,1.41,16.31,20.26,17.73
1.58,1.38,15.49,21.01,17.68
1.51,1.45,17.14,20.27,15.72
1.54,1.35,15.32,20.53,15.98
1.73,1.38,15.57,20.31,15.72
1.58,1.41,15.41,20.22,15.66
1.65,1.36,15.6,20.5,15.56
1.64,1.44,15.59,22.33,16.01
1.47,1.39,15.23,20.58,15.62
1.55,1.34,18.58,21.32,15.71
2.0,1.55,15.29,21.03,15.73
1.42,1.37,18.8,20.24,15.79
1.5,1.46,15.42,20.96,15.75
1.45,1.36,15.37,20.59,15.88
1.47,1.37,15.73,22.58,15.7
1.85,1.74,15.36,21.53,15.8
1.46,1.33,16.82,20.29,15.9
1.6,1.37,15.58,21.07,15.71
1.52,2.1,15.34,20.9,15.7
1.47,1.34,15.24,22.76,15.82
1.55,1.42,16.14,21.45,15.83
1.88,1.39,15.3,20.57,15.69
3.25,1.42,15.41,21.22,15.84
2.03,1.54,15.35,20.4,16.34
1.65,1.42,17.45,20.79,15.76
1.55,1.4,15.38,25.23,16.34
1.94,1.62,15.62,21.05,15.64
1.51,1.35,15.37,229.11,15.82
1.61,1.39,15.96,220.39,15.75
1.88,1.57,15.37,25.94,16.33
1.56,1.38,15.31,25.64,15.71
1.48,1.66,15.53,1037.41,15.57
1.78,1.31,15.32,22.14,15.76
1.56,1.35,15.51,20.85,15.8
1.55,1.69,15.99,21.42,15.69
1.9,1.32,15.37,22.21,15.94
1.55,1.38,15.37,20.78,15.66
1.55,1.85,15.34,21.4,15.67
1.86,1.34,15.37,1292.99,15.72
1.66,1.39,15.53,225.68,15.71
1.55,1.4,15.41,22.98,15.68
2.1,1.37,15.64,247.45,15.7
1.62,1.66,15.36,21.43,15.71
1.55,1.44,19.91,21.56,15.66
1.91,1.38,15.97,21.56,15.62
1.59,1.5,15.38,2101.72,15.83
1.71,1.46,15.26,218.34,15.59
2.34,1.37,15.45,29.94,15.73
1.55,1.52,15.49,21.61,16.32
1.45,1.32,15.48,20.26,15.86
1.55,1.52,16.52,21.1,15.7
1.46,1.36,15.41,26.06,15.65
1.5,1.33,15.56,23.79,15.83
1.5,1.37,15.38,1083.71,15.86
1.52,1.34,15.74,226.37,15.83
1.99,1.6,15.39,1091.27,15.6
1.45,1.53,16.39,22.76,16.05
1.47,1.37,15.98,23.67,15.71
1.97,1.69,21.79,1274.42,15.71
1.42,1.37,15.37,22.95,15.68
1.42,1.49,15.54,23.68,16.39
1.52,1.39,15.59,23.09,15.75
1.97,1.35,15.67,20.65,16.37
1.49,1.51,15.33,634.85,15.69
1.47,1.47,16.31,24.18,15.6
1.49,1.42,15.72,22.89,15.81
1.79,1.83,1265.61,20.9,15.58
1.46,1.36,19.02,20.52,15.76
1.92,1.37,16.3,1884.8,15.62
1.56,1.4,220.33,20.22,15.84
1.57,1.38,45.84,20.12,15.67
1.61,1.74,24.48,20.5,15.73
1.47,1.48,24.59,1072.04,15.74
1.49,1.37,23.66,23.4,15.87
1.62,1.35,23.74,22.8,16.04
1.46,1.35,1058.56,22.98,15.83
1.62,1.73,16.87,643.96,15.72
1.48,1.43,15.79,1227.51,15.65
2.67,1.47,18.12,28.64,16.0
1.52,1.43,17.57,21.37,15.72
1.45,1.36,449.52,21.68,15.7
1.49,1.49,19.61,21.65,15.78
1.76,1.46,17.28,21.59,16.06
1.47,1.38,216.48,2058.68,16.32
1.48,1.33,440.61,23.14,16.41
1.77,1.41,18.84,23.22,15.67
1.46,1.35,2901.29,629.98,16.58
1.45,1.41,21.53,225.26,15.71
1.74,1.32,626.57,1293.71,15.61
1.55,1.43,17.66,22.95,15.85
1.57,1.96,17.4,21.23,15.97
1.5,1.38,15.71,20.63,16.11
1.47,1.38,15.56,20.39,15.85
1.69,1.41,1239.97,20.5,16.01
1.49,1.3,20.17,1248.46,15.86
1.47,1.46,1030.51,22.9,16.48
1.46,1.44,18.32,21.33,15.84
1.49,1.37,15.9,1276.89,15.77
1.71,1.71,15.94,22.36,16.33
1.45,1.37,217.14,21.13,15.72
1.48,1.38,45.0,20.82,16.09
1.61,1.4,2116.57,21.12,15.57
1.46,1.72,2532.05,635.41,16.38
1.49,1.32,17.47,1053.53,15.79
1.54,1.41,1059.36,22.72,20.34
1.53,1.37,18.91,22.43,18.85
1.68,1.31,18.63,22.07,19.5
1.41,1.43,15.47,22.24,17.02
1.51,1.35,2719.55,20.97,16.18
1.84,1.51,1020.83,21.19,16.29
1.47,1.37,18.25,20.4,16.4
1.49,1.35,18.48,20.2,16.38
1.5,1.75,20.6,20.72,16.14
1.48,1.33,19.06,21.34,16.46
1.77,1.36,18.71,839.17,16.21
1.46,1.69,18.23,6370.83,17.54
1.68,1.37,1469.45,1228.62,16.55
1.51,1.42,17.87,26.0,16.48
1.46,1.41,1064.06,21.66,17.02
1.61,1.55,17.12,247.46,16.19
1.59,1.63,16.89,1461.98,16.39
1.43,1.39,17.18,223.53,16.12
1.52,1.37,15.4,30.65,16.2
1.41,1.41,214.95,26.51,16.46
1.49,1.34,223.72,1045.5,16.2
1.49,1.6,17.4,217.69,16.36
1.47,1.35,1036.6,28.39,16.22
1.45,1.38,19.22,29.08,16.2
1.66,1.64,15.63,21.36,16.24
1.42,1.31,15.52,2518.79,16.18
1.97,1.36,15.61,23.5,16.18
1.43,1.41,239.66,21.29,16.84
1.38,1.32,22.15,21.18,16.22
1.46,1.4,15.47,20.98,17.61
1.45,1.32,220.0,20.91,17.45
1.75,1.42,1069.64,20.95,17.17
1.39,1.35,627.0,20.8,17.21
1.44,1.38,19.34,21.17,17.03
1.43,1.82,223.71,20.35,17.31
1.44,1.36,20.2,1073.4,17.26
1.8,1.37,1244.6,3108.01,15.87
1.45,1.36,17.62,1030.93,16.04
1.45,1.48,423.69,22.14,15.77
1.48,1.45,18.33,21.07,15.77
1.44,1.38,22.51,21.04,15.87
1.65,1.64,17.78,21.07,15.69
1.47,1.5,630.87,20.28,17.1
1.43,1.32,18.03,23.44,15.79
1.47,1.36,1057.05,20.41,15.76
1.42,1.75,18.41,20.38,15.85
1.49,1.47,16.25,20.34,16.46
1.35,1.33,20.2,20.26,15.88
1.45,1.64,15.67,20.61,15.76
1.49,1.34,15.57,21.0,16.53
1.44,1.37,423.7,21.8,15.71
1.75,1.76,18.37,430.67,22.09
1.42,1.26,1053.52,1078.48,15.89
1.43,1.36,239.34,24.09,15.72
1.42,1.7,16.78,1043.46,15.72
1.42,1.3,222.29,23.56,15.69
1.75,1.37,23.86,645.46,17.02
1.41,1.36,16.25,23.77,21.84
1.45,1.33,16.08,226.39,15.64
1.46,1.92,16.58,3103.91,15.92
1.44,1.42,16.09,23.67,15.77
1.9,1.4,16.06,225.8,16.23
1.45,1.43,16.01,29.73,15.58
1.63,1.35,2903.31,29.91,16.89
1.47,1.53,1083.56,1059.28,16.05
1.4,1.35,1076.88,22.95,15.88
1.46,1.31,17.89,632.73,15.98
1.41,1.4,15.55,25.46,4357.23
1.42,1.36,15.5,21.72,2548.8
1.47,1.33,439.25,1850.14,17.42
1.49,1.27,23.02,1030.04,1059.64
1.51,1.32,19.39,23.45,17.72
1.73,1.76,19.34,21.83,20.64
1.47,1.33,432.31,20.89,1085.34
1.91,1.4,17.7,21.21,17.16
1.41,1.46,17.59,20.87,4363.47
1.5,1.39,15.52,21.02,18.28
1.46,2.46,15.5,20.33,17.75
1.48,1.78,16.47,20.62,17.76
1.52,1.71,16.3,21.01,15.78
1.46,1.62,15.71,21.19,1469.44
1.45,1.83,15.55,20.41,19.29
1.57,1.55,17.09,1068.85,16.09
1.5,1.64,218.57,1080.08,830.18
1.46,1.45,41.07,23.0,20.59
1.88,1.43,16.68,21.34,17.05
1.44,1.37,15.44,21.3,17.17
1.49,1.75,15.72,20.99,16.62
1.51,1.43,15.48,22.34,16.61
1.77,1.35,15.55,21.24,1250.2
1.84,1.65,1034.32,20.6,428.13
1.77,1.29,17.59,237.53,1048.65
1.48,1.43,18.01,23.36,1286.99
2.08,1.35,18.13,3129.38,16.82
1.49,1.38,18.02,25.81,15.95
1.47,1.47,18.79,1258.85,15.7
1.51,1.38,17.23,1465.55,222.13
1.47,1.38,15.52,1056.87,23.2
1.64,1.76,15.66,25.17,26.21
1.5,1.35,15.44,25.53,19.95
1.58,1.38,15.62,21.59,16.15
1.62,1.38,15.39,223.08,16.19
1.45,1.37,217.4,40.12,1262.48
1.48,1.63,19.87,21.0,1674.03
1.59,1.39,15.81,432.73,1038.22
1.42,1.39,1021.63,28.69,17.89
2.06,1.48,1692.34,2484.29,16.89
1.41,1.41,1037.04,441.15,15.3
1.46,1.41,18.37,23.03,15.89
1.51,1.42,16.22,219.71,15.35
1.49,1.4,16.08,37.64,219.15
1.53,1.38,15.64,646.99,33.52
1.51,1.33,15.47,23.44,1048.48
1.48,1.4,15.35,21.54,17.36
1.95,1.74,1255.79,633.53,1053.6
1.52,1.42,33.25,24.26,17.38
1.51,1.41,16.3,21.84,15.46
1.52,1.36,21.83,21.23,2469.07
1.48,1.33,15.59,1282.12,19.58
1.55,1.5,15.54,36.63,20.27
1.54,1.99,217.25,21.17,15.51
1.41,1.35,21.62,20.9,15.57
1.7,1.61,1847.76,21.53,1062.44
1.44,1.39,17.2,20.36,17.59
1.44,1.39,16.75,223.51,16.54
1.68,1.32,16.13,29.02,16.5
1.44,1.36,15.67,21.61,1271.98
1.42,1.6,1053.31,21.78,250.5
1.52,1.35,219.12,244.77,16.91
1.49,1.38,17.61,24.26,1077.64
1.91,1.39,214.7,21.37,17.75
1.45,1.31,2059.23,222.77,16.29
1.5,1.35,18.56,1076.09,16.0
1.53,1.36,2073.01,22.9,16.05
1.47,1.29,17.94,20.89,1242.31
2.43,1.53,16.28,219.49,1079.32
3.32,1.39,16.48,1087.97,16.31
1.71,1.31,1680.74,22.98,1472.42
2.07,1.62,19.03,1047.16,18.8
1.77,1.31,19.82,22.72,16.5
1.67,1.36,1480.47,225.17,631.63
1.72,1.31,19.44,1491.17,19.01
2.5,1.35,16.39,225.25,19.65
1.72,1.43,1254.39,26.21,2271.86
1.71,2.21,2689.7,21.51,20.4
1.99,1.48,17.58,1256.19,22.23
2.53,1.36,16.53,42.34,4188.98
1.75,1.41,16.86,26.99,3116.7
1.71,1.4,16.3,26.52,1441.91
1.75,1.54,15.42,26.16,1468.17
1.86,1.31,631.46,20.41,20.49
1.71,1.39,2049.49,20.14,219.07
1.47,1.47,19.04,1088.82,1037.38
1.55,1.38,20.21,21.45,18.52
1.57,1.77,238.76,630.53,18.95
1.43,1.36,231.33,25.14,19.71
1.38,1.44,27.3,21.54,1260.66
1.69,1.41,20.56,25.5,20.26
1.55,1.38,1059.23,20.52,25.2
1.54,1.66,18.21,20.29,22.12
1.55,1.44,17.35,20.5,1463.32
1.54,1.37,2338.09,20.14,628.25
1.74,1.85,2060.26,21.03,18.06
2.1,1.35,17.37,20.26,220.51
1.55,1.38,1052.42,20.34,32.59
1.56,1.42,17.45,2693.38,15.79
1.52,1.36,1052.11,24.02,15.71
1.85,1.83,639.74,2086.98,220.0
1.43,1.86,219.19,22.59,1041.41
1.5,1.44,25.29,20.9,223.25
1.48,1.63,16.21,22.5,233.48
1.46,1.5,832.37,1051.86,235.74
1.63,1.4,426.63,254.21,32.09
1.79,1.39,18.61,24.13,16.38
1.49,1.32,17.4,20.89,15.95
1.93,1.83,16.64,20.43,16.71
1.46,1.36,833.66,20.46,1070.6
1.49,1.42,23.44,635.19,1077.36
1.54,1.62,19.57,29.81,17.27
1.47,1.44,16.16,21.54,17.22
1.52,1.41,15.56,21.65,20.12
1.46,1.44,15.52,429.97,1064.14
1.47,1.47,15.39,23.21,18.05
1.82,1.3,16.1,22.86,16.5
1.5,1.39,15.4,23.0,16.08
1.49,1.7,15.46,22.94,1062.86
1.75,1.31,1077.87,23.08,19.84
1.45,1.77,16.85,22.99,17.69
1.49,1.25,2686.17,23.03,15.79
1.44,1.7,428.24,23.63,212.95
1.47,1.58,1452.86,839.13,39.62
1.8,1.41,2074.69,24.69,29.77
1.54,1.38,17.36,1085.52,225.42
1.43,1.45,15.93,224.98,1656.8
1.75,1.41,243.75,26.46,18.74
1.43,1.43,20.03,1472.84,1075.36
1.5,1.33,15.58,22.98,222.62
1.44,1.61,15.42,24.06,31.84
1.57,1.49,15.68,20.53,16.09
1.85,1.36,15.42,20.3,15.63
1.45,6.25,15.62,1263.06,15.74
1.5,419.43,214.71,23.09,15.76
1.77,8.24,26.21,23.75,15.69
1.56,6.73,15.47,20.26,19.88
1.53,1.68,629.47,20.2,15.71
1.6,1.51,1076.6,20.37,217.4
1.59,211.12,17.38,20.55,435.33
