P-521,hqc256,p521_hqc256
18.68,87.11,103.88
18.65,83.42,99.55
18.59,82.83,101.71
18.43,82.95,101.98
18.06,83.4,102.53
17.65,83.2,100.28
17.85,83.79,99.97
18.16,84.94,100.58
17.58,83.64,101.98
18.14,83.77,101.42
18.5,84.14,100.06
17.72,84.22,99.45
18.18,84.32,99.36
18.02,83.39,99.82
17.44,82.67,99.71
17.31,83.2,99.9
17.03,83.67,98.38
17.7,83.54,98.6
18.08,84.27,100.8
18.57,84.07,100.52
18.41,84.66,99.97
18.24,82.78,100.33
17.68,83.94,99.75
18.96,83.59,99.96
17.95,83.14,98.64
17.56,82.62,98.12
18.19,83.83,98.3
18.96,83.18,100.04
17.69,84.02,99.77
17.93,83.74,100.58
17.65,83.62,99.34
16.21,83.63,100.45
17.2,83.9,101.56
17.49,83.53,101.08
17.65,85.6,100.73
17.18,84.27,101.17
16.86,84.36,101.86
17.26,82.94,100.74
17.4,83.39,102.81
17.58,83.57,100.8
17.69,85.25,101.19
17.55,82.71,98.63
17.2,85.42,100.9
17.77,84.06,98.27
17.0,86.56,98.44
18.34,84.92,102.39
18.45,82.39,98.58
18.12,82.57,104.21
17.33,85.19,104.7
17.53,83.95,103.33
18.0,88.37,548.8
18.09,83.61,1593.72
17.61,83.29,100.05
18.13,85.54,99.91
17.99,86.82,342.83
17.49,86.17,340.31
16.64,85.29,101.8
17.09,86.8,5517.02
17.28,83.74,339.49
16.98,83.26,100.88
17.49,83.95,1148.02
17.47,83.94,2617.9
17.49,83.36,1999.33
17.13,83.5,10257.33
17.67,84.04,750.25
17.55,84.07,899.44
16.28,83.03,112.23
16.25,83.84,3657.65
17.27,82.96,1620.64
17.63,87.29,7711.51
17.25,84.02,1380.24
17.36,84.31,4533.09
17.52,2816.58,1170.61
17.66,83.92,6167.42
17.87,7636.72,100.49
17.85,82.76,99.19
18.62,4675.38,6000.18
17.02,273.62,489.74
17.48,338.4,107.09
17.84,15050.49,749.62
17.64,85.36,342.67
17.07,1789.47,751.4
17.57,13766.96,1614.01
17.63,4551.87,1604.41
17.63,107973.59,3639.86
17.73,86.24,5749.06
18.14,87.77,5756.05
18.78,1750.83,3253.9
18.2,3094.34,1761.64
18.31,84.88,288.22
18.02,3719.42,9324.17
17.6,2231.98,3372.18
18.73,1157.16,111.64
17.03,83.04,2194.11
17.42,530.88,583723.31
17.22,84.01,1429.83
17.67,2789.05,3898.91
17.73,1557.77,30483.95
17.88,85.1,6512.54
17.21,2830.96,1168.73
17.49,335613.87,1815.55
17.15,86.6,284.69
17.68,85.63,766.4
18.88,14644.48,5334.32
18.42,87.59,1430.4
18.43,736.88,959.64
17.86,8639.52,340.85
18.3,273.69,3041.63
18.5,102.9,54888.31
18.46,1954.66,6515.49
19.62,273.51,103.02
18.47,3044.43,5956.36
18.15,85.64,343.24
18.61,4877.86,99.61
18.7,85.17,1779.85
16.73,3272.49,103.73
16.74,948.57,1598.48
16.9,1770.49,285.81
18.01,87.03,2217.78
17.16,4536.34,5128.6
16.64,1180.08,350.19
17.05,5479.75,3473.67
17.02,3045.64,3256.33
16.67,333.2,100.75
16.73,2015.27,342.62
16.92,460459.27,103.45
17.15,2578.27,1780.94
17.4,272.73,108305.99
17.5,2234.99,99.38
