security_level,kem,sig_classical,sig_pq,n_blocks_common,classical_mean_ms,pq_mean_ms,delta_ms,delta_ci95_low,delta_ci95_high,significant_paired_bootstrap,exact_permutation_p,exact_permutation_min_p
L1,P-256,ed25519,mldsa44,4,367.269,381.032,-13.763,-23.1736,-7.1198,oui,0.125,0.125
L1,hqc128,ed25519,mldsa44,4,420.4882,424.8033,-4.3151,-17.5752,8.5493,non,0.625,0.125
L1,mlkem512,ed25519,mldsa44,4,371.095,376.2008,-5.1058,-20.4325,6.8181,non,0.625,0.125
L1,p256_hqc128,ed25519,mldsa44,4,451.821,423.4464,28.3746,-1.6039,46.4248,non,0.25,0.125
L1,p256_mlkem512,ed25519,mldsa44,4,386.1706,395.8573,-9.6867,-29.0104,20.0313,non,0.625,0.125
L1,x25519,ed25519,mldsa44,4,372.8292,377.6618,-4.8326,-17.9818,8.3166,non,0.625,0.125
L1,x25519_hqc128,ed25519,mldsa44,4,432.4653,432.4651,0.0002,-21.3976,39.4485,non,1.0,0.125
L1,x25519_mlkem512,ed25519,mldsa44,4,372.9674,375.6518,-2.6844,-12.2324,6.8636,non,0.75,0.125
L3,P-384,secp384r1,mldsa65,4,372.3222,391.0664,-18.7443,-30.0709,-6.3675,oui,0.125,0.125
L3,hqc192,secp384r1,mldsa65,4,496.1889,608.8926,-112.7037,-120.7848,-99.1699,oui,0.125,0.125
L3,mlkem768,secp384r1,mldsa65,4,363.4242,392.2052,-28.781,-52.0358,-5.8481,oui,0.25,0.125
L3,p384_hqc192,secp384r1,mldsa65,4,488.16,630.8778,-142.7179,-153.5636,-131.8721,oui,0.125,0.125
L3,p384_mlkem768,secp384r1,mldsa65,4,407.471,412.8993,-5.4283,-19.6231,8.7665,non,0.625,0.125
L3,x448,secp384r1,mldsa65,4,371.0369,380.3149,-9.278,-35.179,16.623,non,0.75,0.125
L3,x448_hqc192,secp384r1,mldsa65,4,504.4178,609.0197,-104.6019,-123.5809,-84.6964,oui,0.125,0.125
L3,x448_mlkem768,secp384r1,mldsa65,4,369.8245,390.5098,-20.6853,-45.4188,4.0482,non,0.5,0.125
L5,P-521,secp521r1,mldsa87,4,374.4124,400.7843,-26.3719,-46.3836,-11.2947,oui,0.125,0.125
L5,hqc256,secp521r1,mldsa87,4,702.635,708.3265,-5.6915,-26.0335,15.4465,non,0.625,0.125
L5,mlkem1024,secp521r1,mldsa87,4,379.8902,549.662,-169.7718,-183.5827,-158.531,oui,0.125,0.125
L5,p521_hqc256,secp521r1,mldsa87,4,705.0149,734.742,-29.7271,-41.6949,-17.7593,oui,0.125,0.125
L5,p521_mlkem1024,secp521r1,mldsa87,4,392.3691,560.4193,-168.0502,-196.9766,-147.6495,oui,0.125,0.125
