procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 14971172 176712 5534704    0    0   378   999 6521    8 12  5 81  2  0  0
 2  1      0 14967008 176720 5534984    0    0     0  2808 7303 9301  8  6 70 16  0  0
 1  0      0 14968928 176752 5535028    0    0     0   888 13003 8873  8  6 76 10  0  0
 0  2      0 14967488 176780 5532548    0    0     0  1228 11512 11221 15 10 69  6  0  0
 0  1      0 14969132 176812 5532568    0    0     0  1768 3346 3739  7  5 76 12  0  0
 1  0      0 14977568 176848 5533136    0    0     0   948 9937 9945 11 10 75  4  0  0
 1  0      0 14946676 176848 5529048    0    0     0     0 10796 9729  9 10 81  0  0  0
 0  1      0 14942036 176852 5533104    0    0     0   112 11677 14814 11 11 76  2  0  0
 0  1      0 14945208 176892 5533128    0    0     0  2196 3038 3618  6  4 74 16  0  0
 1  1      0 14948540 176908 5533240    0    0     0   548 6733 9647 12  8 71  9  0  0
 1  0      0 14970456 176908 5529160    0    0     0   112 1842 2468  2  2 94  1  0  0
 0  0      0 14969644 176908 5529164    0    0     0     0 2456 4696  2  3 95  0  0  0
 0  0      0 14991420 176908 5529168    0    0     0     0 1772 2069  2  3 95  0  0  0
 0  0      0 14999184 176908 5533272    0    0     0     4 1917 2089  2  2 95  0  0  0
 0  0      0 15003624 176908 5529236    0    0     0     0 4438 8047  5  4 91  0  0  0
 0  0      0 15004852 176912 5529244    0    0     0    92 1467 1663  1  2 95  1  0  0
 0  2      0 14989776 176932 5533284    0    0     0  1956 4121 7820  5  4 82  9  0  0
 0  1      0 14987532 176972 5533296    0    0     0   924 3956 6376  6  4 75 14  0  0
 0  1      0 14988496 176980 5533412    0    0     0   472 8613 15663  9  7 77  7  0  0
 0  1      0 14991196 177008 5529336    0    0     0  1612 6863 4622  5  4 74 17  0  0
 1  0      0 14970244 177032 5533532    0    0     0  1064 11558 15642 12  9 71  8  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  3      0 14971580 177052 5532020    0    0     0  1728 10801 13068  8  7 70 15  0  0
 3  1      0 14979736 177084 5534072    0    0     0  1124 8348 6067  6  5 74 15  0  0
 2  0      0 14988180 177096 5533880    0    0     0   472 14470 12378 11  8 75  6  0  0
 0  1      0 14978856 177120 5533676    0    0     0  1644 8932 15281 10  7 66 16  0  0
 3  0      0 14973492 177156 5536280    0    0     0   896 12888 10914 13  8 70  9  0  0
 0  1      0 14977260 177176 5536492    0    0     0   496 17825 16714 21 11 62  6  0  0
 1  1      0 14982528 177204 5533844    0    0     0  2016 7459 5079 10  7 67 16  0  0
 0  1      0 14975124 177224 5534004    0    0     0   496 12211 11494 11  8 73  8  0  0
 1  1      0 14968640 177264 5534072    0    0     0  1720 10134 11318  9  8 70 13  0  0
 1  1      0 14955224 177296 5538804    0    0     0   924 13706 14499 16  9 64 10  0  0
 4  0      0 14954044 177304 5538864    0    0     0   372 18196 18879 19 13 64  4  0  0
 0  1      0 14952888 177328 5534268    0    0     0  1716 7923 6634  9  6 70 15  0  0
 1  0      0 14963052 177360 5534300    0    0     0  1028 13197 10137 10  7 74  9  0  0
 3  1      0 14966872 177372 5530308    0    0     0   692 8308 12778  9  7 76  7  0  0
 4  1      0 14955784 177388 5539028    0    0     0  2040 16260 14514 19  9 57 15  0  0
 0  1      0 14943992 177392 5534356    0    0     0   476 16796 13798 17  8 67  7  0  0
 3  2      0 14945364 177416 5534404    0    0     0  1728 15349 14651 12 10 69  9  0  0
 0  1      0 14946564 177428 5534324    0    0     0   976 9671 5330  7  6 73 14  0  0
 0  2      0 14909168 177444 5558292    0    0     0  2380 12494 13072 17 10 65  8  0  0
 0  3      0 14902456 177476 5557696    0    0     0  3156 20323 23164 20 14 55 11  0  0
 0  1      0 14897372 177504 5557860    0    0     0  1168 13261 9479 15  9 62 14  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1      0 14913892 177516 5553644    0    0     0   292 12653 15638 19 12 64  5  0  0
 2  2      0 14908852 177556 5553700    0    0     0  1724 12499 11946  9  7 71 13  0  0
 6  2      0 14903292 177592 5552180    0    0     0  1836 7993 5344 11  6 60 23  0  0
 1  0      0 14887496 177624 5559552    0    0     0   668 16910 20861 19 11 61  8  0  0
 2  1      0 14885968 177636 5559652    0    0     0   636 16075 17798 13  9 71  7  0  0
 1  1      0 14917208 177644 5526368    0    0     0  2104 8358 7370  9  8 72 11  0  0
 1  0      0 14918404 177664 5528544    0    0     0   492 17144 12973 19 11 63  7  0  0
 1  3      0 14928456 177704 5528236    0    0     0  1700 13771 12963 13 10 65 12  0  0
 0  1      0 14918104 177724 5528384    0    0     0  1056 13911 17809 14  9 63 14  0  0
 1  0      0 14923492 177744 5524404    0    0     0   460 15287 14750 13  9 71  7  0  0
 2  1      0 14919644 177764 5522676    0    0     0  1640 9687 13959 10  9 67 14  0  0
 0  1      0 14921128 177796 5524844    0    0     0   940 14864 8042 13  8 69 10  0  0
 0  1      0 14912636 177820 5525008    0    0     0   408 18351 17755 16 11 69  5  0  0
 0  1      0 14906668 177844 5524536    0    0     0  1692 13609 17731 16 10 59 15  0  0
 2  0      0 14902036 177868 5524544    0    0     0  1116 6425 10161 11  8 71 10  0  0
 5  3      0 14910204 177884 5524612    0    0     0  1076 8599 14401 13 10 70  7  0  0
 1  1      0 14906172 177896 5522612    0    0     0  1612 5161 7302  9  8 69 15  0  0
 0  1      0 14899928 177904 5524920    0    0     0   528 6701 10221 11  7 75  7  0  0
 0  2      0 14905540 177936 5524976    0    0     0  1568 6710 10059  7  6 72 15  0  0
 0  1      0 14896972 177968 5525020    0    0     0  1144 11537 18153 18 10 62 10  0  0
 1  2      0 14886588 177988 5525132    0    0     0   568 9555 18745 11  8 74  7  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 14883572 178012 5525152    0    0     0  2044 4644 7796  7  6 67 20  0  0
 0  1      0 14885124 178044 5525284    0    0     0   804 7263 10598 15 10 66 10  0  0
 0  2      0 14882360 178056 5525428    0    0     0  2356 7599 11844 12  9 68 11  0  0
 9  1      0 14872640 178100 5525380    0    0     0   880 8144 16103 15  9 63 13  0  0
 2  0      0 14863092 178108 5525508    0    0     0   468 9896 15910 14 11 69  6  0  0
 0  1      0 14860932 178128 5525544    0    0     0  1736 6736 13239  8  7 68 17  0  0
10  0      0 14867752 178164 5525676    0    0     0   904 13024 11054 16 11 65  8  0  0
 1  2      0 14861352 178196 5525908    0    0     0  2024 12818 13832 15 10 63 12  0  0
 9  1      0 14855612 178216 5525840    0    0     0   956 14347 11207 13  8 65 14  0  0
 1  1      0 14854504 178228 5525928    0    0     0   280 16966 16556 17  9 66  9  0  0
 1  1      0 14859348 178260 5526052    0    0     0  1580 11908 17223 12 11 68  8  0  0
 2  1      0 14854056 178268 5525980    0    0     0   876 13210 10637  6  5 71 18  0  0
21  1      0 14859036 178312 5526028    0    0     0  1048 14850 10964 13 10 68  9  0  0
 1  1      0 14850028 178336 5526176    0    0     0   564 7165 11686  8  7 74 12  0  0
 0  1      0 14843552 178352 5524068    0    0     0  1828 11786 17864 11  7 60 22  0  0
 1  0      0 14843048 178392 5526656    0    0     0  1016 7686 10269  9  7 72 11  0  0
 0  1      0 14847128 178412 5526660    0    0     0   364 18180 20662 11 10 72  6  0  0
 0  2      0 14839148 178432 5529200    0    0     0  5876 11567 5324 10  7 62 22  0  0
 0  2      0 14825964 178456 5537724    0    0     0  8080 17734 19031 23 11 50 15  0  0
 7  1      0 14810132 178488 5542456    0    0     0  4764 18561 16626 24 12 53 10  0  0
 7  2      0 14803132 178548 5548744    0    0     0  7232 16055 13689 18 13 57 12  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 14828816 178576 5526844    0    0     0  1872 6669 8554 10  8 61 20  0  0
 0  1      0 14841516 178596 5526896    0    0     0  1096 3620 4097  6  5 77 12  0  0
 0  1      0 14831476 178616 5526836    0    0     0   304 6446 9486 11  9 73  7  0  0
