P-521,p521_mlkem1024,mlkem1024
17.81,1068.31,8.57
18.03,29.9,7.55
1067.92,27.17,7.58
1076.65,2311.34,7.8
18.56,27.11,8.46
17.16,25.42,8.07
17.66,23.61,8.59
17.4,24.12,8.03
18.48,24.16,7.97
18.11,1054.83,8.06
242.19,30.56,8.14
1090.16,27.38,7.99
18.63,253.32,8.07
18.51,26.44,7.76
242.17,26.79,7.98
1296.95,27.13,8.08
238.83,26.28,8.44
20.09,27.34,8.09
18.39,1497.38,8.09
436.23,28.17,8.86
437.44,24.85,8.94
19.17,26.28,8.76
1081.12,25.14,8.65
17.93,24.95,8.27
238.97,25.27,8.61
2075.22,25.9,8.38
1077.09,256.2,8.2
18.22,43.21,8.52
1050.08,38.43,8.68
18.16,37.47,8.41
1256.67,33.6,8.43
17.98,31.37,7.98
1035.87,1078.82,8.1
242.06,26.83,7.97
842.4,26.53,8.09
242.03,23.57,8.17
21.26,24.74,7.96
235.99,27.88,8.26
18.15,1514.18,8.31
18.44,30.83,7.64
19.1,25.82,7.77
18.41,26.38,7.59
17.57,29.03,8.56
241.08,1085.88,8.08
1056.6,1290.21,8.32
20.56,26.93,9.25
18.0,25.8,7.91
17.62,24.66,8.24
17.48,24.38,8.29
17.58,29.05,8.64
18.35,25.08,8.29
18.46,24.24,8.14
18.4,24.14,8.11
17.57,24.48,8.75
1293.8,24.98,8.49
19.05,24.57,9.37
18.25,28.12,7.85
1068.4,257.66,8.46
1283.28,50.43,8.09
242.52,25.2,8.75
20.76,1454.87,8.85
18.16,26.85,10.04
239.75,1068.99,8.52
19.86,1288.29,8.36
18.86,26.72,9.89
242.84,27.86,8.93
17.79,648.46,8.93
18.38,1317.33,9.53
1277.79,1265.12,9.63
18.54,27.62,8.74
18.36,28.18,8.46
1068.83,27.08,8.76
243.4,28.65,9.68
1074.6,27.38,9.19
20.42,29.36,10.15
236.85,23.44,8.28
17.67,23.96,8.4
1025.81,27.59,13.25
240.43,28.43,1044.79
238.59,24.6,9.41
1061.22,254.15,1436.07
17.94,27.39,1017.49
1050.41,240.63,2313.14
19.88,26.37,8.92
20.86,26.5,9.46
20.8,26.97,1019.61
16.04,1061.82,8.69
16.68,26.43,2087.99
17.2,26.51,1073.31
1245.35,26.85,9.35
19.21,24.71,8.17
18.93,24.49,9.04
1070.01,25.12,8.34
17.97,445.8,1079.77
18.43,25.93,8.72
1086.11,26.49,8.49
241.16,26.9,2693.76
20.32,25.23,8.49
18.13,24.17,1045.68
16.96,254.06,8.88
17.14,41.34,8.17
1231.68,37.09,11.74
18.52,25.44,7.96
1031.93,30.04,8.01
1075.63,25.75,1056.35
1077.39,25.64,8.51
18.09,645.59,8.45
17.77,261.43,8.95
17.91,27.77,13.98
16.25,26.94,8.89
16.05,1069.88,626.0
16.3,25.91,9.27
16.01,27.57,8.8
16.07,25.01,231.69
16.4,24.42,8.62
17.27,24.6,8.78
1081.11,23.74,2074.95
20.7,24.72,12.48
18.55,24.1,8.45
237.41,27.8,8.25
30.11,26.91,8.22
1030.94,25.71,8.2
18.61,1082.82,8.53
17.77,26.04,1232.28
1085.23,25.92,2079.64
18.08,24.9,9.96
18.53,25.77,1058.37
17.41,24.95,1074.8
434.51,257.45,1077.64
19.68,49.43,9.75
1238.87,1093.65,1267.29
18.19,52.64,8.52
1034.84,1088.29,1034.85
17.95,25.87,8.5
238.23,26.78,8.49
29.96,1284.15,12.84
1054.65,259.65,8.92
18.19,1245.23,1278.62
239.42,31.51,629.71
18.49,30.39,226.76
19.15,26.25,11.07
19.43,26.16,1245.19
19.56,24.42,8.61
20.05,251.98,8.51
19.57,32.51,9.33
18.96,25.43,12.3
18.91,25.55,12.62
19.89,26.32,8.39
19.41,25.54,1066.3
19.75,25.82,12.3
20.06,29.12,8.11
19.44,256.06,8.27
19.62,1096.85,1428.87
19.08,1074.21,9.57
17.14,25.81,8.27
16.91,1253.76,8.67
17.54,27.89,9.31
16.73,24.92,8.84
16.64,1048.55,8.42
16.2,26.07,229.07
16.2,25.26,19.88
16.02,1068.66,8.5
434.76,25.82,8.44
18.99,27.14,8.21
446.0,24.63,9.54
240.81,27.7,12.53
1908.2,24.87,8.23
19.73,24.41,12.45
18.05,25.03,13.07
17.73,24.74,231.25
238.78,28.91,11.08
18.0,1080.94,9.02
19.22,26.79,9.7
1273.78,27.38,12.96
17.71,27.97,8.52
17.34,27.62,8.16
18.07,1270.17,1017.05
17.36,25.9,8.7
17.0,1085.02,228.51
17.12,26.16,8.43
16.51,25.17,1050.48
1052.05,23.27,9.19
1077.9,29.1,9.45
17.94,1290.84,9.76
2282.78,1249.26,9.4
18.19,26.23,9.82
235.39,26.09,11.11
1033.72,25.03,1014.52
18.12,25.31,225.74
18.48,25.02,2042.22
240.54,29.01,8.49
36.12,25.89,8.49
246.65,25.06,9.55
1060.2,1033.52,8.37
1078.11,26.08,8.33
17.93,25.52,8.39
16.92,26.23,8.77
17.22,23.96,8.13
16.97,24.57,1068.17
17.52,24.78,10.31
1076.16,1274.67,1476.04
20.73,26.18,8.6
21.35,27.21,1236.65
242.16,26.36,8.77
41.74,24.91,9.06
42.68,25.16,2245.45
18.58,1072.37,230.29
17.55,27.37,8.59
17.55,24.86,8.09
17.25,24.35,8.5
17.58,23.37,13.23
17.24,28.0,9.13
1038.78,28.85,8.55
1093.49,1053.73,8.28
436.07,26.05,8.15
438.54,26.94,8.15
18.93,26.51,8.19
1049.74,1032.98,8.27
228.23,27.41,8.81
19.43,25.68,8.88
20.9,1504.45,8.58
17.68,1300.06,9.27
18.15,26.48,8.77
242.51,1085.04,1461.13
1075.94,257.12,8.64
18.77,50.36,8.44
18.21,25.12,15.05
433.97,24.04,1462.83
1023.77,1052.48,9.88
1077.02,1075.11,14.8
18.05,26.65,8.25
236.3,25.8,1038.45
41.37,24.8,8.19
17.73,24.76,231.09
18.45,24.33,227.6
17.93,1249.75,8.48
17.16,25.87,230.35
17.11,24.77,13.61
