procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 17060956  95540 4949024    0    0  1447   424 5904    6 12  3 81  4  0  0
 0  1      0 17053096  95572 4949048    0    0     0  1696 3710 7751  3  2 78 17  0  0
 0  1      0 17051612  95632 4947084    0    0     0   780 4941 8404  6  4 81 10  0  0
 0  2      0 17040100  95676 4949148    0    0     0  1368 5921 8149  6  5 76 13  0  0
 0  1      0 17034276  95720 4949132    0    0     0   512 7300 12567  5  4 82  9  0  0
 0  1      0 17042416  95780 4949212    0    0     0  1220 3253 4054  3  3 79 15  0  0
 1  0      0 17050236  95824 4949316    0    0     0   516 6040 9559  7  5 81  8  0  0
 1  0      0 17053536  95824 4947220    0    0     0     4 2388 3638 13  1 85  1  0  0
 1  0      0 17063124  95824 4947228    0    0     0     0 2222 1616 13  1 86  0  0  0
 1  0      0 17067616  95824 4947228    0    0     0     0 1835 1189 13  1 86  0  0  0
 1  0      0 17064968  95824 4947232    0    0     0     0 2680 3509 15  2 84  0  0  0
 1  1      0 17061196  95832 4949268    0    0     0    60 2173 1682 13  1 86  0  0  0
 1  0      0 17061160  95832 4949292    0    0     0     0 1526  937 13  1 86  0  0  0
 1  1      0 17055244  95832 4949300    0    0     0    44 3301 7569 14  1 85  1  0  0
 1  1      0 17060236  95868 4949300    0    0     0  1440 3027 3321 14  1 70 16  0  0
 5  0      0 17047944  95936 4949324    0    0     0   920 5930 9498 17  3 70 10  0  0
 3  1      0 17032076  95972 4949448    0    0     0  1380 8039 13364 25  3 60 12  0  0
 2  1      0 17020088  96024 4949560    0    0     0   944 9007 12064 27  4 57 12  0  0
 3  2      0 17027572  96076 4947532    0    0     0  1376 9382 13188 37  4 49 11  0  0
 4  1      0 17021508  96128 4949672    0    0     0   928 10009 13668 38  5 47 10  0  0
 4  1      0 17002580  96176 4949768    0    0     0  1376 10271 14995 45  5 41  9  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  1      0 16984088  96228 4949796    0    0     0   984 10006 13512 48  6 39  8  0  0
 5  2      0 16980332  96276 4949912    0    0     0  1432 11686 18158 55  7 32  6  0  0
 6  1      0 16979208  96308 4947944    0    0     0   828 9201 11044 53  6 30 11  0  0
 7  1      0 16977752  96352 4950172    0    0     0   652 12289 19837 62  8 25  5  0  0
 6  1      0 16959184  96396 4948148    0    0     0  1576 10504 12541 69  8 19  4  0  0
 7  1      0 16947256  96444 4950252    0    0     0   700 12872 20595 70  9 19  3  0  0
 8  1      0 16955800  96484 4948260    0    0     0  1568 11807 15891 78  9 12  2  0  0
 8  1      0 16960100  96536 4950368    0    0     0   892 12156 16136 79  9 11  1  0  0
 9  1      0 16967228  96596 4950464    0    0     0  1368 12570 16034 83  9  6  1  0  0
11  0      0 16951060  96656 4950452    0    0     0  1020 15069 19214 86 10  4  1  0  0
 9  1      0 16945660  96704 4950604    0    0     0  1512 15990 19377 87 10  2  1  0  0
 7  1      0 16940188  96744 4948644    0    0     0   936 14404 14032 90  9  1  0  0  0
11  1      0 16918900  96788 4950864    0    0     0   628 15557 18772 87 10  3  0  0  0
10  1      0 16925440  96820 4948972    0    0     0  1284 15368 17183 89  9  2  0  0  0
11  1      0 16915360  96864 4951036    0    0     0   792 15756 17737 88 11  1  0  0  0
10  0      0 16912728  96888 4951332    0    0     0   264 14271 14350 91  9  1  0  0  0
11  0      0 16900492  96888 4949332    0    0     0     0 12176 12090 89 10  1  0  0  0
13  0      0 16903248  96888 4949356    0    0     0     0 10993 10231 90  9  1  0  0  0
14  0      0 16912120  96888 4949364    0    0     0     0 11918 13712 90  9  1  0  0  0
 9  0      0 16920024  96888 4949360    0    0     0     0 11178 10822 92  8  0  0  0  0
13  0      0 16914744  96896 4949372    0    0     0    72 11162 11572 89  9  1  1  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 16909840  96896 4949384    0    0     0     0 10357 9069 87  9  4  0  0  0
19  0      0 16922356  96896 4949408    0    0     0   936 11022 10650 89  9  2  0  0  0
10  0      0 16919128  96896 4949424    0    0     0     0 11366 13191 91  9  0  0  0  0
10  0      0 16915400  96896 4949432    0    0     0     0 11047 10908 90  9  1  0  0  0
13  0      0 16912388  96904 4949448    0    0     0    84 11060 10760 91  8  1  0  0  0
13  0      0 16912036  96904 4949452    0    0     0     0 10735 10119 90  9  1  0  0  0
14  0      0 16916728  96904 4949464    0    0     0     0 11990 14016 91  9  1  0  0  0
13  0      0 16913564  96920 4949456    0    0     0    92 11217 11311 91  9  1  0  0  0
10  0      0 16921164  96920 4949480    0    0     0     0 11123 10745 91  9  1  0  0  0
13  0      0 16921740  96920 4949500    0    0     0     0 10933 9896 91  8  1  0  0  0
10  0      0 16900448  96920 4949520    0    0     0     0 11999 14590 90 10  1  0  0  0
14  0      0 16898176  96920 4949532    0    0     0     0 11328 11942 90  9  1  0  0  0
11  0      0 16914212  96928 4949648    0    0     0   492 12798 12762 92  8  0  0  0  0
14  1      0 16913040  96992 4966376    0    0     0 17224 11191 11270 90  9  1  0  0  0
11  0      0 16934068  97024 4949860    0    0     0  4372 11909 14525 90 10  1  0  0  0
12  0      0 16918404  97024 4949548    0    0     0     0 11352 11935 90  9  1  0  0  0
10  0      0 16932900  97024 4949576    0    0     0     0 11105 11613 90  9  1  0  0  0
11  0      0 16915112  97024 4949604    0    0     0     0 10767 10373 91  8  0  0  0  0
16  1      0 16922380  97032 4949608    0    0     0   380 11442 12398 90  9  1  0  0  0
10  0      0 16908556  97040 4949640    0    0     0    16 11445 11520 91  9  1  0  0  0
13  0      0 16901532  97040 4949676    0    0     0     0 11211 11863 90  9  1  0  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  0      0 16897672  97056 4949696    0    0     0    68 11212 12380 90  9  0  0  0  0
12  0      0 16903676  97056 4949732    0    0     0     0 10930 10321 91  9  0  0  0  0
12  0      0 16906460  97056 4949760    0    0     0     0 12121 14966 90  9  1  0  0  0
13  0      0 16898404  97056 4949816    0    0     0   588 11177 11558 90  9  1  0  0  0
12  0      0 16930860  97056 4949840    0    0     0   344 11093 11721 91  9  0  0  0  0
16  0      0 16928316  97072 4949848    0    0     0   500 10779 9846 91  9  1  0  0  0
12  0      0 16923300  97072 4949868    0    0     0     0 11463 12951 91  9  0  0  0  0
13  0      0 16914376  97072 4949872    0    0     0     0 10996 10208 90  9  1  0  0  0
10  0      0 16914956  97072 4949884    0    0     0     4 11105 10642 90  9  1  0  0  0
12  0      0 16910172  97072 4949896    0    0     0     8 10785 9924 91  9  1  0  0  0
11  0      0 16927380  97080 4949900    0    0     0   252 12031 14353 90 10  0  0  0  0
13  0      0 16927880  97080 4949920    0    0     0     0 10826 10259 90  9  1  0  0  0
12  0      0 16933424  97080 4949932    0    0     0     0 11290 11478 90  9  1  0  0  0
16  0      0 16934036  97080 4949940    0    0     0     0 10732 9637 90  9  2  0  0  0
12  0      0 16924352  97080 4949936    0    0     0     0 12190 14984 90  9  1  0  0  0
15  0      0 16921320  97088 4949936    0    0     0    16 10982 10567 90  9  1  0  0  0
19  0      0 16910488  97088 4949952    0    0     0     0 11256 11140 90  9  1  0  0  0
 9  0      0 16928352  97096 4949952    0    0     0    52 10863 10758 91  9  1  0  0  0
13  0      0 16936248  97096 4949972    0    0     0     0 10929 9895 91  9  0  0  0  0
13  0      0 16932184  97096 4949988    0    0     0     0 12372 14718 90  9  1  0  0  0
