P-521,hqc256,p521_hqc256
859.36,1468.76,1491.57
861.86,1467.08,1489.79
858.71,1456.86,1481.98
858.36,1452.31,1505.06
849.78,1454.26,1905.66
857.92,1441.07,1496.15
861.72,1449.37,1485.17
858.99,1470.9,1500.76
847.5,2269.44,2516.32
860.87,1458.91,1488.94
861.21,1454.45,1465.82
860.55,1463.27,1495.93
860.76,1467.07,1489.53
860.65,1464.94,1497.29
861.01,1874.65,1501.55
860.92,1448.14,1493.95
859.98,1462.2,1513.75
858.5,2268.67,1492.51
861.1,1475.23,1496.8
859.3,1480.02,1493.81
862.22,1391.43,1486.67
858.93,1451.13,1491.25
858.78,1473.55,1485.92
857.77,1456.27,1487.28
857.3,2497.51,1489.97
844.01,1812.64,1487.24
856.41,1474.03,2566.22
853.94,3261.37,1419.49
1904.04,1457.51,1493.96
855.76,1471.63,2288.12
859.53,1481.05,1915.37
1876.54,1480.2,1420.37
861.33,1451.24,1505.01
860.04,1459.29,1494.14
858.95,1454.81,1505.93
861.75,1454.46,2300.77
854.29,1452.01,2474.49
1894.43,1451.57,1435.44
855.69,1456.79,2474.18
860.14,1457.63,1495.92
861.58,1466.35,1488.1
860.36,4284.7,1492.53
859.09,1452.45,1514.07
857.61,1472.02,1490.65
862.2,1873.42,1432.24
863.5,1475.62,1505.84
857.92,1460.36,1434.13
860.91,1458.59,1424.74
859.44,1449.01,1507.4
858.65,1399.25,1506.32
858.68,1451.23,1426.99
854.77,1451.74,2492.84
864.06,2512.45,3081.53
859.81,1422.92,1431.66
858.69,1450.67,1424.86
858.86,1454.99,1424.49
858.51,1451.08,1499.77
857.57,1449.96,2235.32
859.0,1454.86,1504.72
860.94,2505.39,1487.1
1870.33,1471.75,1826.93
857.45,1447.92,1511.22
860.79,1459.61,1432.8
860.65,1471.39,1514.91
863.06,1453.84,1506.24
857.36,1472.59,1426.07
842.48,1448.31,1501.16
837.93,1454.06,1500.26
860.9,1384.65,1494.33
856.94,1450.64,1434.63
1873.67,1456.9,1502.89
853.65,1470.4,1506.22
865.13,1451.3,1495.65
860.13,1462.85,1452.81
855.21,1458.68,1506.57
1865.28,1465.24,3543.94
861.25,1442.6,1487.62
1885.51,1457.17,1496.13
854.38,1461.02,1494.04
859.81,1470.29,1500.63
861.22,1449.87,1490.58
859.2,1449.64,1477.64
856.52,1459.6,1501.12
859.72,1459.79,1496.3
860.37,1468.65,1492.02
848.21,3486.89,1429.1
860.42,2466.68,1467.65
859.3,1449.36,1490.68
858.57,1470.6,1497.8
871.86,1455.6,1496.08
1853.87,1471.64,1503.49
854.12,1471.96,1492.09
860.94,1457.23,1487.35
860.03,1402.61,1492.37
860.88,1457.02,1500.48
1868.46,1484.74,1507.64
852.74,1455.18,1504.53
860.11,3217.12,1498.94
845.8,1450.34,1514.75
859.26,1449.35,1437.43
862.98,1456.76,1501.13
853.68,1449.05,1487.03
856.21,2428.32,1492.42
855.88,2481.34,1500.44
855.63,1392.18,3301.12
863.12,1448.48,2493.61
858.43,1451.78,1494.46
858.05,1407.83,1505.72
857.8,1463.06,1493.57
1887.63,1487.45,3316.77
852.47,1463.16,1423.51
846.77,1474.61,1479.27
859.76,1395.19,1490.26
860.69,1431.39,1485.71
859.08,1466.42,1495.93
876.75,1457.63,1905.62
859.11,1474.31,1884.58
857.51,5034.96,1502.87
858.24,1455.87,1490.55
860.27,1476.05,1462.78
858.48,1466.64,1500.77
860.59,1491.85,2434.67
860.01,1503.69,1888.94
860.48,1511.89,1499.21
858.51,1503.32,1495.03
859.46,1447.31,1489.84
1860.11,1331.23,1500.88
852.82,1341.39,1488.82
1878.52,1484.7,2000.27
876.43,1457.87,1891.36
856.48,1404.7,1501.77
1905.27,1390.15,1504.72
847.91,1447.09,1496.31
858.13,1460.05,2510.47
853.0,1454.44,2494.79
861.94,1438.19,1493.97
860.44,1447.22,1491.81
859.08,1457.81,1491.02
861.76,1457.77,1502.41
858.63,1444.13,1496.41
856.38,1465.93,1494.95
858.35,1461.72,1487.72
858.97,1446.0,1506.76
859.4,1458.12,1447.39
861.46,1407.1,1494.04
858.1,1445.15,1445.67
867.94,1454.06,1492.36
861.07,1451.78,1494.91
857.23,1441.69,1509.97
852.88,1443.3,1505.62
841.84,3222.33,1495.95
863.96,1460.01,1897.93
861.33,1442.47,2005.83
854.35,1440.83,1498.16
857.38,1384.7,1488.35
861.3,1443.07,1496.17
858.76,3206.8,1818.37
861.3,1438.19,1426.91
859.38,1475.22,1452.87
860.32,1486.29,1494.38
847.82,1388.14,1509.74
858.45,1438.23,1501.25
859.23,1463.31,4237.78
859.17,1406.62,1512.41
1854.38,1459.43,1525.27
2925.05,1860.68,1528.39
854.32,1443.0,1534.54
857.34,3501.32,1546.21
858.79,1348.87,2276.46
1867.63,1453.55,1349.07
857.25,3326.11,3270.71
859.69,1455.48,2297.95
859.41,1400.34,2470.43
857.69,1440.19,1509.89
852.73,3204.81,1507.21
862.17,1417.59,2308.54
858.84,1452.81,1408.48
857.27,3255.04,3071.53
859.4,1460.01,1494.84
865.75,1463.84,1479.47
856.59,3179.44,1434.44
860.65,1391.62,1479.21
853.84,1438.21,1510.21
857.22,1448.39,1485.67
