P-521,hqc256,p521_hqc256
813.44,403.5,432.94
181.23,336.39,351.99
196.04,361.33,362.52
194.03,333.18,356.17
199.9,348.88,378.97
197.45,358.66,374.61
197.25,360.33,373.68
173.43,335.06,376.62
195.24,357.3,374.68
195.45,360.18,379.31
186.29,363.26,355.29
194.61,335.36,357.63
179.46,366.13,380.98
176.7,363.8,375.82
196.4,356.61,423.83
202.24,361.73,377.58
192.84,342.22,340.42
176.12,359.73,378.14
197.5,601.04,351.44
196.22,334.78,381.15
196.61,330.81,378.79
189.38,358.64,376.4
196.69,365.12,374.9
196.81,363.73,377.92
197.84,355.95,375.24
196.71,360.4,366.16
200.23,358.1,374.24
196.07,379.18,372.99
197.73,360.74,381.6
186.88,615.31,1372.11
193.2,341.43,365.97
194.93,363.18,374.21
195.22,357.08,379.7
195.22,362.32,376.22
194.79,359.89,493.94
201.34,362.28,377.5
199.54,360.46,321.51
1194.97,361.95,349.72
194.67,363.12,378.38
193.45,363.23,623.04
197.28,363.13,372.3
199.58,356.88,377.28
197.14,332.98,371.16
194.74,363.13,346.94
188.55,360.99,376.76
193.48,366.52,347.05
197.74,334.31,376.81
196.49,360.99,375.92
191.51,335.31,1483.02
198.66,366.27,347.61
201.62,339.47,349.11
196.69,361.46,376.16
195.5,360.48,349.26
196.88,363.9,375.03
183.22,328.78,349.04
196.11,1365.2,382.72
748.33,616.44,350.92
197.24,335.0,371.76
196.44,359.51,351.69
198.63,362.79,370.45
196.32,357.92,376.47
198.33,337.43,380.29
187.02,361.49,377.12
190.61,361.33,360.39
195.84,367.95,349.3
182.7,361.97,377.16
197.15,1493.49,349.41
196.17,359.45,376.16
179.65,331.52,348.14
190.08,357.93,373.77
196.55,362.67,361.56
178.84,360.72,378.94
190.44,359.15,378.08
182.85,356.58,351.61
193.34,363.68,362.96
202.98,360.61,381.0
196.05,361.3,424.66
200.94,362.79,348.27
196.63,506.91,378.66
195.77,359.92,377.09
200.49,360.74,446.73
195.62,335.11,1490.43
174.97,361.46,378.01
199.77,337.43,360.68
201.87,353.68,376.26
199.43,361.42,375.85
464.59,333.11,374.93
179.76,366.39,375.44
189.43,359.38,377.85
158.5,360.48,380.14
195.55,339.01,379.52
197.05,361.47,370.93
193.68,365.62,378.34
195.07,331.99,380.32
196.67,362.54,343.81
200.04,362.87,380.68
196.33,337.42,349.89
195.29,365.84,381.98
194.6,366.39,378.38
192.56,360.36,378.65
194.29,1339.47,372.47
194.98,361.43,347.82
198.21,366.51,491.91
199.51,336.84,349.27
200.39,358.74,370.36
193.48,359.33,463.85
198.04,330.11,376.28
195.24,357.99,334.05
177.97,360.3,345.25
171.1,360.52,346.96
196.96,336.13,379.07
181.83,362.5,358.79
195.91,361.05,376.86
196.05,360.45,351.52
196.93,351.7,372.97
194.26,335.79,379.42
187.29,336.97,375.08
199.22,366.08,377.27
193.65,335.13,378.36
200.78,478.72,370.05
196.32,366.2,348.54
186.38,340.21,374.35
193.82,511.55,349.57
196.19,361.75,382.35
196.99,311.37,468.17
193.32,366.59,351.51
1198.55,358.57,377.66
192.69,366.38,350.94
194.59,360.26,378.6
195.63,360.16,369.82
192.17,365.64,377.7
192.34,334.56,379.76
196.78,361.76,1374.3
196.95,813.23,376.45
196.12,338.23,361.95
201.88,365.61,376.59
201.19,335.66,380.34
195.52,363.97,377.01
195.54,356.09,842.95
194.35,337.33,907.4
181.81,362.18,375.92
197.2,362.81,378.47
197.05,363.96,376.95
198.57,363.25,377.06
194.79,362.22,421.68
