P-521,hqc256,p521_hqc256
11.6,84.75,100.94
12.21,81.27,97.3
12.0,80.36,95.71
11.94,103.68,99.34
11.56,100.27,97.71
12.05,84.85,95.65
12.32,89.05,96.79
12.16,82.7,95.52
12.23,82.42,95.62
12.26,82.31,94.97
11.46,81.6,96.11
11.4,81.59,95.86
12.45,80.48,96.44
12.17,80.01,95.38
11.82,84.83,96.41
12.16,81.19,96.78
12.55,80.18,95.82
11.82,81.5,95.74
12.6,82.54,95.04
12.58,81.3,96.28
11.72,82.08,96.18
12.41,80.15,96.07
12.56,80.03,96.37
12.08,80.41,98.24
11.55,79.87,98.28
11.86,80.85,96.25
12.86,82.48,95.22
12.13,79.94,95.47
11.17,84.37,95.12
11.49,82.03,95.06
11.73,79.34,95.92
11.8,80.88,96.56
11.15,80.61,95.53
11.76,80.42,95.89
11.91,79.84,96.39
12.14,79.88,96.32
11.35,79.69,96.25
12.21,80.4,95.05
11.59,79.17,95.03
11.28,78.97,95.04
12.17,79.9,96.1
12.17,79.81,95.94
12.54,80.23,96.44
11.48,80.74,96.44
12.47,79.47,95.52
12.38,80.07,94.98
11.44,79.68,94.94
12.79,79.92,94.93
12.18,79.43,96.43
12.22,79.05,95.75
12.01,79.23,95.31
12.17,79.58,95.71
11.59,79.8,95.73
12.4,80.3,96.27
12.65,80.27,96.7
11.88,80.28,95.91
11.67,80.69,95.33
12.51,82.78,96.06
12.17,80.66,96.29
12.29,79.42,96.46
12.08,79.44,99.12
12.42,79.28,96.86
11.58,79.5,96.05
11.14,80.17,96.47
12.13,82.03,95.95
12.11,80.32,94.65
11.6,80.12,96.03
10.75,79.95,95.22
11.97,79.87,95.79
11.46,79.97,96.35
11.99,80.11,96.04
12.02,79.41,95.95
11.57,79.98,96.19
11.44,79.43,95.67
11.09,79.86,110.94
10.92,79.66,95.31
12.06,79.57,95.7
12.18,79.85,95.95
11.79,79.68,95.23
11.2,79.73,96.46
12.51,80.25,95.63
11.76,80.17,98.17
12.7,79.18,95.61
11.43,79.74,94.88
11.05,79.15,95.48
11.54,79.97,95.42
12.03,80.04,96.57
13.45,79.77,95.87
11.86,79.47,97.01
11.98,79.51,96.73
11.32,80.11,96.06
11.51,80.08,95.12
11.65,80.42,95.36
11.9,79.97,96.37
11.67,80.25,97.68
11.28,79.64,95.1
11.75,79.38,95.99
12.85,79.89,96.68
11.83,79.78,97.12
11.07,80.67,95.96
11.54,79.3,95.78
11.64,80.34,96.14
11.6,79.72,96.3
11.06,80.11,94.83
11.59,79.54,95.75
11.59,79.05,97.85
11.74,80.57,96.27
11.25,78.98,96.37
11.66,80.33,97.39
11.67,80.13,96.25
11.61,80.02,96.54
11.07,80.77,95.72
11.68,83.85,96.84
11.62,82.33,95.27
12.07,79.67,95.82
11.29,80.24,95.06
12.0,79.57,96.86
11.98,79.19,95.29
10.71,79.41,96.06
10.56,80.07,95.72
10.86,80.29,96.08
11.55,79.7,96.3
11.28,80.18,96.12
11.18,79.66,96.35
10.99,79.88,95.12
10.83,80.22,95.55
10.94,80.23,95.5
11.88,80.81,95.36
11.85,80.39,96.07
12.1,79.05,96.62
11.54,79.79,96.41
11.95,79.98,95.42
11.36,79.51,95.2
