P-521,hqc256,p521_hqc256
26.81,86.81,103.97
24.98,85.68,99.6
18.85,84.34,101.09
22.6,87.78,100.32
18.16,84.04,102.8
17.74,83.37,104.0
16.78,86.14,105.4
16.88,84.73,102.81
17.27,90.32,100.0
18.13,86.07,104.86
17.39,84.59,101.22
17.99,83.68,104.05
17.89,82.95,108.51
17.79,83.1,106.64
18.34,82.99,109.24
17.35,84.73,102.15
17.5,82.96,102.48
18.21,83.38,99.89
17.1,83.45,99.09
18.11,83.44,99.13
25.7,85.66,98.72
21.96,87.77,100.11
20.94,88.16,98.92
22.51,89.11,99.85
22.38,83.64,100.76
19.47,83.43,99.84
18.49,83.03,98.65
18.03,83.1,98.41
18.05,84.22,105.07
18.07,83.85,101.97
18.07,84.04,100.5
17.63,85.41,100.38
17.71,85.87,99.45
18.09,87.27,99.29
18.11,83.96,100.23
18.61,84.14,99.72
17.29,85.76,99.08
17.42,83.6,99.59
17.92,85.22,100.36
17.57,85.42,99.45
17.69,86.29,100.78
19.11,84.75,101.03
17.43,85.9,105.98
18.27,83.45,103.87
17.37,83.38,102.89
22.0,85.49,105.24
17.34,83.28,102.79
16.55,85.09,99.19
16.75,83.44,100.83
17.2,84.12,99.69
17.12,84.67,101.04
17.05,83.37,99.91
16.9,83.67,100.22
16.06,83.22,99.09
16.07,84.3,99.47
16.08,90.34,98.71
16.08,83.82,98.69
15.94,83.29,100.8
16.14,89.39,99.22
16.02,87.63,100.76
16.82,83.18,101.95
17.46,84.42,99.94
16.98,83.58,98.42
19.82,87.71,98.32
17.37,85.51,99.47
19.5,84.81,99.85
18.78,85.77,100.86
18.87,85.32,100.02
19.14,87.02,99.9
17.81,85.28,99.75
17.31,84.61,99.02
17.25,84.54,100.56
17.72,84.21,98.36
25.12,85.89,98.52
19.18,83.98,99.39
17.14,83.55,98.8
18.55,85.89,99.45
18.25,83.54,98.92
18.8,82.75,99.69
17.54,84.99,101.43
21.62,84.5,99.02
18.75,84.76,98.89
16.74,84.91,98.81
17.41,83.82,99.23
19.85,83.52,100.55
18.93,86.4,99.61
18.0,83.56,99.34
21.0,83.4,99.04
17.94,83.35,99.45
18.57,82.89,98.73
19.57,82.5,99.77
17.72,88.95,98.55
18.08,84.17,99.21
18.52,83.57,98.85
18.14,85.52,99.02
18.12,83.66,98.81
17.88,83.72,100.31
17.97,84.23,99.89
20.39,83.84,99.71
18.96,84.4,100.14
17.81,83.64,99.3
17.7,83.94,101.68
17.9,86.69,99.29
18.38,84.02,98.47
17.33,84.09,99.67
17.81,83.14,99.51
18.89,88.17,98.92
17.66,87.52,98.16
18.16,85.75,99.0
18.54,86.84,98.69
18.59,92.83,99.32
18.3,82.8,101.07
18.32,82.76,99.42
19.28,83.32,99.12
17.92,82.88,98.78
18.18,83.58,99.5
17.93,83.29,99.47
21.32,83.7,98.5
17.96,83.47,98.22
17.92,82.84,99.2
17.84,83.82,99.66
17.2,82.6,99.24
17.63,83.0,100.49
18.18,83.5,101.34
16.72,83.3,100.11
17.13,83.28,100.11
17.9,83.33,113.46
17.69,83.91,98.7
17.98,83.65,100.3
17.99,84.68,100.15
17.27,83.23,98.95
17.24,83.49,99.4
17.18,83.83,98.96
18.52,83.19,99.57
17.53,83.56,104.92
17.14,83.32,102.06
17.09,84.44,98.71
16.77,83.09,99.11
17.1,88.83,101.65
17.44,96.09,98.78
18.49,91.42,101.85
17.5,89.8,99.81
17.58,84.31,98.75
17.66,82.72,99.8
16.49,84.07,101.32
17.24,98.3,98.75
17.2,85.81,101.52
17.8,87.92,99.05
16.74,85.64,100.09
16.52,86.53,99.15
18.7,92.55,99.33
17.51,100.43,100.31
18.17,87.77,99.74
17.93,84.22,98.63
17.62,83.61,98.37
18.12,85.8,101.24
16.21,92.85,100.08
16.72,86.36,100.28
17.27,83.19,100.66
21.68,83.76,99.22
16.21,84.9,100.05
18.44,85.28,99.35
17.82,84.69,99.97
18.11,86.08,100.91
16.65,91.68,98.25
16.54,85.0,98.75
16.44,83.54,98.59
16.27,84.0,98.9
16.46,83.88,99.13
16.79,96.88,101.17
17.16,95.68,99.33
17.47,163.74,101.33
17.26,94.04,102.14
17.51,85.08,98.87
17.26,84.82,99.78
16.62,87.24,98.94
16.42,91.53,99.41
16.35,85.22,98.36
15.98,83.38,98.48
16.31,83.66,99.45
18.14,89.44,99.91
17.09,86.57,98.82
17.13,84.08,98.78
17.23,90.07,98.69
16.15,88.68,99.49
16.89,88.49,100.17
16.27,92.33,99.5
16.91,86.43,99.3
16.36,89.51,98.81
17.38,89.45,98.5
17.46,89.44,98.26
16.69,83.93,99.08
16.76,84.44,99.19
16.93,83.16,98.79
17.39,86.53,99.48
17.28,94.13,100.04
17.45,96.35,99.69
17.39,100.9,99.06
17.38,94.29,101.01
17.57,84.84,98.62
17.32,85.82,99.09
17.18,85.16,99.77
16.81,90.65,99.72
16.13,91.94,99.62
16.27,103.44,100.21
16.24,94.74,101.09
17.54,115.63,100.0
17.13,92.3,100.47
17.44,104.3,99.22
17.28,104.85,98.87
16.53,94.83,99.34
16.29,102.63,99.78
17.63,100.26,99.47
17.3,123.48,99.5
17.62,95.47,100.03
16.91,96.41,98.95
16.82,89.95,98.91
17.27,88.05,99.36
16.61,85.62,98.67
16.98,89.68,99.27
16.39,106.26,98.84
16.33,98.26,100.69
16.26,93.48,101.01
16.54,103.46,99.48
16.83,87.41,98.89
16.9,86.52,102.38
16.51,86.28,102.78
17.33,88.46,98.38
17.12,92.42,98.47
17.6,86.25,99.03
16.81,84.84,99.1
17.1,82.97,99.36
16.22,83.52,100.83
16.53,83.72,98.37
17.02,91.19,100.37
16.62,101.65,99.55
18.01,101.34,98.33
17.59,94.8,99.34
17.83,88.4,99.69
17.34,83.35,99.73
16.18,85.36,100.07
16.4,82.63,99.93
16.19,83.28,99.59
16.67,91.34,99.49
16.32,92.64,100.55
16.24,86.94,98.16
16.65,87.19,98.74
16.21,92.09,99.08
16.08,84.58,99.6
17.02,83.65,101.91
17.36,85.65,100.04
17.07,85.76,100.31
16.27,82.42,98.94
16.96,98.68,99.91
17.13,103.44,98.44
16.77,95.46,99.4
19.35,97.39,100.39
19.59,91.66,100.9
17.42,88.61,99.29
17.93,87.16,100.46
17.81,88.73,99.37
17.84,89.16,99.44
16.81,88.21,98.67
17.01,86.26,98.66
17.31,85.1,98.43
17.83,84.31,98.8
17.57,84.57,99.29
17.67,84.31,100.96
17.39,84.71,102.44
17.09,86.56,98.67
16.91,85.91,99.38
17.05,86.45,98.97
16.94,86.54,98.38
17.03,89.31,98.48
17.24,85.72,98.54
16.95,84.62,99.74
18.65,89.84,98.79
17.85,86.79,100.02
16.84,86.06,100.65
17.61,86.34,99.99
17.5,84.77,100.14
16.18,83.01,99.49
16.41,82.56,98.19
16.36,82.99,100.3
16.97,88.16,98.8
16.35,83.5,102.65
17.19,82.89,98.84
16.73,82.96,99.4
17.37,83.3,99.58
17.66,83.31,101.69
17.37,85.06,99.03
17.94,89.39,98.67
17.61,85.9,99.02
17.69,85.15,98.58
17.42,85.51,100.12
17.59,89.06,98.82
17.32,83.37,98.75
17.67,83.36,99.96
17.26,85.95,99.27
18.62,95.51,98.53
16.68,95.06,98.72
16.53,99.28,98.96
16.68,86.38,98.33
17.03,92.31,98.93
17.55,87.2,99.23
17.34,84.87,99.48
17.05,85.11,99.1
16.77,83.92,99.94
17.2,100.47,98.95
16.44,98.21,98.27
16.96,100.06,98.7
17.11,97.55,99.44
16.77,88.69,100.76
16.51,84.58,98.97
16.85,83.61,99.7
16.99,83.92,99.52
17.1,82.81,99.11
17.24,85.25,100.0
16.6,87.38,101.6
16.64,94.54,98.54
16.45,93.94,99.29
16.52,98.48,98.48
16.34,93.5,99.75
17.29,98.2,101.17
16.38,86.85,99.12
17.17,84.29,98.43
16.68,84.48,98.97
16.88,92.86,98.62
16.79,88.2,99.29
17.58,86.27,99.51
16.99,83.31,100.24
18.11,83.82,100.11
16.22,84.1,98.81
16.76,99.95,100.54
16.59,92.57,112.71
17.61,108.39,99.52
16.66,88.87,99.07
17.63,87.45,99.48
16.51,86.58,99.03
17.56,84.86,99.92
17.5,86.65,99.69
16.98,83.25,101.1
17.07,83.82,100.49
17.77,128.46,99.12
17.82,127.13,99.45
16.58,88.92,98.43
17.4,85.03,98.78
17.06,84.99,99.9
16.46,83.97,99.59
17.12,89.26,99.13
17.27,83.52,98.93
17.85,85.23,99.19
17.16,82.69,98.96
17.55,85.21,99.34
16.81,84.63,98.08
17.41,83.21,99.46
16.19,83.76,99.65
16.34,84.18,99.76
16.06,88.4,100.22
16.85,96.74,99.61
16.49,100.6,98.43
16.74,91.19,100.01
16.2,87.33,98.96
16.18,85.27,101.2
16.17,83.12,98.36
16.34,87.04,99.58
16.3,85.14,99.37
17.58,85.06,101.53
16.8,92.27,99.81
16.82,85.92,99.29
17.04,85.73,100.75
17.23,86.43,98.57
16.79,88.9,98.29
16.34,90.18,98.48
16.14,83.28,99.61
17.21,83.87,99.14
17.02,84.63,99.36
17.39,87.14,100.39
17.18,84.32,98.96
17.43,90.08,99.84
17.27,90.94,99.61
17.47,90.14,99.15
21.61,85.17,98.9
17.48,84.58,99.08
16.9,82.75,100.02
17.84,85.33,100.13
17.33,85.81,98.91
17.21,84.46,100.6
16.81,85.42,100.04
16.59,94.25,99.12
16.5,84.98,98.92
16.47,89.04,100.8
16.31,89.16,99.21
16.97,87.81,99.76
16.46,88.61,100.39
16.34,84.58,100.56
16.23,84.3,99.35
16.55,85.25,99.25
17.35,83.44,99.71
16.66,91.86,99.56
17.18,84.81,98.55
16.74,87.05,98.33
16.91,83.93,100.5
16.4,83.7,99.1
16.66,83.25,100.71
18.79,83.3,99.91
17.72,87.32,99.98
18.05,94.23,99.94
17.45,97.93,101.34
17.54,93.73,98.78
17.93,89.86,100.21
17.37,87.32,99.75
17.5,88.48,101.08
17.63,87.32,99.25
18.01,92.12,100.39
17.66,87.56,99.96
17.95,89.14,100.48
18.8,97.05,99.73
16.57,93.14,99.04
16.66,91.93,109.31
16.89,93.39,99.64
17.27,90.4,99.94
16.89,84.36,99.63
16.6,84.85,99.24
16.24,85.69,98.81
16.37,89.0,108.61
17.16,96.96,100.55
17.23,90.51,99.44
17.0,85.71,98.47
16.89,92.45,102.52
16.57,88.31,100.11
16.06,84.92,98.72
17.21,88.72,99.56
16.88,93.14,100.61
16.82,89.17,99.58
16.42,87.74,99.97
16.26,87.88,98.25
16.27,85.53,98.37
16.23,85.17,98.77
16.15,87.67,99.44
16.47,92.47,99.45
16.24,88.08,99.9
16.81,92.23,99.12
16.02,91.83,99.47
16.53,85.55,101.28
16.79,84.72,100.0
17.3,89.79,98.31
17.9,98.14,99.2
17.62,85.98,98.44
17.68,87.06,100.21
17.28,87.06,99.14
17.27,90.77,100.1
16.69,107.87,100.2
17.63,88.03,99.69
16.84,93.33,99.16
17.13,89.57,99.02
