security_level,sig_alg,kem,kem_class,mean_ms,baseline_classique_mean_ms,overhead_pct
L1,ed25519,P-256,classique,1054.909,1131.728,-6.8
L1,ed25519,hqc128,pq_pur,599.733,1131.728,-47.0
L1,ed25519,mlkem512,pq_pur,716.957,1131.728,-36.6
L1,ed25519,p256_hqc128,hybride,500.692,1131.728,-55.8
L1,ed25519,p256_mlkem512,hybride,699.961,1131.728,-38.2
L1,ed25519,x25519_hqc128,hybride,450.385,1131.728,-60.2
L1,ed25519,x25519_mlkem512,hybride,758.775,1131.728,-33.0
L1,ed25519,x25519,classique,1012.796,1131.728,-10.5
L1,mldsa44,P-256,classique,1261.018,1131.728,11.4
L1,mldsa44,hqc128,pq_pur,1172.536,1131.728,3.6
L1,mldsa44,mlkem512,pq_pur,1334.678,1131.728,17.9
L1,mldsa44,p256_hqc128,hybride,1000.975,1131.728,-11.6
L1,mldsa44,p256_mlkem512,hybride,1215.589,1131.728,7.4
L1,mldsa44,x25519_hqc128,hybride,1096.212,1131.728,-3.1
L1,mldsa44,x25519_mlkem512,hybride,1048.096,1131.728,-7.4
L1,mldsa44,x25519,classique,1198.19,1131.728,5.9
L3,mldsa65,P-384,classique,1416.718,1255.023,12.9
L3,mldsa65,hqc192,pq_pur,847.1,1255.023,-32.5
L3,mldsa65,mlkem768,pq_pur,1321.892,1255.023,5.3
L3,mldsa65,p384_hqc192,hybride,816.698,1255.023,-34.9
L3,mldsa65,p384_mlkem768,hybride,1399.474,1255.023,11.5
L3,mldsa65,x448_hqc192,hybride,745.923,1255.023,-40.6
L3,mldsa65,x448_mlkem768,hybride,1399.95,1255.023,11.5
L3,mldsa65,x448,classique,1745.523,1255.023,39.1
L5,mldsa87,P-521,classique,1429.937,1170.313,22.2
L5,mldsa87,hqc256,pq_pur,1069.399,1170.313,-8.6
L5,mldsa87,mlkem1024,pq_pur,1596.69,1170.313,36.4
L5,mldsa87,p521_hqc256,hybride,1037.846,1170.313,-11.3
L5,mldsa87,p521_mlkem1024,hybride,1560.452,1170.313,33.3
L3,secp384r1,P-384,classique,890.997,1255.023,-29.0
L3,secp384r1,hqc192,pq_pur,556.687,1255.023,-55.6
L3,secp384r1,mlkem768,pq_pur,690.631,1255.023,-45.0
L3,secp384r1,p384_hqc192,hybride,610.069,1255.023,-51.4
L3,secp384r1,p384_mlkem768,hybride,822.289,1255.023,-34.5
L3,secp384r1,x448_hqc192,hybride,646.929,1255.023,-48.5
L3,secp384r1,x448_mlkem768,hybride,724.385,1255.023,-42.3
L3,secp384r1,x448,classique,966.855,1255.023,-23.0
L5,secp521r1,P-521,classique,910.689,1170.313,-22.2
L5,secp521r1,hqc256,pq_pur,751.127,1170.313,-35.8
L5,secp521r1,mlkem1024,pq_pur,775.504,1170.313,-33.7
L5,secp521r1,p521_hqc256,hybride,756.587,1170.313,-35.4
L5,secp521r1,p521_mlkem1024,hybride,912.946,1170.313,-22.0
