procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 11000776 311440 7279832    0    0   109   505 7344   17 12  6 81  2  0  0
 0  1      0 10993280 311448 7279864    0    0     0  2448 4489 8511  4  3 74 19  0  0
 2  1      0 10993768 311460 7279888    0    0     0   948 2669 4091  4  3 81 12  0  0
 1  1      0 10999428 311472 7280000    0    0     0   580 7393 11735  8  6 75 12  0  0
 0  1      0 11000064 311472 7280084    0    0     0  2084 3404 4395  6  4 73 17  0  0
 1  0      0 10941192 311476 7280028    0    0     0   344 11233 17257  6  6 80  8  0  0
 1  0      0 10907680 311476 7275888    0    0     0     0 19092 27409  9  9 81  0  0  0
 0  1      0 10900424 311480 7279988    0    0     0  2404 5919 10436  6  4 75 15  0  0
 0  1      0 10904444 311484 7280024    0    0     0   908 2942 4806  3  2 83 12  0  0
 1  0      0 10907736 311488 7280120    0    0     0   328 6262 10718  9  5 80  7  0  0
 1  1      0 10926620 311488 7280128    0    0     0     4 2575 2543 14  1 85  1  0  0
 1  0      0 10937836 311488 7276044    0    0     0   460 4036 8569 18  1 80  1  0  0
 1  0      0 10949736 311488 7280148    0    0     0     0 3005 4383 13  1 86  0  0  0
 1  0      0 10955628 311488 7280156    0    0     0     0 1794 1675 13  1 86  0  0  0
 1  2      0 10951280 311488 7280164    0    0     0   132 3398 7950 14  1 80  5  0  0
 1  1      0 10954488 311500 7280240    0    0     0  2580 3965 7156 17  1 63 18  0  0
 2  0      0 10968392 311512 7280332    0    0     0  1036 5015 8902 15  2 72 11  0  0
 2  4      0 10955456 311524 7280348    0    0     0  2128 8346 14452 21  4 62 12  0  0
 2  1      0 10935388 311524 7280364    0    0     0   308 9662 13922 23  5 51 22  0  0
 2  2      0 10932592 311536 7280140    0    0     0  1108 9275 11828 24  6 60 11  0  0
 6  4      0 10913312 311552 7280500    0    0     0  2272 12458 23450 30  9 51 10  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1      0 10919840 311552 7280520    0    0     0   408 10679 20414 32  9 40 19  0  0
 4  0      0 10914784 311564 7280544    0    0     0   996 11053 20005 34 10 47  9  0  0
 6  2      0 10909572 311580 7280668    0    0     0  2180 12077 25052 41 13 37  8  0  0
 6  2      0 10896788 311588 7280688    0    0     0   800 11208 24247 43 12 39  6  0  0
 5  0      0 10876092 311608 7280716    0    0     0   912 12073 26276 44 13 34  9  0  0
 6  4      0 10878268 311620 7280852    0    0     0  2356 12934 28636 50 16 26  8  0  0
 5  1      0 10881492 311624 7280944    0    0     0   424 10830 23958 52 15 23 10  0  0
 8  0      0 10878768 311644 7280888    0    0     0  1296 12783 28987 54 16 26  3  0  0
12  2      0 10852536 311652 7281024    0    0     0  2124 13006 28535 58 18 20  4  0  0
 4  6      0 10848680 311656 7281048    0    0     0  1124 12706 28839 61 18 16  5  0  0
 9  0      0 10828512 311660 7281068    0    0     0   564 12519 26539 62 18 16  5  0  0
10  2      0 10841020 311664 7281196    0    0     0  2196 14592 29281 67 21 10  2  0  0
 9  2      0 10832120 311664 7281168    0    0     0   460 12339 25694 54 16 17 13  0  0
10  3      0 10840332 311676 7277080    0    0     0  2128 14157 28998 63 19 13  5  0  0
11  1      0 10820068 311684 7281240    0    0     0   484 13734 27446 63 19 15  4  0  0
14  6      0 10835880 311692 7281336    0    0     0  2240 14637 27836 68 20  9  3  0  0
13  2      0 10855316 311696 7277248    0    0     0  1300 13780 23938 68 20  9  3  0  0
11  2      0 10839008 311708 7281244    0    0     0   548 12156 22457 56 17 16 11  0  0
11  3      0 10856516 311720 7281348    0    0     0  2132 15791 31985 64 19 12  5  0  0
12  1      0 10843240 311724 7277276    0    0     0   560 14280 28097 64 19 13  5  0  0
12  1      0 10855540 311728 7277328    0    0     0  1864 13480 24184 69 21  9  2  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
19  1      0 10871220 311732 7277364    0    0     0  1408 12127 21927 69 20  9  2  0  0
 9  3      0 10864024 311736 7281472    0    0     0  1896 13760 25768 64 21 12  3  0  0
10  2      0 10835340 311748 7285504    0    0     0   520 10510 21392 48 14 17 20  0  0
10  3      0 10797464 311764 7281568    0    0     0  1856 13172 24831 68 21  8  3  0  0
11  1      0 10847004 311772 7281584    0    0     0   296 11187 20188 69 20  8  3  0  0
14  0      0 10851876 311780 7281660    0    0     0  1360 11327 19276 69 21  9  2  0  0
13  1      0 10832972 311788 7285836    0    0     0   416 14855 28411 68 22  9  2  0  0
14 11      0 10837920 311796 7281656    0    0     0  2288 12916 24349 65 20 10  5  0  0
11  2      0 10843312 311832 7281640    0    0     0  1308 12062 21561 66 19  8  7  0  0
11  1      0 10865184 311832 7281680    0    0     0   392 11277 20137 68 20  9  2  0  0
33  0      0 10855828 311840 7285812    0    0     0   844 13282 23312 71 21  7  1  0  0
17  1      0 10844944 311852 7285840    0    0     0  1364 15160 30813 65 21  9  4  0  0
12  3      0 10829340 311852 7281792    0    0     0  2036 12170 22046 69 21  6  3  0  0
11  2      0 10837528 311864 7281780    0    0     0  1596 11455 20123 69 21  8  2  0  0
12  1      0 10855424 311868 7281796    0    0     0   928 12216 21727 69 21  8  2  0  0
11  2      0 10845480 311876 7285612    0    0     0   704 13685 25391 67 22  8  3  0  0
 3  9      0 10838800 311884 7285960    0    0     0  1964 12328 23997 60 18 17  5  0  0
13  1      0 10849960 311900 7281868    0    0     0   724 12980 25099 64 19 13  4  0  0
14  1      0 10858604 311904 7281980    0    0     0  1560 11780 20920 68 21  7  4  0  0
13  2      0 10871708 311912 7281924    0    0     0  1364 11530 20142 70 20  8  2  0  0
20  1      0 10872476 311928 7285984    0    0     0   428 12745 24414 63 19 15  3  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
27  3      0 10833708 311928 7281940    0    0     0  1808 12718 21874 64 20  7  8  0  0
 9  1      0 10831692 311928 7281960    0    0     0   516 11158 21058 62 19 15  4  0  0
10  2      0 10844492 311940 7281984    0    0     0  1848 12934 23952 70 21  7  2  0  0
13  1      0 10850692 311944 7282004    0    0     0  1096 11377 19598 70 20  9  1  0  0
 8  1      0 10838796 311956 7286064    0    0     0   612 15317 29244 67 22 10  1  0  0
 7  3      0 10832208 311960 7286148    0    0     0  1596 11449 21252 58 19 14  9  0  0
10  1      0 10838284 311972 7286208    0    0     0  1712 12225 23668 66 20  9  5  0  0
12  1      0 10829832 311976 7286232    0    0     0  1860 11974 20966 69 21  8  2  0  0
16  1      0 10890912 311984 7285948    0    0     0  1040 11933 20178 69 21  8  2  0  0
 8  2      0 10864144 311984 7286304    0    0     0   620 13580 25602 65 21 11  3  0  0
21  1      0 10851076 311996 7282220    0    0     0  1800 11809 22435 61 19 14  6  0  0
17  1      0 10831620 312004 7282260    0    0     0  1440 12955 23399 70 21  7  2  0  0
 9  1      0 10824336 312012 7282276    0    0     0   976 12123 20880 68 22  8  2  0  0
 7  3      0 10840552 312012 7286404    0    0     0   952 15693 29749 70 20  8  2  0  0
 7  2      0 10833332 312020 7282336    0    0     0  1500 10470 19146 58 17 14 11  0  0
 7  2      0 10806864 312036 7282348    0    0     0  1596 14116 26787 64 20 11  6  0  0
 7  1      0 10832848 312040 7282372    0    0     0   704 11764 20796 69 21  8  2  0  0
 8  1      0 10849468 312048 7286448    0    0     0   936 13945 25634 67 21  7  5  0  0
 7  3      0 10847060 312068 7286544    0    0     0  1504 13386 26929 70 20  7  3  0  0
 8  2      0 10844704 312072 7282440    0    0     0  1388 12186 22050 61 18 10 10  0  0
10  1      0 10836200 312084 7282472    0    0     0  1320 11743 20559 70 20  7  3  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  1      0 10839428 312088 7286584    0    0     0   952 12272 20902 70 21  7  2  0  0
16  1      0 10845240 312096 7286728    0    0     0   616 12996 23292 70 22  7  1  0  0
 9  4      0 10822344 312100 7282668    0    0     0  2120 15250 27722 74 23  3  1  0  0
10  2      0 10836268 312100 7282600    0    0     0   408 12082 21936 69 21  6  4  0  0
 8  1      0 10833368 312100 7282676    0    0     0  2112 12412 20618 70 21  7  2  0  0
 8  1      0 10827212 312112 7286812    0    0     0   436 13227 23637 69 22  7  1  0  0
 8  9      0 10830000 312116 7282764    0    0     0  2444 13917 24346 74 23  3  1  0  0
 9  1      0 10849020 312116 7282764    0    0     0   344 12723 20098 74 22  3  1  0  0
 8  2      0 10837624 312124 7286840    0    0     0  1328 13131 21409 74 23  3  1  0  0
 9  2      0 10835772 312124 7286844    0    0     0   916 14931 28158 70 23  6  1  0  0
 1  8      0 10825932 312132 7286964    0    0     0  1856 11025 19287 62 17 11 10  0  0
 9  2      0 10829084 312156 7282856    0    0     0  1816 13517 24416 68 21  7  4  0  0
11  3      0 10821092 312164 7282900    0    0     0   776 12834 20372 74 23  3  0  0  0
 8  1      0 10824444 312176 7287104    0    0     0   544 13971 23230 73 23  3  1  0  0
10  2      0 10800632 312176 7283056    0    0     0  1604 13773 24966 70 22  6  2  0  0
14  0      0 10800832 312180 7283060    0    0     0  1120 12029 21308 65 19  7  9  0  0
 4  6      0 10796832 312184 7283004    0    0     0  1364 13648 23522 73 22  2  3  0  0
18  1      0 10823076 312188 7287108    0    0     0  1120 13504 20607 70 22  3  5  0  0
 8  2      0 10831208 312200 7287200    0    0     0   664 14552 24642 73 24  2  1  0  0
12  1      0 10814908 312204 7283056    0    0     0  1944 15319 28204 74 23  3  1  0  0
 2 11      0 10816732 312212 7283088    0    0     0  1204 11138 18730 62 18  7 12  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  1      0 10837204 312220 7283092    0    0     0   968 13375 21654 71 21  4  5  0  0
14  1      0 10849672 312224 7287224    0    0     0   264 13898 22843 74 23  3  1  0  0
24  2      0 10853668 312228 7283232    0    0     0   416 13850 22845 74 23  3  1  0  0
 9 14      0 10827108 312228 7283188    0    0     0   328 14683 26796 74 23  3  1  0  0
 8  3      0 10844812 312232 7283184    0    0     0  2372 12800 20613 74 22  3  1  0  0
10  3      0 10818744 312232 7283200    0    0     0   420 12766 20718 75 22  2  1  0  0
10  3      0 10817364 312232 7283140    0    0     0   488 11988 20902 71 21  5  3  0  0
 8  2      0 10833432 312240 7283156    0    0     0   628 12308 21595 69 21  7  2  0  0
 7  2      0 10850684 312244 7283156    0    0     0  1760 11196 19341 69 21  9  2  0  0
14  0      0 10830032 312256 7286956    0    0     0   608 14029 25674 70 21  7  1  0  0
12  1      0 10828164 312268 7287372    0    0     0   668 14704 25911 72 22  4  1  0  0
 7  2      0 10833860 312268 7283264    0    0     0  1960 11940 20933 70 21  6  4  0  0
 8  2      0 10823576 312268 7283264    0    0     0  1040 12304 21450 70 21  7  2  0  0
10  2      0 10833148 312272 7283276    0    0     0  1400 11395 19514 70 20  7  3  0  0
 6  3      0 10837164 312284 7283300    0    0     0   336 11441 20250 69 20  8  3  0  0
 9  2      0 10852420 312296 7287344    0    0     0   524 11878 22565 62 19 14  5  0  0
 8  3      0 10829448 312296 7287440    0    0     0  2180 12041 22572 63 20 10  7  0  0
 7  1      0 10819084 312308 7283356    0    0     0   556 10896 21170 53 15 15 18  0  0
 8  2      0 10807940 312312 7283380    0    0     0  1856 12815 22129 69 23  6  2  0  0
 7  1      0 10855140 312312 7283304    0    0     0   224 12041 21827 67 21 10  2  0  0
 6  2      0 10863580 312312 7283328    0    0     0   296 11187 20888 62 19 15  4  0  0
procs ----------mémoire---------- -échange- -----io---- -système- ------cpu--------
 r  b   swpd  libre tampon  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  3      0 10831172 312316 7283280    0    0     0  2032 12338 24315 62 19 13  6  0  0
 7  1      0 10811008 312332 7287116    0    0     0   548 11342 21450 62 18 16  4  0  0
 9  3      0 10804600 312336 7287264    0    0     0   600 13833 28367 62 21 14  3  0  0
 7  3      0 10810244 312348 7283368    0    0     0  2668 11629 21457 63 19 11  6  0  0
 5  3      0 10828508 312352 7283372    0    0     0  1568 11158 21711 55 17 16 12  0  0
 5  2      0 10800316 312360 7283316    0    0     0   660 10557 20335 53 16 20 11  0  0
 5  2      0 10792636 312360 7283340    0    0     0  1696 10767 20286 53 16 22  8  0  0
 5  1      0 10794468 312360 7287464    0    0     0   420 11878 22580 54 17 24  5  0  0
15  3      0 10799372 312368 7283420    0    0     0  1380 12876 24966 56 18 19  7  0  0
