P-521,p521_mlkem1024,mlkem1024
5.0,40.38,192.54
117.47,7102.96,3081.22
64.33,40.24,2.43
7109.58,51.86,8054.09
3001.42,99.66,2000.57
3029.97,16.14,1.88
117.42,274.69,57.13
3004.07,16.19,1.86
232.72,42.18,2.21
7000.78,10.97,2.51
5.05,11.81,3081.52
89.0,10.94,2.21
3.93,5032.03,845.46
3138.94,10.91,29.93
3.88,16.21,29.67
3058.69,2007.01,34.03
3.97,2626.86,939.19
6999.59,8220.96,2028.62
3000.33,10.81,84.15
61.66,2089.07,30.1
3001.18,11.0,2.44
39.89,130.94,191.64
3.91,10.9,2.42
4.19,11.13,5296.56
4.0,70.91,2.05
7027.71,3332.7,4215.27
32.78,3852.94,219.48
3085.75,41.46,34.28
3057.85,11.32,1.82
32.83,10.89,4189.14
68.38,10.79,2.66
4.06,51.7,2.06
7028.87,51.83,29.82
425.88,10.89,29.58
32.74,3063.46,3108.41
4.43,3117.12,2488.78
3000.81,10.87,275.22
3.86,655.25,1.99
202.95,2007.15,2.27
3001.25,171.28,2.98
32.72,12.08,1.86
3031.16,9216.11,29.88
3000.81,10.82,1033.58
3000.88,998.73,2.21
3141.77,11.07,1.97
3914.55,2007.79,4025.67
3001.15,3247.72,3059.28
4.1,2008.06,3026.46
4.15,10.78,1.99
3.89,3032.9,3016.88
3.94,305.92,2.04
936.06,260.86,2.16
4.19,11.63,1.93
32.56,5525.86,3027.35
4.95,568.55,2.18
3.95,2033.86,4052.61
257.52,474.22,7869.12
3467.69,10.92,2.2
4.06,127.5,119.94
4029.05,10.65,4026.88
5.0,4436.9,2.21
3057.66,10.73,7216.62
3000.27,246.87,137.88
4.09,10.87,2.67
117.6,11.46,30.16
3.83,10.79,2.45
32.54,4113.86,1001.7
3.83,9920.44,4025.73
3000.89,102.78,57.04
3.93,42.23,33.88
7028.54,16.36,1.96
541.89,10.91,29.7
3000.95,4640.38,2.26
7161.78,162.98,7025.88
3028.37,7380.39,2.23
32.6,3089.25,29.71
3001.1,2008.59,2.03
117.49,10.98,29.91
3.92,101.61,7053.03
3001.19,8365.65,2.05
3000.92,11.17,29.81
3.96,10.96,3711.14
3.9,197.11,2.03
