P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.57,2.06,12.58,3.11,1.93
2.06,1.96,13.26,3.54,1.75
2.06,2.11,17.47,3.31,1.76
2.4,2.29,10.32,3.25,2.0
1.92,2.53,10.94,3.21,1.8
2.7,2.25,17.96,4.64,1.81
1.99,2.3,15.89,3.23,1.77
2.44,2.11,14.47,3.26,1.7
2.28,2.67,18.19,3.26,2.13
2.64,2.55,18.65,3.5,1.99
2.02,2.09,17.62,4.9,2.03
2.26,2.0,17.84,3.37,1.78
2.05,1.85,17.47,4.18,1.78
1.93,1.94,19.39,3.38,1.87
1.93,2.15,11.94,3.19,1.82
2.38,1.79,4012.2,3.4,1.8
2.02,2.2,10.25,4.12,2.13
2.28,2.06,8.54,3.4,1.88
2.22,2.04,11.72,3.19,1.76
2.17,1.97,11.75,4.25,1.77
2.1,1.81,9.87,3.36,1.77
2.43,1.99,8.58,4.35,1.85
2.48,2.26,10.39,3.5,1.77
2.66,1.96,13.71,3.26,1.76
2.51,2.19,1010.06,3.21,2.04
2.22,1.83,9.12,3.21,1.72
2.14,1.8,1016.38,3.82,2.02
2.18,1.81,8.75,3.31,1.91
2.67,1.9,12.12,4.41,1.82
2.12,2.09,9.3,3.28,2.02
2.06,2.65,16.55,3.25,1.87
2.07,2.51,13.46,4.02,1.83
2.03,2.07,10.62,3.24,1.78
2.0,1.82,10.7,3.41,1.83
2.51,2.29,1093.67,3.29,1.65
2.25,2.46,13.73,3.19,1.76
2.21,1.8,1013.26,3.16,2.08
2.01,1.94,13.7,4.3,2.01
2.17,1.95,45.05,3.2,2.0
2.35,1.76,1013.2,3.2,1.79
2.07,1.75,38.8,3.25,1.75
2.41,2.33,48.81,3.21,1.9
2.1,1.73,14.09,3.2,2.0
1.99,83.56,15.37,3.33,1.8
1.81,1.71,13.6,3.24,1.87
2.08,2.5,15.03,3.32,2.13
2.78,2.54,9.27,3.31,1.79
2.03,3.03,43.34,3.43,1.78
2.01,1.88,1009.96,3.23,1.81
2.1,2026.35,10.06,4.15,1.88
1.99,1102.58,13.89,3.84,1.88
2.0,2157.41,39.25,3.22,2.02
2.19,2.23,47.44,4.3,1.91
2.04,2.06,9.95,3.3,2.0
2.32,2.22,9.84,3.3,1.86
2.02,30.02,9.98,3.23,1.74
2.41,1.79,13.64,4.13,2.05
2.81,2.55,14.93,3.28,1.77
2.02,30.49,14.83,3.27,1.98
2.59,29.45,14.1,3.26,1.65
2.27,1.9,1017.62,3.17,2.09
2.48,1.98,9.34,5.42,1.8
2.36,29.58,3007.3,3.44,1.78
2.38,2.25,2012.17,3.23,1.72
1.96,1101.46,9.88,3.28,2.26
2.33,1.78,80.67,4.79,2.0
2.41,2.24,10.96,3.26,1.99
2.13,2.01,9.82,3.34,1004.04
2.08,1131.77,11.67,3.21,1.91
2.23,3000.45,2031.98,3.36,1.9
2.31,2.33,9.71,3.33,2.0
2.25,43.02,1011.2,4.21,1003.03
2.38,56.79,37.52,3.17,1004.03
2.11,2.41,16.41,3.27,1.88
2.46,2.49,87.03,3.22,1.81
2.54,29.84,1015.33,3.19,2024.91
2.38,1.88,13.62,3.42,2.01
1.96,1103.27,11.16,4.88,1.78
2.28,1001.27,1051.86,4.73,30.36
2.36,1.9,9.76,3.19,1.76
2.34,1.81,2033.2,3.78,1.81
2.09,2.11,8.74,3.25,1085.94
2.38,1.85,1011.16,3.07,1.76
2.02,2075.37,14.15,3.96,1.82
2.11,2.96,15.32,3.72,33.58
2.17,2.05,12.23,3.5,85.52
2.91,2026.18,15.17,30.75,1003.77
2.09,2.49,1014.5,3.26,29.26
4.2,4072.65,14.3,4.59,1.81
2.04,1.94,131.03,31.96,1.8
2.02,4.04,38.34,3.97,2.02
2.06,29.52,16.03,2002.87,1.77
2.06,1.84,9.12,4.23,1.98
2.08,2.65,38.26,31.26,1004.15
2.18,1.75,8.62,3.21,1000.98
