P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
1.8,1.81,9.59,3.41,1.9
2.0,1.92,8.47,3.11,1.69
1.93,2.02,8.44,3.64,1.74
2.15,2.09,9.04,4.49,1.76
2.53,1.68,13.8,3.29,1.81
1.85,1.88,9.38,3.1,2.65
2.12,1.91,9.73,4.3,1.69
2.04,1.82,9.18,3.12,1.94
2.37,1.96,10.52,3.11,1027.35
1.9,1.69,8.59,3.9,1003.86
1.86,1.96,13.85,3.09,1.9
2.46,1.75,8.86,4.0,1.85
2.42,1.67,9.52,3.12,1003.18
2.04,1.71,8.86,3.73,1001.75
1.98,1.68,9.39,3.32,1.77
1.89,2.23,13.89,3.38,2.23
2.92,1.78,9.12,3.13,1.65
1.82,1.71,9.8,3.22,1440.12
1.92,1.72,9.45,3.15,2.59
1.84,1.73,8.55,4.06,1.9
1.93,1.94,8.47,3.16,1.86
2.29,2.14,9.01,3.22,6039.8
1.74,1.71,13.91,3.11,1.85
3.3,1.97,9.15,3.16,1.65
1.86,1.73,8.44,3.1,1.76
2.39,1.73,8.58,3.04,2999.61
2.06,1.97,10.65,3.88,2.16
1.88,1.75,10.62,3.81,1002.13
2.62,1.99,12.48,3.8,2.22
2.08,1.92,8.44,3.09,1.59
2.06,2.45,8.45,4.08,2.35
1.85,1.95,9.18,4.23,1.59
1.84,1.87,9.42,3.5,1029.03
2.37,1.93,9.08,3.14,1.73
1.86,1.66,8.52,3.63,1.71
2.46,1.71,11.11,4.22,1797.24
1.93,2.1,10.11,3.52,1.99
1.93,1.94,10.32,3.16,1056.39
2.0,1.92,9.44,5.63,1003.31
2.28,2.24,14.13,4.24,1056.24
2.16,1.95,9.32,3.32,1001.87
2.97,2.05,9.0,4.36,1.81
1.91,1.98,8.45,4.92,1003.53
1.9,1.61,9.68,3.54,2.45
2.06,1.61,9.63,3.13,1009.43
1.94,2.12,10.1,3.37,1027.13
1.95,2.31,11.46,3.01,1.7
2.1,2.11,10.11,3.13,1.84
2.44,1.9,10.84,3.2,2999.6
1.9,1.63,10.24,3.13,1111.93
1.93,2.25,9.33,4.58,1.68
1.88,1.77,8.51,3.35,1003.37
1.96,2.08,8.49,3.74,2.71
1.98,1.65,10.15,3.1,1.6
1.99,1.86,9.32,4.92,1.75
1.89,1.94,14.12,3.04,2.0
2.41,1.82,9.54,4.38,1002.27
1.85,2.69,9.89,4.2,3000.31
1.97,2.38,8.57,3.71,2999.91
2.69,1.67,13.86,3.1,3000.02
1.94,1.95,9.71,3.15,1027.07
2.35,1.93,9.34,3.15,1062.66
2.37,1.71,10.28,4.47,1030.67
2.41,1.73,9.48,3.13,1.73
1.85,1.77,8.46,3.17,1.71
2.56,2.05,9.01,3.1,2.33
1.94,1.74,8.81,4.47,1.7
2.42,1.95,9.93,3.66,1.63
2.35,1.64,13.88,4.92,1.68
2.18,3.25,8.82,4.23,1.65
2.36,1.79,10.6,4.37,1.82
1.95,1.75,10.92,3.21,1.68
1.81,2.3,12.48,4.41,1.69
2.36,1.69,9.46,4.6,1.84
1.96,1.69,10.1,3.54,1002.48
1.89,2.19,10.51,4.0,1027.26
3.15,2.17,10.09,4.06,1168.49
1.85,2.13,9.52,4.74,1.78
2.09,1.95,9.57,4.08,1.76
2.19,1.74,9.6,3.51,2.23
1.9,1.8,10.19,3.08,3014.47
2.77,1.57,8.66,3.15,1.67
2.05,2.17,10.66,3.35,1001.7
1.77,1.66,8.54,4.33,2.35
2.18,1.66,10.6,3.2,2.66
2.02,1.71,10.34,3.18,4054.72
1.98,1.73,9.57,5.37,1.66
1.91,1.8,9.75,4.22,2.81
2.33,1.7,10.99,4.95,1.9
1.86,1.68,8.59,3.97,2999.9
1.91,1.62,9.9,4.24,8241.34
2.04,2.11,8.75,3.27,1.73
2.39,1.97,9.96,3.11,1.71
2.41,1.72,11.49,3.34,1.67
1.84,1.71,9.91,3.17,1.71
1.88,1.71,8.57,3.43,1002.32
1.99,2.47,8.46,3.13,2.09
2.36,2.56,8.52,4.37,1002.09
1.93,2.09,9.14,3.27,2.15
2.06,1.91,9.22,3.08,1002.37
2.39,2.28,10.38,3.13,1035.2
2.52,3.02,8.49,3.2,2.1
1.85,3.23,10.92,3.16,1376.99
2.0,2.58,8.27,3.19,3000.18
1.9,2.27,9.05,4.27,2.31
2.64,2.06,9.41,3.3,1.7
1.91,1.82,9.64,4.24,1.68
2.29,1.69,13.91,3.88,1001.61
1.86,1.73,9.12,3.19,1002.06
1.91,1.78,14.39,3.33,2.01
2.44,1.96,9.35,3.1,1.71
1.81,1.66,8.47,3.75,2.62
1.95,1.82,10.51,3.21,2.12
2.56,1.74,8.73,3.72,1010.63
2.35,1.69,10.18,3.17,1196.39
1.89,1.81,13.62,3.65,1.7
2.15,2.95,9.63,3.2,2.64
2.31,2.59,9.01,3.19,1.71
2.18,2.22,15.35,3.12,2.15
2.74,1.74,8.96,3.66,1.9
2.76,1.57,8.8,3.1,2.06
2.68,1.67,8.45,4.29,1.72
2.04,2.17,8.47,3.13,1002.27
1.89,1.66,9.6,3.25,1.65
1.84,1.72,10.08,3.05,1.74
2.41,1.82,9.28,3.2,1169.61
1.91,1.64,9.88,4.25,5020.62
2.49,1.7,8.41,3.48,2.24
1.86,1.75,13.25,4.36,2.18
1.96,1.68,8.42,3.9,1112.0
2.04,1.58,8.42,3.09,1.72
1.99,1.76,10.41,4.04,2.19
1.88,1.64,10.17,3.5,1.85
2.49,1.72,13.98,3.32,2.11
1.96,1.84,10.26,3.13,1027.66
2.31,1.58,10.6,3.54,3000.4
2.0,1.7,12.44,3.17,2.45
1.9,2.12,15.15,3.68,2.22
2.01,1.76,10.0,3.55,1032.32
2.36,1.77,10.0,4.36,1002.99
2.76,1.91,8.53,5.85,1.76
1.9,2.14,10.22,4.25,2.06
1.87,1.81,9.57,4.21,1001.74
2.14,2.22,14.21,4.24,1002.9
2.63,1.71,13.5,3.93,1056.53
1.87,1.69,8.41,3.81,1.77
1.97,2.06,8.61,3.56,1.58
1.99,1.62,12.08,4.22,1.66
2.29,2.07,8.49,3.24,8457.46
1.88,1.84,14.06,4.29,1331.91
2.54,1.61,14.12,4.3,1.6
2.19,1.67,10.22,3.06,1.63
2.26,1.95,8.84,3.83,2.12
1.97,2.17,8.93,3.2,1.67
2.64,1.91,13.6,3.12,1.83
1.83,2.04,12.52,3002.26,1002.37
3.33,2.19,10.26,4.3,1.78
2.45,1.67,9.86,3.4,6998.69
2.43,1.73,12.99,4.34,1026.76
2.1,2.0,12.79,4.24,2.37
1.89,2.82,9.52,1004.8,1.71
2.35,1.66,9.65,3.15,1220.84
1.86,1.62,8.89,4.29,1.76
1.94,1.72,13.71,3.2,2.89
1.9,2.1,8.98,3.15,1.68
1.83,1.68,9.6,3.14,1.67
2.46,1.75,8.8,1028.22,2.46
2.0,1.94,13.33,3.17,1.68
1.93,1.74,9.6,3.76,1.87
1.83,1.8,9.25,1003.1,1.62
1.84,1.81,10.14,3.29,2.2
2.46,2.17,9.4,1003.7,1.6
1.91,1.71,9.26,1034.29,2.26
1.84,2.08,9.94,1004.5,1.73
1.89,2.32,9.35,3.31,1002.19
2.07,1.86,9.63,3001.14,1.71
3.16,1.89,14.65,3001.95,1.86
1.96,2.11,12.03,7001.19,1.71
1.96,1.9,12.12,3.4,2.32
1.77,2.73,11.21,3002.59,1.71
1.92,1.66,9.36,1028.82,1.88
2.16,1.93,8.83,3.43,1.69
1.87,1.65,14.02,1031.53,2.56
2.13,2.06,8.99,3.76,1.86
2.48,2.49,8.6,1003.02,1.73
1.91,2.21,9.45,3.99,2.11
2.35,1.92,8.65,3.13,3000.45
2.39,3.07,12.27,1003.53,1.66
2.56,1.66,8.87,1028.52,1.69
2.02,2.14,9.6,3001.3,2.66
2.3,1.72,8.48,4.32,1.73
1.98,1.64,8.52,3.61,1.71
1.96,3.16,10.23,3.26,1.61
1.93,1.72,9.96,3.27,1.7
1.84,1.87,11.09,3.09,1001.87
2.49,2.44,9.49,3.24,1.67
1.87,2.33,10.06,3.12,1188.39
2.51,2.04,9.59,3.1,1.99
1.86,2.74,10.04,3137.62,1.69
2.39,2.82,10.06,3.11,1.76
2.8,1.8,8.5,4.14,2.13
1.78,2.21,9.12,4.27,1002.7
2.03,2.15,9.25,4.21,1002.05
1.95,2.03,8.55,3.14,1.61
2.53,1.75,9.79,8064.24,1001.63
1.92,1.84,12.12,3.34,1.79
1.83,2.38,10.63,3.11,1054.59
1.8,2.16,8.63,1225.72,2.23
2.51,2.0,10.14,3.15,1.62
1.79,3.08,16.44,3.44,3000.44
1.9,2.41,8.65,4.64,1027.89
2.02,2.59,8.87,3.36,6998.49
2.35,2.36,9.3,3.46,2.08
1.99,2.81,9.06,1033.36,1026.32
2.48,2.43,13.96,3.54,1385.25
3.09,2.73,8.63,5.4,1.64
2.71,2.36,8.7,1028.72,2.43
2.43,2.53,9.36,3002.38,1.67
2.15,2.43,8.98,3003.19,1.84
2.3,1.92,8.52,3.24,1.79
1.86,1.97,9.39,3.03,1.58
2.49,1.8,13.79,1029.62,1.89
