P-384,x448,p384_mlkem768,x448_mlkem768,mlkem768
5.23,3.8,11.99,5.59,3.98
7.16,4.19,12.37,5.6,2.97
6.13,3.69,12.29,5.71,3.32
5.03,3.78,14.43,5.6,3.06
7.28,3.82,13.43,5.53,3.44
5.13,3.73,12.54,5.67,3.46
5.22,5.27,12.9,5.67,4.22
7.15,5.29,12.43,5.85,4.44
5.29,3.76,14.67,5.58,3.4
5.34,5.35,11.98,5.61,3.0
5.08,3.81,12.41,5.67,3.81
5.06,3.77,14.04,5.84,3.44
5.11,3.78,11.89,6.3,3.5
5.03,3.7,11.96,5.63,3.34
5.35,4.46,12.29,5.59,3.98
5.1,3.72,15.17,5.66,3.0
5.29,5.32,12.1,5.66,3.61
5.13,3.77,11.96,5.67,4.61
5.1,3.77,16.1,5.62,4.54
5.23,3.71,11.94,8.01,3.53
5.13,3.73,14.12,5.65,4.07
5.13,3.87,17.96,5.58,3.26
5.33,3.79,12.71,5.62,3.42
5.13,3.7,12.72,5.64,4.29
7.16,3.76,12.24,5.62,3.15
5.09,3.78,12.43,8.04,3.46
5.57,3.87,18.79,5.6,3.66
5.1,3.72,1013.19,5.64,3.07
5.28,3.75,11.9,5.61,3.77
5.1,4.51,12.41,5.6,3.4
5.2,3.72,12.67,5.65,3.73
5.07,3.74,18.96,8.08,3.13
5.1,3.77,12.35,5.63,4.29
5.07,3.74,12.31,5.6,3.44
5.01,3.74,12.74,5.61,3.42
5.18,3.76,12.43,5.66,3.2
5.13,3.74,12.11,5.65,4.31
7.35,3.77,18.31,5.62,3.16
5.28,3.98,12.76,5.63,3.46
5.1,3.77,11.93,5.64,4.71
7.35,4.53,11.93,5.64,3.56
5.21,4.21,12.03,5.56,3.45
5.83,3.73,13.74,6.46,3.46
6.98,3.73,18.34,5.5,4.4
6.4,3.73,18.83,5.64,3.18
5.04,3.81,18.41,5.62,3.05
6.64,3.72,1020.4,5.75,2.96
5.16,3.82,12.01,6.28,4.7
5.11,3.71,12.5,8.31,3.47
6.01,3.72,12.11,5.56,3.22
5.22,3.69,1019.89,6.09,4.35
5.02,3.8,11.89,5.67,4.73
5.2,3.74,1092.5,5.71,4.22
5.18,6.48,18.75,5.6,3.59
6.1,3.88,12.0,5.71,3.0
1004.6,4.51,1013.66,5.58,3.35
1004.31,3.72,12.49,6.57,3.55
5.21,3.73,12.04,5.58,3.27
5.11,3.77,12.28,5.85,3.57
5.1,3.73,12.31,5.64,3.59
5.1,3.72,1013.33,8.4,3.62
5.07,3.79,12.19,5.65,3.64
5.04,3.85,13.21,5.62,1003.1
1004.59,3.73,12.96,8.02,1002.57
5.07,3.75,12.03,8.53,1002.28
5.0,3.83,1035.6,8.0,3.06
5.11,3.76,11.97,6.59,3.01
1005.66,4.52,12.42,5.57,3.01
5.14,4.47,12.15,8.06,3.48
5.52,3.86,14.33,5.6,3.03
5.1,4.85,18.44,5.71,3.42
5.06,5.75,11.89,5.77,3.12
5.11,3.77,1013.07,6.88,3.04
5.12,3.76,12.05,8.15,3.66
1004.85,3.64,18.72,8.04,3.01
5.22,3.81,11.99,5.63,4.32
8.1,4.55,12.2,5.62,1004.63
6.54,5.97,18.29,5.63,3.01
5.1,4.23,12.21,7.02,3.52
5.82,3000.94,12.26,8.08,3.39
5.09,4.52,12.48,9.46,3.02
7.32,5.29,1036.85,8.02,1002.27
5.64,4.55,14.3,8.08,3.16
5.23,4.54,12.44,5.66,6999.37
7.41,1002.86,12.04,8.15,3.09
7.37,5.3,12.9,5.79,3.08
5.26,4.52,12.1,5.64,2.99
7.19,3.75,12.22,5.61,3.01
