P-256,x25519,p256_mlkem512,x25519_mlkem512,mlkem512
2.13,1.85,8.64,3.21,1.76
2.44,1.69,47.92,3.32,1.88
2.04,1.78,9.16,3.58,1.75
2.06,1.81,11.06,3.14,1.87
2.37,1.79,8.67,3.65,1.68
2.42,1.85,8.35,3.19,1.87
2.11,1.96,38.32,3.28,1.99
2.05,1.76,96.3,3.19,1.6
2.02,1.7,2674.28,4.17,1.89
2.36,1.9,212.3,3.24,1.76
2.21,1.77,13.3,3.12,1.91
1.89,2.1,211.55,3.44,1.77
2.86,1.86,2061.48,3.19,1.92
1.97,1.76,1055.41,3.38,1.76
2.1,1.82,6235.21,3.31,1.97
2.5,1.94,482.53,3.15,1.69
1.96,1.71,8.56,3.17,2.11
2.17,1.78,2032.27,3.27,1.64
1.97,2.04,2032.34,3.24,1.82
1.83,1.84,9.55,4.47,1.83
1.87,1.76,5583.73,3.98,1.73
1.99,1.77,5209.58,4.67,1.72
2.0,1.77,8.54,3.4,1.67
2.06,1.87,8.79,3.5,1.73
2.39,1.84,4034.67,3.3,1.85
1.99,1.85,1266.62,4.19,1.94
2.39,5.93,1533.46,5.29,1.86
2.05,1.91,1355.77,4.57,1.8
2.04,2.14,8.7,3.07,2.04
2.37,1.98,8.53,4.18,1.77
2.24,1.84,8.71,3.21,1.69
2.0,2.27,2032.34,1041.45,1.86
2.08,2.13,9931.5,3.18,1.63
2.51,1.74,38.33,3.25,2.09
2.62,2.15,9.11,3.15,1.68
1.97,1.88,8.6,3.5,1.81
2.03,1.86,2007.11,3.04,1.93
2.21,1.86,13.29,4.22,1.85
2.0,1.82,4006.79,195.53,1.74
1.95,1.95,7056.81,34.66,1.78
2.89,1.98,2031.46,10265.34,1.99
2.51,83.66,1033.18,3.21,1.74
1.95,221.56,43.56,3.52,1.73
2.09,10476.55,8.55,413.32,1.71
2.28,1.88,4034.33,2054.48,2.0
111.25,1101.16,38.6,3.43,2.1
2.05,1.8,214.95,3113.36,2.1
1103.4,2053.25,8.77,227.8,2.0
1102.41,1101.29,38.32,3.2,1.89
111.47,1999.63,43.43,1005.06,1.96
2.02,7027.01,2031.25,4434.94,2.0
1214.22,2025.03,1033.31,2026.26,1.87
34.09,3000.32,1033.74,30.88,1.85
2026.15,29.51,2030.87,85.92,1.92
2.31,1.96,8.64,7001.58,2.43
2026.69,1.98,8.65,4000.05,1.75
29.72,1.81,8.45,3.33,2.35
5026.0,111.16,8.84,3.21,1.77
83.69,1446.27,8.43,1072.75,2.03
9078.86,3102.56,43.49,3.53,1.7
1.93,56.91,7009.75,3.52,1.7
1001.37,2.08,129.74,3.47,1.68
29.63,1129.94,38.43,2139.93,30.5
2.13,4100.73,2060.37,4.08,2025.18
1128.92,29.42,10.08,3.48,2024.97
5073.31,4998.47,9.71,229.12,1.89
1816.44,29.59,43.69,1010.99,1.61
2.58,1.77,9004.88,3.29,1.78
2025.97,1.7,13.22,2027.69,1004.08
2.4,1999.83,9.54,2055.48,1.92
56.92,1184.17,1009.69,3.19,1.89
1.98,219.52,38.15,2002.23,1037.5
1001.77,192.01,8.7,4001.25,1.82
2.08,1.8,8.52,7221.1,1056.99
3128.31,1128.48,8.59,3.85,7600.9
34.32,1084.11,10.2,3001.56,2799.08
4100.87,118.6,2007.41,2026.92,29.4
2.06,1.99,2031.89,3.23,3335.78
2.02,1.79,8.57,3.15,1.92
29.65,1102.21,209.61,3.49,1.83
2.02,1.76,8.9,30.86,84.62
1.86,1001.37,1009.91,3001.47,29.22
1102.66,1.86,4126.67,31.02,3057.08
2000.94,29.62,2031.53,30.73,2025.02
3207.07,2099.43,8.46,1010.94,1.71
29.7,10070.52,966.39,1005.48,2110.83
2.25,4998.8,4003.89,1005.5,1.78
29.94,5101.39,2206.69,1003.7,29.48
2.02,1.84,39.1,3491.12,3998.85
2.25,2879.67,2297.74,1002.68,4000.21
1.96,191.81,5745.62,2026.16,59.65
2.29,224.15,8.91,1004.11,1.71
1.94,408.34,38.95,3.14,1001.11
1.87,1.77,1196.11,4.47,1.82
3000.62,1.72,4006.67,3.38,8049.53
868.69,2000.2,8.54,32.75,2.01
2.02,2.04,9.84,3.35,1.65
2.52,408.34,10755.18,63.16,2026.01
1001.66,1265.96,9.69,4.08,1.73
2.04,1.74,2031.68,30.75,1.81
1101.75,29.45,441.88,4.3,3110.03
1.98,56.62,9.55,3028.8,1359.68
4998.91,2.02,13.19,227.71,2.04
30.2,1.81,2035.9,3.21,1.9
1102.55,1156.32,476.71,31.55,2.0
219.63,1.98,8.86,2055.46,1.94
62.44,2108.37,214.9,6000.95,1.66
29.77,1.82,8.57,1005.79,1.72
