P-521,p521_mlkem1024,mlkem1024
7.06,11.82,4.47
4.96,17.37,1031.55
1005.07,12.01,1007.79
7.0,11.96,3.18
7.14,18.26,4.49
1005.05,11.95,3.6
4.9,11.98,7001.07
3005.23,11.93,4.5
7000.5,12.06,3.45
3003.94,18.3,3.62
1004.92,12.15,3.21
1004.82,18.23,3.75
5.02,12.04,1032.85
5.06,11.97,3.12
7000.69,12.21,3.18
4.9,12.08,3.15
7.08,12.09,3.23
7.01,18.25,3.18
5.13,18.35,3.18
7.0,14.19,3.26
4.98,14.02,4.45
6999.52,11.9,1031.34
6.27,18.23,3.29
6.67,11.99,3.56
4.99,11.93,4.47
1004.93,14.79,3.63
7.11,21.17,4.46
1004.53,15.5,3.21
5.19,14.55,3.56
4.98,19.96,1309.91
5.03,12.9,3.27
5.19,20.23,3.24
5.01,11.82,4.48
7.15,12.11,3.37
7000.42,19.91,3.09
7.07,12.18,3.62
5.06,14.82,3.25
4.98,12.35,3001.87
1005.45,14.36,3.74
4.83,13.22,3.18
7.95,11.94,3.07
7.07,18.25,3.16
1004.55,14.22,4.45
3002.69,12.53,4.43
1004.42,11.92,3.14
4.94,12.09,4.01
3005.25,12.2,1030.62
7001.07,12.12,1837.51
6.29,12.02,3.27
3003.6,12.03,3.17
1004.2,11.99,3.15
7.19,11.99,6999.81
6.35,11.95,3.19
1006.04,11.94,1008.4
6.19,18.33,3.18
1005.73,15.35,3.13
1004.58,12.13,3435.44
7.01,18.51,3.18
3003.77,12.21,3.12
4.93,12.99,3.1
5.09,12.17,1076.71
4.94,12.01,3.17
4.97,18.74,1084.61
6.22,18.28,4.49
5.11,11.8,3.17
4.98,11.86,3002.8
6.31,12.0,1023.64
7000.35,18.28,3.34
5.0,12.15,3.14
7000.73,18.35,3002.1
5.06,18.4,1191.71
7.03,11.85,3.09
4.97,12.73,3.12
6.34,18.25,3.25
3003.75,12.12,3.25
1004.67,13.59,3.27
7001.2,11.86,4.43
3005.2,15.38,3.22
1004.62,12.77,3.11
4.9,12.03,1030.46
6.27,11.99,3.17
1005.12,11.78,3.11
1004.64,12.0,1026.89
4.94,12.03,3.17
1004.58,12.28,3.15
1006.64,11.86,3.21
5.03,12.04,1030.1
1005.0,15.81,3.57
5.02,12.1,1029.82
5.34,11.95,3.12
4.99,11.82,3.33
3002.64,18.18,3.14
4.9,12.06,3.8
4.97,12.04,3.28
